premise,hypothesis,gpt_label
時計がついている場所にパブリックマーケットセンターとかかれた看板が設置されています。,屋根の上に看板があり時計もついています。,1
キリンが、木の中から首を出しています。,キリンが木々のあいだから顔を出しています。,0
空港に、１機の飛行機が停まっています。,双翼プロペラの飛行機が駐機しています。,1
プロペラが取り付けられた飛行機が停められています。,飛行場に、飛行機が停まっています。,0
双翼プロペラの飛行機が駐機しています。,空港に、１機の飛行機が停まっています。,0
飛行場に、飛行機が停まっています。,プロペラが取り付けられた飛行機が停められています。,0
オレンジ色のジャンパーを着た人がカヌーをしています。,波しぶきのある川を人がカヌーで下っています。,0
波しぶきのある川を人がカヌーで下っています。,オレンジ色のジャンパーを着た人がカヌーをしています。,1
赤い消火栓のそばに幼児を抱えた女性がいる。,赤ちゃんと母親が消火栓を見ています。,1
赤ちゃんと母親が消火栓を見ています。,赤い消火栓のそばに幼児を抱えた女性がいる。,0
バイクに乗って通行している人がいます。,オートバイの人が、建物の見えるところを走っています。,0
バイクに乗って通行している人がいます。,バイクに乗っている男性が一人います。,1
オートバイの人が、建物の見えるところを走っています。,バイクに乗って通行している人がいます。,0
大きなタイル敷きのバスルームで、白い大きな浴槽の様子。,バスルームに絵画が飾られています。,1
バスルームに絵画が飾られています。,大きなタイル敷きのバスルームで、白い大きな浴槽の様子。,1
窓の向こうの部屋に時計が架かっています。,窓越しに壁にかけられた時計が見えます。,0
窓越しに壁にかけられた時計が見えます。,窓の向こうの部屋に時計が架かっています。,0
テーブルの上には小さな置時計があります。,テーブルの上に時計が置かれています。,0
テーブルの上に時計が置かれています。,テーブルの上には小さな置時計があります。,0
ソファーに座っている女の子の前で、犬が座っています。,ソファーに立っている。,2
ソファーに立っている。,ソファーに座っている女の子の前で、犬が座っています。,1
黄色い服を着た少年がスケートボードを行っています。,スケートボードに乗って飛んでいる少年。,1
スケートボードに乗って飛んでいる少年。,黄色い服を着た少年がスケートボードを行っています。,1
デスクにノートパソコンなどが置かれている。,デスクにデスクトップパソコンだけが置かれています。,2
デスクにノートパソコンなどが置かれている。,デスク上には何も置かれていません。,2
デスクにノートパソコンなどが置かれている。,デスク上にはタブレットのみが置かれています。,2
デスクにデスクトップパソコンだけが置かれています。,デスクにノートパソコンなどが置かれている。,2
デスク上には何も置かれていません。,デスクにノートパソコンなどが置かれている。,2
デスク上にはタブレットのみが置かれています。,デスクにノートパソコンなどが置かれている。,2
夜のスキー場には、沢山のライトがついていて、斜面をスキーで滑っている人がいます。,夜のゲレンデは、オレンジのライトでライトアップされています。,1
夜のゲレンデは、オレンジのライトでライトアップされています。,夜のスキー場には、沢山のライトがついていて、斜面をスキーで滑っている人がいます。,0
道路でサングラスをした男性がスケートをしています。,男性がスケートボードに乗って、道路を走っています。,0
バナナとミカンがボウルに入れられています。,ボウルの中にバナナとオレンジが盛られている。,1
ボウルの中にバナナとオレンジが盛られている。,バナナとミカンがボウルに入れられています。,1
ソファに座る二人の男性の隣で男性がテレビゲームをしています。,ソファーに二人が座り一人は立っています。,1
ソファーに二人が座り一人は立っています。,ソファに座る二人の男性の隣で男性がテレビゲームをしています。,1
ぬいぐるみで飾った車両は止まっています。,乗用車のボディーを、大小のぬいぐるみで飾ってあります。,0
乗用車のボディーを、大小のぬいぐるみで飾ってあります。,ぬいぐるみで飾った車両は止まっています。,1
町並みを太陽が明るく照らしています。,建物に囲まれた場所に横断歩道があり、太陽の光が街にさしています。,0
女性が大きなピザを切ろうとしています。,女性がナイフとフォークを使い皿にのったピザを切っています。,2
芝生のグラウンドで、赤い帽子を被った少年たちが野球をしています。,芝生のあるグランドで、野球をしている子供たちがいます。,0
芝生のあるグランドで、野球をしている子供たちがいます。,芝生のグラウンドで、赤い帽子を被った少年たちが野球をしています。,1
猫がパソコンのマウスを捕獲しようとしている。,黒猫がパソコンのマウスを使って遊んでいます。,1
四人のスノーボーダーが雪山を滑っています。,雪山でスノボーをしている人が４人います。,0
雪山でスノボーをしている人が４人います。,雪山でスノボーをしている人が４人います。,0
雪山でスノボーをしている人が４人います。,雪山でスノボーをしている人が４人います。,0
女性のテニスプレーヤーがラケットを振っています。,テニスコートでラケットを持っている人がいます。,0
テニスコートでラケットを持っている人がいます。,女性のテニスプレーヤーがラケットを振っています。,1
黒いTシャツを着た男性がテニスラケットを持って立っています。,白いTシャツを着た男性がテニスラケットを持って立っています。,2
黒いTシャツを着た男性がテニスラケットを持って立っています。,赤いTシャツを着た男性がテニスラケットを持って立っています。,2
黒いTシャツを着た男性がテニスラケットを持って立っています。,黒いTシャツを着た男性がバットを持って立っています。,2
黒いTシャツを着た男性がテニスラケットを持って立っています。,黒いTシャツを着た男性が卓球のラケットを持って立っています。,2
白いTシャツを着た男性がテニスラケットを持って立っています。,黒いTシャツを着た男性がテニスラケットを持って立っています。,2
赤いTシャツを着た男性がテニスラケットを持って立っています。,黒いTシャツを着た男性がテニスラケットを持って立っています。,2
黒いTシャツを着た男性がバットを持って立っています。,黒いTシャツを着た男性がテニスラケットを持って立っています。,2
黒いTシャツを着た男性が卓球のラケットを持って立っています。,黒いTシャツを着た男性がテニスラケットを持って立っています。,2
バットを肩の後ろに構えたバッターがいます。,グローブを肩の後ろに構えたキャッチャーがいます。,1
バットを肩の後ろに構えたバッターがいます。,バットを振り下ろしたバッターがいます。,1
グローブを肩の後ろに構えたキャッチャーがいます。,バットを肩の後ろに構えたバッターがいます。,1
バットを振り下ろしたバッターがいます。,バットを肩の後ろに構えたバッターがいます。,1
路上の手前に白い消火栓が建っています。,来週、路上の手前に白い消火栓ができる予定です。,1
来週、路上の手前に白い消火栓ができる予定です。,路上の手前に白い消火栓が建っています。,0
テーブルに色々なジャンクフードが置いてあります。,ポップな世界を創造したアート作品です。,1
女性が１人で、ケーキを切ろうとしています。,白い服を着た人物がテーブル上のケーキにナイフを入れています。,0
白い服を着た人物がテーブル上のケーキにナイフを入れています。,女性が１人で、ケーキを切ろうとしています。,1
大空を１機の飛行機が飛行しています。,ジェットコースターのレールの上空をジョット機が飛んでいます。,1
列車の入っているホームに荷物を持った男性が立っています。,駅のホームに止まった列車の横に人が立っています。,0
駅のホームに止まった列車の横に人が立っています。,列車の入っているホームに荷物を持った男性が立っています。,0
窓に柵のつけられたトイレの様子です。,トイレの便座の左右に手すりが設置されています。,1
トイレの便座の左右に手すりが設置されています。,窓に柵のつけられたトイレの様子です。,1
居間らしきテーブルを男性２人と女性１人、子供１人が囲っています。,テーブルに男女三人と子供がテーブルをかこんでいる。,0
テーブルに男女三人と子供がテーブルをかこんでいる。,居間らしきテーブルを男性２人と女性１人、子供１人が囲っています。,1
２頭のクマが隣り合って座っています。,岩の上で二頭の熊が寄り添って伏せています。,1
何種類ものケーキがテーブルに並んでいます。,テーブルの上にたくさんのケーキがあります。,0
カラフルな電車が駅のホームに止まっています。,黄色と赤の電車がホームに停車しているところです。,0
黄色と赤の電車がホームに停車しているところです。,カラフルな電車が駅のホームに止まっています。,0
たくさんの窓を持った時計付きの中世風の建物です。,茶色の大きな建物の上部には、時計が１つあります。,0
茶色の大きな建物の上部には、時計が１つあります。,たくさんの窓を持った時計付きの中世風の建物です。,1
雪山に三人の人がスキー姿で立っています。,スキー場の斜面に３人のスキーヤーがいます。,0
スキー場の斜面に３人のスキーヤーがいます。,雪山に三人の人がスキー姿で立っています。,0
ガードレールわきにバイクがおかれています。,山の上の道路に2台のバイクが置かれている。,1
山の上の道路に2台のバイクが置かれている。,ガードレールわきにバイクがおかれています。,0
白いトイレにある洗面台のライトがついている。,全体が白で統一されているトイレに電気が点いています。,0
スキー板を持った人が雪の上に立っています。,雪原に4番のゼッケンを着けた青いウエアの人物が、スキーを外して自分の横に立てて持ってストックをもう片方の手に持って立っています。,2
雪原に4番のゼッケンを着けた青いウエアの人物が、スキーを外して自分の横に立てて持ってストックをもう片方の手に持って立っています。,スキー板を持った人が雪の上に立っています。,0
日がさしこむキッチンがあります。,キッチンの上に、キッチンタオルや調理道具類が置かれています。,1
キッチンの上に、キッチンタオルや調理道具類が置かれています。,日がさしこむキッチンがあります。,1
包丁を使って、トマトを薄く輪切りにしています。,木のまな板の上で、赤いトマトを包丁で輪切りにしています。,0
厨房でコンベアに乗ったドーナツが調理されています。,工場でコンベアに乗ったドーナツが箱詰めされています。,1
工場でコンベアに乗ったドーナツが箱詰めされています。,厨房でコンベアに乗ったドーナツが調理されています。,1
部屋に置いてあるトランクの中に猫がいます。,蓋の開いたアタッシュケースの中から猫が顔を出しています。,1
八つに切り分けられたピザが皿に盛られています。,茶色い皿の上に1枚の丸いピザが載っています。,0
茶色い皿の上に1枚の丸いピザが載っています。,八つに切り分けられたピザが皿に盛られています。,1
草むらの上に複数の羊が身を寄せ合っています。,草原に、羊が8頭放牧されています。,1
草原に、羊が8頭放牧されています。,草むらの上に複数の羊が身を寄せ合っています。,1
有刺鉄線の隙間から牛が鼻を出しています。,有刺鉄線の柵の内側に二頭のウシがいます。,1
有刺鉄線の柵の内側に二頭のウシがいます。,有刺鉄線の隙間から牛が鼻を出しています。,1
雪山で、スキーの格好をした2人がいます。,雪面を二人のスキーヤーが立っています。,0
雪面を二人のスキーヤーが立っています。,雪山で、スキーの格好をした2人がいます。,0
家の前の草むらに口を開けた犬が座っています。,家の前の芝生の上に犬が座っています。,1
家の前の芝生の上に犬が座っています。,家の前の草むらに口を開けた犬が座っています。,1
茶色い建物が道路わきにたてられています。,黄色い建物が道路わきにたてられています。,2
茶色い建物が道路わきにたてられています。,ピンク色の建物が道路わきにたてられています。,2
茶色い建物が道路わきにたてられています。,白い建物が山の上にたてられています。,1
黄色い建物が道路わきにたてられています。,茶色い建物が道路わきにたてられています。,1
ピンク色の建物が道路わきにたてられています。,茶色い建物が道路わきにたてられています。,2
白い建物が山の上にたてられています。,茶色い建物が道路わきにたてられています。,1
広場のゾウの像に女の子が乗っています。,広場のゾウの像に雪が積もっています。,1
広場のゾウの像に雪が積もっています。,広場のゾウの像に女の子が乗っています。,1
男性が熊のぬいぐるみを抱きかかえています。,帽子をかぶった男性がぬいぐるみを抱えています。,1
帽子をかぶった男性がぬいぐるみを抱えています。,男性が熊のぬいぐるみを抱きかかえています。,0
投げ出した足の上にパソコンをのせている人たちがいます。,並んで座った3人の人物が各々の膝にノート型パソコンを乗せています。,1
並んで座った3人の人物が各々の膝にノート型パソコンを乗せています。,投げ出した足の上にパソコンをのせている人たちがいます。,2
黒いソファに座った人と車いすに座った男性がリビングにいます。,ソファーに座った3人の人と、車いすの男性がいます。,2
ソファーに座った3人の人と、車いすの男性がいます。,黒いソファに座った人と車いすに座った男性がリビングにいます。,1
白い木枠の窓の向こう側に、クロネコが座っています。,一匹の座ったネコが窓から見えます。,0
一匹の座ったネコが窓から見えます。,白い木枠の窓の向こう側に、クロネコが座っています。,2
様々なたくさんの船が港に停泊しています。,様々なたくさんの船が航行している。,2
様々なたくさんの船が航行している。,様々なたくさんの船が港に停泊しています。,1
船がたくさん停泊してある港町です。,ボートハウスにたくさんのボートが停泊しています。,0
ボートハウスにたくさんのボートが停泊しています。,船がたくさん停泊してある港町です。,1
茶色い猫が道端に横になって寝ています。,道路わきで茶色いネコがねころんでいます。,0
道路わきで茶色いネコがねころんでいます。,茶色い猫が道端に横になって寝ています。,0
手前には水面があり、奥の高台には時計台のある建物が見えます。,河の向こうの陸地の上に建物が見えます。,0
河の向こうの陸地の上に建物が見えます。,手前には水面があり、奥の高台には時計台のある建物が見えます。,1
ベッドで女性と子供が寝ているところです。,女性の横で小さな女の子がねむっています。,0
女性の横で小さな女の子がねむっています。,ベッドで女性と子供が寝ているところです。,1
ステーキやブロッコリーが皿に乗っています。,白い皿の上にステーキと野菜が盛られています。,0
白い皿の上にステーキと野菜が盛られています。,ステーキやブロッコリーが皿に乗っています。,0
高架下に白い車体のバスが止まっています。,道路の下に、バスが二台あります。,1
道路の下に、バスが二台あります。,高架下に白い車体のバスが止まっています。,1
海辺で、男の子が凧をあげています。,男の子が砂浜で凧あげをしています。,0
男の子が砂浜で凧あげをしています。,海辺で、男の子が凧をあげています。,0
森の中の未舗装路で馬に乗っている人がいます。,山道を散策する人々の中で乗馬をしている人もいます。,0
山道を散策する人々の中で乗馬をしている人もいます。,森の中の未舗装路で馬に乗っている人がいます。,0
鏡にフラッシュをたいて写真を撮っている人が映っています。,洗面台に容器に入れた物が置いてあります。,1
オレンジのベッドカバーのついたベッドと、机と青い椅子があります。,壁紙の白い部屋の中にさまざまな家具が置かれています。,0
壁紙の白い部屋の中にさまざまな家具が置かれています。,オレンジのベッドカバーのついたベッドと、机と青い椅子があります。,1
女の子の前に３枚のトーストが置いてあります。,男の子の前に３枚のトーストが置いてあります。,1
女の子の前に３枚のトーストが置いてあります。,女の子の前に１０枚トーストが置いてあります。,2
男の子の前に３枚のトーストが置いてあります。,女の子の前に３枚のトーストが置いてあります。,1
女の子の前に１０枚トーストが置いてあります。,女の子の前に３枚のトーストが置いてあります。,0
雪景色の中で大人2人と子供3人がスノーボードをしています。,雪上にスノーボードを履いている人たちがいます。,0
雪上にスノーボードを履いている人たちがいます。,雪景色の中で大人2人と子供3人がスノーボードをしています。,1
波の上で、サーフィンをしている人がいます。,海でサーフィンをしている人が３人います。,1
海でサーフィンをしている人が３人います。,波の上で、サーフィンをしている人がいます。,0
上半身裸の男性がサーフボードを乗せたバイクに乗っています。,上半身が裸でウェットスーツを下半身にだけ着ている人が、黒いスクーターにまたがっており、青いサーフボードがスクーターの横に積んであります。,2
皿の上にロールケーキやフォークなどが置かれています。,皿の上にロールケーキやフォークなどが置かれていない。,2
皿の上にロールケーキやフォークなどが置かれていない。,皿の上にロールケーキやフォークなどが置かれています。,2
芝生の上にグレーや赤や黒の小型飛行機が停まっています。,芝生の上に、赤やシルバーの飛行機が停まっています。,1
芝生の上に、赤やシルバーの飛行機が停まっています。,芝生の上にグレーや赤や黒の小型飛行機が停まっています。,0
グリルの上のプレートに二枚のピザがあります。,コンロでピザを2枚焼いています。,1
コンロでピザを2枚焼いています。,グリルの上のプレートに二枚のピザがあります。,1
部屋の一隅に仏壇が設けられています。,民族衣装、写真立て、仏像が並んだ棚があります。,1
民族衣装、写真立て、仏像が並んだ棚があります。,部屋の一隅に仏壇が設けられています。,1
棚にイラストと額が並べて飾られています。,民族衣装、写真立て、仏像が並んだ棚があります。,1
海でサーファーが波に乗っています。,海でサーファーがおぼれています。,2
海でサーファーが波に乗っています。,海でサーファーが波を待っています。,1
海でサーファーがおぼれています。,海でサーファーが波に乗っています。,2
海でサーファーが波を待っています。,海でサーファーが波に乗っています。,1
駐車場から傘を差した人たちが出ていきました。,雨の中、市街地のショッピングセンターへと向かう人々がいます。,1
雨の中、市街地のショッピングセンターへと向かう人々がいます。,駐車場から傘を差した人たちが出ていきました。,0
白いテーブルの側に子供用の椅子があります。,台のついたベビーチェアに猫が乗っています。,1
三人のスキーヤーが雪の上を歩いています。,雪道をスキーの格好をして進んでいる人たちがいます。,0
雪道をスキーの格好をして進んでいる人たちがいます。,三人のスキーヤーが雪の上を歩いています。,0
草原でたくさんの象が歩いています。,草原で生えている木の側に象が集まっています。,1
草原で生えている木の側に象が集まっています。,草原でたくさんの象が歩いています。,0
男の子が、右バッターボックスでバットを振っています。,野球の試合で、少年がバッターボックスでバットを振っています。,0
野球の試合で、少年がバッターボックスでバットを振っています。,男の子が、右バッターボックスでバットを振っています。,1
金髪の女性が、ベンチで寝そべって本を読んでいます。,ベンチの上に女の人が横になって本を読んでいます。,0
ベンチの上に女の人が横になって本を読んでいます。,金髪の女性が、ベンチで寝そべって本を読んでいます。,1
部屋の中では男女が鞄に荷物を詰めています。,男女二人が荷物のパッキングをしています。,0
