text,gemini_reply
"MetroPlus iku luwih kepenak lan ora pati rame nanging rada larang sathithik, sandyan isih luwih murah katimbang tiket metro sing lumrah ing Eropa.","travel
"
Iki bisa uga mbutuhake ngisi formulir karo polisi lokal utawa nekani kantor imigrasi.,"travel
"
"Saben esuk, wong-wong ninggalake kutha cilik nganggo montor menyang panggonane nyambut gawe lan papasan karo wong sing panggonan nyambut gawene ana ning kutha cilik kuwi.","geography
"
"Menawa sampeyan ora biasa ngemudheni ing dalan-dalan desa,jaga akal sampeyan babagan sampeyan: tanjakan curam, dalan desa sing ciut, lan tikungan tajam akeh ana.","travel
"
"Wiwitan kendharaan sing dikenal iku mlaku, manungsa wiwit mlaku jejeg rong yuta taun kapungkur kanthi njedhule Homo Erectus (ateges manungsa sing mlaku jejeg).","science
"
Rencana operasi ganti kelamin Voyagers ing luar negri kudu dipesthekake dheweke padha nggawa surat-surat sah kanggo perjalanan mulih.,"health
"
"Ing kasus liya, mung wong sing nginep sak njabane akomodasi turis sing kudu ndaftar. Nanging, iki ndadekake aturane luwih ketutup, mula sampeyan temokake sakdurunge.","travel
"
Menawa lelungan menyang negara berkembang kanggo sing sepisan - utawa ing sisih anyar saka donya - aja ngremehake kemungkinan kaget babagan budhaya.,"travel
"
"Wong wadon: dianjurne kanggo marang wadon sing lelungan kanggo ngomong menawa dheweke uwis nikah, ora peduli apa status nikahe sing saktemene.","travel
"
"Layatan turis iku larang, sing butuh kasarasan, mung bisa ditindakake ing wulan Nopémber-Februari, lan angsring diwatesi ing Semenanjung, Kapulaoan lan Segara Ross.","travel
"
Kesah menyang panggonan kuwi bisa dicampur kanthi gampang nggunakake prau menyang tlaga.,"travel
"
"Tulung dieling-eling sampeyan biyasane ngunjungi panggon kuburan umum, uga panggon sing nduweni teges meh ora kaetung kanggo umume dedunung donya.","religion
"
Sampeyan kudu yakin nalikane tekan pelabuhan kabeh bakal dadi jelas. Sampeyan bakal nemoni wong liya kang nunut prau lan dheweke bakal mbagekake informasine marang sampeyan.,"travel
"
"Kajaba iku, kanthi duwe visa Schengen, sampeyan ora kudu njaluk visa menyang saben negara anggota Schengen, saéngga ngirit wektu, dhuwit, lan dokumen.","travel
"
Iki bisa dilakoni ing mobil biasa kanthi perencanaan sing ngati-ati nanging 4x4 iku disaranake banget lan akeh panggonan sing amung bisa diliwati nganggo basis roda dhuwur 4x4.,"travel
"
"Ing dalan sing lunyu amarga es lan kebak salju, gesekane sethithik lan sampeyan ora isa nyetir kaya menawa sampeyan ing aspal kosong.","travel
"
"Numpak taksi bebarengan iku cara sing cepet lan penak kanggo lelugan menyang panggonan sing cedhak, kayata Paro (Nu 150) lan Punakha (Nu 200).","travel
"
"Kembar Otter wis njajal ndharat ing Kokoda wingi nalika Maskapai Penerbangan PNG CG4684, nanging wis batal sepisan.","disasters
"
"Kreta turu wengi, paspor diklumpukke dening kondektur supaya ora kaganggu nalika sampeyan turu.","travel
"
