question,gpt_answer
"В соответствии с приведённым текстом, что из перечисленного не является верным советом для успешной игры на аккордеоне?",1
При игре на аккордеоне что из перечисленного поможет увеличить громкость?,1
Почему края изображения в телевизоре обрезаны?,2
"В соответствии с приведённым текстом, с какими из перечисленных проблем можно столкнуться при конвертировании фильма в формат DVD?",2
Где находился гарнизон англичан?,3
Чья подпись стояла на рукописном проекте?,4
Куда из перечисленных мест листовки Данлапа прибыли позже всего?,3
Где находились войска полковника Старка?,1
"В соответствии с приведённым текстом, когда люди Кларка продлили ограждение?",3
"В соответствии с приведённым текстом, что из перечисленного было одним из самых жестоких периодов в истории Китая?",4
"В соответствии с приведённым текстом, какое из утверждений о переходе колонии муравьёв-кочевников в кочевую фазу является верным?",2
"В соответствии с приведённым текстом, какое утверждение точно отражает то, как колонии муравьёв-кочевников стоят гнёзда во время кочевой фазы?",3
Что из перечисленного будет продолжаться даже при наличии внешних стимулов?,3
"Какой термин описывает особи, у которых проявляется вариативность определённого фенотипического признака?",4
"Какой из перечисленных терминов является правильным по отношению к организмам, занимающим определённую географическую область?",2
Что из перечисленного не является примером природного туризма?,3
"В соответствии с приведённым текстом, что из перечисленного является основой транспортной системы?",2
"Какой тип заряда имеют частицы, вращающиеся вокруг ядра?",3
Из каких частиц состоит ядро?,1
"В соответствии с приведённым текстом, что из перечисленного является примером пятибитного двоичного числа?",3
Как ещё называются двоичные цифры?,1
Что из перечисленного не упоминается в приведённом тексте как основное преимущество ведения блогов учащимися?,4
Какой из следующих аспектов ведения блогов упоминается как мотивирующий фактор для улучшения навыков письма учащимися?,2
Что из перечисленного не является преимуществом асинхронной связи для учащихся? ,2
"В соответствии с приведённым текстом, какой из перечисленных аспектов асинхронной связи не является гибким для учащихся?",3
"Что не упоминается в приведённом тексте как нечто, что можно ассоциировать со средневековыми замками?",1
"Что из перечисленного не упоминается в приведённом тексте как запах или звук, которые можно представить, находясь среди руин замка?",3
Что из перечисленного является точным описанием замка Кирби Муксло?,2
Какие из перечисленных конструктивных особенностей можно считать нетипичными для замка Кирби Муксло в описанный в приведённом тексте период?,1
"В соответствии с приведённым текстом, что из перечисленного наиболее эффективно для подготовки бегуна к предстоящему сезону?",4
"В соответствии с приведённым текстом, что из перечисленного наиболее важно для первоклассного бегуна на полмили?",2
Чего из перечисленного спортсмен не может достичь только за счёт питания?,3
С учётом приведённого текста что из перечисленного не рекомендуется молодым спортсменам для увеличения удовольствия от занятий спортом?,2
"В соответствии с приведённым текстом, почему бегун на средние дистанции может предпочесть покупать более дорогое оборудование?",1
"В соответствии с приведённым текстом, что необходимо для бега на средние дистанции?",3
Кто открыл ядерный магнитный резонанс? ,3
В каком году был выдан первый патент на использование МРТ в медицинских целях? ,2
"В соответствии с приведённым текстом, что люди должны хорошо понимать, чтобы интерпретировать физические действия других?",2
"В соответствии с приведённым текстом, чему способствует понимание чужих намерений?",1
"В соответствии с приведённым текстом, что из перечисленного является верным описанием основной задачи ИИ?",4
"В соответствии с приведённым текстом, с чем из перечисленного часто ассоциируется ИИ?",3
"В соответствии с приведённым текстом, что из перечисленного является сильной стороной людей с моделями конвергентного мышления?",4
"В соответствии с приведённым текстом, что из перечисленного не считается центром конвергентного образа мышления?",2
"В соответствии с приведённым текстом, что из перечисленного не считается микровыражением?",4
Какое из перечисленных утверждений об интерпретации микровыражений не является верным?,3
Что из перечисленного стало наиболее важным результатом Ренессанса? ,2
В результате Ренессанса что из перечисленного стало менее важным?,1
Что из перечисленного не отражает мотивацию использовать Интернет для долгосрочных контактов?,3
Что из перечисленного не отражает мотивацию использовать Интернет для персонального участия?,1
Когда Западная Европа перестала испытывать сильное иностранное влияние и начала развивать свой собственный стиль?,1
Результатом чего стало использование пуговиц для застёгивания одежды? ,3
"В соответствии с приведённым текстом, что из перечисленного считается эффективным долгосрочным решением экологических проблем?",3
"В соответствии с приведённым текстом, какие из перечисленных решений не считаются устранением симптоматики экологических проблем?",2
"В какой стране в Европе была первая война, в которой ключевой проблемой стало равновесие власти, а не религиозный контекст?",4
Какая война иногда описывается как последняя «религиозная война»?,1
Какой из перечисленных аспектов католической церкви не был объектом пристального внимания?,2
"В соответствии с приведённым текстом, кто был убит в Версале?",4
К чему из перечисленного король и королева не были принуждены толпой?,3
Что из перечисленного не было результатом использования Британией нетрадиционных методов ведения войны на море?,3
Какое из утверждений не описывает точно морскую блокаду Германии со стороны Британии?,4
С учётом приведённого текста для кого наиболее вероятен диагноз «рассеянный склероз»?,1
