question,gemini_answer
"D’après l’extrait, qu’est-ce qui ne pourrait pas être considéré comme un conseil pertinent pour bien jouer de l’accordéon ?",1
"Lorsque vous jouez de l’accordéon, laquelle des informations ci-dessous permet d’augmenter le volume ?",4
Pourquoi les bords des images sont-ils coupés sur les télévisions ?,2
"D’après l’extrait, lequel des problèmes ci-dessous êtes-vous susceptible de rencontrer lors de la conversion d’un film en format DVD ?",2
À quel endroit une garnison britannique était-elle située ?,3
Par qui le projet manuscrit a-t-il été signé ?,4
"Parmi les lieux ci-dessous, lequel est le dernier à avoir reçu un « Dunlap Broadside » ?",3
Où les troupes du colonel Stark étaient-elles situées ?,1
"D’après l’extrait, à quel moment les hommes de Stark ont-ils agrandi leur clôture ?",3
"D’après l’extrait, laquelle des époques ci-dessous a été l’une des plus violentes de l’histoire de la Chine ?",4
"D’après l’extrait, que peut-on dire d’une colonie de fourmis légionnaires qui entre dans une période nomade ?",2
"D’après l’extrait, laquelle de ces affirmations reflète correctement les habitudes des fourmis légionnaires en matière de nids pendant une période nomade ?",3
Lequel des phénomènes ci-dessous continuera malgré la présence de stimuli externes ?,3
Quel terme est utilisé pour décrire des individus qui présentent plusieurs variantes d’un trait phénotypique particulier ?,4
"Parmi les termes ci-dessous, quel est le terme exact pour désigner des organismes occupant une zone géographique donnée ?",2
Lequel des exemples ci-dessous ne constitue pas un exemple d’activité écotouristique ?,1
"D’après l’extrait, lequel des éléments ci-dessous constitue la base du système de transport ?",2
Quel type de charge les particules en orbite autour du noyau possèdent-elles ?,3
De quelles particules le noyau est-il composé ?,1
"D’après l’extrait, lequel des nombres ci-dessous est un exemple de nombre binaire à cinq bits ?",1
Comment appelle-t-on également les chiffres binaires ?,1
"Parmi les avantages ci-dessous, lequel n’est pas mentionné dans l’extrait comme étant un avantage principal de la rédaction de blogs par les étudiants ?",2
"Parmi les aspects liés à la tenue d’un blog ci-dessous, lequel est cité comme étant une motivation pour qu’un étudiant améliore ses compétences en rédaction ?",2
Lequel des éléments ci-dessous n’est pas un avantage lié à la communication asynchrone pour les étudiants ? ,2
"D’après l’extrait, lequel des aspects de la communication asynchrone ci-dessous n’est pas flexible pour les étudiants ?",4
