text,gemini_reply
"Metroplus kafisa katèmè ani atéfala té nga asongon katcha, ali ni a songon kanogoh katèmè térén biyéw kan faragbè djamananw la.","politics
"
Nin béssé ka kè ibe taga sèbèri kè sèbè dô kan kunda policiso la walima n'i tagara immigrasson birow la.,"travel
"
"Lon o lon sôgoma, môgôw mobiliw kônôn bé djaman dôgô dougouw bila ka taga o ya baarakèyôrô la ani ka timi dôw fè minu ya baara tagayôrô bé siguiyôrô yé o yé yôrô mine bila para.","travel
"
"Ni ma degui mobili bori kèla toukônon siraw kan ihakili malô: souli rôssamaniw, sira déniw, kourouda lerou i acha.","travel
"
"Tagama kèféng djonan mi lôni lètè tagama sénayé, môgô na wiri kanlô tagama daminana o miiliyon fila léni ni Homo Erectusi koung bôliyé (ko, mi lôni ki télé.","science
"
"Tagamalaw miw yé ka ahi gnètô yôrô yèrèman opération lôgôla djamana gbèrè kônon, kan ka ahi yèrè la sabati ni sèbè gnanama ahi ségui touma ra.","politics
"
"Boro gbèrèw kôrô, môgô miw té djadélôgôlôlaw chiyôrôwla donron lé bé tôgôssèbè kè. N'ga, obé sariya tô ladibi, ola i yé gninigalikè ka a vtchogolon ban.","politics
"
Ni I boko folo le kata djamana yiriwabali konnon tari kata dounougnan fan koura la I kana toloke tagabolow ni kewaliw yelemalila.,"politics
"
"Mousso: O bè lali ko mousso mou yé voyagéla ba fola koo frou ni lo, otè frou akiri kôrôssi là.","travel
"
"Turisiya songon ka tcha, wajibi yékè fari fanga tigui ye, abé kèla téréma Nov-feb tuman dron nela, nga abe dan na Peninsula ani Islandi ani Rossi kôgôji le man.","travel
"
"Ka taga yôrô ola ani ka kouroun tâ ka taga badala, o fla bisse ka kè gnogonfè.","travel
"
"Sabari, a kè yomi y bè taga la bo kaburu so ba do lé la, walima yoro mi ni a koro ka bo dounougnan djaman kélé na.","religion
"
Aya bla akonnon ko ni a séla Les Maina la ko bé na gnannabô a gnan kôrô. A bé nan môgôdôhou yé mimobiri tiguihou lalô ko fô oman ko obé odjigui oya yôrôla ani o bénan kounafoni tlan na yé.,"politics
"
"A tchogoya kele, Schengen wiza sôrôli, i mako té ka wizaw gnini Schengen tôndén djamanaw kele kele fè damana, o la wakati tangali, wari ani papiye baara.","travel
"
Mi béssé kè môbili gbanzan nô ni hakili ma borolayé n'ga katikati lé kofôni kosôbè ani yôrô chamanw béssé lassôrô ni dôron ni môbili sén na wirini yé mi badjou kati kati yé.,"travel
"
"Mobiri teme sira galasikuru laman, frictioni la souman, ani i téssé la mobiri bori gudoronfin kon peresijonin kan.","technology
"
"Mogo tchaaman yé taxi miw ta la, wi yé taxi le yé mi ka téli ani mi la foni ni yoro sourouni tagama ro, yo Paro (Nu kêmê ni bilorou) ni Punakha (Nu kêmê fila).","travel
"
"Twin Otter tun be fɛ ka jigi Kokoda kunu komi Airlines PNG Flight CG4684, o bɛɛ n'a taa a tun ka weleku siɲɛ kelen kaban.","disasters
"
"Soufe sissikurun konon, koudigui tche be se ka passipori be minan zango machi ka na toro a ya sounogo ra.","travel
"
"pɔɔn kan ka bara kɛ kɔsɔbɛ san 2017 sumamɔkalo la, tuma mi o be na ban Beresili mɔgɔw ya sɛgɛsɛgɛliyɔrɔ lɔ la.","disasters
"
