question,gpt_answer
"Kaluwore gi sigana ni, inyalo wacho ni en wach mane ma okber ka inyiso ng’ato mar mondo mi ogoo accordion eyo mowinjore?",4
"E seche ma itugo accordion, en ang’o kuom magi mabiro konyi imed dwol?",2
Ang’o momiyo pichni e wang’ jowi ing’ado ga bethegi?,2
"Kaluwore gi sigana ni, gin chandruoge mage ma ng’ato nyalo yudo kinde ma oloko sinema mondo obedi e yor DVD?",1
Kambi mar jolweny Ingeresa ne nitie kanye?,3
En kogno mar ng’a mane nitie e kopi mokwongo mar otas manondik gi lwedo?,1
"Kuom kuonde gi, en kanye mane Dunlap broadside ochopoe mogik?",3
Jolweny mag Kolonel Stark ne ogoyo dak kanye?,1
"Kaluwore gi sigana ni, joge Stark ne ochoro chiendgi karang’o?",3
"Kaluwore gi sigana ni, en kinde mane kuom magi mane piny China okaloe tulo ahinya?",4
"Kaluwore gi sigana ni, en wach mane ma en adier kuom anyuola mar ochunglo madonjo e kidieny mar nomad?",1
"Kaluwore gi sigana ni, en wach mane manyiso adier kuom timbe mag gero udi mag jolweny magin ochunglo e kidieny mar nomad?",3
En mane kuom weche gi mabirodhi nyime gi luorore kata onge teko ma omed gi?,3
En wach mane malero jogo manyiso kido mopogore mag kit chwech moko mag del?,4
En wach mane ekind magi malero adier mar kit chwech modak e aluora moro?,4
En mane ekind magi ma oken ranyisi mar gigo ma itimo kuonde neno chwech mag piny mapile?,3
"Kaluwore gi sigana ni, en mane ekind magi ma en yorno mar wuoth?",3
Ng’injo matindo ma oluoro niuklia ni kod kido mane mar teko sitima?,1
Niuklia olosi kod ng’injo mage?,1
"Kaluwore gi sigana ni, en namba mane ekind magi ma en ranyisi mar namba mar bainari manigi bits abich?",3
Namba ma opog diriyo bende iluongo ni?,1
En mane ekind magi ma okotuom nyinge e sigana ni kaka ber mar ndiko blog mar japuonjre?,1
En wach mane ekind magi moluwore gi ndiko blog ma owachi kaka gino mamiyo jopuonjre mijing’o mar mendo ojusi margi mar ndiko?,1
En mane ekind magi ma oken ber mar yor tudruok ma ok tim e kinde maromre ne jopuonjre? ,2
"Kaluwore gi sigana ni, en wach mane mar yor tudruok ma oktim e kinde maromre ma oken mowinjore gi jopuonjore?",1
En ang’o ma okotuom e sigana ni kaka gino ma ng’ato nyalo tudo kod udi ruodhi machon?,3
