text,gemini_reply
"MetroPlus xe pí confortevołe e manco afołà ma legermente pí costoso, anca se l’è uncora manco caro dei normałi biglieti deła metro in Europa.","travel
"
Questo el podaria inplicar el rienpir un formułario co ła połisia locałe o na visita ai ufici de l’imigrasión.,"politics
"
Ogni matina a xente va via in machina dai paeséti de canpagna pa ‘ndàr a laorar e vien passài da altri che va lavorar dove łori xe péna ‘ndài via.,"geography
"
"Se no te si abituà a guidar su łe strade de campagna, sta tento a te steso: pendense importanti, corsie strete e curve seche łe predomina.","travel
"
"El primo mèzo de trasporto xe stà i pìe, i omeni ga tacà a caminàr in pìe do mijoni de anni fa quando xe vegnù fòra l’Homo Erectus (che significa omo en piè).","science
"
I viajatori che i pianifica el cambio de seso a l’estero i ga da asicurarse che i se porte drio documenti vałidi pal ritorno.,"health
"
"In altri casi, soło che quei che sta al dí fora dei aloji turistici i ga da registrarse. Questo in ogni caso el rende ła leje manco chiara, quindi informate prima.","travel
"
Se te viaji su un paese in via de sviłupo pa ła prima volta - o su na nova parte del mondo - no sta sotovałutar ła potensa del shock culturałe.,"travel
"
"Femene: mèjo che tute łe femene che viaja dise de essar sposàe, no inporta se xe vero o no.","travel
"
"E visite turistiche xé càre, fadigose, xé pol far sol che d’istà da novembre a febraro, e sol che soa penisoła, e isołe e el mare de Ross.","travel
"
‘Na visita su ‘sto posto pol essar ben conbinada co un giro in barca sul lago.,"travel
"
"Te si pregà de ricordar che ti xe esensialmente drio visitar na fosa comune, e anca un sito che el ga un significato incalcołabiłe pa na gran parte deła popołasión mondial.","geography
"
Stà tranquiło che na volta rivà ała darsena tuto sarà ovio. Te incontraré altri “autostopisti de barche” e i condividarà queło che i sa co ti.,"travel
"
"Al steso modo, avendo un visto Schengen, no te ghe da far domanda de visto pa visitar ogni membro Schengen separatamente, sparagnando quindi tempo, schei e scartofie.","travel
"
"‘Sta roba se pol farla co ‘na machina normałe stando atenti, ma ‘na 4x4 xe tant mèjo parché in tanti posti se pol ‘ndàrghe soło co un 4x4.","geography
"
"Nełe strade giasae e inevae, el grip el xe baso e no te poł guidar come se te fusi su l’asfalto.","travel
"
"I taxi condivisi xe un mèzo de trasporto vełoce e comodo pa ‘ndàr in posti vissini, come Paro (Nu 150) e Punakha (Nu 200).","travel
"
"El Twin Otter ga sercà de ateràr a Kokoda ieri come Airlines PNG Flight CG4684, ma gaveva zà rinuncià ‘na volta.","disasters
"
Nei treni noturni i pasaporti i poł esar racolti prima dal condutor cusita che no te gapi da interompar el sono.,"travel
"
"El ponte l’è operativo da setembre 2017, co i punti de controło deła dogana brasiliana i xe stai finíi.","geography
"
Nisuna compagnia ła cuerxe tuti e tre łe traversae oceaniche ne l’Emisfero Austral (e ła SkyTeam no ghin cuerxe nisun).,"travel
"
Fintanto che ti sta in sta zona te poł generalmente traversar i confini sensa farte controłar el pasaporto.,"geography
"
"Anca se te podarisi pensar che xe intuitivo scegliar queło de ła compagnia aerea co cui te vołi de pí , te dovarisi saver che i privileji che i ofre i xe spesso diversi e i punti Frequent Flyer podaria esar pí generosi co n’altra compagnia aerea a l’interno deła stesa aleansa.","travel
"
"Soło serte compagnie aeree łe ofre ancora tarife de luto, che łe sconta legermente el costo dei viaji de l’ultimo minuto pa un funerałe.","travel
"
I turisti pol visitar diversi luoghi sinbołici de un particołar paese o i pol soło concentrarse su un’area e basta.,"travel
"
"Bowen Island ła xe na gita popołare o na escursión de un fine setimana che ła ofre giri in kayak, negosi, ristoranti e altro.","geography
"
"Viajar co l’aereo poł esar na esperiensa spaventosa pa łe persone de tute łe età e origini, particołarmente se no łe ga mai viajà prima o se łe ga avuto na esperiensa dramatica.","travel
"
"In breve, doparar ła to machina xe un gran modo de far un viajo ma raramente un modo de “canpegiar”.","travel
"
Ła registrasión ła xe un requisito adisionałe pal proceso de otegnimento del visto. In serti paesi te ghe da registrar ła to prexensa e l’indiriso de dove che te starè preso łe autorità locałi.,"travel
"
I corsi d’àcua interni i poł esar un bon tema intorno a cui basar ła propria vacansa.,"travel
"
"Curate de chealtri - No sta mai perdar de vista łe to borse, specialmente quando che te si drio traversar i confini internasionałi.","travel
"
I vichinghi i doparava i corsi d’àcua rusi pa rivar al Mar Nero e al Mar Caspio. Parte de ste vie ła poł uncora esar doparada. Controła se serve permesi speciałi che podaria esar difisiłe da otegnar.,"geography
"
"Specialmente nei to primi giorni, pensa a spendar bastansa in hotel ocidentałi de alta quałità, cibo e servisi pa jutarte a ambientarte.","travel
"
I citadini cubani che xe in posèso dea carta verde dei Stati Uniti ga da ‘ndàr in un Consołato de l’Ecuador pa vér l’esension de ‘sto requisito.,"politics
"
"Se se speta che ła majór parte dei eventi i costarà da 2.500 a 130.000 yen, co el biglieto tipico che se vendarà pa 7.000 yen.","sports
"
I viajatori che vien da paesi co imposte altre dełe volte i poł sparagnar na bona quantità de schei specialmente pa prodoti fa łe bevande alcołiche o el tabaco.,"travel
"
Daghe anca ai to compagni de viajo o a consorti e parenti che voł jutar i contrati e i contati.,"business
"
"L’Europa ła xe un continente rełativamente ceo ma co tanti paesi indipendenti. In circostanse normałi, viajar atraverso diversi paesi implicaria aver da inviar tante richieste de visto e farse controłar el pasaporto in tante circostanse.","travel
"
"Sirena ła xe ła soła stasión dei ranger che ła ofre un posto leto e pasti caldi oltre al campejo. La Leona, San Pedrillo e Los Patos i ofre soło che el campejo sensa servisio cibo.","geography
"
"I tour i xe pí economici pa i grandi grupi, quindi se te si da soło o soło co un amigo, prova a incontrar altra xente e formar un grupo da cuatro a sie persone pa na tarifa pa persona mejo.","travel
"
Te dovarisi scegliar el to programa aereo Frequent Flyer atentamente.,"travel
"
"Se el paese che te visitarè el deventa sojeto a un’alerta de viajo, ła to asicurasión de viajo o ła to asicurasión de canceasión podaria subir conseguense.","travel
"
Entrar dentro ła to machina e partir pa un longo viajo in machina ga un fascino intrinseco neła so semplicità.,"travel
"
"Curiosamente, comunque, el canpo del tełefono el xe tanto pí forte qua che in altri trati de l’itinerario, tipo nełe Pennsylvania Wilds.","geography
"
"I ampi viałi, edifici co vetrate e centri comerciałi moderni i xe puntejai da teti tradisionałi co i copi rosi, el marcà del XVIII secoło, e vece moschee e cése, anca se ła cità ła ga na atmosfera pí de l’Europa mediteranea che deła Turchia tradisionałe.","geography
"
"Gerusałeme ga tanti siti storici, archeołogici e culturałi, asieme a centri comericiałi vivaci e afołati, bar e ristoranti.","geography
"
"Ogni anno, doxine de visitatori i se fa małe parché no i ga tegnesto na distansa apropriada. Sti animałi i xe grandi, selvareghi e potensialmente pericołosi quindi asaghe el so spasio.","travel
"
Asicurate de saver queło che te poi e no te poi portarte drio e de dichiarar qualsiasi roba sora i limiti legałi.,"travel
"
Turkish Airlines ła voła fin a 39 destinasión in 30 paesi africani (daché 2014).,"travel
"
"‘na nave antimine dea classe Avenger, ła nave gera in drìo ‘ndàr a Puerto Princesa a Palawan.","disasters
"
Na rete de scambio de ospitałità ła xe l’organixasión che ła conete i viajatori co i residenti dełe cità che i ‘ndarà visitar.,"travel
"
"Dato che i bus interdistretuałi xe spesso pieni, xe mèjo conprar el bijeto un fià de jorni prima.","travel
"
I deinise itinerari anca pa ciclovie o percorsi escursionistici popołari.,"travel
"
"Come in tutu i Parchi Nassionai del Sudafrica, ghe xe dee tarife giornałiere de entrata al parco e conservasion.","travel
"
"Sta comunità carateristica ła se trova neła Howe Sound giusto fòra Vancouver, e ła xe ragiungibiłe facilmente coi taxi acuatici regołari che parte da Granville Island in centro Vancouver.","geography
"
"Parché i mèzi de trasporto fa vegnèr fòra cussì tante lamentełe, parché i ga problemi ogni jorno? Gli ingenieri dei trasporti no i capisse gnent? O ghe xe calcossa de pì fondamentałe che sucède?","travel
"
"La cità xe subito in parte ae cascate, che xe l’atrasion principałe, ma ‘sta famosa meta turistica ofre a chi che serca aventure e a chi che vol vardàr e basta dee oportunità pa un sogiorno pì longo.","travel
"
Łe crociere pa San Pieroburgo łe include del tempo in cità. I pasejeri dełe crociere i xe exentai dała richiesta de visto (controła el regołamento).,"travel
"
Ogni modifica o richiesta comunque ła gavaria da pasar prima da l’agente e no diretamente co l’hotel.,"travel
"
Pí de 60 navi da crociera łe traversa łe aque dełe Galapagos - co na grandesa tra i 8 e i 100 pasejeri.,"travel
"
Se uno va inte un posto par conossar a so storia e a cultura eora ‘sto tipo de turismo xe el turismo culturałe.,"travel
"
"Intorno ała vecia Medina xe fazie trovar posti che vende roba tradisionałe marochina come tajine, ceramiche, roba de pèe, narghilè e tuta ‘na serie de strafanti, ma xe tuta roba pa turisti.","travel
"
I viaggiatori par cui xe sta fasie adatarse ała nova cultura dełe volte i trova difisie riadatarse ała sò cultura originaria.,"travel
"
Pressapoco dièse minuti prima de far el secondo tentativo el xe sparìo.,"crime
"
L’Ecuador richiede ai citadini de Cuba che i riceve ‘na letera de invito prima de entrar in Ecuador traverso i aeroporti internasionałi o ai punti de ingreso de frontiera.,"politics
"
"Anca se ti xe drio guidar atraverso ła foresta pluviałe subtropical, qualche secondo co łe porte verte fin che te entri dentro ła machina l’è bastansa parché łe xanxare łe entre nel veicoło co ti.","nature
"
Ai pasegeri i ga dato de l’acqua mentre che i spetéa al caldo co 90 gradi (F).,"travel
"
Comunque questo no dovaria preocuparte parché speso i turisti i xe ingrumai pa riempire i veicołi.,"travel
"
"Vivere e far vołontariato su un paese straniero xe un gran modo de conosar na cultura diversa, conosar nove persone, imparar su de ti steso, farse nove prospetive e parfin acquisir nove competense.","travel
"
"Łe agensie de viajo tante volte i ga convensión co specifici alberghi, anca se ti pol prenotar altri posti dove dormir, come i campeji, sempre co 'n'agensia de viajo.","travel
"
"Serte crociere łe mostra Berlin, Germania, nełe brochure. Come che te poł vedar dała mapa, Berlin no xe par niente visin al mar e na visita ała cità no ła xe conpresa nel presso deła crociera.","travel
"
Prenotar in anticipo ghe dà al viajator ła sicuresa e ła tranquiłità che ghe sarà un posto da dormir quando che i riva ała so destinasión.,"travel
"
"Spiaje, parchi tematici e canpeji spesso xe posti frequentài da turisti ricreativi.","travel
"
"Par quełi che xe disposti a sacrificar el comfort, el tempo e ła prevedibiłità pa sbasar łe spese fin quasi al xero, daghe na ociada al viajo co budget minimo.","travel
"
"Se ti ga tempo de viajo in pi, controła se ła tarifa total pa l’Africa ła xe simiłe a una pa’l giro del mondo.","travel
"
"I agenti de viajo speso i ofre pacheti che i include cołasión, opsión de trasporto da/a l’aeroporto o parfin pacheti combinati de voło e hotel.","travel
"
L’aereo gera direto a Irkutsk e gera piłotà da trupe interne.,"disasters
"
"Có te torni casa dopo aver vissuo via, te te si adattà aa nova cultura e te ghe perso qualcuna dełe tò abitudini de ła tò cultura antiga.","travel
"
Questo voł dir che te poł visitar el centro storico pa un par de di tornando e dormendo neła nave de note.,"travel
"
L’architetura ła riguarda ła progetassión e ła costrusión dei edifici. L’architetura de un posto spesso ła xe na atrasión turistica in se stessa.,"travel
"
"Łe compagnie che li ofre łe include Air Canada, Delta Air Lines, Luthansa pa i viaji che parte dai Stati Uniti o Canada, e WestJet.","travel
"
"Un checkpoint de imigrasión l’è normalmente el primo stop co te smonti da un aereo, na nave o n’altro veicoło.","politics
"
"Serti hotel i ga l’eredità de l’età d’oro dełe ferovie a vapore e dei transatlantici; prima deła Seconda Guera Mondiałe, nel XIX o primo XX secoło.","travel
"
Goma xè na çità turistica dea Republica Democratica del Congo a l’estremo est viçìn al Ruanda.,"geography
"
‘Sti requisiti xe fatti par dar un fluso migratorio organisà tra i do paesi.,"politics
"
"Anca se łe xe pí cèe, łe ghe ricorda a serti visitatori e Hawaii prima che łe deventase un stato americàn co tuti i hotel pieni de turisti e altri sviłupi.","travel
"
"El turismo basà sua natura ghe piase ae persone interesae a visitar aree naturałi al scopo di goderse il paesagio, conpresa a fauna e a flora.","travel
"
"Da chealtro lato, łe condisión de neve e giaso łe xe normałi in tanti paesi, e el trafico el continua ininteroto tuto l’anno.","geography
"
