question,gpt_reply
"Passage ke hisab se, accordion ache se bajaane ki kaun si sabse sahi tip nhi kehlayegi?",A: Zyada aawaaz ke liye kunji ko zyada dabaav ke sath dabaayein
"Accordion bajate hue, inmein se kya volume ko badhane mein madad karega?",B: Zyada dabaav
Television par dikhne wali images ki seemaayein kyu cut jaati hain?,B: Image puri screen par dikhe
"Passage ke hisaab se, movie to DVD format mein badalne mein kisi bhi vyakti ko inmein se kaun si dikkat aa sakti hain?",B: Aadhe cut hue subtitles
British garrison kahan istith tha?,C: Bordentown
Hath se likhe masaude par kiske hastakshar kiye gaye the?,D: Charles Thomson
Di gayi location mein se Dunlap broadside aakhiri baar kahaan pahuchi thi?,C: London
Colonel Stark ke sainikon ka morcha kahan maujood tha?,A: Uttari chor par baad ke saath
"Passage ke anusaar, Stark ke admiyoon ne baad ko aage badhaya?",C: Kaam bahav ke dauraan
"Passage ke anusaar, inmein se kaun sa yug Cheen ka sabse khooni yug tha?",D: Three Kingdoms wala yug
Passage ke anusaar inmein se kaun si chiz chintiyon ki fauz ke khanabadosh charan mein ane ke lihaz se shi hai?,B: Unke pas khane ki kami hoti hain
Passage ke anusaar kaun sa kathan chintiyon ki fauz ke khanabadosh charan ke dauran unki ghonslein banane ki aadat ko sabse sahi se dikhata hai?,C: Veh pratidin ghonsla badalti hain
Baahari sanketon ki mauzudgi ke bavjood inmein se kaun sa jaari rahega?,C: Jaivik ghadiyon
Kaun sa shabd kuch khas phenotypic visheshta ke kayi roop darshata hai?,D: Polymorphic
Inme se kaun sa un jeevon ke liye shi shabd hai jo kisi vishesh kshetra par kabja kar lete hain?,"The correct answer is:

B: Jansakhya"
Inme se kaun sa prakrti-aadharit paryatan gatividhi ka udaaharan nhi hoga?,"C: Science museum ka daura

Science museum ka daura prakriti-aadharit paryatan gatividhiyon ka udaaharan nahi hoga, kyunki ye gatividhiyan vaakya mein ullekhit prakritik drishyon, paudhe, pashu vanyajeev aur paaristhitik tantra se sambandhit nahi hai."
"Passage ke hisab se, inme se kaun parivahan pranali ka aadhaar hai?",B: Nijee cars
Naabhik ki parikrama karne vaale kanon me kaun sa aavesh hota hai?,C: Nakaratmak aavesh
Naabhik kin kanon se bana hota hai?,A: Protons aur neutrons
"Passage ke hisab se, inme se kaun sa paanch bit binary number ka udaaharan hai?","The correct answer is C: 10010. 

A five-bit binary number consists of five binary digits, each of which can be either 0 or 1. Option C (10010) is the only option that fits this criterion."
Binary ankon ko aur kya kha jaata hai?,A: Bits
Chhaatr bloging ke prathmik labh ke roop mein inme se kiska ullekh passage me nhi kiya gya hai?,"D: Nirantar seekhane ki ichchha mein vraddhi

The passage does not specifically mention an improvement in the continual desire to learn as a primary benefit of blogging for students."
Bloging ke kis pahlu ko chhaatron ke lekhan kaushal mein sudhaar ke liye prerak btaya gya hai?,B: Aalochna se bachne ki chaahat ko
Inme se kaun sa chhaatron ke liye atulyakaalik sanchaar ka laabh nhi hai? ,B: Kisi bhi samay shikshakon se milne ki suvidha
"Passage ke hisab se, atulyakaalik sanchaar ka inmemein se kaun sa pahaloo chhaatron ke liye apnane yogya nhi hai?",C: Shikshan samgree
Passage me kis cheez ka ullekh kisi aesi cheez ke roop mein nhi kiya gya hai jise koi madhya-yugeen quile se jod sakta hai?,D: Shoorveer
Inme se kiska ullekh passage me gandh ya dhvani ke roop mein nhi kiya gya hai jise quile ke khandaharon ke beech mahsoos kiya ja sakta hai?,C: Daawat
Inme se kaun Kirby Muxloe quile ka sateek varnan hai?,B: Nirmaan ke samay desh me shaantipoorn sthiti hone ke kaaran ise nyoonatam quile-bandee ki jarurat thi
Passage me btayi gyi avadhi ke dauraan inme se kaun si nirmaan visheshta Kirby Muxloe quile ke liye asaamanya mani jayegi?,A: Badi khidkiyan
"Passage ke hisab se, aane wale seezan ki taiyai kar rhe runner ke liye inme se kya chiz sbse adhik phaydemand hogi?",D: Shareer ke upari hisse ki kasarat ke liye gym ka upayog karna
"Passage ke hisab se, aadha-mile daudne wale first-class runner ke liye sabse mahatvapurna chiz kya hai?",B: Gati se jyada strength par dhyan dena
"Ek athelete ke liye, inme se kaun si chiz sirf pooshan se prapt nhi ki ja sakti?",A: Behtar Pradarshan
"Passage ke hisab se, yuva athlete ko apne khel me jyada aanand pane ke liye inme se kya nhi karna chahiye?",B: Lagatar vishisht pradarshan karna
"Passage ke hisab se, madhyam duri ka runner adhik mahnga upakaran kyon khareed sakta hai?",A: Ye unki apni ichcha hai
"Passage ke hisab se, madhayam duri ki running ke liye kya jaruri hai?",C: Bhut kam upakaran
Paramaanu chumbakeey anunaad ki khoj kisne ki? ,C: Bloch aur Purcell
Medical imaging resonance ka pahla patent kis varsh kiya gya tha? ,B: 1974
"Passage ke hisab se, doosaron ke shaareerik kaaryon ki vyakhya karne ke liye manushya ko kis cheez ki gahri samjh honi chahiye?",B: Irada
"Passage ke hisab se, irade ko samjhne se manushya ko kya karne me madad miltee hai?",A: Shaareerik kriyaon ke peechhe ki anishchitata ko door karne me
"Passage ke hisab se, inme se kaun sa AI ka mukhya uddeshya hai?",D: Karya swachalit karna
"Passage ke hisab se, inmein se kiske saath AI ko joda jaata hai?","B: Plan karna aur schedule karna  
D: Haath se likhe hone ki pahchaan karna"
"Passage ke hisab se, inmein se kaunsa sammilit soch pattern waale ki khoobi hai?",D: Pattern ko yaad rakhna
"Passage ke hisab se, inmein se kya sammilit soch ki maansikta ka lakshya nahi hai?",B: Samay lena
"Passage ke Hisab se, inmein se kya micro-expression nahi maana jaayega?","D: Thumb’s up ka ishara karna

Micro-expressions are involuntary facial expressions that occur within a fraction of a second, revealing genuine emotions. The options listed as A, B, and C involve involuntary or subtle facial movements that can be categorized as micro-expressions. However, ""Thumb’s up ka ishara karna"" is a voluntary and conscious gesture rather than a facial expression, and thus does not qualify as a micro-expression."
Micro-expressions ke baare mein Inmein si kaunsi baat sach nahi hai?,"C: Speech ke saath-saath chehre ke expression ki vyakhya ki jaati hai

Statement C is not mentioned in the context provided. The focus is on micro-expressions and their interpretation, particularly through video recording, to understand honesty or detect deceit, rather than the simultaneous interpretation of speech and facial expressions."
Inmein se kya punarjagaran ki wajah se mahatvapurn ban gaya? ,B: Gyaan ka prasaar
Punarjagaran ki wajah se inmein se kis par kum dhyaan diya gaya?,A: Vyaktigat taur par yaad karna
Inmein se kya satat sambandhon ke liye internet ke prayog ki aham wajah nahi hai?,C: Yatra par research karna
Inmein se kya niji bhagidari ke liye internet ke prayog ki aham wajah nahi hai?,A: Kisi vyanjan ko banane ka tareeka dekhna
Paschimi Europe ne kab baahari baaton se prabhavit hona band kiya aur apni khud ki shally viksit ki?,A: Madhya yug ke ant mein
Kapadon ko baandhne ke liye button ka upayog kiska natija tha? ,C: Dharmyuddh
"Passage ke hisab se, paryavaran muddon ka inmein se kya lambe samay waala vyavharik hal hai?",C: Samasyaon ki wajah ki pehchaan karna
"Passage ke hisab se, inmein se kaunsa samadhan paryavaran samasyaon ke liye rogsoochak upchaar nahi maana jaayega?",B: Samasyaon ki mool wajah ko khatm karna
Kis desh mein Europe ka pehla yuddh hua tha jiska mool mudda dhaarmik ki jagah shakti santulan sthapit karna tha?,D: Spain
Kis yuddh ko kabhi-kabhi antim ‘dharmik yuddh’ kaha jata hai?,A: Tees Saal ka Yuddh
Catholic Chruch ki inmein se kis baat par jaanch nahi hui?,B: Kya dharm ke mukhya siddhant mein badlaav karna chahiye
"Passage ke hisab se, Versailles mein kaun maara gaya tha?",D: Angarakshak
Bheed ne raja aur rani ko inmein se kya karne ke liye majboor nahi kiya tha?,C: Guard ka sir katta hua dekhna
Inmein se kya Britian ke alag nausena yuddh ka parinaam nahi tha?,"C: Antarrashtriya kanoon mein badlaav

Britain ki samudri gherabandi ke parinaam ke roop mein antarrashtriya kanoon mein turant koi badlaav nahi kiya gaya tha. Baaki ke vikalp, jaise ki Germany ki samaan yuddh niti apnaane ki ichchha, jo jahaaz shaamil nahi the unhe khatre mein daalna, aur aham apoorti pahunch se baahar hui, sab Britain's naval blockade ke parinaam the."
Inmein se kaunsi baat Britian dwara Germany ki samudri gherabandi ko nahi darshati hai?,"D: Isne pakka kiya ki neutral ships ko khatra nahi hoga

Yeh baat Britain dwara Germany ki samudri gherabandi ko darshati nahi hai, kyunki samudri gherabandi ke dauran Britain ne antarrashtriya jal ka khanan kiya, jisse neutral ships ko bhi khatra tha."
"Passage ke hisaab se, Multiple Sclerosis ki pareshani ki sambhavna kise sabse zyada ho sakti hai?",A: 32 saal ki ek aurat
"Passage ke hisab se, niyamit gatividhi mein hissa lene wale logon ko kis cheez ke liye sabse zyada madad ki zarurat padti hai?",A: Dard ke baare mein nakaratak soch
"Passage ke hisab se, aam taur par talvaarbaazi kaise ki jaati hai?",D: Duel roop mein
"Passage ke hisab se, Andruni vishaaktata ki sabse badi pehchaan inmein se kya hogi?",D: Prescription ki goli ki bottle
"Passage ke hisab se, kisi peedit ki halat jaanchte samay sabse pehle kya karna chahiye?",A: Ghatna ko baariki se dekhein
"Peedit ko dekhne ki prakriya mein, yahan bataaya gaya kaunsa kaam nahi karna chahiye?","A: Apni khud ki choton ko lekar pareshan na ho

यह विकल्प गलत है क्योंकि अपनी सुरक्षा का ध्यान रखना अत्यधिक महत्वपूर्ण है। यदि आप खुद को खतरे में डालते हैं, तो इससे स्थिति और भी खराब हो सकती है। इसलिए, पहले स्थान की सुरक्षा सुनिश्चित करना प्राथमिकता होनी चाहिए।"
French Revolution se shuru hue kin badlaavon ka shramik varg ke naagarikon par gehra asar pada hai?,"B: Class ke bajaay kabiliyat par gaur kiya ja raha hai

French Revolution ne yeh badlaav kiya ki vyaktiyon ki yogyata aur kabiliyat par dhyaan diya jane laga, jo ki shramik varg ke naagarikon par gehra asar daalne wala badlaav tha."
"French Revolution ke baad, military aur anya kaamon mein, safalta milne ka paimana kis cheez par sabse kam aadhaarit tha?","B: Varg

The passage indicates that after the French Revolution, success in military and other endeavors was less based on social class (""varg"") and more on merit (""yogyata"")."
Vikasit deshon mein kaun si saarvjanik seva ki wajah se log sabse zyada nakhush hote hain?,C: Saarvjanik parivahan
"Diye gaye passage ke hisab se, public transportation systems ke baare mein kya kaha ja sakta hai?",C: Ve log unki bahut burai karte hain jo un systems ko istemaal karte hain
"Passage ke hisab se, drivers ki apratyaashitata ki wajah se kis baat ka aaklan karna sabse mushkil ho sakta hai?",D: Traffic ka flow
"Traffic ki speed ka andaza lagaate samay, inmein se kis cheez ka istemaal kiya jata hai?",D: Traffic kitna hai
Hershey aur Chase ne apne DNA ko pratyaaropit karne ke liye kya kiya? ,D: Viruses
Apni aulaad mein mutation pass karne ki kshamta kis chheez par nirbhar karti hai?,A: Agar cell germ-line ke hain
"Passage mein di gayi jaankari ke aadhaar par, mutation ke alag-alag asar kin cheezon par nirbhar nahi karte hain?",D: Jis mutation par asar hua hai wo kis tarah ka hai
Inmein se wo kaunsi wajah nahi thi ki puraane zamaane mein log bakriyan palte the?,"B: Ve ghaas charne mein madad karti thi

Puraane zamaane mein log bakriyan palte the doodh, baal, maans aur chamde ke liye. Ghaas charne mein madad karna bakri paalan ka pramukh uddeshya nahi tha."
Golf ka lakshya hai ki kis cheez ka istemaal kam se kam kiya jaaye?,The correct answer is: B: Tez prahar
Golf course mein kis jagah par ghaas chhoti kaati jaati hai?,B: Hari ghaas par
"Aamtaur par, kisi prayog ka kya maqsad hota hai?","Aamtaur par, kisi prayog ka maqsad hota hai: 

B: Ye pata lagana ki duniya kaise kaam karti hai"
"Passage ke hisab se, scientific research ko guide karne mein kya cheez madad nahi karti?","A: Sirf vaigyaanik tariko par kaam karna

Passage ke hisab se, vaigyaanik shodh ko margadarshan prayog karna, sambhaavit parikalpanaon ko khatm karna, sawal karna, aur avalokan karne se milta hai. Sirf vaigyaanik tariko par kaam karna shodh ko margadarshan nahi deta."
"Passage ke hisab se, tornado ke bare me kaun sa kathan galat hai?",C: Jyadatar tornado teen ghanto se jyada samay tak ke liye aate hai
"Passage ke hisab se, inme se kaun sa kathan jyadatar tornado ke bare me jankari deta hai?",D: Inme jameen se pedon ko ukhad fekne ki kshamta hoti hai
Inme se kaun sa kaam manav ne 16vi shatabdi me krna shuru kar diya tha?,D: Doorbeen bnana
"Lense ka istemal karke, manav kab se chizon ko bda karke dekh rha hai?",C: Hazaron saloon se
"Passage ke hisab se, Muhammad ki gufa se unke adhyatmik karm-kando ya mulyon ke bare me kya pta chalta hai?",A: Ve shanti aur ekant ko mahatva dete the
"Passage ke hisab se, sabse pahle lohe ka istemal kisliye kiya gya?",D: Patriyan
"Passage ke hisab se, lakdi ke bjay lohe ke pahiye kyo istemal kiye jane lage?",D: Ve patriyon par lge lohe se ghise rhe the
"Passage ke hisab se, Rumaniyatwad ke dauran logon ne kya bnaya?",C: Reeti-rivaaj
