question,gpt_answer
"Pasartearen arabera, zein ez litzateke izango akordeoia ondo jotzeko aholku zehatz bat?",1
"Akordeoia jotzean, zeri esker lortuko duzu bolumen gehigarria?",1
Zergatik dauzkate ertzak ebakita telebistako irudiek?,2
"Pasartearen arabera, arazo hauetako zein izan genezake film bat DVD formatura bihurtzean?",2
Non zegoen garnizio britainiar bat kokatuta?,3
Noren sinadura zegoen eskuz idatzitako zirriborroan?,4
Nora iritsi zen azkenekoz Dunlap-en paper bat?,3
Non zeuden kokatuta Stark koronelaren soldaduak?,1
"Pasartearen arabera, noiz luzatu zuten hesia Stark-en gizonek?",3
"Pasartearen arabera, zein izan da Txinako arorik odoltsuena?",4
"Pasartearen arabera, zer egiten dute inurri soldaduen koloniek nomada fasean?",3
"Pasartearen arabera, adierazpen hauetako zeinek islatzen du zehatz-mehatz nomada fasean inurri soldaduen koloniek habiak egiteko dituzten ohiturak?",3
"Zeinek jarraituko dute funtzionatzen, nahiz eta kanpoko seinaleak egon?",3
Zein hitzek deskribatzen ditu ezaugarri fenotipo jakin batzuen aldaerak erakusten dituzten banakoak?,4
Zein da hitz zuzena zonalde zehatz bat hartzen duten organismoei buruz hitz egiteko?,2
Zein ez da naturan oinarritutako turismoaren adibide?,3
"Pasartearen arabera, zein da garraio-sistemaren oinarria?",2
Zer motatako karga dute nukleoa orbitatzen duten partikulek?,3
Zer partikulak osatzen dute nukleoa?,1
"Pasartearen arabera, zein da bost biteko zenbaki bitarraren adibide bat?",3
Beste zer izen ematen zaie zifra bitarrei?,1
Zein ez da aipatzen pasartean ikasleek blogak idaztearen onura nagusi gisa?,4
Blogak idaztearen alderdi hauetako zeinek eragiten du ikasleek idazkera hobetu nahi izatea?,2
Zein ez da komunikazio asinkronoaren onura bat ikasleentzat? ,2
"Pasartearen arabera, komunikazio asinkronoaren alderdi hauetako zein ez da malgua ikasleentzat?",4
Erdi Aroko gazteluekin erlazionatu ohi diren alderdi hauetako zein ez da aipatzen pasartean?,4
Gazteluetako aurrietan nabarituko liratekeen usain edo soinu hauetako zein ez da aipatzen pasartean?,3
Zein da Kirby Muxloe gazteluaren deskribapen zehatza?,2
Eraikuntza-ezaugarri hauetako zein da ezohikoa Kirby Muxloe gazteluan pasartean aipatzen den garaian?,1
"Pasartearen arabera, zer izango litzateke onuragarriena hurrengo denboraldirako prestatzen ari den korrikalari batentzat?",4
"Pasartearen arabera, zer da benetan garrantzitsua milia erdiko korrikalari bikain batentzat?",2
"Atletentzat, zein ezin da soilik elikadura ohituren bidez lortu?",3
"Pasartearen arabera, zein ez da iradokitzen atleta gazteek kirolaz gehiago gozatzeko bide gisa?",2
"Pasartearen arabera, zergatik behar lukete distantzia ertainean korrika egiten dutenek ekipamendu garestiagoa?",1
"Pasartearen arabera, zer behar da distantzia ertainean korrika egiteko?",3
Nork aurkitu zuen erresonantzia magnetiko nuklearra? ,3
Zein urtean eman zen erresonantzia irudi medikoetarako erabiltzeko lehenengo patentea? ,2
"Pasartearen arabera, zer ulertu behar lukete ondo gizakiek besteen ekintza fisikoak interpretatzeko?",2
"Pasartearen arabera, asmoa ulertzeak zertan laguntzen die gizakiei?",1
"Pasartearen arabera, zeinek laburbiltzen du ongien AAren helburu nagusia?",4
"Pasartearen arabera, zeinekin erlazionatu ohi da AA?",3
"Pasartearen arabera, zein da pentsamendu konbergentearen patroiak dituen norbaiten indargune bat?",4
"Pasartearen arabera, zein ez da hartzen pentsamolde konbergentearen ezaugarri nagusitzat?",2
"Pasartearen arabera, zein ez litzateke izango mikroespresio bat?",4
Mikroespresioen interpretazioari buruzko adierazpen hauetako zein ez da egia?,3
Zein bihurtu zen garrantzitsuago Errenazimentuaren ondorioz? ,3
"Errenazimentuaren ondorioz, zeinetan jarri zen garrantzi gutxiago?",1
Zein ez da Internet harreman jarraituetarako erabiltzeko motibazio bat?,3
Zein ez da inplikazio pertsonalerako Internet erabiltzeko motibazio bat?,1
"Noiz utzi zion Europako mendebaldeak eragin indartsuei jarraitzeari, bere estilo propioa garatzeko?",1
Zein hasi ziren jantziak botoiekin lotzen? ,3
"Pasartearen arabera, zein da ingurumen-arazoak konpontzeko epe luzerako soluzio bideragarri bat?",3
"Pasartearen arabera, soluzio hauetako zein ez litzateke hartuko ingurumen-arazoen tratamendu sintomatikotzat?",2
"Europako zein herrialdetan izan zen, testuinguru erlijiosoak baino, botere-orekak eragin zuen lehenengo guda?",4
Zein gerrari esaten zaio batzuetan azken gerra erlijiosoa?,1
Eliza Katolikoaren alderdi hauetako zein ez zen zorrotz aztertzen?,2
"Pasartearen arabera, nor hil zuten Versaillesen?",4
Zer egitera ez zituen behartu jendetzak erregea eta erregina?,3
Zer ez zen izan Britainiaren ezohiko itsas gerraren ondorioa?,3
Adierazpen hauetako zeinek ez du zehaztasunez deskribatzen Britainiak Alemaniari egin zion itsasontzi-blokeoa?,4
"Pasartearen arabera, batez ere nori egingo litzaioke esklerosi anizkoitzaren diagnostikoa?",1
"Pasartearen arabera, batez ere zertarako behar zuten arreta ariketa fisikoa erregularki egiten zuten parte-hartzaileek?",1
"Pasartearen arabera, nola jokatu ohi da eskrima?",4
"Pasartearen arabera, zein izango litzateke hesteetako intoxikazioaren adierazle nagusia?",4
"Pasartearen arabera, zein da biktima ikuskatzean egin behar den lehenengo urratsa?",1
Adierazpen hauetako zeinek ez du zehatz-mehatz islatzen biktima bat ikuskatzeko prozesua?,1
Frantziako Iraultzak ekarri zituen aldaketetatik zeinek izan zuen eragin esanguratsua langile-klasean?,2
"Frantziako Iraultzaren harira, dagoeneko zer ez zen hartzen kontuan militarrek eta beste lanbide batzuetakoek arrakasta izateko?",2
"Diotenez, zer zerbitzu publikok sortzen ditu kexa gehien herrialde garatuetan?",3
"Pasartearen arabera, zer esan dezakegu garraio publikoko sistemei buruz?",3
"Pasartearen arabera, zein izan daiteke neurtzeko zaila, ezin delako jakin gidariek zer egingo duten?",4
Zein erabiltzen da trafikoa matematikoki irudikatzean?,4
Zer erabili zuten Hershey-k eta Chase-k beren DNA txertatzeko? ,4
