text,gpt_reply
"Epongoloko linena ocituwa c’okaliye kukãyi, kwenda etokeko litundisa k’epongoloko lyaca.","geography
"
Ombomba yo fissão italavaya no lo cinyi oco tu kape vimwe oloprotões kwenda oloneutrões.,"science/technology
"
Etungo lyatokekiwa l’ovina vivali-olonewtõlo kwenda olopotõlo.,"science/technology
"
Eci ca ecelela okuti olonte vio zoom vikuatisa oku tala kuwa ndci ololente vi vanja kupalã.,"science/technology
"
"Vaswapo vali olo proxies vyo web mekonda lyolonjongole vyalwa. Endisi olonjila vyosi vyo-internet, acikale-ñgo o http.","science/technology
"
Epango lipongoloka lipinga ekonomwiso kwenda ukulĩhiso k’ovisimĩlo vitunga olonjo vinene vitunga ovina kwenda okupanga evi viskiliwa.,"science/technology
"
"Eci capongolola ekalo lyavosi, pole elyenge lyanene ekavo lyalwa k’alola vyevaya vyolomboyo.","science/technology
"
"Tukwata Alkateya eci tusanga ovinyama vitatu akũlu vikasi ciwa, kwenda tusanga ovinyama akãyi kwenda omãla vyaco.","geography
"
"Ndaño o IA, cikasi ndukilihiso wuhembi o IA onepa imue ikuete esilivilo lialua kukulihso wo computação, yatiama kekalo, kelongiso kuenda uloño wolomakina.","science/technology
"
Etungo lyaco (okulitepisa k’olonepa ekwĩ lavali oco citave okukwata etendelo limosi lika) oyo lika lyeca 3:2.,"sports
"
"Otelefone imwe yosatelite kapiñgala otelemovel, osimbu okuti te wakala k’osamwa l’okuvanja ciwa elinya litokeka k’osatelite oco okwate ekonomwiso.","science/technology
"
"Ndañgo epitiso lyolokalosa vyalingiwile-ñgo lavaya , nda vyaca olokavalu okunãla oco vakwate elupuko lyalwa kwenda okunãla ovilemo vyalwa k’atapalo kavikasi ciwa kupitiwa oloneke vyalwa v’eteke.","geography
"
"Omanu vakulĩha ciwa etepiso lyokimika lilongisiwa k’efetikilo ndeci onduvala, opalata vyokosimbu, pole vyosi evi citava okuvisanga k’olwali k’efiniso lyaco kwenda okuvifẽla kaciyongola ongusu yalwa.","science/technology
"
"Elola ya ponolola olwali. Cimwe caelapo elola ya linga komwenyo wetu, yatunena okwendiso.","health
"
Eci capangiwa oco citave okukwata ocipala ciyika ocitalo c’osi. Eci cikwete onduko yo Overscan.,"science/technology
"
Olombaolo vina vipita cosi ya calunga yapangiwa cofeka yo Alemanya vaytukola vo ati U- Boats. Vakwetu vofeka yacovapamaco k’okulinga olombapolo vyavo.,"science/technology
"
"Ndañgo etimba lyaco lipongoloka, pole ovimatamata vyaco kavipongoloka.","science/technology
"
"Ema kilu lipita mekonda lyolomolekula vyovava k’onepa yokilu olonjanja vyalwa vilivilikiya p’okati kavo mwẽle, okupitahãla vina visangiwa ofela kilu lyvo.","science/technology
"
Ocitangi cimwe cinene eci tusima okupongolola ociluvyaluvya cimwe k’etungo lyo DVD oviñgumañguma vyalwañgo enene.,"science/technology
"
