text,gemini_label
"MetroPlus ka mma maka ezumike ma nwekwaa ọnụ ọgụgụ ndị mmadụ pere mpe karịa, mana ọ dịtụ ọnụ karịa; n'agbanyeghi, ọ ka dị ọnụ ala karịa akwụkwọ njem metro na Yurop.",travel
Nke a nwere ike ịchọ idejupụta otu fọọm gị na ndị uwe ojii keobodo ma ọ bụ otu nleta na ụlọ ọrụ mbata na ọpụpụ.,politics
"Ututu o bula, ndi mmadu n'ahapu obere obodo n'ugbo ala were gawa ulo oru ha ma ndi ozo n'agbafe ha ndi ulo oru ha di n'ebe ha si puta.",travel
"Oburu na imaatachabeghi ka esi anya ugboala n’okporouzo ime obodo, ume ahapukwala gi: uzo n’akpode akpode, uzo di wara wara na nkuku nko juru eju.",travel
"Usoro njem e bu ụzọ mara ama bụ ịga ije, ụmụ mmadụ bidoro ịkwụ ọtọ aga ije afọ nde abụọ gara aga site na mpụta nke Homo Erektus (nke pụtara nwoke kwụ ọtọ).",travel
Ndị njem ụgbọ mmiri na-eme atụmatụ ịwa ahụ ntụgharị mmekọahụ na mba ofesi ga-ejiriri n'aka na ha ji ụmụ akwụkwọ ziri ezi maka njem nlaghachi.,health
"N'ọnọdụ ndị ọzọ, naanị ndị na-anọ na mpụga nke ụlọ ndị njem nleta bụ aghaghị ịdebanye aha. Agbanyeghị, nke a mere ka iwu dịkwuo mgbagwojuanya, ya mere chọpụta tupu oge eruo.",travel
Ọ bụrụ na imewe njem izizi n'ime obodo na-emepe emepe - maọbụ na mpaghara ọhụụ e kepụtara n'ụwa - elelikwala ihe iju anya nke omenala i nwere ike ịhụta.,travel
"Ụmụ nwanyị: Ọ bụ ihe akwadoro na ndị njem nwanyị ọ bụla kwuo na ha alụọla dị, n'agbanyeghị etu ọnọdụ ha dị n'ezie.",travel
"Nleta nke ndị njem nleta dị oké ọnụ, chọrọ ahụike anụ ahụ, nwere ike ịme naanị n'oge ọkọchị Nov-Feb, ma ejedebere ha n'ụzọ dị ukwuu na Peninsula ahụ, Agwaetiti na Oke Osimiri Ross.",travel
Enwere ijeko jem ịga ebe ahụ na njem ụgbọ mmiri na-enweghị mmekpa ahụ.,travel
"biko cheta na ebe ina aga izute bu n’ezie ogige eliri otutu ozu, dika kwa nwere ihe-oputara ana agaghi agutali onu nye okere onu-ogugu uwa putara-ihe",disasters
"Mara amara n’ozugbo iruru n’isi mmiri ihe niile ga-edo gi anya. I ga ahu ndi ozo n’acho ugbo mmiri ha ga banye, ha ga-agwa gi ihe gbasara onwe ha.",travel
"N'otu aka ahụ, site n’inwe otu visa Schengen, ị kwesịghịzi itinye akwụkwọ maka visa otu n’ime mba ndịòtù Schengen nke ọ bụla iche, ya mere chekwa oge, ego na mmepe akwụkwọ.",travel
"Enwere ike ime nke a na moto nkịtị ma a kpachara anya tụọ atụmatụ mana ọ ga-aka nnọọ mma iji moto nwere ohere wiili 4x4, nakwa ọ bụ naanị ụdịrị moto a nwere ike ịbanye ụfọdụ ebe.",travel
"N’okporo ụzọ ebe ais na sno dị, nrapara dị ala nakwa ịnweghị ike ịnya moto n'elu ya dịka ị nọ na asfalt nkịtị.",disasters
"Tagzi ekere eke bụ ụzọ dị ọsịsọ ma maa mma iji gaa ebe dị nso, dịka Paro (Nu 150) na Punakha (Nu 200).",travel
"Ejima Otter ahụ anwagidela ifeda ala na Kokoda ụnyaahụ dị ka Ndị ụgbọ elu PNG Flight CG4684, mana a kwụsigo otu ugboro na mbụ.",disasters
"N'ụgbọoloko abalị a na-arahụ ụra na ya, onye nhazi ụgbọ nwere ike ịnara gị akwụkwọ ikike ime njem gị ka a ghara inye gị nsogbu ka ị na-arahụ ụra.",travel
"E hiwere na akwa ahụ ga-ebido rụwa ọrụ n'uju na Septemba 2017, mgbe a na-ele anya ịrụcha ebe nnyocha nke ụlọọrụ na-ahụ maka ọpụpụ na mbata nke ndị Brazili.",business
Onweghi nkwekorita ụgbọ elu na-ekpuchi ngafe oke osimiri atọ niile na Mpaghara Okpu Ndịda (ma SkyTeam anaghịkwa ekpuchi ngafe ọ bụla ahụ).,travel
"Ọ bụrụ na ị nọrọ n'ọgbọ a, i nwere ike igafe oke ala ma zere nnyocha paspọtụ.",travel
Agbanyeghị na inwere ike iche na o sinammụọ isonye ndị ụgbọ elu ahụ ị na-esokarị ọtụtụ mgbe. Ị kwesịrị ịmara na ikike a na-enye na-adịkarị iche ma ebe ndị a na-agakarị nwere ike imesapụkwụ aka n’okpuru ụgbọ elu n’otu nkwekọrịta ahụ.,travel
"Naanị ụfọdụ ụlọ ọrụ njem ụgbọelu ka na-enye ụgwọ nnwụnahụ, nke na-ewepụtụ ego n'ụgwọ njem akwamozu a na-eme na ngwụcha oge.",business
ndi nje-nlere-anya nwere iga hu otutu ihe putara ihe di iche-iche nke obodo obula maobu ha nwerekwara ike ihoro nnoo  ilekwasi anya n’otu ebe.,travel
"Agwaetiti Bowen bụ njem ụbọchị maọbụ njem mmụta nke ngwụcha izuụka ama ama na-enye egwuregwu ụgbọamala, ije ogologo ije, ụlọahịa, ụlọ oriri na ọn̄ụn̄ụ, na ndi ozo.",travel
"Njem ụgbọ elu nwere ike bụ ihe egwu ny onye ọbụla agbanyeghị afọ ole ha dị maobụ ebe ha si, ọkachasị ma ọ bụrụ na ha efebeghị mbụ maọbụ na ha enwego ihe ọghọm mbụ.",travel
"Na mkpirisi, njem na aka mma n'ụgbọala nke onwe n'ihi na ya onwe ya bụ ụdị ""njem nnọgharị"".",travel
"Ndebanye aha so n'ihe a na-achọ n'usoro ịnweta visa. Na mba ụfọdụ, ị ghaghị ịdebanye ọnụnọ gị na adresi ebe i bi na nke ndị isi ala.",travel
Ụzọ mmiri ndị ime obodo nwere ike ịbụ ezigbo isiokwu iji hazie oge ezumike.,travel
"Ị na-ebe maka ndị ọzọ - Ekwela ka anya gị pụọ n’akpa gị, tụmadị mgbe ị na-agafe oke ala mba ndị ọzọ.",travel
"Ndị Vaịkịngị ji ụzọ mmiri ndị Rọshịa were ruo osmiri na Osimiri Ojii na Osimiri Kaspịanụ. A ka na-esi ụfọdụ ụzọ ndị a ruo taa. Jụọ ase maka inweta ikike pụrụ iche, nke nwere ike ịra ahụ inweta.",geography
"Okacha na mbido, nwaa ibi ndu ka onye bekee, omaricha ulo ezumike, ezigbo nri na inweta ezigbo ndi nnedo anya n’enyere aka imeda obi.",travel
Ụmụ amaala Cuba bụ ndị nwere akwụkwọ ikike kaadị ndụ ndụ nke US kwesịrị ịga n'Ụlọ ọrụ Consul Ecuadorian iji nweta nkwenye mwepụ maka ihe a chọrọ.,travel
"Ọ bụ ihe atụwara anya ya na ọtụtụ tiketị emume ga-adị ọnụ n'etiti ¥2,500 na ¥130,000, ya na tiketị a na-ahụkarị na-adị ọnụ ruo ihe dị ka ¥7,000.",entertainment
"Ndị njem na-aga mba ndị nwere nnukwu ụtụ isi nwere ike mgbe ụfọdụ ichekwa ọkpụrụkpụrụ ego, tụmadị na ngwaahịa dị ka ụmụ ihe ọn̄ụn̄ụ ndị na-aba n'anya na ụtaba.",travel
Nyekwuo nn̄omi gasị nke iwu/mkpọtụrụ nye ndị enyi ndị njem na ikwu ma ọ bụ ndị enyi nọ n’ụlọ na-achọ inye aka.,travel
"Yurop bụ kọntinent dị obere na mmetụta ma nwee ọtụtụ mba nwere onwe ha. N’okpuru ọnọdụ nkịtị, ime njem gafee ọtụtụ mba ga-apụta ị ga site na ntinye akwụkwọ maka visa na njikwa paspọọtụ ọtụtụ oge.",travel
"Sirena bụ sọ ụlọ nchekwa ọhịa na-enye ndị njem ebe ọnụnọ ma nri. La Leona, San Pedrilo, na Lọs Patos na-enye sọ ebe ọnụnọ n'enweghị nri.",travel
"Njem nleta kara dị ọnụ ala maka òtù buru ibu, ya mere ọ bụrụ na ị nọ n’onwe gị ma ọ bụ gị na naanị otu enyi, gbalịa zute ndị ọzọ ma wube otu òtù nke mmadụ anọ ruo isii maka ọnụego ka mma kwa-otu-onye.",travel
Ị kwesịrị ịkpachapụ anya ịhọrọ ndị ụgbọ elu ị Na-esonyekarị Efe Mgbe Niile n'otu njikọ aka.,travel
"Ọ bụrụ na mba ahụ ị ga-aga ileta bụrụ nke nọ n'okpuru otu ndụmọdụ njem, mkpuchi ahụike njem gị ma ọ bụ mkpuchi nkagbu njem gị bụ nke o nwere ike imetụta.",travel
Ibanye na moto gi gawa ogologo njem na enye obi uto n’agbanyeghina o di mfe.,travel
