text,gemini_reply
"ஐரோப்பாவின் சாதாரண மெட்ரோ டிக்கெட்டுகளை விட மலிவானது என்றாலும், மெட்ரோப்ளஸ் மிகவும் வசதியானது மற்றும் குறைவான கூட்டம் இருப்பதால் சற்றே அதிக விலை கொண்டுள்ளது.","travel
"
இதற்கு உள்ளூர் காவல் நிலையத்தில் ஒரு படிவத்தை நிரப்பவோ அல்லது குடிவரவு அலுவலகங்களுக்குச் செல்லவோ வேண்டி இருக்கும்.,"crime
"
"ஒவ்வொரு நாளும் காலையில், மக்கள் தங்கள் பணியிடத்திற்கு செல்ல சிறிய நகரங்களில் இருந்து கார்களில் செல்கின்றனர், அவ்வாறு அவர்கள் கிளம்பிச் செல்லும் இடத்தில் பணிபுரியும் மற்றவர்களை அவர்கள் கடந்து தங்கள் பணியிடத்திற்குச் செல்கின்றனர்.","business
"
"உங்களுக்கு நாட்டுப்புற சாலைகளில் பயணம் செய்யும் பழக்கம் இல்லையெனில் விழிப்பாக இருங்கள், செங்குத்தான பாதைகள், குறுகிய சந்துகள் மற்றும் சிறிதான வளைவுகள் ஆகியவை அதிகம் தோன்றும்.","travel
"
"முதன்முதலில் அறியப்பட்ட போக்குவரத்து என்பது நடைபயிற்சிதான், மனிதர்கள் இரண்டு மில்லியன் ஆண்டுகளுக்கு முன்பு ஹோமோ எரெக்டஸ் (நிமிர்ந்த மனிதன்) தோன்றியவுடன் நடக்கத் தொடங்கியுள்ளனர்.","science
"
"வெளிநாட்டில் பாலின மாற்று அறுவைசிகிச்சைக்கு திட்டமிடும் பயணிகள், திரும்பிச் செல்லும் தங்களது பயணத்திற்கான சரியான ஆவணங்களை அவர்கள் கொண்டுச் செல்வதை உறுதி செய்ய வேண்டும்.","travel
"
"சில இடங்களில், விருந்தினர் இல்லங்களுக்கு வெளியில் தங்குபவர்கள் மட்டுமே பதிவு செய்ய வேண்டி இருக்கும். ஆனால் இது அந்த சட்டத்தைத் தெளிவற்றதாக ஆக்குகிறது எனவே முன்னரே தெரிந்து கொள்ளுங்கள்.","travel
"
வளர்ந்துவரும் நாட்டில் முதல்முறையாக பயணம் செய்யும்போது அல்லது உலகில் வேறு பகுதிக்கு புதிதாகச் செல்லும்போது சாத்தியமான கலாச்சார அதிர்ச்சிகளைப் பற்றி குறைத்து மதிப்பிட வேண்டாம்.,"travel
"
பெண்கள்: எந்தவொரு பெண் பயணியும் அசல் திருமண நிலையைப் பொருட்படுத்தாமல் தாங்கள் திருமணமானவர்களாகக் கூறப்படுவது பரிந்துரைக்கப்படுகிறது.,"travel
"
"சுற்றுலாவிற்காக வருகை தருவதற்கு செலவு அதிகமாகும், உடல் தகுதி மிகவும் அவசியமானது, கோடைகாலத்தில் நவம்பர் முதல் பிப்ரவரி வரை மட்டுமே வர இயலும், மற்றும் தீபகற்பம், தீவுகள் மற்றும் ரோஸ் கடல் பகுதிகளுக்கு மட்டுமே செல்ல முடியும்.","travel
"
