question,gemini_answer
چی وایکرد ئالن دەست بە گەڕان بەدوای موساشی دا بکات بۆ ماوەی هەشت ساڵ؟,invalid
بەپێی بڕگەکە، ئالن بڕێکی بەرچاو لە پارەکەی بۆ چی خەرج کردووە؟,2
بەپێی بڕگەکە، کام لەمانەی خوارەوە بە ئەگەرێکی زۆرەوە بووەتە هۆی بارودۆخی مەترسیدار لەناو وێستگەکە و دەوروبەری؟,1
کام لەمانەی خوارەوە یەکێک لەو ئامۆژگارییە سەلامەتیانە نییە کە دوای ڕووداوی وێستگەکە بۆ دانیشتوانی ناوچەکە پێشنیار کراوە؟,3
بە گوتەی دکتۆر مۆڵ، چی زۆرترین نیگەرانی هەیە لەبارەی ئیکس دی ئاڕ-تی بی، سیلی بەرگەگری لەڕادەبەدەر دژبە دەرمان؟,4
چەند نەخۆش کە تووشی جۆرە نوێیەکە بوون پشتڕاستکراوەتەوە کە کارمەندی چاودێری تەندروستین؟,2
سیستەمی نێکستجێن چ تەکنەلۆژیایێک بەکاردەهێنێت؟,1
چۆن نێکستجێن ڕاستەوخۆ بە کۆنتڕۆلکەرانی هاتوچۆی ئاسمانی سوود دەگەیێنێت؟,2
بەپێی بڕگەکە، مێژووناسان ڕەخنەیان لە ئێف بی ئای نەگرتووە کە گرنگی بەچی دەدات؟,3
دەستپێشخەری دژەکارەنەشیاوەکان ئێف بی ئای ناچار کرد چی بکات؟,4
چی بەسەر ئەو ئۆتۆمبێلە ئاگرکوژێنەوەدا هات کە چوو بۆ یارمەتیدانی کەوتنەخوارەوەی JAC 39C گرایپنەوە؟ ,2
دوای کەوتنەخوارەوەی فڕۆکەی جەی ئەی ئێس 39سی گرایپێن، فڕۆکەخانەکە بەڕووی چیدا داخرا؟,1
برێزینسکی لە سەردەمی شۆڕشی ئێراندا ڕێنمایی پێشکەش بە کێ کردووە؟,3
کێ تا ساڵی 1977 پۆستی ڕاوێژکاری ئاسایشی نیشتمانی بەدەستەوە بووە؟,2
کام لەمانەی خوارەوە بەدرووستی پیشەی بۆبەک لەگەڵ پارتیزان بەلگراد نیشان نادات؟,1
کام لێدوان سەبارەت بە مێژووی بۆبەک لەگەڵ پارتیزان بەلگراد ڕاستە؟,1
بەپێی بڕگەکە، کام تایبەتمەندی جیاوازی هەسپەرۆنیکەس لە ڤێلۆسیراپتۆر جیادەکاتەوە؟,2
مانای “هەسپەرۆنیکەس” لە چ تایبەتمەندییەکی فیزیکی جۆرەکە وەرگیراوە؟,1
کام لەم قسانەی خوارەوە سەبارەت بە تەقەکردنەکە ڕاستە؟,4
کام لێدوان سەبارەت بە ڕووداوی تەقەکردنەکە ڕاستە؟,1
بەپێی بڕگەکە، نیگەرانی سەرەتایی لەنێو بەرپرسان سەبارەت بە لونۆ چی بوو؟,1
بەپێی بڕگەکە، کام لەم لێدوانانەی خوارەوە سەبارەت بە تێکشکانی لونۆ ڕاست نییە؟,2
لە چ دەیەیەکدا جەزائیر سەربەخۆیی بەدەستهێنا؟,3
لە کوێ شاشەی تەلەفزیۆن بۆ ڕێوڕەسمی پرسەکە دانەنرابوو؟,4
ڕێوڕەسمی پرسە لە کوێ بەڕێوەچوو؟,3
بەدوای تەقینەوەکەدا، کێ بەهۆی برینی سەختەوە چارەسەرکرا؟,2
کێ هەواڵی لێچوونی غازەکەی دا؟,1
بەپێی بڕگەکە، چەند کەس لە هێرشەکەدا گیانیان لەدەستداوە؟,2
چەکی کێ جارێک لە ماوەی هێرشەکەدا نەیتوانی تەقە بکات؟,2
کام لەم وەرزشانەی خوارەوە بەدەنگ لە بەرنامەی ئۆڵمپیاد لادرا؟,3
کۆمیتەی نێودەوڵەتی ئۆڵمپیاد دەنگی لەسەر کام لەم وەرزشانەی خوارەوە دا کە بخرێتەو ناو یاریەکانی ئۆڵمپیکەوە؟,3
ئارتور گینێس لەسەرەتادا کارگەی بیرەی سەینت جەیمس گەیتی بۆ چەند ساڵ بەکرێ گرت؟,4
گینێس هەر ساڵ نزیکەی چەند ملیار دۆلار دەهێنێت؟,3
لە چەن وڵاتی یەکیێتی ئەوروپا دا ڤایرۆسی ئێچ5ئێن1 بینراوە؟,3
دوایین کەیسی ڤایرۆسی ئێچ5ئێن1 لەکوێ بینراوە؟,1
دوایین ڕووبەڕووبوونەوەی هایتی لەگەڵ نەخۆشییەکە کەی بوو پێش بڵاوبوونەوەی بەهۆی ئاشتیپارێزەکانەوە؟,1
زبڵی کام شوێن لە بڵاوبوونەوەی نەخۆشیەکە دا بەشدار بووە؟,2
حکومەتی ئیرلەندا پلانی هەیە چی بکات؟,2
لە ئێرلەندا چی بە شێوەیەکی کاتی یاسایی بوو؟,4
ئەو تاوانبارە گومانلێکراوە لەسەر چی لێکۆڵینەوەی لەگەڵ دەکرێت؟,1
لەکاتی گۆڕینی تابلۆکەدا، تۆمەتبارەکە چی نەکردووە؟,3
بەپێی بڕگەکە، مامۆستای ئینگلیزی کارنۆ بە کام لەمانەی خوارەوە تۆمەتبار نەکراوە؟,2
بەپێی بڕگەکە، کێ لەلایەن ڕۆلاندۆ مێندۆزاوە بارمتە نەگیرا؟,4
بەپێی بڕگەکە، کام بارمتە وەکوو ئەوەی زووتر ئازاد کرابێت پشتڕاست نەکرایەوە؟,1
بەپێی بڕگەکە، کێ واژۆ بۆ پشتیوانیکردن لە بەیاساییکردنی هاوسەرگیری هاو-ڕەگەز لە بەڕازیل کۆدەکاتەوە؟,1
خۆپیشاندەران داواکاریەکەیان بە کێ دەدەن؟,3
بەپێی گێڕانەوەی ئارماند ڤێرساچی، ڕاستەوخۆ پێش ئەوەی خەڵکەکە دەستبکەن بە کاردانەوە بە کەشوهەوا چی ڕوویدا؟,1
بە گوتەی وێرساچی، کەی بەهێزترین با دەستی پێ کرد؟,1
پێش فرێد، چەند زریانی مەزنی لە ڕۆژهەڵاتی 35°ڕۆژاوا تۆمارکرابوو؟,3
کاتێک فرێد لە نزیک دوورگەکانی کەیپ ڤێردێ دا جێگیرکرا، بەرەو کام ئاراستە دەڕۆیشت؟,4
کام لەمانەی خوارەوە خێراییەکەی لە ئەوانەی پێش خۆی زۆرترە؟,1
چی پێویستە بۆ ئەوەی 802.11ئێن بەرەودواوە لەگەڵ 802.11بی بگونجێت؟,4
بڕیاربوو خاوەن مەداڵیای زێڕی ئۆڵمپیک لە چەند ڕووداو دا لە یاریەکانی کۆمۆنوێڵس مەلە بکات؟,1
بۆچی خاوەن مەداڵیای زێری ئۆڵمپیک دەرمانی بۆ ئێشەکەی نەدەخوارد؟,4
بەپێی بڕگەکە، چی دەیتوانی ببێتە هۆی سەرلێشێواوی دەربارەی چالاکی بوومەلەرزە؟,1
بەپێی بڕگەکە، کەی گۆڕانکاری قۆناغێک ڕوویدا؟,3
کام لەم لێدوانانەی خوارەوە دەربارەی گالیسکەی مانگ چاندرایان-1 درووست نین؟,1
کام لەم لێدوانانەی خوارەوە بەدرووستی پشکنەری مانگ وەسف دەکات؟,2
بە پێی بڕگەکە، کام ڕێوشوێنی پاراستن لە نەخۆشیەکە دواینجار جێبەجێ دەکرێت؟,3
نەخۆشیەکە چۆن دەگوازرێتەوە بۆ مرۆڤ؟,1
شکستی ڕستەی دووەم دەتوانێت ببێتە هۆی چ ئەنجامێک؟,2
بەپێی بڕگەکە، کەی ڕستە دووەمەکە سڕاوەتەوە؟,1
“بەڵگەنامەکانی پاناما” بۆ کێ دزەیان پێکرا؟,2
بەپێی بڕگەکە، ڕۆژنامەوانی بەریتانیا ئیدیعای دەکرد کە کێ زۆرێک لەو کۆمپانیانەی کە بۆ شاردنەوەی سامان بەکارهاتوون بەڕێوە دەبات؟,3
کام لەم ڕووداوە فڕۆکەوانیانەی خوارەوە زۆرترین کوژراویان هەبووە؟,1
کام لەمانەی خوارەوە هۆکارێک نین بۆ زۆربوونی ڕووداوە ئاسمانیەکان کە لە ئێران ڕوودەدەن؟,2
کام لەمانەی خوارەوە لە ڕاپۆرتی دەستەی خوێندنی عێراق دا نەهاتبوو؟,2
کام لەمانەی خوارەوە لەلایەن گروپی توێژینەوەی عێراقەوە لە ڕاپۆرتەکەیان دا داوانەکراوە؟,3
بەگوتەی پۆلیس، کێ بە دەستی ڕاستی پلۆڤەنزانۆ دادەنرا؟,2
بەپێی ئەو زانیاریانە لە بڕگەکە دا دراوە، هۆکاری مردنی فالکۆنێ چی بوو؟,1
کام لەمانەی خوارەوە یەکێک لە خەڵاتەکانی هیتۆشی سایتۆ نیە؟,1
ئیواساکی لەکوێ توانی خۆی لە سوێندخواردن بەدوور بگرێت؟,2
کێ هێرشی کردە سەر ئیواساکی؟,2
ئالۆنزۆ کەی کۆتایی بە پێشبڕکێکەی خۆی هێنا؟,3
چی بوە هۆی ئەوە کە شوماخەر پێشبڕکێکەی خۆی زوو کۆتایی پێبهێنێت؟,4
بەپێی بڕگەکە، ئەرکی کێیە کە بۆ دەستگیرکراوەکان کەفالەت دیاری بکات؟,4
بەپێی ئەو فەرمانە کاتیەی کە لە بڕگەکەدا ئاماژەی پێکراوە، دەستگیرکراوەکان پێویستە ڕێگەیان پێبدرێت چیان هەبێت بۆئەوەی زۆرتر لە 24 کاتژمێر ڕابگیرێن؟,4
بەپێی ئەو بڕگەیە، کام هۆکار بۆ ڕوونکردنەوەی هەڵوەشانەوەی گەڕێکی دیکەی هەڵبژاردن بەکارنەهێنراوە؟,2
بۆچی دواجار گەڕێکی دیکەی هەڵبژاردن لەلایەن دیپلۆماتکارانەوە بە ناپێویست زانرا؟,3
کێ خزمەتگوزاری دادوەری بۆ FATA پێشکەش دەکات؟,2
کام لەم لێدوانانەی خوارەوە سەبارەت بە “بریکارە سیاسییەکان”ی FATA ڕاست نییە؟,4
ئیما ستۆن بۆ کام خەڵات پاڵێوراو بوو؟,3
فیلمەکە بۆ کام خەڵات پاڵێوراوە؟,1
دوای بوومەلەرزەکە کام لەمانەی خوارەوە بە کارکردن مایەوە؟,4
بەپێی ئەو بڕگەیە، کام لەمانەی خوارەوە بەهۆی بوومەلەرزەکەوە زیانیان بەرکەوتووە؟,1
بەپێی ئەو بڕگەیە، کام لەم بابەتانەی خوارەوە لە بەڵگەنامەکەدا نەهاتووە؟,2
کام لەمانەی خوارەوە یەکێک نییە لە داواکارییەکانی فەلەستین؟,2
ما لە چ وڵاتێک یاسای خوێندووە؟,1
بەپێی ئەو بڕگەیە، داکۆکیکردن لە چ وڵاتێک یارمەتیدەر بووە لە سەرکەوتنی ما لە هەڵبژاردنەکاندا؟,4
وەک لە بڕگەکەدا هاتووە، کارۆلین ویڵسن پێش ئەوەی شارەکە بەجێبهێڵێت، بۆ کێ کاری کردووە؟,3
لە کاتێکدا چوار پێشبڕکێ لە وەرزەکەدا ماوە، کێ لە پلەی چوارەمی پاڵەوانێتی شۆفێراندایە؟,4
دوای ئەو پێشبڕکێیەی کە لە بڕگەدا باسکراوە، کاهنێ چەند خاڵێکی هەیە لە پاڵەوانێتی شۆفێران؟,1
بەپێی ئەو بڕگەیە، چەند جار خەڵک شاهیدی کەوتنەخوارەوەی نەیزەکەکان بوون کە دواتر سەلمێنراوە کە ڕەچەڵەکی مەریخیان هەیە؟,2
وەک لە بڕگەکەدا ئاماژەی پێکراوە، چی ڕاستە لەبارەی ئەو بەردانەی کە لە بنەڕەتدا سەر بە مەریخ بوون؟,3
شوماخر کەی خانەنشین بوو؟,2
کەی ماسا بریندار بوو؟,1
بەپێی ئەو بڕگەیە، ئامادەکارییەکە چۆن کاریگەری لەسەر AOL دەبێت؟,3
