question,gemma3_answer
"Samkvæmt því sem fram kemur í kaflanum, hver þessara ástæðna var ekki notuð til að útskýra af hverju hætt var við úrslitaviðureignina?",2
Hvers vegna sögðu embættismenn úrslitaviðureignina vera óþarfa?,3
Hver sinnir dómsvaldsþjónustu fyrir FATA?,2
Hver af eftirfarandi staðhæfingum um stjórnmálafulltrúa FATA er ósönn?,1
Í hvaða flokki var Emma Stone tilnefnd til verðlauna?,3
Í hvaða flokki hlaut myndin ekki tilnefningu?,2
Hvert af eftirtöldu hélt starfseminni gangandi eftir jarðskjálftann?,4
"Samkvæmt því sem fram kemur í kaflanum, hvað af eftirtöldu skemmdist í jarðskjálftanum?",4
"Samkvæmt því sem fram kemur í kaflanum, hvert af eftirtöldu er ekki rætt um í skjalinu?",2
Hvert af eftirtöldu er ekki hluti af kröfum Palestínu?,2
Í hvaða landi stundaði Ma laganám?,1
"Samkvæmt því sem fram kemur í kaflanum, stuðningur við hvaða land aðstoðaði Ma við að landa kosningasigrinum?",4
"Eins og sagt er frá í kaflanum, fyrir hvern vann Carolyn Wilson áður en hún fór úr bænum?",3
"Þegar fjórar keppnir eru eftir á tímabilinu, hver er í fjórða sæti í keppni ökumanna?",4
Hversu mörg stig hefur Kahne í keppni ökumanna eftir keppnina sem talað er um í kaflanum?,1
"Samkvæmt því sem fram kemur í kaflanum, hversu oft hefur fólk fylgst með loftsteinum falla til jarðar sem seinna reynast koma frá Mars?",2
"Eins og sagt er frá í kaflanum, hvað af þessu á við um steinana sem eiga uppruna sinn á Mars?",4
Hvenær lagði Schumacher skóna á hilluna?,2
Hvenær slasaðist Massa?,1
"Samkvæmt því sem fram kemur í kaflanum, hvernig kemur skipulagið sem rætt er um í textanum við starfsemi AOL?",3
Hvert af eftirtöldu gæti endað með nýju skipulagi?,3
Hversu margt fólk sem lést í árásinni voru ekki lögregluþjónar?,3
Hver tilkynnti nafn þess sem er grunaður um árásina?,1
"Í Flórída fær sigurvegarinn alla fulltrúa, hvað hafði það í för með sér fyrir Mitt Romney?",3
"Samkvæmt því sem fram kemur í kaflanum, hvert var hlutfall atkvæða greitt Gingrich í forkosningunum?",2
"Samkvæmt því sem fram kemur í kaflanum, hver hélt ekki áfram með framboð sitt eftir að niðurstöður flokksstjórnarinnar bárust?",2
"Samkvæmt því sem fram kemur í kaflanum, hver hrósaði öðrum frambjóðanda eftir að niðurstöðurnar voru ljósar?",2
Hver var eina stöðin sem spilaði þáttinn fyrir árið 2015?,1
Hvaða orð notar stöðin til að lýsa þættinum?,2
Hverju safnaði David Headley sem aðstoðaði hópinn við árásina?,1
Hvernig ferðaðist árásarhópurinn til Mumbai?,3
"Samkvæmt því sem fram kemur í kaflanum, hvaða staðhæfing um úrslit leiks Nadal og Raonic á Brisbane Open mótinu er sönn?",1
"Samkvæmt því sem fram kemur í kaflanum, hver var staðan í leik Nadal og Raonic eftir fyrstu uppgjöf?",2
