text,gemini_label
"MetroPlus adalah lebih selesa dan kurang sesak tetapi lebih mahal sedikit, sungguhpun ia masih lebih murah daripada tiket metro biasa di Eropah.",travel
Ini mungkin memerlukan pengisian borang di balai polis tempatan atau kunjungan ke pejabat imigresen.,crime
"Setiap pagi, orang meninggal bandar-bandar kecil dalam kereta untuk ke tempat kerja dan dilepasi oleh orang lain yang mana destinasi tempat kerja ialah tempat yang mereka baharu tinggalkan.",geography
"Jika anda tida biasa memandu di jalanraya luar bandar, berhati-hati dengan, gred curam, lorong sempit, dan lengkung tajam mendominasi.",travel
"Pengangkutan pertama yang diketahui adalah berjalan kaki, manusia mula berjalan secara menegak dua juta tahun yang lalu dengan kemunculan Homo Erectus (yang bermaksud lelaki tegak).",science
Voyagers merancang pembedahan penukaran jantina di luar negara perlu memastikan mereka membawa dokumen yang sah untuk perjalanan pulang.,health
"Dalam kes lain, hanya mereka yang tinggal di luar tempat penginapan pelancong perlu mendaftar. Namun, ini menjadikan undang-undang menjadi lebih kabur, jadi cari terlebih dahulu.",travel
Sekiranya anda melancong ke negara yang membangun untuk pertama kali – atau di pelosok dunia yang baru – jangan memandang rendah kemungkinan kejutan budaya.,travel
"Wanita: Disyorkan agar pengembara wanita mengatakan bahawa mereka telah berkahwin, walau apa pun status perkahwinan sebenar mereka.",travel
"Perbelanjaan untuk melancong adalah mahal, perlu cergas dari segi fizikal, hanya dapat dilakukan pada musim panas bulan November-Februari, dan sebahagian besarnya terhad di Semenanjung, Kepulauan dan Laut Ross.",travel
Satu lawatan ke tapak tersebut boleh digabungkan dengan perjalanan bot ke tasik itu dengan mudah.,travel
"Sila ingat bahawa anda pada dasarnya sedang mengunjungi kawasan kubur besar, yang juga kawasan yang mempunyai makna yang hampir tidak dapat dihitung untuk bahagian yang signifikan daripada penduduk dunia.",religion
Percayalah bahawa apabila anda memukul marina segala-galanya akan menjadi agak jelas. Anda akan berjumpa dengan pengangkut kapal lain dan mereka akan berkongsi maklumat mereka dengan anda.,travel
"Begitu juga, dengan memiliki visa Schengen, anda tidak perlu memohon visa di setiap negara ahli Schengen secara berasingan, oleh itu ia dapat menjimatkan masa, wang dan dokumen.",travel
Ia boleh dilakukan dalam kereta biasa dengan perancangan yang cermat tetapi 4x4 amat disyorkan dan kebanyakan lokasi hanya boleh diakses dengan kenderaan pacuan 4 roda.,travel
Keadaan jalan raya berais dan bersalji menyebabkan daya geseran rendah dan anda tidak boleh memandu seolah-olah anda memandu atas jalan turap biasa.,disasters
Berkongsi teksi cara yang cepat dan selesa untuk perjalanan ke tempat berdekatan seperti Paro (Nu 150) dan Punakha (Nu 200).,travel
"Pesawat Twin Otter itu membuat percubaan untuk mendarat di Kokoda semalam sebagai penerbangan Airlines PNG CG4684, tetapi telah dibatalkan sekali.",disasters
"Di dalam kereta api semalaman, pasport mungkin diambil oleh konduktor supaya tidur anda tidak terganggu.",travel
"Jambatan tersebut dijadualkan beroperasi penuh pada September 2017, apabila tempat pemeriksaan kastam Brazil dijangka selesai.",geography
Tidak ada pakatan syarikat penerbangan yang meliputi ketiga-ketiga lintasan lautan di Hemisfera Selatan (dan SkyTeam tidak meliputi mana-mana daripada lintasan tersebut).,travel
"Selagi anda berada dalam zon ini, secara umumnya anda boleh merentas sempadan tanpa melalui pusat pemeriksaan kawalan pasport sekali lagi.",travel
"Walaupun anda mungkin mempunyai gerak hati untuk menyertai syarikat penerbangan yang sering anda gunakan, anda harus sedar bahawa keistimewaan yang ditawarkan biasanya berbeza dan mata penerbangan yang kerap mungkin lebih banyak diberikan di bawah syarikat penerbangan berbeza dalam pakatan yang sama.",travel
"Hanya beberapa syarikat penerbangan masih menawarkan tambang perkabungan, ia dapat membantu mengurangkan kos perjalanan pengebumian pada saat-saat terakhir.",travel
Pelancong boleh melawat mercu tanda berbeza-beza di sebuah negara tertentu atau mereka boleh memilih untuk fokus pada satu daerah sahaja.,travel
"Pulau Bowen merupakan lawatan harian atau hujung minggu yang popular menawarkan aktiviti berkayak, mengembara, kedai-kedai, restoran-restoran, dan banyak lagi.",travel
"Perjalanan dengan kapal terbang mungkin suatu pengalaman yang menakutkan bagi sesiapa sahaja pada setiap peringkat umur dan latar belakang, terutama jika mereka tidak pernah terbang atau pernah mengalami peristiwa traumatik.",travel
"Secara ringkas, membawa kereta anda adalah cara yang hebat untuk perjalanan darat namun jarang sekali sesuai secara sendirinya untuk 'berkhemah' .",travel
"Pendaftaran merupakan syarat tambahan bagi proses visa. Dalam beberapa negara, anda harus mendaftar kehadiran anda dan alamat di mana anda tinggal dengan pihak berkuasa tempatan.",travel
Jalan air dalam negeri mungkin merupakan tema yang baik untuk memulakan percutian.,travel
"Membawa beg orang lain - Jangan biarkan beg berada di luar pandangan anda, terutama ketika anda melintasi sempadan antarabangsa.",travel
"Viking menggunakan jalan air Rusia untuk sampai ke Laut Hitam dan Laut Kaspia. Sebahagian daripada laluan ini masih boleh digunakan. Semak keperluan permit khas, yang mungkin sukar untuk mendapatkannya.",geography
"Terutama pada hari-hari pertama, pertimbangkan untuk berbelanja lebih untuk hotel, makanan dan perkhidmatan gaya Barat yang berkualiti untuk membantu anda menyesuaikan diri.",travel
Rakyat Cuba yang merupakan pemegang kad hijau Amerika Syarikat harus mengunjungi Konsulat Ekuador untuk mendapatkan pengecualian kepada syarat ini.,politics
"Adalah dijangka tiket peristiwa sebahagian besar akan berharga di antara ¥2,500 dan ¥130,000, dengan biasa tiket berharga sekitar ¥7,000.",entertainment
"Pelancong yang menuju ke negeri yang mempunyai pencukaian berat kekadang boleh menjimatkanwang, terutamanya pada produk-produk seperti minuman beralkohol dan tembakau.",travel
Berikan juga salinan polisi/kenalan kepada rakan perjalanan dan saudara-mara atau rakan-rakan yang bersedia untuk membantu.,travel
"Eropah ialah benua yang agak kecil tetapi mempunyai banyak negara yang bebas. Di bawah keadaan biasa, mengembara melalui pelbagai negara bermakna perlu melalui aplikasi visa dan kawalan pasport beberapa kali.",travel
"Sirena merupakan satu-satunya stesen renjer yang menyediakan penginapan asrama dan hidangan panas beserta dengan perkhemahan. La Leona, San Pedrillo, dan Los Patos hanya menyediakan perkhemahan tanpa perkhidmatan makanan.",travel
"Lawatan lebih murah untuk kumpulan yang lebih besar. Oleh itu, jika anda berseorangan atau hanya dengan seorang rakan, cuba berjumpa dengan orang lain dan membentuk kumpulan empat hingga enam orang untuk mendapatkan harga yang lebih baik untuk setiap orang.",travel
Anda harus berhati-hati semasa memilih syarikat penerbangan Frequent Flyer yang menggangotai sebuah perikatan.,travel
"Sekiranya negara yang anda akan lawati menjadi subjek kepada penasihat perjalanan, insurans kesihatan perjalanan anda atau pembatalan perjalanan anda mungkin terjejas.",travel
Masuk ke dalam kereta anda dan bergerak untuk perjalanan yang lama dan mempunyai rayuan intrinsik dalam kesederhanaan.,travel
"Yang menghairankan, perkhidmatan telefon mudah alih adalah lebih kuat di sini dari bahagian-bahagian lain di sepanjang laluan, contohnya, Pennsylvania Wilds.",technology
"Jalan yang besar, bangunan kaca dan pusat membeli-belah moden ditandai dengan bumbung tradisional berjubin merah, pasar abad ke-18, dan masjid dan gereja lama, walaupun bandar tersebut mempunyai suasana lebih seperti Eropah Mediterannean berbanding Turki tradisional.",geography
"Baitulmuqaddis mempunyai banyak tapak bersejarah, arkeologi dan budaya, serta pusat beli-belah, cafe dan restoran yang meriah dan sesak.",geography
"Setiap tahun, berpuluh-puluh pelawat tercedera kerana mereka tidak menjaga jarak yang betul. Binatang-binatang ini amat besar, liar dan berpotensi bahaya, oleh itu beri ruang kepada mereka.",nature
Pastikan anda mengetahui apa yang boleh dan tidak boleh dibawa dan isytiharkan apa-apa yang berada di luar batas perundangan.,travel
Turkish Airlines menawarkan penerbangan ke 39 destinasi di 30 negara Afrika setakat tahun 2014.,travel
"Sebuah kapal penyapu ranjau kelas Avenger, kapal tersebut sedang dalam perjalanan ke Puerto Princesa di Palawan.",geography
Sebuah rangkaian pertukaran hospitaliti merupakan organisasi yang menghubungkan pelancong dengan orang tempatan di bandar yang mereka bakal kunjungi.,travel
"Oleh sebab bas antara daerah sentiasa penuh, adalah dinasihatkan untuk membeli tiket beberapa hari lebih awal.",travel
Mereka juga menyatakan laluan untuk denai pendakian dan berbasikal.,sports
"Seperti semua taman negara Afrika Selatan, terdapat pemuliharaan dan bayaran masuk setiap hari untuk taman berkenaan.",nature
"Komuniti tulen ini berada di Howe Sound berhampiran dengan Vancouver, dan mudah dicapai dengan teksi air berjadual yang bertolak dari Pulau Granville di pusat bandar Vancouver.",travel
"Mengapakah sistem pengangkutan mengakibatkan aduan sedemikian, mengapa ia gagal berfungsi setiap hari? Adakah ia disebabkan jurutera pengangkutan yang tidak cekap? Atau adakah terdapat sesuatu yang tidak kena pada peringkat asas?",travel
"Bandar tersebut terletak di sebelah air terjun dan itu merupakan tarikan utama, namun destinasi pelancongan yang terkenal ini menawarkan pengembara dan peminat pemandangan banyak peluang untuk tinggal lebih lama.",travel
Pelayaran Saint Petersburg termasuk masa di bandar. Penumpang pelayaran dikecualikan daripada keperluan visa (periksa syarat-syaratnya),travel
Sebarang pindaan atau permintaan harus dihantar melalui ejen pelancongan terlebih dahulu dan bukan terus dengan hotel.,travel
Terdapat lebih daripada 60 buah kapal pelayaran yang berada di perairan Galapagos - bersaiz dari 8 hingga 100 penumpang.,travel
"Jika objektif lawatan seseorang ke tempat tertentu adalah untuk mengetahui sejarah dan budayanya, dengan in ia adalah jenis pelancongan dikenali sebagai pelancongan budaya.",travel
"Mudah untuk menjumpai tempat yang menjual barangan tradisional Maghribi di sekitar Medina lama seperti tagin, tembikar, barangan kulit, shisha dan pelbagai perhiasan kecil, tetapi itu hanya untuk pelancong.",travel
Pelancong-pelancong yang senang menyesuaikan diri kepada budaya baharu kadang-kadang mempunyai masa yang sukar untuk menyesuaikan kembali kepada budaya asal mereka sendiri.,travel
"Kira-kira sepuluh minit sebelum ia dijangka mendarat untuk percubaan kali kedua, ia hilang.",disasters
Ecuador memerlukan rakyat Cuba menerima surat jemputan sebelum memasuki Ecuador melalui lapangan terbang antarabangsa atau tempat-tempat masuk di sempadan.,politics
"Walaupun anda memandu melalui hutan hujan subtropika, membuka pintu beberapa saat semasa ingin masuk ke dalam kenderaan adalah masa yang cukup untuk nyamuk masuk ke dalam kenderaan dengan anda.",nature
Penumpang diberikan air sambil mereka menunggu di bawah suhu panas 90°F.,travel
"Walau bagaimanapun, ini tidak seharusnya menjadi perhatian anda, kerana pelancong sering bergerak untuk membawa kereta.",travel
"Bermastautin dan menjadi sukarelawan di negara asing merupakan cara yang baik untuk mengenali budaya baru, mengenali orang baru, mempelajari tentang diri sendiri, memperoleh pandangan dan bahkan mempelajari kemahiran baru.",travel
"Ejen pelancongan biasanya mempunyai perjanjian dengan hotel tertentu, walaupun anda mungkin boleh menempah jenis penginapan lain, seperti tapak perkhemahan, melalui ejen pelancongan.",travel
"Beberapa pelayaran persiaran menonjolkan Berlin, Jerman di dalam brosur. Seperti yang anda dapat lihat pada peta di atas, Berlin tidak berdekatan sama sekali dengan laut dan lawatan ke bandar tersebut tidak termasuk dalam harga pelayaran persiaran itu.",travel
Tempahan awal memberi ketenangan minda kepada pelancong bahawa mereka mempunyai tempat untuk tidur sebaik sahaja tiba di destinasi mereka.,travel
"Pantai, taman tema dan tapak perkhemahan menjadi tempat paling sering dikunjung oleh pelancong rekreasi.",travel
"Bagi mereka yang sanggup mengorbankan keselesaan, masa dan kebolehramalan untuk menurunkan perbelanjaan hampir ke kosong, lihat pelancongan bajet minimum.",travel
"Teluk yang bagaikan syurga ini mempunyai lebih daripada 2,000 pulau yang diliputi hutan dengan gua yang menarik, groto, lubang benam dan tasik.",geography
"Lazimnya ejen pelancongan menawarkan pakej yang merangkumi sarapan, pengangkutan ke/dari lapangan terbang atau pakej yang menggabungkan hotel dan penerbangannyan sekali.",travel
Pesawat itu menuju ke Irkutsk dan dikendalikan oleh kumpulan dalaman.,disasters
"Apabila pulang selepas tinggal di luar negara, anda telah menyesuaikan diri dengan budaya baharu dan kehilangan beberapa tabiat anda daripada budaya rumah anda.",travel
Ini bermakna anda dapat mengunjungi bandar bersejarah untuk beberapa hari penuh dalam perjalanan pulang dan dapat tidur atas kapal pada waktu malam.,travel
Senibina dikaitkan dengan reka bentuk dan pembinaan bangunan. Seni bina sesuatu tempat itu sendiri sering menjadi tarikan pelancong.,travel
"Syarikat penerbangan yang menawarkan ini termasuk Air Canada, Delta Air Lines, Lufthansa untuk penerbangan yang bermula dari A.S. atau Kanada, dan WestJet.",travel
"Pos pemeriksaan imigresen biasanya merupakan hentian pertama setelah turun dari kapal terbang, kapal atau kenderaan lain.",travel
"Hotel tertentu mempunyai warisan dari zaman emas kereta api wap dan kapal laut; sebelum Perang Dunia Kedua, pada abad ke-19 atau awal abad ke-20.",travel
Goma merupakan bandar pelancong di Republik Demokratik Congo di timur jauh berdekatan dengan Rwanda.,geography
Keperluan ini direka untuk memberi aliran migrasi yang teratur di antara kedua-dua negara.,politics
