text,gemini_reply
"MetroPlus way ka raaxo badan tahay kana buuq yar tahay balse xoogaa waa ka qaalisan tahay, in kastoo weli ay ka jaban tahay tigidhada basaska Yurub.","travel
"
Tani waxay u baahan kartaa inaad foomka ka buuxiso booliiska maxalliga ah ama booqasho xafiisyada socdaalka.,"travel
"
"Subax walba, dadka waxay ka tagaan wadamada yar yar magaalooyin kooda gawaadhidooda ay ku shaqo tagayaan ikuwa kalena sii dhafayaan kuwaas oo ka shaqeeya meelaha kale ee ay ka so tageen.","geography
"
"Hadii aad u baranin inaad gaari ku kaxeysid wadooyinka miyiga, digtoonow: janjeera, wadooyin ciriiri, iyo meelo wadada ka qaloocanayso oo cariiri ah ayaa wadooyinka ku badan.","travel
"
"Hab socdaalkii ugu horeyey la ogyahay waxa uu ahaa socod, bini'aadamka waxa ay bilaaben in ay si toos ah u socdaan labo milyan sano kahor markii ay soo baxeyn Homo Erectus (micnaheedu yahay ninka toosan).","science
"
Safar waxay qorsheynayaan iney so sameeyan qaalin asaymanti dibada iska hubiyaan iney sitaa warqado sax ah si ay ugu soo noqdan safar kooda.,"travel
"
"Marxaladaha kale, kaliya kuwa jooga meel ka baxdan goobta deganaanshaha dalxiisayaasha ayaa u baahan is diwaan galin. Si kasta ha ahaatee, tani waxay sharciga ka dhigtaa mid aad u amaan badan, sidaa awgeed raadi kahor intaan gacanta lagu dhigin.","travel
"
Hadii aad u safrayso waddan soo koraya markii ugu horeysay - ama qayb cusub oo adduunka ka mida - ha yaraysan fajacisooyinka dhaqan.,"travel
"
"Naagaha: Waxaa lagu talinayaa in naagaha safraayo ay sheegaan inay reer leeyihiin, iyadoon loo eegin xaaladooda guur oo runta ah.","travel
"
"Boqashada dalxiisku waa qarash, waxay u baahan tahay jir ahan inad dhisnaato, hal meel ayad ku qaadan kartaa xaagaga bisha Novermber ilaa February waa meesha ugu weyn Peninsula, Jasirada iyo Bada Ross.","travel
"
Booqashada goobta waxa sida quruxda badan la raacin karaa safar doomeed harada ah.,"travel
"
"Fadlan waxaad xasuusnaataa inaad booqanayso goobo xabaalo wadareed, iyo sidoo kale goob kazoo leh macno aan la xisaabi Karin u leh baabulayshanka aduunka.","travel
"
Hubi in isla markaad tagto dekedaha wax kasta waadax buu noqonayaa. Waxaad la kulmi doontaa dadka kale oo doomaha raaca warkoodana way kula wadaagi doonaan.,"travel
"
"Sidaas si la mid ah, hadaad haysato fiisaha Schengen, uma baahnid inaad fiise gaara u dalbato waddan kasta oo Schengen ka tirsan si gaar ah, taasoo kuu marxinaysa waqtiga, lacagta iyo hawl xafiiseedba.","travel
"
Tan waxa lagu samayn karaa gaari caadi ah iyadoo taxaddar dheeraad ah la samaynayo balse 4x4 ayaa si wayn loogu talinaya meelo badan laguma geli karo 4x4 taayiro dheer.,"travel
"
"Waddooyinka barafka leh, islisku waa hooseeyaa gaarigana uguma wadi kartid sida laami bannaan.","nature
"
"Tagsiyada la wadaago waa hab fudud oo raaxo leb oo lagu tegi karo meelaha dhow-dhow, sida Paro (Nu 150) iyo Punakha (Nu 200).","travel
"
"Twin Otter ku waxay isku dayaysay inay ku ugu degto Kokoda shalay diyaarada PNG Flight CG4684 ahaan, balse waa la joojiyay.","disasters
"
"Tareenada habeenkii laga seexdo, basaboorada waxa laga yaaba inuu ka aruriyo karigu si aan hurdada laguu khiyaamin.","travel
"
"Buundada ayaa lagu wadaa in si buuxdo loo isticmaalo Siteembar 2017, markay goobaha canshuur qaada iyo isbaarooyiinka Brazil la dhamaystiro.","business
"
Ma jirto diyaarada isaga gudubta saddex dariiq ee badwaynta ee ku yaal Dhulka Badhkiisa Koonfureed ( Kooxda Sky iyana ma marto waddooyinka midkoodna).,"travel
"
"Intaad ku jirto aaggan, waxaad guud ahaan ka gudbi kartaa xuduudaha adoon sii marin qaybta baasboorada mar kale.","travel
"
"In kastoo laga yaaba inaad filato inay fiican tahay inaad ku biirto diyaarada aad ku duusho inta ugu badan, waa inaad ogaataa xuquqaha la baxsho way u kala duwan yihiin badanaa meelaha loo duulayo waxaana laga yaaba inay ku badan yihiin diyaarado kale oo isla kaashiga ku jira.","travel
"
"Shirkado diyaarado yar ayaa wali bixiyaan qiimaha geerida, oo waxyar dhimaayo kharashka safarta daqiiqada ugu dambe.","business
"
Dalxiisayaashu waxa laga yaabaa inay buuqdaan xuduudo kala duwan oo uu hal wadan leeyahay ama inay kaliya diirada saaraan hal goob kaliya.,"travel
"
"Bowen Island waa safar maalmeed caana ama safar fasaxeed ka kooban dhir kor, buur socosho, dukaamo, hudheelo iyo qaar kaloo badan.","travel
"
"In aad ku safarto diyaarad waxay noqon karta qibrad baqdin ah dadka da’ walba ay jiraan iyo xeer walba ay yahin, gaar ahaan haddii aysan hore u duulin ama aysan u laheyn qibrad xaladaha qatarta ah.","travel
"
"Gunaanadkii, gaariga si fiican baad safar waddeed ugu gali kartaa balse way yar tahay inaad ku ""xero"" tagto.","travel
"
"Is diiwan gelinta ayaa shardi dheeraad ku ah hawsha fiisaha. Wadamo qaar, waa inaad ka diiwaan geliso xukunka goobta joogitaankaada iyo halkaad degantahay.","travel
"
Biyo qabatimaha ka durugsan badda ayaa noqon kara goob muuqaal qurxoon taasi oo lagu nasan karo fasaxyada.,"travel
"
"U qaadida dadka kale - Waligaa indhahaaga ha ka qaadin boorsooyinkaaga, qaasatan markaad ka gudbayso xuduudaha caalamiga ah.","travel
"
"Vikings waxay adeegsadeen biyaha Ruushka si ay u gaadhaan Badda Madaw iyo Badda Kasbiyaanka. Qaybo ka mid ah waddooyinkaas ayaa weli la adeegsan karaa. Eeg bal in loo baahan yahay ruqsado khaas ah, kuwaaso ay adkaan karto in la helo.","geography
"
"Kaasatan maalmamaahii hore, waxaad tixgalisaa istaylka reer galbeedka iyo tayada huteelada, cuntada, iyo adeegyada caawimaada.","travel
"
Muwaadiniinta Kuuba ee haysata kaadhka Cagaaran ee Maraykanka waa inay aadaan Qunsuliyadda Ekowodoor si shuruuddan looga dhaafo.,"politics
"
"Waxa la filaya in qiimaha tigidhada xafladda badankoodu u dhexeeyaan ¥2,500 iyo ¥130,000, iyado tigidhadu caadiyana noqonayaan ¥7,000.","entertainment
"
"Xadidaada safar ee wadamada leh cashuurta sare mar marka waxa ay yeelan karaan lacag badan, gaar ahaan marka ay jirto alaabta sida khamrada iyo tubaakada.","travel
"
Sidoo kale sii nuqulo siyaasada/ xiriirada ah asxaabta iyo xigtada safraysa ama asxaabta guryihii ku haray ee ogol inay caawimo baxshaan.,"politics
"
"Yurub waa qaarad yar taas oo ay ku yaalaan wadama yar yar oo madax banaan. Xaalada caadiga, isku safrida wadamo fara badan waxay u baahan tahay keliya y inaad basaboor iyo fiiso wadan ku galka laakin hubinta ayaa aad u fara badan.","geography
"
"Sirena ayaa keli ah saldhigga oo laga helo jiifka degenaansho iyo cunooyin kulul oo dheer xero dhigashada. La Leona, San Pedrillo, iyo Los Patos ayaa laga helaa xero dhigashada keli oo lahayn adeega cunto.","travel
"
"Dalxiisyadu waxay u jaban yihiin kooxaha waawayn, markaas haddaad keligaa tahay ama aad la soco hal saaxiib, isku day inaad la kulantaan dad kale una samaysaan kooxo afar ilaa lix ah si aad u heshaan kharash qofeed kan ka fiican.","travel
"
Waa in aad si taxaddar leh u doorataa duulimaadyada Flyer-kaaga soo noqnoqda.,"travel
"
"Hadii waddanka aad booqan rabto laga rabo talo safareed, caymiskaaga caafimaad ee safarka ama ka safar ka laabashada ayaa saameyn ku dhacaysaa.","travel
"
Inaad gaarigaaga gasho oo waddada qabsato si aad safar u gasho waxay leedahay soo jiidasho iddeeda iyo fudayd.,"travel
"
"Inkastoo, hawada moobelka ay awood badan tahay wadada ilaa meelo dhaadheer tusaale; duurka Pennsylvania.","technology
"
"Wadooyin ka waa weyn ee magaalada, albaabada dhismayaashu waa muraayad iyo xarumo tukaamo casri ah iyagoo lagu saleeyey habka qadiimiga ah midab cas ee jiingada sare, qarnigii 18 aad suuqa, masaajidada iyo kaniisadaha, si kastoo ay ahaataba magaaladu waxay leedahay jawi degan marka loo eego Berigadhexe ee Yurub iyo dhaqan ka Turkey.","travel
"
"Jerusalem ayaa leh goobo badan taarikhi ah, qadiimi, iyo dhaqameed, iyo sidoo kale xaruumaha dukaakaysiga dadka ku badan yihiin, jafeeyada, iyo maqaayadaha.","geography
"
"Sanad walba waxaa la daweeya darsino dhaawaca maxaa yeelay ma aysan sifiican ukala fogaan Xayawaanadan ayaa aad u weyn, duur jooga, lagana yaaba in ay aad halis u yihiin, marka nabad gali.","nature
"
Hubso inaad ogtahay waxa aad soo qaadan karto iyo waxa aadan soo qaadan karin kuna dhawaaqwax kasta oo ka baxsan xadka sharciga.,"crime
"
Diyuuradaha Turkida ayaa u duula 39 meel ee 30 dal Afrikaana 2014.,"travel
"
"Markabka miinooyinka baadha, waxa uu ku socday Puerto Princesa ee Palawan.","disasters
"
Shabakada isku beddelka soo dhawayntu waa urur dadka socdaalka ah ku xira dadka deggan magaalooyinka ay booqanayaan.,"travel
"
"Basaska isugu safra degmoyinka badana waa kuwa buuqa, waxaa lagula telinaya in aad iibsato tikidh ka hor maalmo.","travel
"
Waxay sidoo kale qeexaan wadooyinka lagu socdo iyo kuwa bayskiilka lagu wado.,"geography
"
"Sida ka jirta dhammaan Barxadaha Qaranka ee Koonfur Afrika, waxa jira qarasha ilaalineed iyo geliseed oo barxadu leedahay.","geography
"
"Bulshhadan saxda ah waxay ku nooshahay Howe Sound oo ka yara baxaab Vancouver, waxana si hawl yar loogu gaadhi kaeaa tagsi biyood ka baxa jasiiradda Grandville ee ku taal suuqa hoose ee Vancouver.","geography
"
"Maxaa nidaamka gaadiidka cabashooyinkaas looga keenaa, maxay si maalinle ah ugu fashilmaan? Ma injineerada gaadiidka ayaan xirfadloow ah? Mise wax kale oo ka sii asaasisan ayaa socda?","business
"
"Magaalada waxa ay ku taala wax yar kadiba deggaandega, waana meel soo jiidasho weyn, laakin goobtan dalxiiska ku caanka ah waxa ay fursad u heysa kuwa wax daawada iyo kuwa jecel inee wax cusub sameyan si ay mudo dheer usii joogan.","travel
"
Maraakiibta dalxiiska Saint Petersburg waxay leeyihiin waqti aad ku joogayso tuulada. Rakaabka markabka dalxiiska lagama rabo fiise (eeg shuruudaha),"travel
"
Wixi beddelaad ama codsiyo ah inkastoo ay tahay in lagala xiriiro wakiil safareedka marka hore oo waa inaanan hudheelka toos loo abbaarin.,"travel
"
Inkabadan 60 markab raaxo ayaa ka shaqeeya biyaha Galapagos - cabir qaad kooduna gaarayo 8 ilaa 100 qof,"geography
"
"Hadii ujeedada booqasho meel ee shaqsi tahay mid uu ku doonayo in uu ku ogaado taarikhdeeda iyo dhaqankeda, dalxiiska nuucan waxaa loo yaqaan dalxiis dhaqan.","travel
"
"Aagaga Madiinadii hore way fududahay inaad ka hesho goobo gadaya alaabada dhaqadanka ee Marookaaniyiinta, sida dheryaha, alaabada haraga ka samaysan, shiishadda, iyo alaabo farabadan oo loogu talo galay talxiisayaasha.","travel
"
Musaafiriinta ay u fududahay in ay la qabsadaan dhaqamada cusub mar marka qaar waxaa dhib ku ah in ay la qabsadaan dhaqankooda hooyo.,"travel
"
Qiyaastii toban daqiiqo kahor intaanu dagin wajihidiisa labaad ayaa la waayay.,"disasters
"
Ekwadoor waxay muwaadiniinta Kuuba ka rabtaa inay helaan warqad martiqaad ka hor intaanay ka soo gelin madaarada caalamiga ah ee Ekwador ama goobaha xuduuda ee lag asoo galo.,"politics
"
"Xataa haddii aad dhex mareyso keymaha roobka ee sabtrobikalka, dhoor sikin oo albaabada furto si aad gaariga u gasho ayaa ku filan in kaneeco ay gasho gaariga.","health
"
Rakaabka waxa la saiiyay biyo intay kulka 90(f) digrii ah wax ku sugayeen.,"disasters
"
"Sikasto ha ahaate, tan waa inay ahaanin walaacaada maxaa yeelay dadka dalxiisayo ayaa la bedelaa si loo buuxiyo baabuurta.","travel
"
"Ku noolaanshaha iyo tabaruc kaga shaqaynta waddan ajaanib waa qaab fiican oo aad ku baran karto dhaqan kale, kula kulmayso dad cusub, naftaada aad ku baranayso, oo aad ku helayso dhinac kale oo wax laga arko oo xitaa aad ku baran karto xirfad cusub.","travel
"
"Wakiilada shirkadaha safaradu waxay badiyaa heshiisyo la galaan huteelo khaas ah, inkastoo ay suurto gal kii tahay inaad kiraysato goobaha kale ee la dego, sida xero deegaan, adoo adeegsanaya wakiilka shirkada safarka.","travel
"
"Maraakiibta raaxo qaar ayaa bogooda hore kusoo bandhiga Berlin, Jarmalk. Sida aad ka arki kartana qariirada kor Berlin maahan mid bada u dhaw, booqashadedana laguma darin qiimaha lagu raaco markabka.","travel
"
"In uu sii jarto waqti hore safraha waxay siineysa deganaan, iney helaan meel ay seexdan marka ay gaaran meesha ay u socdaan.","travel
"
"Xeebabka, baarkiyada dal xiiska iyo baarkiga cooska ayaa meelaha sida caadiga ah ay tagaan dadka dalxiisayo.","travel
"
"Dadka raba inay huraan raaxada, waqtiga iyo saadaalinta, ee doonaya inay kharashaadka eber ku dhaweeyaan, ha eegaan odoroska safar ee ugu yar.","travel
"
"Hadii aad haysato waqti dheeraada, bal eeg sida wadarta guud ee noolkaaga Afrika ugu dhigmo noolka adduunka lagu soo wada wareegayo.","geography
"
"Wakiilada safaradu badanaa waxay bixiyaa adeegyo isku xiran oo ka kooban quraac, gaadiid kaa soo / kuu qaadaya madaarka ama xitaa duulimaad iyo hudheelkii oo wada socda.","travel
"
