text,gemini_label
"Metroplos man ɓuri welugo bo himɓe ɗuuɗai tan ni cede man ɓuri nawugo, banning man fu yottai nawugo cede metro je himɓe woowi nastugo je yahata Urop.",business
Ndu footi emma windugo batakewolha jamian tsaro ko bo yaha ha ɗowirɗe sukloɓe do nastirde lesdi.,politics
"Pat fajira, himɓe ɗuɗɗum ɗo wurta wuro maɓɓe petel be mota ɓe nasta wuro manga pellel kuɗe maɓɓe. Ha lawol man ɓe ɗo fotta be himɓe yahata ha ɓe acci.",disasters
"To’a vowai lanyugo ha lawol manga saito a wati hakkilo masin, gangara, lawol petel, kogiingol dudi masin.",disasters
"Dillugo be kosɗe on fuɗɗorde no himɓe naftiri be yotta ha fere, himɓe fuɗɗi ɗum tun duuɓi miliyon ɗiɗi je saali de homo erektus en wurti.",science
(Voyagers) himbe mai je yidi wadu go fasikaku hani be wata kuje kesum ha lesde yasi gambe heba esini wartu go.,travel
Habaru fere bo kanjum on dow himɓe wari ziyaara wuro bo je joɗata ha pellel fere na haɗo ba saito ɓe waɗi regista. Amma doka ɗo saito a emi a nana kop banning man on.,politics
Ha jahan gal har der ledde yami yaso kokumah ha lesde kesum je a yahi- ta hilne be no alada mabbe wani.,travel
"Roobe : be saura roobe watta jahangal do be viya be do mari tegal, ko be bangi ko be bangai.",religion
"Yaadu nanugo beldum do nawi, do yidi goddo mara jamu bandu, wakkati guldum Nov-Feb tan a wawata wadugo dum, bo babe a wawata yahugo burna pat Peninsula, lesde chaka dyam be mayo Ross.",travel
Ha yahugo je babal wawan warta do hauti be je kombawal jahangal yahugo mayo.,travel
"Useni numtu dai aɗo yaha ziyara babal manga on,bo babal je mari ma'ana ɗuɗɗum ha himɓe duniyaru ɗuɗɗum",religion
Tabbutunu to a yotii marinas man kodume wangan. a fottan be himbe je yidi be ustina be lawol ha kombowal bo be yecce te habaru mabbe.,travel
"No vaa’e, patni to’a wodi Visa Schengen, aa duwaka landaade visa je wuroji tawadi e Schengen on fere, bannin man ustan wakkati, chede be golle kaidi.",travel
In wawan nafturungo mota daidai toh en taskini be hakkilo be dabare amma 4×4 to heban buri bo pellel ji duddum awawata salugo sai be mota mari sembe bana 4×4.,technology
"To a ɗon dilla ha dow kankara, takkol kosɗe ustamma e footay a lanya bana a ɗon do lawol dogginugu mota.",travel
"Haurugo Taxis ɗo waɗa jahangal feuta bo be lau lau to a yahan pellelji dayai sossai, bana Paro (nu 150) be Punaka (Nu 200).",travel
Keya Funeereejo Ota man habdi darna jirgi PNG CG4684 ha Kokoda amma meɗi fasutuggo.,disasters
"Be jamma danobe jirgi leddi, (passports) wawan jaba je hakkilobe heba naseto be dami be ba tabe do dana.",politics
"Gada man fuddan huwugo satumba je duubi 2017, wakkati je be tammata babal larugo kujeji bako nasta leddi je Brazil timmata.",business
Wala settewal piiroje yabbititta mayo tati ha wakkere fombina( bo skyteam wala yabbita).,travel
"Harni to a wawan joɗugo ha pellel majum, a wawan nyebbutungo bangeere mai nasete a sali a holli ciftinorgol ma ha be moostinta ba fahin.",politics
Goddo tamman dow tokkugo firawol kode hokkete ko belnatama amma toaa foodan tokkugo firawolfere a waawan hebugo ko buri tododo be chede man.,business
"Firawol ɗuɗai je hokkata ceede irugo goɗɗo ha jotta, je ɓustari seɗɗa on ha wakkati karshe je jaahangal mayti.",business
Ngilloɓe wawaan ngilla gureji feere feere ha nder lesdi woore mala lornaa hakkilo maɓɓe ha pelel gotel taan.,politics
"Wuro bowen yaadu yendere wore on ko timmorde asawere je be watta kayaking, va’ugo ka’e, babal shoggu, babal be sorrata nyamdu be fere.",travel
"Waɗugo yaadu be jirgi hulniiɗum ko noi duuɓi ma ko ha a ifti, sakko to’a meɓai fiirugo ko kuje hulnidum medi fe’ugo be ma.",travel
"Ta mi juttina, nafturgo be moota ma huunde boɗɗum on to a waaɗan yaadu amma kanjum be hoore man laatan laawol yahugo “jipporde”.",travel
"Nastungo hore ma do der ko be mari haje to ado tefa visa. ha lesde fere, se to a nastini horema be babal a jodata ha baabal hukuma babal man.",travel
Lawol ndiyam je woni nder wuro voɗinan babal siutaare.,nature
A hakkila be ndongal ma to a ɗo jogina himɓe fere je maɓɓe balle to a tsallikan boda leddi yasi.,politics
"Vikings naftiri be ndiyam mayo je saliri Russia ɓe yottita Black Sea be Caspian Sea. Labi fere mai ha jotta wawan nafturgo. Ɗaɓɓita yarda je musamman, je ɗo waɗa bo ne heɓugo.",geography
"Wala ba balde a fuddi, habdu wadugo jonde himbe hirna be babal walugo boddum, nyamdu be kujeji valla man vowugo.",travel
Himbe cuba je mari carti us je haako haako yaha babal Ecuadoria be jeba derewol je na seto be wadi ba.,travel
"Kobe tammi kusan pat paper nastugo kombawal do yara chede chaka ¥2,500 be ¥130,000, be asali paper man do yara bana ¥7,000.",business
Himɓe waɗata yadu yaha leddi jaɓata cede nastungo kujeji ɗuɗɗum wawan usta cede barata ha dow kujeji bana mbal ko taba.,travel
Bo du hokka no gomnati yidini dum/ be copiji nyinde ji mabbe je jahale be obbe be derdirabe ko sobirabe toh be warti sare be vallita.,politics
"Europe hautorde lesde petel on amma do mari lesde duddum je barata be hore majum. to kujeji don no handi, yaadu hedi lesde duddun nufa seto a tefi visa bo a tokka hedi himbe larata hoto leddi masin.",politics
"Sirena kanjum tan on (ranger station) je hokkata babal walugo be nyamdu wulinga be beddari je babal walugo. La Leona, san pedrillo be los patos do hokka tan babal walugo bow ala hokkugo nyamdu.",geography
"Tarol wuro buri hoyugo to on do duudi, to an tan on ko be sobajo gotel, habdu a fotta be himbe fere se on hauta hore mon bana himbe nai yahugo jego jam chede kala goddo fu hoya.",travel
A subta kampany jirgi je a naftirta burna wakkati fu be hakkillo.,politics
"To awadan jahangal yahugo laddi fere bo larti wodi sawara ta himbe wada jahangal mai gam dalilaji, insurance jamu ma ya yadu mai ko insurance yadu ma heban damuwa.",travel
