text,gemini_reply
"MetroPlus нисбатан бароҳаттар ва камодамтар аст, вале камтар қимматар, гарчанде аз чиптаҳои одатии метроҳои Аврупо арзонтар мебошад.","travel
"
Барои ин зарурияти пур кардани шакли махсус дар полиси маҳаллӣ ё ин ки ташриф овардан ба хадамоти муҳоҷиратӣ ба миён меояд.,"politics
"
"Ҳар субҳ одамон бо мошинҳо шаҳракҳоро тарк намуда, ба ҷойи кори худ мераванд ва аз назди онҳое мегузаранд, ки ҷойи корашон маконест, ки аз он ҷо ҳамин ҳоло бо мошин рафтанд.","society
"
"Агар шумо ба рондани мошин дар роҳҳои байни деҳот одат накарда бошед, худро ба даст гиред: нишебиҳои баланд, мавзеҳои танг ва хамгашти сахт бартарӣ доранд.","travel
"
"Воситаи аввалини нақлиёт ин пиёда гаштан буд, инсонҳо ду миллион сол пеш бо эҳтиёҷоти Ҳомо Еректус (маънояш инсони рост) роҳ мегаштанд.","history
"
"Менеҷерони гузарондани ҷарроҳии тағйири ҷинсро дар хориҷа ба нақша гирифтаанд, бояд боварӣ ҳосил кунанд, ки ҳангоми баргашт бо худ ҳуҷҷатҳои эътиборноки сафар доранд.","health
"
"Дар ҳолатҳои дигар, танҳо онҳое бояд ба қайд гирифта шаванд, ки берун аз ҷойҳои сайёҳӣ қарор доранд. Аммо, ин қонунро хеле нофаҳмотар менамояд, бинобар ин қаблан иттилоот гиред.","travel
"
"Ҳангоми бори аввал ба як кишвари рӯ ба тараққӣ ё ба як кишвари нави ҷаҳон сафаркунӣ, садамоти эҳтимолии фарҳангро нодуруст баҳо надиҳед.","travel
"
"Занҳо: Тавсия мешавад, ки ҳамаи занҳои сафаркунанда бигӯянд, ки оиладор ҳастанд, новобаста аз ҳолати воқеии оилавӣ.","travel
"
"Сафарҳои туристӣ гаронарзиш буда, омодагии ҷисмониро талаб менамоянд, метавонанд танҳо дар тобистон ва то моҳҳои ноябр-феврал сурат гиранд ва асосан танҳо дар дохили нимҷазира, ҷазираҳо ва баҳри Росс сурат мегиранд.","travel
"
Боздиди он маконро ба таври қулай бо сафар бо заврақ ба кӯл якҷоя кардан мумкин аст.,"travel
"
"Лутфан дар хотир доред, ки шумо дар воқеъ макони қабрҳои оммавӣ, инчунин ҷойи барои қисми зиёди аҳолии кураи замин аҳамияти бузургдоштаро зиёрат мекунед.","religion
"
"Боварӣ дошта бошед, ки вақте шумо ба бандаргоҳ мерасед, ҳама чиз аён мешавад. Шумо бо сайёҳони автостоп бо киштиҳо вомехӯред ва онҳо маълумоташонро ба шумо мегӯянд.","travel
"
"Ба ҳамин монанд, ҳангоми доштани раводиди Шенген ба шумо алоҳида муроҷиат кардан барои гирифтани раводид барои ҳар як кишвари Шенген лозим нест, ки ба сарфаи вақт, пул ва ҳуҷҷатҳо имкон фароҳам меоварад.","travel
"
"Инро метавон бо як мошини муқаррарӣ ва бо нақшакашии бодиққат анҷом дод, вале 4х4 суботкорона тавсия дода мешавад ва ба аксари мавзеъҳо танҳо бо 4х4, ки заминаи баланди чархҳо дорад, рафта мешавад.","travel
"
Дар роҳҳои яхбаста ва барфӣ молиш кам аст ва шумо наметавонед мошинро ба монанди дар болои асфалти урён будан идора кунед.,"disasters
"
"Таксиҳои муштарак роҳи зуд ва қулайи расидан ба ҷойҳои наздик, аз қабили Паро (№150) ва Пунажа (№ 200) ба шумор мераванд.","travel
"
"Twin Otter кӯшиши дар Кокода ҳамчун хатсайри CG4684 ширкати ҳавопаймоии PNG фуруд омаданро кард, вале як маротиба алакай рад шуда буд.","disasters
"
"Дар қатораҳои хоби шабона, кондуктор барои халалдор насохтани хоби мусофирон метавонад шиносномаҳоро ҷамъ оварад.","travel
"
"Мавриди истифода қарор додани пул моҳи сентябри соли 2017 вақте ба нақша гирифта шудааст, ки тахминан сохтмони постгоҳҳои гумрукии Бразилия ба итмом расад.","business
"
Ҳеҷ кадоме аз иттиҳодияҳои ҳавопаймоӣ ҳар се убури уқёнусро дар нимкураи ҷанубӣ фаро намегиранд (SkyTeam ягон убуркуниро фаро намегирад).,"travel
"
"Чӣ қадаре, ки шумо дар ин минтақа меистед, шумо одатан метавонед сарҳадҳоро бидуни дубора гузаштан аз гузаргоҳҳои назорати шиноснома убур кунед.","travel
"
"Гарчанде ки шумо ҳамроҳшавиро ба ширкати ҳавопаймоие, ки шумо бештар бо он парвоз мекунед, беихтиёрона ҳисобед ҳам, шумо бояд донед, ки аксар вақт имтиёзҳои пешниҳодшаванда фарқ мекунанд ва барои парвозҳои паиҳам бо ширкати ҳавопаймоии дигари ҳамон иттиҳод метавонанд холҳои бештар ба даст биёранд.","travel
"
"Шумораи ками ширкатҳои ҳавопаймоӣ то ба ҳол тарофаҳоро барои сафари марбут ба талафоти гаронро пешниҳод мекунанд, ки арзиши сафарро дар охирин лаҳзаи ҷаноза кам мекунанд.","travel
"
Сайёҳон метавонанд аз ҷойҳои тамошобоби мухталифи ин ё он кишвар дидан намоянд ё онҳо танҳо ба як минтақа таваҷҷӯҳ зоҳир карданро авлотар мешуморанд.,"travel
"
"Боуэн Айленд макони хуб барои сафар дар як рӯз ё экскурсия дар рӯзҳои истироҳатӣ мебошад, ки заврақронӣ, сайру гашт, харидкунӣ, тарабхонаҳо ва ғайраҳоро пешкаш мекунад.","travel
"
"Сайёҳат кардан бо ҳавопаймо барои ҳамаи одамони синну сол ва нажодашон гуногун метавонад таҷрибаи тарсовар бошад, хусусан агар онҳо қаблан парвоз накарда ва ё ҳодисаи мудҳишро аз сар гузаронда бошанд.","travel
"
"Қиссаи кӯтоҳи гап ҳамин, ки истифодаи мошини худ як роҳи олиҷаноби ба сафар баромадан аст, аммо баъзан он худ ҳамчун ""лагер"" хизмат мекунад.","travel
"
Барои гирифтани раводид бақайдгирӣ ҳамчун талаботи иловагӣ ба шумор меравад. Дар баъзе кишварҳо шумо бояд ҳузур ва суроғаи зисти худро дар мақомоти маҳаллӣ ба қайд гиред.,"travel
"
Роҳҳои обии дохилӣ метавонанд як мавзӯи хубе барои ташкили истироҳат дар гирду атроф бошанд.,"travel
"
"Кашонидани бор барои дигарон - Ҳеҷ гоҳ ҷомадонҳои худро аз пеши чашми худ дур накунед, хусусан вақте ки сарҳадҳои байналмилалиро убур мекунед.","travel
"
Викингҳо баҳри расидан ба баҳрҳои Сиёҳ ва Каспий аз роҳҳои обии Русия истифода мекарданд. Имрӯз низ истифода бурдани баъзе аз хатсайрҳои мазкур имкон дорад.,"geography
"
"Хусусан дар рӯзҳои аввалини худ, сарф кардани пулро ба меҳмонхонаҳо, хӯрок ва хизматрасониҳои услуб ва сифати ғарбӣ ба назар гиред, то ки ба акклиматизатсия кумак кунед.","travel
"
"Шаҳрвандони Куба, ки дорандагони «грин-корт»-и ИМА ҳастанд, барои аз ин талабот озод шудан бояд ба Консулгарии Эквадор муроҷиат намоянд.","politics
"
"Интизор меравад, ки аксари чиптаҳои чорабиниҳо аз 2500 то 130 000 юан арзиш доранд ва дар баробари ин чиптаҳои маъмулӣ тақрибан 7000 юан меистанд.","entertainment
"
"Сайёҳони ба кишварҳои андозбандии баланд рафта баъзан метавонанд миқдори зиёди пулро сарфа намоянд, махсусан барои молҳои ба монанди нӯшокиҳои спиртӣ ва тамоку.","travel
"
"Инчунин ба ҳамсафарон ва хешовандон ё дӯстоне, ки майли кӯмакрасонӣ доранд, нусхаҳои қоидаҳо/тамосҳоро пешниҳод кунед.","travel
"
"Аврупо қитъае мебошад, ки нисбатан хурд аст, аммо дорои шумораи зиёди кишварҳои соҳибистиқлол мебошад. Дар шароити муқаррарӣ, саёҳат аз байни якчанд кишвар бисёр маротиба гузаштани тартиботи гирифтани раводид ва назорати шиносномавиро талаб мекунад.","travel
"
"Сирена ягона истгоҳи идораи ҷангалбоние мебошад, ки ба ғайр аз хаймазанӣ манзил ва хӯроки гарм пешниҳод менамояд. Ла Леона, Сан Педрилло ва Лос Патос танҳо кемпингҳои бе хӯрок пешниҳод менамоянд.","nature
"
"Нархи турҳои сайёҳӣ барои гурӯҳҳои бузург арзонтар меафтанд, аз ин лиҳоз, агар шумо танҳо ё бо як дӯстатон бошед, барои шиносшавӣ бо дигар одамон кӯшиш намоед ва гурӯҳи аз чор то шаш нафарро барои дарёфти нархи беҳтарин барои як нафар ташкил диҳед.","travel
"
Шумо бояд ширкати ҳавопаймоии Frequent Flyer-и худро бодиққат интихоб намоед.,"travel
"
"Агар кишвари ташриф меовардаатон мавзӯи машваратдиҳӣ ҳангоми сайёҳат гардад, он метавонад ба суғуртаи тиббӣ ё суғуртаи бекор кардани сафаратон таъсир расонад.","travel
"
Саворшавӣ ба мошини шахсии худ ва равонашавӣ ба сафари дуру дароз дар бетакаллуфии худ ҷолибияти хосе дорад.,"travel
"
"Вале аҷиб аст, ки хизматрасонии телефони мобилӣ дар ин ҷо нисбат ба қитъаҳои дигари масир, масалан, Пенсилвания Вилдс, хеле боқувваттар аст.","technology
"
"Гулгаштҳои васеъ, биноҳои бо шиша ороиш додашуда ва марказҳои савдои муосир дар ҳамроҳӣ бо бомҳои анъанавии сурх, бозори асри XVIII, масҷидҳо ва калисоҳои қадимӣ мебошанд, гарчанде ки шаҳр назар ба Туркияи анъанавӣ бештар фазои Аврупои Миёназаминро дорад.","travel
"
"Иерусалим ҷойҳои таърихӣ, бостонӣ ва фарҳангии зиёд, ҳамзамон соҳиби марказҳои савдо, қаҳвахонаҳо ва тарабхонаҳои пурғавғо ва серодам мебошад.","geography
"
"Ҳар сол даҳҳо меҳмон аз сабаби риоя накардани масофаи мувофиқ захмдор мегарданд. Ин ҳайвонот калон, ваҳшӣ ва эҳтимолан хатарнок мебошанд, барои ҳамин бо онҳо фазои муайянро таъмин намоед.","nature
"
"Ҳатман аниқ кунед, ки шумо чиро метавонед ва наметавонед биёред ва ҳар он чизе, ки аз маҳдудияти қонунӣ берун аст, расман қайд кунед.","travel
"
Ширкати ҳавопаймоии Turkish Airlines дар соли 2014 ба 39 нуқтаи таъиноти 30 кишвари африқоӣ парвозҳоро анҷом медиҳанд.,"travel
"
"Киштии тралдори дараҷаи ""Avenger"", киштӣ ба Пуэрто-Принсесаи Палаван равон буд.","disasters
"
"Шабакаи мубодилаи меҳмоннавозӣ созмонест, ки сайёҳонро бо мардуми маҳаллии шаҳрҳое, ки онҳо ташриф меоваранд, мепайвандад.","travel
"
"Тавсия мешавад, ки шумо чиптаро чанд рӯз пеш бихаред, чунки аксарияти вақт автобусҳои байниноҳиявӣ пур мебошанд.","travel
"
Онҳо инчунин хатсайрҳои машҳурро барои кӯҳнаварди ва роҳҳои велосипедрониро муайян менамоянд.,"travel
"
"Ба мисоли ҳама боғҳои Африқои Ҷанубӣ, барои даромад ба он ва ҳифзи ҳаррӯзаи он, маблағ супорида мешавад.","nature
"
"Ин ҷомеаи аслӣ дар Хоу Саунд, ки дар наздикии Ванкувер ҷойгир аст ва ба осонӣ тавассути таксиҳои обии ба нақша гирифташуда, ки аз Гранвилл Айленд дар маркази Ванкувер мераванд, дастрасӣ пайдо мекунанд.","geography
"
"Аз кадом сабаб системаҳои нақлиётӣ чунин шикоятҳоро ба ҷо меоранд, чаро онҳо ҳар рӯз ноком мешаванд? Оё ба таври сода муҳандисони соҳаи нақлиёт бемаҳорат мебошанд? Ё ягон чизи муҳимтар рӯй дода истодааст?","technology
"
"Шаҳр дар наздикии шаршараҳо воқеъ буда, онҳо ҷойи асосии тамошобоб мебошанд, вале ин самти сайёҳӣ ҳам ба ҷӯяндагони ҳодисаҳо ва ҳам ба сайёҳон имкониятҳои зиёдро ҳангоми зиёдтар истодан дар он ҷо пешниҳод мекунад.","travel
"
Ба крузҳо дар Санкт-Петербург вақти будубош дар шаҳр дохил мешавад. Мусофирони круизҳо аз талаботи раводид озод карда мешаванд (шартҳоро муайян кунед).,"travel
"
"Ҳама гуна тағйирот ё дархостҳо бояд сараввал тавассути агентии сайёҳӣ, на ин ки мустақиман ба меҳмонхона фиристода шаванд.","travel
"
Дар обҳои Галапагос зиёда аз 60 киштии саёҳатӣ бо ғунҷоиши аз 8 то 100 мусофир рафтуомад мекунанд.,"travel
"
"Агар ҳадафи ташрифоварӣ ба макони муайян аз ошноӣ бо таърих ва фарҳанги он иборат бошад, пас ин навъи туризм бо номи туризми фарҳангӣ машҳур аст.","travel
"
"Дар гирду атрофи Мадинаи қадим, ҷойҳоеро бо осонӣ ёфтан мумкин аст, ки молҳои анъанавии Марокаш мефурӯшанд, ба мисли тажин, кулолиҳо, маснуоти чармӣ, калян ва тамоми намудҳои гигавҳо, аммо ҳамаи инҳо ин барои сайёҳон аст.","travel
"
Ба сайёҳони ба осонӣ ба фарҳанги нав мутобиқшаванда баъзан барои фарҳанги ватании худ одат кардан душвор мегардад.,"travel
"
"Тақрибан даҳ дақиқа қабл аз оне, ки он бояд баъди даромади дуюм фуруд меомад, нобуд гашт.","disasters
"
"Эквадор талаб мекунад, ки шаҳрвандони Куба пеш аз даромадан ба Эквадор тавассути фурудгоҳҳои байналмилалӣ ё нуқтаҳои қабули сарҳадӣ мактуб-даъватнома гиранд.","politics
"
"Ҳатто агар шумо аз байни ҷангали субтропикӣ ҳаракат карда истода бошед, дарҳои кушода дар муддати чанд сония ҳангоми ба мошин ворид шуданатон барои хомӯшакҳо кофӣ мешавад, ки ҳамроҳи шумо ба мошин дароянд.","nature
"
Ба мусофирон вақти дар гармии 90°(F) интизор буданашон об дода шуд.,"travel
"
"Бо вуҷуди ин, ҳодиси мазкур набояд шуморо нороҳат созад, зеро аксар вақт сайёҳон ҳаракат мекунанд, то ки мошинҳо пур шаванд.","travel
"
"Зистан ва ихтиёрӣ будан дар кишвари хориҷӣ роҳи олиест барои шинохтани фарҳанги дигар, шинос шудан бо шахсони нав, дар бораи худ донистан, ҳисси дурнамо ва ҳатто ба даст овардани малакаҳои нав мебошад.","travel
"
"Намояндагони оҷонсиҳои сайёҳӣ аксаран бо меҳмонхонаҳои мушаххас ҳамкорӣ доранд, гарчанде ки шумо имкон дошта метавонед, ки тавассути намояндаи оҷонсии сайёҳӣ шаклҳои дигари манзилро, ба монанди майдончаҳои хаймазанӣ, банд кунед.","travel
"
"Дар баъзе круизҳо дар брошюраҳо дар бораи Берлин, Олмон иттилоъ дод мешавад. Тавре дар харитаи боло дида мешавад, Берлин дар наздикии баҳр нест ва ташрифоварӣ ба шаҳр ба нархи круиз дохил намешавад.","travel
"
"Фармоиши пешакӣ ба саёҳон оромиши хотирӣ мебахшад, чунки баъди ба ҷойи зист расидан, онҳо ҷойи хоби муайян хоҳанд дошт.","travel
"
"Соҳилҳо, боғҳои тематикӣ ва майдончаҳои урдугоҳҳо аксар вақт ҷойҳои маъмултарини сайёҳон барои фароғат мебошанд.","travel
"
"Барои онҳое, ки мехоҳанд барои ба сифр коҳиш додани хароҷотҳояшон бо ҳузуру ҳаловат, вақт ва пешгӯишавандагии худро қурбон кунанд, ба буҷаи ҳадди аққали сафар нигаранд.","travel
"
"Агар шумо ҳангоми сафар вақти иловагӣ дошта бошед, он гоҳ нархи умумии сафаратонро ба Африқо бо тарофаҳои сайёҳати гирдиҷаҳонӣ қиёс карда бароед.","travel
"
"Оҷонсиҳои сайёҳӣ маъмулан бастаҳое пешниҳод мекунанд, ки ба онҳо субҳона, таҳвилдиҳӣ аз/ба фурудгоҳ ё ҳатто бастаҳои муштараки парвозҳо ва меҳмонхонаро дохил мешаванд.","travel
"
Ҳавопаймо ба Иркутск ҳаракат менамуд ва онро нерӯҳои дохилӣ идора мекарданд.,"disasters
"
"Ҳангоми баъди истиқомат дар хориҷа ба ватан баргаштан, шумо ба фарҳанги нав мутобиқшуда мебошед ва баъзе одатҳои фарҳанги ватании худро аз даст додаед.","travel
"
"Ин маънои онро дорад, ки шумо метавонед ба шаҳри таърихӣ барои ду рӯзи пурра ташриф оред ва шабона ба киштӣ баргашта, дар он ҷо хоб равед.","travel
"
Меъморӣ бо тарроҳӣ ва сохтмони биноҳо машғул мебошад. Меъмории ягон ҷой метавонад аксар вақт худ ба худ диққати сайёҳонро ҷалб намояд.,"travel
"
"Ба ширкатҳои ҳавопаймоие, ки чунин хизматрасониҳоро пешниҳод мекунанд, Air Canada, Delta Air Lines, Lufthansa, инчунин WestJet дохил мешаванд, ки парвозҳояшонро аз ИМА ё Канада анҷом медиҳанд.","travel
"
"Маъмулан гузаргоҳҳои назорати сарҳадии воридоти шаҳрвандони хориҷӣ ҳангоми фурудоӣ аз ҳавопаймо, киштӣ ё дигар воситаи нақлиёт аввалин истгоҳ маҳсуб меёбад.","politics
"
"Баъзе меҳмонхонаҳо аз давраи тиллоии роҳи оҳани буғӣ ва киштиҳои уқёнусӣ мерос доранд; пеш аз Ҷанги дуюми ҷаҳонӣ, дар асри 19 ё аввали асри 20.","travel
"
Гома шаҳри сайёҳии Ҷумҳурии Демократии Конго воқеъ дар шарқи дуртарин дар наздикии Руанда мебошад.,"geography
"
Талаботҳои мазкур баҳри таъмини гардиши муташаккилонаи муҳоҷират миёни ҳарду кишвар пешбинӣ шудааст.,"politics
"
"Гарчанде ки ҷазира ҳаҷман хурдтар аст, он ба баъзе меҳмонони бузургсоли Ҳавайӣ марҳилаи то ба дастоварии соҳибистиқлолии давлатиро бидуни ҳама меҳмонхонаҳои асосии сайёҳӣ ва дигар иншоот хотиррасон мекунад.","travel
"
"Туризми табиӣ таваҷҷӯҳи мардуми ба тамошои минтақаҳои табиӣ рағбатдоштаро ба худ ҷалб мекунад, то аз манзараҳо, аз ҷумла ҳайвонот ва растаниҳои ваҳшӣ ҳаловат баранд.","travel
"
"Аз тарафи дигар, дар бисёр кишварҳо шароити яхбандӣ ва барфӣ падидаи муқаррарӣ буда, ҳаракат дар давоми сол асосан ба таври мутассил идома меёбад.","nature
"
Сафари бешубҳа бузургтарин макони тамошобоби сайёҳӣ дар Африқо ва макони дилкаш барои бисёр меҳмонон ба шумор меравад.,"travel
"
"Барои воридшавӣ ба маъбад гузарномаи Ангкор лозим аст, бинобар ин ҳангоми равонашавӣ ба Тонл Сап шиносномаи худро фаромӯш насозед.","travel
"
"Ба меҳмонони вақти маҳдуд дошта тавсия мешавад, ки беҳтараш вақти худро дар дигар ҷойҳо гузаронанд.","travel
"
"Финляндия барои киштиронӣ макони муносибест. Инчунин ""Замини ҳазор кӯл"" дар кӯлҳо ва архипелагҳои соҳилӣ дорои ҳазорҳо ҷазираҳо мебошад.","geography
"
