question,gpt_reply
Welke uitspraak over de gasten van het hostel is onjuist?,"D: De meeste gasten kwamen uit de heilige stad

Deze uitspraak is onjuist omdat, volgens de gegeven informatie, de meeste gasten van het hostel inwoners waren van de Verenigde Arabische Emiraten en niet afkomstig waren uit Mekka, de heilige stad."
Welke uitspraak is waar volgens de tekst?,C: De gasten waren daar op de vooravond van de Hajj-pelgrimstocht
Welke informatie over de botsing is volgens de tekst onzeker?,"A: De afmeting van de botsing
C: De impact van de botsing op de aarde

Deze informatie is volgens de tekst nog onzeker, aangezien wetenschappers nog steeds proberen te achterhalen hoe groot de botsing is geweest en hoe deze de aarde zal beïnvloeden."
Wat moet er volgens de tekst nog worden achterhaald over de botsing?,D: De exacte omvang van de botsing
Op welke plek stond Batten ooit op de lijst met rijkste Amerikanen?,C: 190
Waar doneerde Batten geld aan?,B: De universiteit van Virginia
Wat maakt geen deel uit van het wetsvoorstel dat door gouverneur Arnold Schwarzenegger is ondertekend?,C: Een verbod op de verkoop of verhuur van gewelddadige videogames aan minderjarigen buiten Californië
Wie hoorde(n) niet wat er werd gezegd?,C: Miller
Welke uitspraak over Millers ervaring tijdens de hoorzitting is volgens de tekst juist?,B: Hij lette niet op terwijl hij zich aan het voorbereiden was
Wie stelde voor om de 'Clean Air Act' te herschrijven?,C: Jack Layton
We beweerde dat de 'Clean Air Act' werd gebruikt als verkiezingsstunt?,D: Een federaal parlementslid
Wat vormden de verbindingen cyanuurzuur en melamine nadat ze met elkaar reageerden in kattenurine?,C: Kristallen
Wat hebben onderzoekers waargenomen met behulp van infraroodspectroscopie?,B: Samenstelling van kristallen in de urine van huisdieren
Wie noemde Luna de 'Queen of Extreme'?,D: Tommy Dreamer
Wie noemde Luna 'raar'?,B: Dustin Runnels
Wat is er niet gebeurd met de bestuurder die betrokken was bij de botsing?,C: Hij is overgebracht van een ziekenhuis in Cambridge naar een ziekenhuis in Great Yarmouth
Wat was niet opvallend aan het spel van Zuid-Afrika tijdens het rugbytoernooi?,C: Gepolijst spel aan het begin van het toernooi
Wanneer begon het spel van Zuid-Afrika volgens de tekst beter te worden?,D: In de loop van het toernooi
Welke uitspraak is volgens de tekst geen juiste weergave van de economie van China?,"D: China heeft nooit meer auto's geëxporteerd dan Duitsland

Volgens de tekst heeft China afgelopen jaar voor het eerst meer auto's geëxporteerd dan Duitsland. Dus uitspraak D is onjuist volgens de tekst."
Wanneer kan het BNP van China groter zijn dan van de Verenigde Staten?,B: Binnen twee decennia
Wat is het voorstel van Hu voor ontwikkelingslanden?,D: De oude manier van vervuilen vermijden
Wat werd door Hu niet genoemd?,D: Een cijfer voor de vermindering van de koolstofdioxide-uitstoot
Waar is de situatie volgens Veerman niet goed?,B: Angola
Wie vervangt Huhne in het kabinet vanwege de vervolging?,A: Davey
Wie neemt de taken als minister van Handel over vanwege de vervolging?,A: Lamb
Wat stimuleren de performers het publiek om te doen tijdens de opera van Camille Saint-Saens?,A: Deelnemen aan het roken van cannabis
Wie rookt/roken er vooral joints tijdens de opera?,C: De performers
Wat is een andere naam voor de 'ruimtewandeling' door Leonov?,C: Extravehicular Activity
Van welke missie leidde Leonov het deel van de Sovjet-Unie?,B: Apollo-Soyuz
Wie is er gewond geraakt bij het ongeval?,A: Gibson
Wat is er gebeurd met de mensen die betrokken waren bij het ongeval?,"B: Eén was er gewond, één is overleden"
Waarvan wilden de wetenschappers die aan het programma werkten de effecten zien?,B: De getijdenkrachten
Waarvan namen de wetenschappers materie waar?,D: De Sagittarius Galaxy en de Melkweg
Wat wordt er volgens de tekst niet bekritiseerd door conservatieven?,B: Het gebrek aan reconstructiewerkzaamheden
Wie had er kritiek op de reconstructiecontracten na de orkaan Katrina?,B: Liberalen
Waar zal het licht van de Stardust-capsule volgens de tekst het eerst te zien zijn?,B: Noord-Californië
Welk record zal volgens de tekst door het ruimtevaartuig worden gevestigd?,C: Het snelste terugkeren naar aarde
Wat was de relatie tussen dr. Malar Balasubramanian en Saroja Balasubramanian?,B: Dochter
Waar werd het lichaam van Sara Balasubramanian gevonden?,C: In kofferbak van auto
Wat heeft eBay overgenomen?,C: Skype
Wat wil eBay met de overname bereiken?,B: Uitbreiden naar nieuwe gebieden
Wie hadden er volgens de tekst geen interactie met de gevangenen die na het gevecht achterbleven op de binnenplaats?,"B: Brandweer

De brandweer had geen directe interactie met de gevangenen die op de binnenplaats achterbleven. Hun rol begon pas nadat de brand door de gevangenen was gesticht."
Waardoor kwam er uiteindelijk een einde aan de oproer?,B: Traangas
Waar moet Iran zich volgens Ayatollah Ali Khamenei van bevrijden?,D: De afhankelijkheid van olie
Wie gaf volgens de tekst toe dat de sancties gevolgen hadden voor de Iraanse economie?,A: Hoge bronnen
Wat is geen onderdeel van het Franse stemproces?,"D: Stemmen worden geteld door vertegenwoordigers van kandidaten

In het Franse stemproces worden de stemmen geteld door vrijwilligers onder streng toezicht en volgens specifieke procedures, niet door vertegenwoordigers van kandidaten."
Waar geven stemmers hun gekozen kandidaat aan?,B: Op een vooraf afgedrukt stuk papier
Wat bracht Allen ertoe om acht jaar lang te zoeken naar de Musashi?,D: Zijn interesse in de oorlog
Waar gaf Allen volgens de tekst een groot deel van zijn geld aan uit?,B: Maritiem onderzoek
Wat heeft volgens de tekst waarschijnlijk tot gevaarlijke omstandigheden in en rond de fabriek geleid?,A: Uraniumbrandstof
Wat was geen veiligheidsadvies voor de inwoners na het incident in de fabriek?,C: Geen witte rook inademen
Wat is volgens dr. Moll het meest zorgwekkend aan XDR-TB?,D: Het hoge sterftecijfer
Hoeveel patiënten die de nieuwe variant hebben opgelopen waren zorgmedewerkers?,B: 2
Van welk type technologie maakt het NextGen-systeem gebruik?,A: Satelliet-gebaseerde technologie
Wat is het directe voordeel van NextGen voor luchtverkeersleiders?,B: Preciezer lokaliseren van luchtvaartuigen
Waar hebben historici de FBI niet om bekritiseerd omdat ze daarop gefocust zouden zijn?,C: Intensieve focus op pornografiezaken
Waartoe dwingt het initiatief tegen obsceniteit de FBI?,D: Agenten inzetten op pornografiezaken
Wat gebeurde er met de brandweerwagen die afging op de crash van de JAS 39C Gripen? ,B: Gekanteld
Waarvoor werd de luchthaven na de crash van de JAS 39C Gripen afgesloten?,A: Commerciële vluchten
Wie stond Brzezinski bij gedurende de Iraanse Revolutie?,C: Carter
Wie was National Security Advisor tot 1977?,B: Kissinger
Welke uitspraak over de carrière van Bobek bij Partizan Belgrade is onjuist?,A: Hij heeft ruim 468 doelpunten voor de club gescoord
Welke uitspraak over de carrière van Bobek bij Partizan Belgrade is juist?,A: Hij begon in 1945 bij Partizan te spelen
Welke eigenschappen onderscheiden de Hesperonychus van de Velociraptor?,B: Hij heeft een grotere tweede klauw
Van welke fysieke eigenschap van de soort is de naam 'Hesperonychus' afgeleid?,A: De klauw(en)
Welke uitspraak over de schietpartij is juist?,D: De schietpartij vond plaats in Buffalo
"Welke uitspraak over het evenement waar de schietpartij plaatsvond, is juist?",A: Hij vond plaats tijdens de viering van een trouwdag in Buffalo
Waar vreesden de autoriteiten volgens de tekst in eerste instantie voor wat betreft de Luno?,C: Lekken van brandstof
Welke uitspraak over de motorpech van de Luno is volgens de tekst onjuist?,"B: Het schip had 100 meter brandstof aan boord ten tijde van de motorpech

Deze uitspraak is onjuist omdat er in de tekst staat dat er ""120-160 kubieke meter brandstof aan boord"" was, niet 100 meter brandstof."
In welk decennium werd Algerije onafhankelijk?,C: Jaren 60
Waar waren geen televisieschermen geplaatst voor de begrafenisceremonie?,D: Op het Sint-Pietersplein
Waar vond de begrafenisceremonie plaats?,C: Op het Sint-Pietersplein
Wie werd na de explosie behandeld aan ernstige verwondingen?,B: Niemand
Wie maakte melding van het gaslek?,A: Een bewoner van het gebouw
Hoeveel mensen zijn volgens de tekst bij de aanslag omgekomen?,B: 2
Wiens wapen haperde op een bepaald moment tijdens de aanslag?,B: Uka
Welke sport is uit het programma van de Olympische Spelen gestemd?,C: Honkbal
Welke sport heeft het Internationaal Olympisch Comité in de spelen opgenomen?,C: Rugby union
Voor hoeveel jaar had Arthur Guinness de St James' Gate Brewery aanvankelijk gehuurd?,D: 9000
Hoeveel miljard dollar omzet draait Guinness elk jaar?,C: 14
In hoeveel landen in de Europese Unie is het H5N1-virus vastgesteld?,C: Zeven
Waar is het jongste geval van het H5N1-virus vastgesteld?,A: Frankrijk
Wanneer had Haïti voor het laatst last van de ziekte voordat die werd verspreid door de vredesmacht?,A: Rond 1800
Afval uit welke locatie heeft bijgedragen aan de verspreiding van de ziekte?,B: Het VN-kampement
Wat is de Ierse overheid van plan te gaan doen?,B: Strengere wetgeving invoeren ten aanzien van de toelaatbaarheid van drugs
Wat was tijdelijk legaal in Ierland?,D: Drugs
Waar wordt de verdachte op onderzocht?,A: Betreden van verboden terrein
Wat heeft de verdachte niet gedaan bij het aanpassen van het bord?,C: Fysieke schade toebrengen
Waarvan werd de docent Engels Karno volgens de tekst niet beschuldigd?,B: Uitgaan met een student
Wie is volgens de tekst niet ontvoerd door Rolando Mendoza?,C: Kinderen
Van welke gijzelaars is volgens de tekst niet bevestigd dat ze eerder zijn vrijgelaten?,A: De toeristen
Wie verzamelt volgens de tekst handtekeningen ter ondersteuning van legalisatie van het homohuwelijk in Brazilië?,A: Betogers
Aan wie geven de betogers hun petitie?,C: Het Nationaal Congres van Brazilië
Wat gebeurde er volgens het verslag van Armand Versace direct voordat het publiek op het weer begon te reageren?,C: Er was harde wind
Wanneer begon het volgens Versace het hardste te waaien?,D: Vóór de hagel
Hoeveel grote stormen waren er vóór Fred gemeten ten oosten van 35°W?,C: Twee
In welke richting bewoog Fred zich toen hij de Kaapverdische Eilanden naderde?,D: Noordwestelijk
Wat haalt hogere snelheden dan zijn voorgangers?,A: 802.11n
