question,gemma3_answer
Mikä tekstikatkelman mukaan ei olisi oikea vinkki harmonikan soittamiseen?,1
"Kun soitat harmonikkaa, mikä seuraavista auttaa sinua lisäämään äänenvoimakkuutta?",1
Miksi televisiossa olevien kuvien reunat on leikattu?,2
"Millaisia ongelmia saatat kohdata tekstikatkelman mukaan, kun muunnat elokuvan DVD-muotoon?",2
Missä brittiläinen varuskunta sijaitsi?,3
Kenen allekirjoitus näkyi käsinkirjoitetussa kappaleessa?,4
Minne Dunlapin avoarkki saapui viimeisenä?,3
Missä eversti Starkin joukot sijaitsivat?,1
Milloin Starkin miehet pidensivät aitaa tekstikatkelman mukaan?,3
Mikä seuraavista oli tekstikatkelman mukaan Kiinan väkivaltaisin ajanjakso?,4
"Mikä on tekstikatkelman mukaan totta vaeltajamuurahaisyhdyskunnalle, joka on aloittamassa vaellusvaiheen?",2
Mikä seuraavista väittämistä kuvaa tekstikatkelman mukaan vaeltajamuurahaisyhdyskuntien pesimistä vaellusvaiheessa?,3
Mikä seuraavista jatkuu huolimatta ulkoisista ärsykkeistä?,3
"Mikä termi kuvaa yksilöitä, joiden fenotyyppisissä ominaisuuksissa on vaihtelua?",4
"Mikä seuraavista on oikea termi organismeille, jotka sijaitsevat tietyllä alueella?",2
Mikä seuraavista ei ole esimerkki luontomatkailusta?,3
Mikä on tekstikatkelman mukaan liikennejärjestelmän perusta?,2
Millainen on ydintä kiertävien hiukkasten varaus?,3
Mistä hiukkasista ydin koostuu?,1
Mikä seuraavista on tekstikatkelman mukaan esimerkki viiden bitin binääriluvusta?,3
Miksi binäärilukuja myös kutsutaan?,1
Mitä seuraavista ei ole mainittu tekstikatkelmassa oppilaiden bloggaamisen ensisijaisena hyötynä?,2
Mikä seuraavista bloggaamisen näkökulmista on mainittu oppilaiden motiivina kehittää kirjoitustaitoaan?,2
Mikä seuraavista ei ole epäsynkronisen viestinnän hyöty? ,2
Mikä seuraavista epäsynkronisen viestinnän näkökulmista ei ole tekstikatkelman mukaan joustava opiskelijoiden kannalta?,3
"Mitä sellaista tekstikatkelmassa ei mainita, mikä saatettaisiin liittää keskiaikaisiin linnoihin?",1
"Mitä seuraavista ei ole mainittu tekstikatkelmassa tuoksuna tai äänenä, jonka voisi kuvitella linnan raunioiden keskellä?",3
Mikä seuraavista on tarkka kuvaus Kirby Muxloen linnasta?,2
Mitä seuraavista rakentamisen ominaisuuksia voitaisiin pitää epätyypillisenä Kirby Muxloen linnalle tekstikatkelmassa kuvatun ajanjakson aikana?,2
Mikä seuraavista on tekstikatkelman mukaan eniten hyödyllistä tulevaan juoksukauteen valmistautuvalle juoksijalle?,4
Mikä seuraavista on tekstikatkelman mukaan tärkeintä ykkösluokan puolen mailin juoksijalle?,2
Mitä seuraavista urheilija ei voi saada aikaan yksin ravitsemuskäytäntöjen avulla?,3
"Mitä seuraavista ei suositella tekstikatkelman mukaan nuorille urheilijoille, jotta he voisivat nauttia urheilusta enemmän?",2
Miksi keskipitkän matkan juoksija ostaisi tekstikatkelman mukaan kalliimman välineen?,1
Mitä keskipitkän matkan juoksu edellyttää tekstikatkelman mukaan?,3
Kuka löysi ydinmagneettisen resonanssin? ,3
Minä vuonna magneettikuvaukselle myönnettiin ensimmäinen patentti? ,2
"Mitä ihmisten on tärkeä ymmärtää tekstikatkelman mukaan, jotta he voivat tulkita toisten fyysisiä tekoja?",2
Mitä aikomuksen ymmärtäminen auttaa ihmisiä tekemään tekstikatkelman mukaan?,1
Mikä seuraavista on tekstikatkelman mukaan tarkka yhteenveto tekoälyn päätarkoituksena?,4
Mihin seuraavista tekoäly usein liitetään tekstikatkelman mukaan?,3
Mikä seuraavista on konvergentteja ajattelumalleja harjoittavien ihmisten vahvuus tekstikatkelman mukaan?,4
Mitä seuraavista ei pidetä tekstikatkelman mukaan konvergenttien ajattelumallien keskiössä?,2
Mitä seuraavista ei tekstikatkelman mukaan pidetä mikroilmeenä?,4
Mikä seuraavista väittämistä ei ole totta mikroilmeiden tulkinnassa?,3
Mistä seuraavista tuli entistä tärkeämpää renessanssin tuloksena? ,2
Mihin seuraavista ei enää keskitytty renessanssin tuloksena?,1
Mikä seuraavista ei kuvaa motivaatiota käyttää internetiä jatkuvia suhteita varten?,3
Mikä seuraavista ei kuvaa motivaatiota käyttää internetiä henkilökohtaiseen osallistumiseen?,1
Milloin Länsi-Euroopassa lopetettiin tukeutuminen voimakkaisiin vaikutteisiin ja aloitettiin oman tyyli kehittäminen?,1
Mikä johti nappien käyttämiseen vaatteiden kiinnittämisessä? ,3
Mikä seuraavista on tekstikatkelman mukaan mahdollinen pitkäaikainen ratkaisu ympäristöongelmiin?,3
Mitä seuraavista ratkaisuista ei katsottaisi tekstikatkelman mukaan olevan ympäristöongelmien oireiden hoitoa?,2
"Missä maassa oli Euroopassa ensimmäinen sota, jonka pääsyynä oli vallan tasapaino uskollisen kontekstin sijaan?",4
Mitä sotaa kutsutaan joskus viimeiseksi uskonsodaksi?,1
