question,gpt_reply
"Kwa mujibu wa kifungu hiki, ni kipi ambacho hakiwezi kuchukuliwa kama kidokezo sahihi cha kufaulu katika kucheza kodiani?","A: Ili kutoa sauti kubwa, ongeza nguvu ya kugonga vibonye"
"Unapocheza kodiani, ni ipi kati ya zifuatazo itasaidia kuongeza sauti?",A: Kasi zaidi
Kwa nini picha kwenye televisheni hukatwa kwenye kingo zao?,B: Ili picha ifunike skrini yote
"Kwa mujibu wa kifungu hiki, ni shida gani kati ya zifuatazo zinaweza kutokea katika kubadilisha sinema kwenda kwa muundo wa DVD?",B: Maandishi ya tafsiri yaliyokatwa
Ngome ya uingereza ilikuwa wapi?,C: Bordentown
Ni sahihi ya nani iliwekwa kwenye rasimu iliyoandikwa kwa hati ya mkono?,The correct answer is D: Charles Thomson.
"Kati ya maeneo haya, ni yapi yalikuwa ya mwisho kupokea vikaratasi vya Dunlop?",C: London
Majeshi ya Colonel Stark yalikuwa wapi?,"A: Upande wa kaskazini, kando ya uzio"
"Kwa mujibu wa kifungu hiki, wanaume wa Stark waliendeleza lini ua lao?",C: Wakati wa kupwa kwa maji
"Kwa mujibu wa kifungu hiki, ni enzi gani kati ya hizi ndiyo ilikuwa ya vita vikali zaidi?",D: Enzi ya Falme Tatu
"Kwa mujibu wa kifungu hiki, ni ipi kati ya zifuatazo ni kweli kuhusu makoloni ya siafu yanayoingia awamu ya kuhamahama?",B: Wanapata chakula kidogo
"Kwa mujibu wa kifungu hiki, ni kauli gani inaeleza vyema tabia za kuishi za makoloni ya siafu katika awamu ya kuhamahama?",C: Wao hubadilisha viota kila siku
Ni ipi kati ya zifuatazo itaendelea bila kujalisha uwepo wa ishara za nje?,C: Saa za kibiolojia
Ni neno gani linaeleza viumbe ambavyo vinaonyesha tofauti za tabia fulani ya kimaumbile?,D: Polimofiki
"Je, ni istilahi gani kati ya zifuatazo ni sahihi kwa viumbe wanaoishi eneo fulani?",B: Idadi
"Kati ya zifuatazo, ni ipi sio mfano wa shughuli za utalii wa asili?",C: Kutembelea makumbusho ya kisayansi
"Kwa mujibu wa kifungu hiki, ni ipi kati ya zifuatazo ni msingi wa mfumo wa usafiri?",B: Magari ya kibinafsi
Chembe zinazozunguka nyuklia zina chaji gani?,C: Chaji hasi
