question,gpt_reply
"Према овом одломку, шта се не би сматрало тачним саветом за успешно свирање хармонике?",A: За додатну јачину звука повећајте снагу којом притискате дирке
"Када свирате хармонику, шта од наведеног ће вам помоћи да добијете већу јачину звука?",A: Више брзине
Зашто су сликама на телевизији изрезане ивице?,B: Да би слика прекрила цео екран
"Према овом одломку, који од следећих проблема се може јавити када се филм конвертује у DVD формат?",B: Делимично исечени титлови
Где се налазио британски гарнизон?,C: Бордентаун
Чији потпис се налази на ручно писаном нацрту?,D: Чарлс Томсон
"Од следећих локација, где су последње стигле „Данлапове стране“?",C: Лондон
Где су се налазиле трупе пуковника Старка?,A: Дуж ограде на северном крају
"Према овом одломку, када су Старкови људи продужили своју ограду?",C: Током осеке
"Према овом одломку, који од следећих периода је био највише насилан?",D: Епоха Три краљевства
"Према овом одломку, шта важи за војску колоније мрава која започиње номадску фазу?",B: Имају мале залихе хране
"Према овом одломку, која реченица тачно одражава како се гнезде војске колоније мрава током номадске фазе?",C: Свакодневно мењају мравињаке
Шта од наведеног ће се наставити упркос постојању спољних знакова?,C: Биолошки сатови
Који појам описује појединце који показују варијанте одређене фенотипске особине?,D: Полиморфни
Који од следећих појмова је исправан за организме који заузимају одређено подручје?,B: Популација
Шта од следећег не би био пример туристичке активности засноване на природи?,C: Посета музеју науке
"Према овом одломку, шта је од следећег основа транспортног система?",B: Приватни аутомобили
Какво наелектрисање имају честице које круже око језгра?,C: Негативно наелектрисање
Од којих честица се састоји нуклеус?,A: Протона и неутрона
"Према овом одломку, шта је од следећег пример петобитног бинарног броја?",C: 10010
Како се још називају бинарне цифре?,A: Битови
Шта се од следећег не помиње у овом пасусу као примарна корист за студенте од писања блогова?,B: Смањена критика од стране вршњака
Који од следећих аспеката писања блогова се наводи да мотивише студенте да побољшају вештине писања?,B: Потреба да избегну критику
Шта од следећег не представља корист за ученике од асинхроне комуникације? ,"A: Употреба интернета као ресурса

Овај одговор не представља специфичну корист за ученике од асинхроне комуникације. Асинхрона комуникација више се односи на флексибилност у времену за учење и достављање питања, као и контролу темпа стицања знања. Употреба интернета као ресурса је шири концепт који се не односи искључиво на асинхрону комуникацију."
"Према овом одломку, који од наведених аспеката асинхроне комуникације није флексибилан за студенте?",C: Материјал који садржи упутства
Шта у овом одломку није поменуто као нешто што човек може повезати са средњевековним замковима?,D: Витезови
Шта од наведеног није поменуто у одломку као мирис или звук који би могао да се призове међу рушевинама замка?,C: Гозбе
Шта од наведеног представља тачан опис замка Кирби Макслоу?,B: Захтевао је минимално утврђење због релативног мира у земљи у време његове изградње
Које од следећих карактеристика изградње би се сматрале нетипичним за замак Кирби Макслоу током периода који је описан у овом одломку?,B: Темељи изграђени да се одупру нападу
"Према овом одломку, шта би од наведеног било најкорисније за тркача који се припрема за надолазећу сезону?",D: Практиковање гимнастичких вежби за горњи део тела
"Према овом одломку, шта од наведеног је од највеће важности за првокласног тркача на пола миље?",B: Развој издржљивости уместо брзине
"За једног спортисту, шта се од наведеног не може постићи само кроз навике у исхрани?",C: Најбоље перформансе
"На основу овог одломка, шта од наведеног се не предлаже као начин да млади спортисти више уживају у спорту?",B: Константне перформансе на најбољем нивоу
"Према овом одломку, зашто би тркач на средње пруге могао да купи скупљи део опреме?",A: То је њихова лична преференца
"Према овом пасусу, шта захтева трчање на средње пруге?",C: Веома мало опреме
Ко је открио нуклеарну магнетну резонанцу? ,C: Блох и Персел
Које године је одобрен први патент за резонанцу за медицинску дијагнозу? ,B: 1974.
"Према овом одломку, шта би људи требало добро да разумеју да би тумачили физичке радње других?",B: Намеру
"Према овом одломку, разумевање намере помаже људима у чему?",A: У елиминисању неизвесности иза физичких радњи
"Према овом одломку, шта од наведеног је тачан резиме главне сврхе ВИ?",D: Аутоматизовање задатака
"Према овом одломку, са чиме од наведеног се ВИ често повезује?",C: Научна фантастика
"Према овом пасусу, шта од наведеног је снага некога са конвергентним обрасцима мишљења?",D: Памћење шаблона
"Према овом пасусу, шта од наведеног се не сматра фокусом конвергентног обрасца мишљења?",B: Не журити
"Према овом одломку, шта се од наведеног не би сматрало микро експресијом?",D: Подизање палца
Која од следећих тврдњи о интерпретацији микро експресије није истинита?,C: Говор и фацијалне експресије се интерпретирају
Шта је од наведеног постало важније као резултат ренесансе? ,B: Циркулисање знања
На шта од наведеног је стављен мањи акценат као резултат ренесансе?,A: Појединачно присећање
Шта од наведеног не одражава мотивацију за коришћење интернета за одржаване везе?,C: Истраживање путовања
Шта од наведеног не одражава мотивацију за коришћење интернета за лично учешће?,A: Тражење рецепта
Када је западна Европа престала да се значајно ослања на утицаје и почела да развија сопствени стил?,A: Крајем средњег века
Коришћење дугмади за причвршћивање одеће је резултат чега? ,C: Крсташких ратова
"Према овом одломку, шта од наведеног се сматра изводљивим дугорочним решењем за проблеме животне средине?",C: Идентификовање узрока проблема
"Према овом одломку, шта се од наведених решења не би сматрало симптоматским лечењем еколошких проблема?",B: Гашење корена проблема
"У којој држави је избио први рат у Европи за који се говорило да је главни проблем равнотежа моћи, а не верски контекст?",D: Шпанија
Који рат се понекад описује као последњи ‘верски рат’?,A: Тридесетогодишњи рат
Над којим од следећих аспеката Католичке цркве се није вршио надзор?,B: Да ли главни хришћански принципи треба да се мењају
"Према овом пасусу, ко је убијен у Версају?",D: Гардиста
На шта од наведеног руља није натерала краља и краљицу?,C: Посматрање одсецања главе гардисте
Шта од наведеног није било резултат неконвенционалног поморског рата Британије?,C: Измењени су међународни закони
Која тврдња не описује тачно поморску блокаду Немачке од стране Британије?,D: Обезбедила је да неутрални бродови не буду угрожени
"На основу пасуса, за кога је вероватније да ће имати дијагнозу мултипле склерозе?",A: За женску особу од 32 године
"Према овом одломку, учесници у редовним активностима су захтевали већу подршку за шта?",A: Негативну перцепцију бола
"Према овом одломку, како се мачевање обично игра?",D: У формату дуела
"Према овом одломку, шта је од наведеног најбољи показатељ унутрашњег тровања?",D: Флашица са таблетама које се узимају на рецепт
"Према овом пасусу, који је одговарајући први корак када се проверава жртва?",A: Осмотрити лице места
Која од следећих тврдњи не одражава тачно процес провере жртве?,A: Не брините о томе да ли ћете задобити повреде
Које промене подстакнуте Француском револуцијом су имале значајан утицај на људе из радничке класе?,B: Промена фокуса са класе на способност
"Након Француске револуције, на чему је било мање вероватно да се заснива успех у војним и другим занимањима?",B: Класи
За коју јавну услугу се сматра да проузрокује највеће незадовољство у развијеним земљама?,C: Јавни превоз
"Према овом одломку, шта се може рећи о јавном систему превоза?",C: Изазивају много притужби од стране оних који их користе
"Према овом одломку, шта од наведеног може бити тешко проценити због непредвидљивости возача?",D: Ток саобраћаја
Шта се од наведеног користи када се саобраћајни ток представља математички?,D: Густина саобраћаја
Шта су Херши и Чејс користили да убаце сопствени ДНК? ,D: Вирусе
Од чега зависи могућност мутација да се пренесу на потомке?,A: Да ли су ћелије бацилне
"На основу информација датих у одломку, на шта се не ослањају различити ефекти мутација?",A: Колико генетског материјала је погођено
Шта од наведеног није био разлог што су древне културе чувале козе?,C: Нудиле су друштво
Циљ голфа је да се оствари најмањи број чега?,B: Удараца
Где је трава најкраће покошена на голф терену?,B: На зеленом
Која је типична сврха експеримента?,A: Да се елиминише једна или више могућих хипотеза
"Према овом одломку, шта не помаже код управљања научним истраживањима?","А: Само научни метод

Научни метод заправо управља већином научних истраживања, а посматрање и елиминисање могућих хипотеза су део тог процеса."
"Према овом одломку, које тврдње о торнадима нису истините?",C: Већина торнада траје више од три сата
"На основу овог одломка, која од следећих тврдњи тачно описује већину торнада?",D: Могу да чупају дрвеће из земље
Шта су од наведеног људи почели да раде у 16. веку?,D: Прављење телескопа
Колико дуго људи увећавају објекте уз помоћ сочива?,C: Хиљадама година
"На основу овог одломка, шта Мухамедова пећина говори о његовим духовним праксама или вредностима?",A: Он вреднује мир и изолацију
"Према овом одломку, за шта је гвожђе прво коришћено?",D: Шине
"Према овом одломку, зашто су дрвене точкове сменили гвоздени?",D: Гвожђе на шинама их је више оштећивало
"Према овом пасусу, шта је обликовало појединце током периода романтизма?",B: Географија
Која од следећих тврдњи не одражава општу идеју технолошког детерминизма? ,A: Ефекти технологије на друштво су друштвено условљени
"Према овом одломку, шта од наведеног није повезано са повлачењем гудала?",A: Тиши звук
"Према овом одломку, шта од наведеног се повезује са мекшим звуком?",A: Низ лук ознака
Фосили показују да су се руке на крају прилагодиле за примарно коришћење за?,A: Манипулацију
Шта од наведеног тачно описује чланке прстију шимпанзе? ,C: Користе се за ношење терета
Из ког фонда селекција уклања нове генетске варијације?,D: Нескривени
Који процес је одговоран за додавање генетске варијације?,C: Мутација
"На основу информација у овом одломку, шта би од наведеног примат требало да једе да би решио „проблем протеина“?",C: Скакавце
"Према овом одломку, који од наведених проблема није проузрокован недостатком есенцијалних аминокиселина?",A: Проблеми са варењем
Како чланови одређене поткултуре често назначавају своју повезаност са групом?,D: Коришћењем стила као облика симболизма
"Према теорији представљеној у овом одломку, шта се може десити детету које се поистовећује са расном мањином за коју важи стереотип да је прати опасно понашање?",B: Дете ће вероватније учествовати у испољавању опасног понашања
"Према овом одломку, на шта од наведеног би знање детета о расним стереотипима могло да има утицај?",B: Њихово понашање
"Према овом на шта од наведеног, шта од наведеног вероватно неће бити повезано са одгајањем подивљалог детета?","B: Изражене вештине комуникације

Подивљала деца обично немају развијене вештине комуникације јер нису била у социјализованој средини у којој би те вештине могла да науче."
"Према овом одломку, шта од наведеног тачно описује дивље понашање код деце?",B: Дивље понашање може да потиче од недостатка социјализације
"На основу овог одломка, која од следећих пракси није повезана са потрошачком пољопривредом?",B: Производња хране за продају другима
Шта од наведеног тачно описује праксу потрошачке пољопривреде?,D: Још увек је користе пољопривредници у неким земљама
Посета музеју спада у коју категорију туризма?,C: Културни туризам
"Према овом пасусу, шта може да буде приоритет за рекреативне путнике?",B: Одмор од свакодневнице
Шта се у овом пасусу помиње као нешто што је помогло да се смањи страх од промене у локалној цркви?,A: Присећање успешних случајева предузетничког понашања
"Према овом одломку, разумевање сопствене историје могло би да помогне са чиме?",C: Стицање осећаја за место у организацији
Која од следећих тврдњи тачно описује постмодернистички приступ учењу?,D: У учењу нема апсолутности
Која од следећих тврдњи не одражава тачно постмодернистички приступ учењу?,"B: Одређена искуства учења треба да буду приоритетна у односу на друга

Ова тврдња не одражава тачно постмодернистички приступ учењу, јер постмодернизам наглашава релативност и разноликост приступа учењу, а не приоритизацију одређених искустава или знања."
"Након намерног буђења током нормалног периода спавања, шта од овога би утицало на процес прекида сна?",A: Читање сат и по пре него што се поново заспи
Шта од наведеног није тачан опис прекида сна?,"D: Након буђења, циљ је поново заспати у року од два сата

Опис прекида сна означава да је циљ поново заспати у року од 10-60 минута, а не два сата."
Шта се повећава док мозак покушава чешће да има луцидне снове?,D: Време између РЕМ стања
Које од наведених негативних утицаја чести луцидни снови могу да имају на тело?,B: Мање РEM фаза сваке ноћи
"Према овом одломку, на који начин су слични конвенционални и виртуелни тимови?",A: Од оба тима се очекују перформансе на истом нивоу
"На основу овог одломка, која тврдња о физичким и виртуелним тимовима није истинита?",A: Конвенционални тимови обично треба да испуне више стандарде
Шта од наведеног није нешто на шта су усмерене теорије садржаја?,A: Нове жеље које се остварују у одраслом добу
Шта од наведеног није објекат правила трећина?,B: Стварање животности и енергије на фотографији
Шта од следећег не описује формат фотографије 35 mm?,C: Има другачији однос ширине и висине од многих уобичајених формата
"Према овом одломку, како су се зум објективи побољшали са повећањем квалитета производње објектива од стране произвођача?",C: Квалитет њихових фотографија сличан је сочивима са фиксном жижном даљином
"На основу информација у овом пасусу, када би зум објектив могао да буде бољи избор од обичног објектива?",D: Ако желите већу жижну комплексност
Шта се од наведеног не би сматрало тачним описом мистицизма?,"D: Нагласак на тражењу директног личног искуства упоредив је са многим другим формама религиозног веровања и обожавања

Овај одговор се не би сматрао тачним описом мистицизма, јер је једна од кључних карактеристика мистицизма управо фокус на директном личном искуству, што га разликује од многих других форми религиозног веровања и обожавања."
"Према овом одломку, шта од наведеног није фокус мистицизма?","B: Тражење увида кроз дељена, заједничка искуства"
"Према овом одломку, ко је вероватно створио пољопривредно друштво?",C: Маори из Полинезије
"Према овом пасусу, група која је ловила мое били су прво становници које локације?",B: Новог Зеланда
У којем сценарију би савијач имао корист од коришћења Пјурленд метода оригамија?,D: Савијач је то већ пробао само једном или два пута
Шта од наведеног не описује тачно Пјурленд оригами?,A: Намењен је искусним савијачима
"Према овом одломку, која локација није повезана са цивилизацијом долине Инда?",C: Све регије североистока Авганистана
Шта од наведеног није поменуто као могући назив за цивилизацију бронзаног доба о којој се говори у одломку?,C: Цивилизација реке Инд
"Према овом одломку, шта од следећег доноси дугорочну корист?",A: Сарадња са другима
"Према овом одломку, шта од наведеног некоме може бити приоритет уколико им је фокус на тренутној користи?",D: Себичност
"Према овом одломку, ко је платио значајан део ратних трошкова?",D: Грађани Филипина
Који период је био пре доба Темплара?,C: Рани средњи век
Који период је дошао након доба Темплара?,A: Касни средњи век
Који медицински третман или процедура нису споменути да су коришћени од стране доктора и хирурга током Римског царства?,A: Лечење посттрауматског стресног поремећаја разним седативима
"Према овом одломку, шта се од наведеног не приписује медицинском напретку у време Римског царства?",C: Формирање болница за учење
Од чега зависи способност вида?,A: Од чулних органа визуелног система
Од чега зависе варијације структура ока између организама?,B: Од захтева организма
"Према овом одломку, која тврдња о сикизму не описује тачно ову религију?","B: Гуру је основни аспекат јединствен за сикизам

Ова тврдња не описује тачно сикизам, јер гуру није јединствен само за сикизам; гуру је основни аспекат и у другим индијским религијама."
"Према овом одломку, шта од наведеног се сматра сржи система веровања Сика?",A: Концепт гуруа
"Према овом одломку, на шта би деци са поремећајем мањка пажње било тешко да се фокусирају?",A: Домаћи задатак
"Према овом одломку, зашто се деца са поремећајем мањка пажње често упуштају у ризична понашања?",D: Да стимулишу свој мозак
"На основу информација у овом пасусу, шта од овога није пример подупирања?","C: Независни програм учења

Информације из пасуса указују на то да подупирање укључује подршку која помаже појединцима при новим искуствима учења. Независни програм учења не укључује ту врсту подршке и зато није пример подупирања."
Шта од наведеног не описује тачно концепт подупирања?,"C: Познато је и као учење засновано на пројекту

Ова изјава не описује тачно концепт подупирања јер подупирање није исто што и учење засновано на пројекту. Подупирање је потпора која олакшава процес учења, док је учење засновано на пројекту посебан метод учења."
"Према овом одломку, која карактеристика МајСпејса би могла бити корисна за студенте који имају проблема са читањем?",A: Могућност подешавања
"Према овом пасусу, шта од наведеног није било део одговора Хрушчева на демонстрације радника?",C: Веће смањење прихода
Шта од наведеног није био узрок протеста у Пољској?,D: Постављање Владислава Гомулке
"Према овом одломку, шта од наведеног није утицало на односе између СССР-а и САД?",B: Мишљења о Немачкој
Шта од наведеног не описује тачно сврху слања нервних импулса кроз тело?,A: Успоравање протока крви
Шта се може наћи на висоравни Гиза?,"The correct answers are A: Гробнице, B: Храмови, and D: Велика пирамида."
Која је сврха Велике пирамиде?,B: Да ода пошту фараону
Ко је одговоран за наше знање о пироману који је уништио храм?,C: Страбо
Која је тврдња тачна по питању обнове Артемидиног храма?,B: Обновљен је након владавине Александра Великог
"Према овом одломку, када је најраније нека врста могла да хода на две ноге?",A: Пре седам милиона година
Које од ових врста су редовно ходале на две ноге?,B: Homo Erectus
Шта је немачка морнарица покушавала да постигне током Другог светског рата?,B: Да спречи Британију да прими људе и робу
"На основу информација датих у одломку, ко је имао највише успеха у поморском ратовању током северноатлантске кампање?",A: Британци и Американци
Шта није постојало када су Асирци увели коришћење коњице?,A: Седла
Како су се водиле борбе у којима се користила коњица?,C: На голим леђима коња
"Према овом одломку, где не бисте пронашли просечног Вавилонца?",D: У приношењу жртви у унутрашњем светилишту
Шта је од следећег било конкретно намењено свештеницима?,B: Унутрашња светилишта
Када је Краљ Тутанкамон постао познат?,C: Након открића његовог гроба
Шта је Краља Тутанкамона учинило познатим египатским краљем?,A: Откриће његовог нетакнутог гроба
Шта грчки песник Хомер није могао?,B: Да види
Који познати Грк је чувен по нечему што није књижевност?,C: Питагора
Где је хебрејска породица проводила много времена?,A: На отвореном
Шта за хебрејску породицу није било много важно?,C: Њихова кућа
Шта од наведеног није описано као разлика између скандинавских земаља?,B: Земља
Ко се први населио на Гренланд?,A: Ескимска племена
Која група је волела да не седи на столицама док једе?,C: Богати Римљани
Шта од наведеног не би било део древне римске гозбе?,D: Тањир печене ћуретине
"На основу овог одломка, шта од наведеног вероватно неће имати трајни утицај?",B: Мања култура
"Према овом одломку, шта је претеча нације?",C: Град-држава
Која тврдња о Друкјал Џонгу није истинита?,A: Изграђена је у славу победе тибетанско-монголских снага
Која тврдња тачно описује резултат пожара у Друкјал Џонгу?,C: Популарност атракције није била погођена
Која од наведених тврдњи о Камбоџи је истинита?,D: Тајланђани су уништили Пном Пен
Која од наведених тврдњи тачно описује инвазије Камбоџе?,D: Тајланђани су извршили инвазију на Камбоџу неколико пута
Шта од наведеног холандска компанија из источне Индије није урадила током боравка у Тајвану?,D: Вољно уступила контролу над Тајваном династији Ћинг
Шта је договорено споразумом Шимоносеки?,D: Власт Јапана над Тајваном
Како се мери pH вредност хемикалије?,C: Количина јона водоника у хемикалији
Шта је скинуто са јона водоника?,D: Електрони
Шта од наведених тврдњи не описује тачно чопор лавова?,C: Мужјаци и женке су сви у блиском сродству
Која од следећих тврдњи не описује тачно понашање лавова?,D: Понашају се слично понашању других великих мачака
Зечеви су уобичајен плен за коју врсту грабљивица?,C: Мачке средње величине
Шта од следећег обично лове мање мачке?,A: Глодаре
Шта од наведеног није део методе лова оцелота?,D: Лов само мањих животиња
Шта од наведеног не описује тачно оцелоте? ,C: Њихово чуло мириса је слабо
Шта од наведеног се не би сматрало највећом снагом тигра?,B: Пењање
"Према овом одломку, која је разлика између тигрова и лавова?",B: Звук њихове рике
"Према овом одломку, шта је урадио Роберт Хук пре других биолога?",A: Посматрао је мртве ћелије
Које је порекло речи „ћелија“?,B: Мала соба
"Према овом одломку, већина животиња има способност да ради шта?",B: Креће се
"Према овом одломку, шта неке животиње немају?",C: Мозак
Шта помаже биљкама у процесу фотосинтезе?,D: Сунце
Шта људи издишу што узимају биљке?,D: Угљен диоксид
"Према овом одломку, шта би од следећих примера ометало процес еволуције?",A: Мала група која не успе да напредује на новој локацији
Која од следећих тврдњи не описује тачно процес специјације? ,A: Јавља се када нова популација не може да се прилагоди
Који део циркулаторног система враћа крв према срцу?,D: Вене
Које цеви су у циркулаторном систему најмање?,A: Капилари
Способност инсекта да скупе крила повећава шта од наведеног?,B: Места за сакривање
Шта од наведеног није поменуто у одломку као нешто на шта утиче способност летења инсекта?,B: Животни век
Која од наведених карактеристика се обично не повезује са диносаурусима?,B: Перје
Шта се од наведеног обично не сматра заједничком карактеристиком птица и диносауруса?,C: Способност да лете
"Према овом одломку, који део биљке цикаде би трицератопс највероватније јео?",A: Шиљасте листове
"Према овом одломку, шта би од наведеног трицератопс највероватније јео? ",B: Биљку са жилавим гранама
"Према овом одломку, који од наведених спортова је вероватно популаран у северним пределима Италије?",C: Сноубординг
"На основу информација датих у овом одломку, који од наведених спортова је освојио светско првенство за Италију?",A: Фудбал
Након којег догађаја су одређени делови Луксембурга постали белгијски?,B: Белгијска револуција
Шта је од наведеног утицало на неутралност Луксембурга?,A: Окупација од стране Немачке
Колико квадратних метара укупне површине Турске се налази у Европи?,D: 23764
"Према овом одломку, колико миља је дугачка Турска?",D: 1000
За шта се латински језик користи у Ватикану?,A: За религијске обреде
За шта се у Ватикану не користи италијански језик?,C: За религијске обреде
"Према овом одломку, шта од наведеног има користи од миксовања звукова на софистицираним компјутерима?",A: Музика
"Према овом одломку, већина домова на којој локацији је имала WC шоље?",A: Мохенџо-даро
На којој од наведених локација су пронађени напредни канализациони системи?,A: Харапа
Шта од следећег омогућава клизачу да скрене?,A: Блага закривљеност на доњем делу сечива клизаљке
"Према овом одломку, шта од наведеног тачно описује шупљину на сечиву модерне клизаљке?",C: Удубљен
"Према овом одломку, који процес омогућује атомима да елиминишу вишак енергије од светлости?",D: Стимулисана емисија радијације
Шта проузрокује да атом емитује фотон?,B: Стимулација проузрокована јаком светлошћу
"Према овом одломку, због чега ће сијалица на крају престати да ради?",C: Влакно унутар сијалице прегори
Шта би од следећег могло потенцијално да буде опасно уколико се додирне док се мења сијалица?,C: База сијалице
"Према овом одломку, шта се дешава када се цепа језгро?",B: Ослобађа се енергија
Шта од наведеног враћа позиве на даљину назад на Земљу?,B: Сателити
Шта од наведеног се користи за постављање телескопа у свемир?,B: Ракете
Шта треба пратити у вези са цикличним догађајима да би се бележио проток времена?,B: Понављање
"Према овом одломку, за поређење којег аспекта догађаја се користи време?",A: Дужина
"Према овом одломку, шта од наведеног се сматра уобичајеним за наследника трона?",B: Одустајање од универзитета да би ишао у војску
"На основу информација датих у одломку, шта је Чарлс први урадио?",C: Стекао је диплому
Из које земље је била Тригвасонова флота?,D: Норвешка
У којем периоду историје је Немачка спровела снажан културни утицај над Естонијом?,C: Пре око 600 година
Шта је утицало на естонски језик?,B: Немачки алфабет
"Према овом одломку, број изворних говорника Хинду језика варира у зависности од ког фактора?",A: Да ли се рачунају дијалекти који су веома блиско повезани са Хинду језиком
Која од следећих тврдњи о језицима Хинду и Урду је истинита?,B: Разликују се по писму
Шта од наведеног није тачна чињеница о алфабету Хангул?,"A: Измишљен је на почетку владавине краља Сејонга

Та опција није тачна, јер је Хангул измишљен 1444. године, што је током, а не на почетку, владавине краља Сејонга."
Алфабет Хунмињеонгеум је на крају промењен у?,B: Хангул
"Према овом одломку, на које језике је утицао санскрит?",D: Индијске језике
"Према овом одломку, употреба Санскрита била је смањена због?",D: Хијерархије
"Према овом одломку, која од наведених тврдњи које се односе на гравитацију на Ији је тачна?",D: Земљина гравитација би вас јаче вукла него гравитација на Ији.
"Према овом одломку, која од наведених тврдњи тачно описује спољашњи слој Месеца?",C: Можда има мање лунарних мора на даљој страни
"Према овом одломку, где је најдебља кора Месеца?",C: Под брдима
"На основу овог одломка, у шта од наведеног верују одређени људи?",C: Живот постоји на другим планетама
Шта постаје све ређе што се више удаљавате од центра Сунца?,C: Гас
"Према овом одломку, који део сунца је видљив са Земље?",C: Фотосфера
Која од наведених опсервација је помогла да се потврди Коперникова теорија?,A: Венерине мене
Шта је од наведеног опазио Галилео Галилеј 1610. године?,B: Венерине мене
"Према овом одломку, одакле река Амазон скупља воду?",A: Из мањих река
Шта се не приписује реци Амазон?,C: Да је најдужа река
У којој области рада поменутој у овом одломку је запослено најмање Венецуеланаца?,C: У индустрији нафте
"Према овом одломку, који од наведених сектора запошљава највећи број Венецуеланаца?",A: Сектор услуга
