text,gemini_reply
"MetroPlus on mugavam ja seal on vähem rahvast, kuid see on veidi kallim, kuigi siiski odavam tavalistest Euroopa metroopiletitest.","travel
"
Selle tõttu või olla vaja täita ankeet kohalikus politseijaoskonnas või külastada immigratsiooniametnikku.,"crime
"
"Igal hommikul lahkuvad inimesed autodega väikelinnadest, et tööle minna, ja neist mööduvad omakorda teised, kelle töökoht asub seal, kust nad just lahkusid.","business
"
"Kui te pole harjunud külavaheteedel sõitma, siis sõitke tähelepanelikult: järsud kallakud, kitsad teed ja äkilised käänakud on levinud.","travel
"
Esimene teadaolev transpordiliik oli käimine — Homo erectus (ehk püstine inimene) hakkas püsti kõndima kaks miljonit aastat tagasi.,"science
"
"Reisijad, kes plaanivad läbida välismaal soovahetusoperatsiooni, peavad tagama, et neil oleksid tagasisõitmiseks kaasas kehtivad dokumendid.","travel
"
"Muudel juhtudel peavad registreeruma ainult need, kes ei ööbi majutusettevõtetes. Kuid see muudab seaduse palju ebamäärasemaks, nii tasub see eelnevalt selgeks teha.","travel
"
Kui reisite esimest korda arengumaadesse – või uude maailmajaosse – ärge alahinnake potentsiaalset kultuurišokki.,"travel
"
"Naised: naisreisijatel on olenemata perekonnaseisust soovitatav öelda, et nad on abielus.","travel
"
"Turismireisid on kallid, eeldavad head füüsilist vormi, toimuvad ainult suvel, novembrist veebruarini, ning piirduvad enamasti poolsaare, saarte ja Rossi merega.","travel
"
Asukoha külastamise võib mugavalt ühendada paadisõiduga järvele.,"travel
"
"Pidage meeles, et külastate sisuliselt massihauda ja et sellel paigal on peaaegu hindamatu tähendus märkimisväärsele osale maailma elanikkonnast.","travel
"
"Võite olla kindel, et kui paadisadamasse jõuate, on kõik ilmselge. Kohtate teisi paatidele hääletajaid ja nad jagavad teiega teavet.","travel
"
"Kui teil on Schengeni viisa, ei pea te taotlema viisat igasse Schengeni liikmesriiki eraldi, säästes seeläbi aega, raha ja paberimajandust.","travel
"
"Hoolikalt planeerides saab seda teha tavalise autoga, kuid 4x4 on väga soovitatav ja paljudesse kohtadesse pääseb ainult kõrge kliirensiga neljarattaveolisega.","travel
"
"Jäistel ja lumistel maanteedel on hõõrdejõud väike ning te ei saa sõita samamoodi nagu siis, kui olete paljal asfaldil.","disasters
"
"Jagatud taksod on kiire ja mugav viis sõita lähedalasuvatesse kohtadesse, näiteks Parosse (150 Nu) ning Punakhasse (200 Nu).","travel
"
"Twin Otter oli püüdnud eile Kokodas PNG lennufirma lennuna CG4684 maanduda, kuid oli korra selle juba katkestanud.","disasters
"
"Öistel magamiskupeedega rongidel võivad konduktorid koguda passid, et teie und ei segataks.","travel
"
"Plaanide kohaselt avatakse sild täielikult tööks 2017. aasta septembril, kui Brasiilia tollipunktid eeldatavasti valmis saavad.","geography
"
Ükski lennuettevõtjate ühendus ei võimalda kõiki kolme ookeaniületust lõunapoolkeral (ja SkyTeam ei hõlma ühtegi ületamist).,"travel
"
"Nii kaua, kui jääte selle tsooni piiresse, on teil põhimõtteliselt võimalik ületada piire nii, et te ei lähe uuesti läbi passikontrollpunktide.","travel
"
"Kuigi võite arvata, et on loomulik liituda lennufirmaga, millega kõige enam lendate, peaksite olema teadlik, et teiste sama ühenduse lennufirmade pakutavad eelised on tihtipeale erinevad ja püsikliendi punkte võidakse heldemini jagada.","travel
"
"Ainult vähesed lennufirmad pakuvad endiselt lähedase kaotuse puhul pileteid, mis vähendavad viimasel minutil matustele sõitmise kulusid.","travel
"
Turistid võivad külastada konkreetse riigi erinevaid vaatamisväärsusi või keskenduda ainult ühele piirkonnale.,"travel
"
"Boweni saar on populaarne ühepäevareisi või nädalavahetuse sihtkoht, kus saab kajakiga sõita, matkata, kaupluseid ja restorane külastada ning palju muud.","travel
"
"Lennukiga reisimine võib olla hirmutav kogemus igas vanuses ja mitmesuguse taustaga inimestele, eriti kui see on nende esmane lennusõit või on neil varem olnud traumaatilisi juhtumeid.","travel
"
"Ühesõnaga on auto ideaalne vahend ringreisiks, kuid harva saab seda ennast kasutada ulualusena.","travel
"
"Viisamenetluse täiendavaks nõudeks on registreerimine. Mõnedes riikides peate kohalike ametivõimude juures registreerima oma kohalolu ja aadressi, kus viibite.","travel
"
"Sisemaa veeteede ümbrus on hea koht, kus oma puhkus veeta.","travel
"
"Asjade kandmisega aitamine – ärge kunagi laske oma kotte silmist, eriti kui ületate rahvusvahelisi piire.","travel
"
"Viikingid kasutasid Venemaa veeteid, et pääseda Mustale ja Kaspia merele. Osa nendest teedest saab endiselt kasutada. Kontrollige, et ei nõutaks erilubasid, mille hankimine võib olla keeruline.","geography
"
"Aklimatiseerumise hõlbustamiseks mõelge esimestel päevadel raha laristamise peale läänelikes hotellides, läänelikule toidule ja teenustele.","travel
"
USA rohelist kaarti omavad Kuuba kodanikel tuleks sellest nõudest erandi saamiseks külastada Ecuadori konsulaati.,"politics
"
Eeldatavasti jääb enamiku piletite hind vahemikku 2500 ¥ ja 13 0000 ¥ ning tavapärased piletid maksavad umbes 7000 ¥.,"business
"
"Kõrgete maksudega riikidesse suunduvad reisijad võivad mõnikord säästa märkimisväärse rahasumma, eriti selliste toodete puhul nagu alkohoolsed joogid ja tubakas.","travel
"
"Samuti andke poliisi/kontaktide koopiad reisikaaslastele ja sugulastele või sõpradele, kes on kodumaal ja on valmis aitama.","travel
"
"Euroopa on suhteliselt väike mander, millel on siiski palju iseseisvaid riike. Tavaliselt tähendab mitmest riigist läbisõitmine seda, et mitu korda tuleb taotleda viisat ja läbida passikontrolli.","geography
"
"Sirena on ainus metsakeskus, mis pakub lisaks telkimisele ka majutust ühiselamus ja sooja sööki. La Leona, San Pedrillo ja Los Patos pakuvad telkimist ainult ilma toitlustusteenuseta.","travel
"
"Tuurid on odavamad suurtele gruppidele, mistõttu, kui reisite üksi või vaid ühe sõbraga, üritage tutvusi leida ja moodustage neljast kuni kuuest inimesest koosnev grupp, et saada paremat hinda.","travel
"
Peaksite liidus sageli lendavat lennufirmat hoolsalt valima.,"travel
"
"Kui teie külastatava riigi kohta kehtivad reisisoovitused, võib see mõjutada teie reisi tervisekindlustust või reisitõrkekindlustust.","travel
"
Oma autosse istumisel ja pikale maanteereisile asumisel on oma lihtsuses loomuomane võlu.,"travel
"
"Kummalisel kombel on aga mobiilsideteenus siin palju tugevam kui paljudes teistes trassi osades, nt Pennsylvania Wildsis.","technology
"
"Laiad puiesteed, klaasist esiküljega hooned ja kaasaegsed kaubanduskeskused on ilmestatud traditsiooniliste punastest tellistest katustega, 18. sajandi turg ning vanad mošeed ja kirikud, kuigi linnal on pigem vahemereliku Euroopa kui traditsioonilise Türgi atmosfäär.","geography
"
"Jeruusalemmas on palju ajaloolisi, arheoloogilisi ja kultuurilisi kohti, lisaks pulbitsevaid ning rahvarohkeid kaubanduskeskusi, kohvikuid ja restorane.","travel
"
"Igal aastal saab kümneid külastajaid vigastada, kuna nad ei hoidnud õiget vahemaad. Tegemist on suurte, metsikuteja potentsiaalselt ohtlike loomadega, seega jätke neile vajalik ruum.","nature
"
"Kontrollige, mida võite sisse tuua ja mida mitte, ning deklareerige kõik, mis ületab seadusliku piirangu.","travel
"
