text,gemini_label
"MetroPlus уңайлырак һәм анда кеше дә азрак, ләкин бераз кыйммәтрәк, тик шулай да Европадагы гадәти метро билетларыннан арзанрак.",travel
Моның өчен җирле полициядә анкета тутырырга яки иммиграция хезмәтенә барырга кирәк булырга мөмкин.,crime
"Һәр иртә кешеләр кечкенә шәһәрләрдә машиналарына утырып эшкә чыгып китәләр, һәм аларга каршы алар чыгып киткән җирдәге эш урыннарына башкалар килә.",business
"Әгәр сез авыл юллары буйлап йөрергә күнекмәгәнсез икән, сабыр булыгыз: монда текә күтәрелешләр, тар полосалар һәм кискен борылышлар бар.",travel
"Беренче танылган транспорт төре атлап йөрү булган. Ике миллион ел элек Homo Erectus (бу ""туры атлап йөрүче кеше"" дигәнне аңлата) барлыкка килү белән, кешеләр вертикаль басып йөри башлаганнар.",science
Чит илдә җенес алыштыру операциясен планлаштыручы сәяхәтчеләргә кире кайту өчен гамәлдә булган документлары булуын кайгыртырга кирәк.,travel
"Башка очракларда туристлык объектларыннан читтә булганнарга гына теркәлергә кирәк. Әмма бу законны күпкә катлаулырак итә, шуңа күрә алдан белешергә кирәк.",travel
"Үсеп килүче ил буйлап яки дөньяның яңа өлешендә беренче тапкыр сәяхәт итәсез икән, потенциаль мәдәни шок мөмкинлеген тиешенчә бәяләп бетермәвегез бар.",travel
"Хатын-кызлар. Сәяхәтче хатын-кызларга, фактик гаилә хәлләренә карамастан, кияүдә дип әйтергә киңәш ителә.",travel
"Туристик сәяхәтләр кыйммәт, физик әзерлекне сорый, җәен ноябрь-февраль айларында гына мөмкин һәм нигездә Ярымутрау, утраулар һәм Росс диңгезе белән чикләнгән.",travel
Күренекле урынны карауны көймәдә күл буйлап йөрү белән җайлы гына берләштерергә була.,travel
"Зинһар, үзегезнең чынлыкта массалы күмү урынына, шул ук вакытта дөньяның күпчелек халкы өчен үлчәп булмаслык зур әһәмияткә ия булган урынга килгәнегезне онытмагыз.",religion
"Шикләнмәгез, причалларга җиткәч, барысы да шактый аңлаешлы булачак. Сез башка көймә автостопчылары белән танышырсыз һәм алар үз белгәннәрен сезнең белән уртаклашыр.",travel
"Шулай ук, Шенген визасы булганда, Шенген зонасында катнашучы һәр илгә виза алу өчен аерым гариза бирергә кирәкми, һәм бу вакыт белән акчаны янга калдырырга һәм кәгазь эшләрен киметергә мөмкинлек бирә.",travel
"Җентекләп планлаштырганда, гадәти автомобиль белән дә барып була, әмма тулы приводлы автомобиль куллану бик нык киңәш ителә, ә күп урыннарга тәгәрмәч базасы биек булган тулы приводлысы белән генә барып җитәргә мөмкин.",travel
"Бозлы һәм карлы юлларда ышкылу түбән, һәм сез асфальт өстеннән йөргән шикелле йөри алмыйсыз.",nature
Уртак такси - Паро (Nu 150) һәм Пунакха (Nu 200) кебек якын-тирәдәге урыннарга тиз һәм җайлы сәяхәт итү ысулы.,travel
"Кичә Twin Otter самолеты Кокодта Airlines PNG авиакомпаниясенең CG4684 рейсы буларак җиргә төшәргә омтылса да, бер тапкыр утыртуны өзгән иде инде.",disasters
"Сезне йокыдан уятмас өчен, төнге поездларда кондукторлар паспортларны җыеп алырга мөмкин.",travel
"Күпер 2017 нче елның сентябрендә, Бразилия таможня постларын төзү эшләре тәмамлангач, тулысынча файдалануга тапшырылыр дип көтелә.",geography
Бер авиакомпания альянсы да Көньяк ярымшарындагы өч океан киселешенең барысын да капламый (ә SkyTeam бер киселешне дә капламый).,travel
"Бу зонада эчендә булганда, кагыйдә буларак, чикләрне узганда паспортларны тикшерә торган контроль-үткәрү пунктларын кабат үтәргә кирәк булмый.",geography
"Иң күп очкан авиакомпаниягә кушылу үзеннән үзе аңлашыла дип уйлап булса да, шуны белегез: тәкъдим ителгән өстенлекләр еш кына аерыла һәм еш очучылар өчен баллар шул ук альянстагы бүтән авиакомпаниядә юмартрак та була ала.",travel
Кайбер авиалинияләр генә авыр югалту белән бәйле тарифларны һаман да тәкъдим итә. Алар буенча җеназага бару өчен соңгы минутта алынган очышның бәясе беразга төшерелә.,travel
Туристлар конкрет илнең төрле истәлекле урыннарын карый алалар яки гади генә бер өлкәгә игътибарны юнәлтә алалар.,travel
"Боуэн утравы - ул каякинг, походлар, кибетләр, рестораннар һәм башка чаралар тәкъдим итә торган бер көнлек популяр сәфәр яки ял көннәре экскурсиясе.",travel
"Очкычта сәяхәт итү барлык яшьтәге һәм төрле чыгышлы кешеләр өчен куркыта торган тәҗрибә булырга мөмкин, аеруча элек очканы булмаганнар яки травматик вакыйга кичергәннәр өчен.",travel
"Кыскача әйткәндә, автомобильне куллану - сәяхәткә чыгуның иң яхшы ысулы, әмма сирәк очракта ""лагерь""га бару ысулы булып тора.",travel
"Теркәлү виза алу өчен тагын бер таләп булып тора. Кайбер илләрдә сезгә җирле хакимият органнарына килеп, үзегез турында хәбәр итәргә һәм тукталган адресыгызны теркәргә кирәк.",travel
Эчке су юллары ял оештыруның яхшы ысулы булырга мөмкин.,travel
"Әйберләрне башкалардан күтәртү - Беркайчан да сумкаларыгызны күз алдыннан югалтмагыз, бигрәк тә халыкара чикләрне кисеп чыкканда.",travel
Викинглар Русьтагы су юлларыннан Кара диңгезгә һәм Каспий диңгезенә җиткәннәр. Шул маршрутларның аерым өлешләре әле дә кулланыла ала. Авыр алын торган махсус рөхсәтләрнең ихтимал кирәклеген тикшерегез.,geography
"Бигрәк тә беренче көннәрдә, акклиматизация җиңелрәк узсын өчен, көнбатыш стилендәге һәм сыйфатындагы кунакханәләргә, ризык һәм хезмәтләргә акча сарыф итү турында уйлагыз.",travel
"АКШ ның грин-картасы булган Куба гражданнарына, бу таләп аларга кагылмасын өчен, Эквадор консуллыгына мөрәҗәгать итәргә кирәк.",politics
"Кичәләргә күпчелек билетлар 2 500 юаньнан 130 000 юаньга кадәр, ә гади билетлар 7 000 юань тирәсе булачак дип көтелә.",entertainment
"Салым салуның югары дәрәҗәсе булган илләргә сәяхәтчеләр кайчагында зур күләмдә акчаны янга калдыра ала, бигрәк тә алкогольле эчемлекләр һәм тәмәке кебек товарлар өчен.",travel
"Шулай ук полис күчермәләрен / контактларны ярдәм итәргә әзер булган юлдашларга, туганнарыгызга яки гаилә дусларына бирегез.",travel
"Европа - чагыштырмача зур булмаса да, күп санлы бәйсез илләрдән торучы континент. Гади шартларда берничә ил аша сәяхәт итү өчен күп тапкыр виза ясатырга һәм паспорт контрольләрен узарга кирәк булыр иде.",travel
"Сирена - рейнджерларның тулай-торак һәм кемпингка өстәп кайнар туклану тәкъдим итүче бердәнбер станциясе. Ла-Леона, Сан-Педрильо һәм Лос-Патос тукланусыз бары тик кемпинг кына тәкъдим итә.",travel
"Зур төркемнәр өчен турлар арзангарак чыга, шуңа күрә, әгәр сез үзегез генә яки бер дус белән генә булсагыз, кеше башына иң арзан бәя булсын өчен, башка кешеләр белән танышып, дүрт-алты кешелек төркемгә берләшергә тырышыгыз.",travel
Еш очучылар өчен авиакомпанияне альянста җентекләп сайлагыз.,travel
"Сәяхәтләр буенча рекомендацияләр сез барырга җыенган илгә кагылса, бу сезнең туристик медицина иминиятләштерүегезгә яки сәфәрдән баш тарту очрагын иминиятләштерүегезгә йогынты ясарга мөмкин.",travel
Үз машинагызга утырып ерак сәфәргә чыгып китү - бу гадилектә үзенең эчке җәлеп итүчәнлеге бар.,travel
"Шунысы кызык, маршрутның башка учатокларына караганда (мәсәлән, Пельсинвания урманнары{Pennsylvania Wilds}), монда мобиль элемтә күпкә яхшырак.",travel
"Киң бульварлар, пыяла фасадлы биналар һәм заманча сатып алу үзәкләре традицияле кызыл чирәпле түбәләр, 18 нче гасыр базары, иске мәчетләр һәм чиркәүләр белән аралашкан булса да, шәһәрдә традицияле Төркиягә караганда Урта диңгез Аурупа атмосферасы хөкем сөрә.",geography
"Иерусалимда тарихи, археологик һәм мәдәни урыннар, шулай ук халык күп булган һәм тормыш кайнап торган сәүдә үзәкләре, кафе һәм рестораннар күп.",geography
"Һәр елны дистәләгән керүчеләр тиешле дистанцияне үтәмәү аркасында имгәнә. Бу хайваннар зур, кыргый һәм потенциаль куркыныч, шуңа күрә аларга гамәл кылырга азатлык бирегез.",nature
"Нәрсәләр алып кайтырга яраганын һәм ярамаганын ачыклап, рөхсәт ителгән чикләрдән узган һәрнәрсәне декларацияләгез.",travel
Turkish Airlines 2014 ел торышы буенча Африканың 30 илендәге 39 юнәлешкә оча.,travel
Avenger класслы миналардан саклау корабле Палавандагы Пуэрто-Принсесага бара торган була.,invalid
Кунакчыллык белән алмашу челтәре - сәяхәтчеләрне алар тукталырга теләгән шәҺәрләрдәге җирле халык белән бәйли торган оешма.,travel
"Районара автобуслар еш кына тулы булганга, билетны берничә көн алдан сатып алырга кирәк.",travel
Алар шулай ук җәяү һәм велосипедта йөрүнең популяр маршрутларын да билгелиләр.,travel
"Көньяк Африканың барлык милли паркларындагы кебек үк, бу паркта да көндәлек экологик түләү һәм керү өчен түләү алына.",nature
"Бу аутентик җәмгыять Ванкувердан ерак булмаган Хау-Саундта урнашкан, аңа Ванкувер үзәгендәге Гранвилл утравыннан баручы, расписание буенча йөрүче су таксие белән барып җитү җиңел.",travel
Ни өчен транспорт системалары мондый шикаятьләр булдыра? Ни өчен алар көн саен сафтан чыга? Транспорт инженерлары компетентсызмы? Яки башка артык фундаменталь әйбер башкарыламы?,technology
"Шәһәр шарлавыклар янында ук урнашкан, һәм алар төп күренекле урын булып тора, ләкин алардан башка да бу популяр туристик юнәлеш маҗаралар эзләүчеләргә дә, экскурсантларга да озаграк тору өчен күп мөмкинлекләр тәкъдим итә.",travel
Санкт-Петербург буенча елга сәяхәтләре шәһәрдә яшәү вакытын үз эченә ала. Круиз пассажирлары виза алу зарурлыгыннан азат ителә (шартларны аныклагыз).,travel
"Әмма теләсә нинди төзәтмәләрне яки таләпләрне башта кунакханәгә турыдан-туры түгел, ә турагентлык аша җибәрергә кирәк.",travel
Галапагос утраулары суларында сыйдырышлылыгы 8 дән 100 гә кадәр булган 60 тан артык круиз лайнеры йөри.,travel
"Билгеле бер урынга килүнең максаты булып аның тарихы һәм мәдәнияте белән танышу торса, туризмның бу төре мәдәни туризм дип атала.",travel
"Иске Мәдинә тирәсендә таҗин, керамика, тире эшләнмәләре, кальян һәм башка күптөрле вак-төякләр кебек традицион Марокко товарлары сатыла торган урыннарны табу җиңел, әмма болар барысы да туристлар өчен.",travel
Яңа мәдәнияткә тиз ияләнгән сәяхәтчеләргә кире үз мәдәниятләренә кайту кайвакыт бик авыр булырга мөмкин.,travel
"Икенче тапкыр самолетны җиргә төшерергә омтылганда, утыртуга якынча ун минут кала, ул юкка чыкты.",disasters
"Эквадор таләп иткәнчә, Куба гражданнары, халыкара аэропортлар яки чик буе үткәрү пунктлары аша Эквадорга кергәнче, чакыру хаты алырга тиеш.",politics
"Әгәр сез субтропик урман аша машинада барганда, аның эченә керер өчен берничә секундка булса да ишекне ачык тотсагыз, бу черкиләргә сезнең белән машинага керү өчен җитә.",nature
Пассажирларга 32 градуслы эсседә көткән вакытта су бирделәр.,disasters
"Әмма чынлыкта бу сезне борчырга тиеш түгел, чөнки, машиналарны тутыру өчен, туристлар еш кына урыннарын алмаштыралар.",travel
"Чит илдә яшәп волонтерлык итү - бүтән мәдәният турында белү, яңа кешеләр белән танышу, үзеңне яхшырак аңлау, киләчәкне күзаллау һәм хәтта яңа күнекмәләр үзләштерү өчен менә дигән ысул.",travel
"Туристик агентлыклар еш кына билгеле кунакханәләр белән килешүләр төзи. Хәер, сәяхәт агентлыгы аркылы сез башка төрле урнаштыру урыннарын броньлау мөмкинлеген таба аласыз, мәсәлән, кемпинг урыннары.",travel
"Кайбер круизларның брошюраларында Берлин, Германия телгә алына. Югарыдагы картадан күренгәнчә, Берлин бер дә диңгез буенда урнашмаган, һәм шәһәрне килеп карау круиз бәясенә керми.",travel
"Алдан броньлау сәяхәтчегә, билгеләнгән пунктка килеп төшкәннән соң, аның кайда төн үткәрәчәгенә ышаныч бирә.",travel
"Пляжлар, тематик парклар һәм кемпинглар туристларның ял итү өчен йөри торган урыннары булып тора.",travel
"Чыгымнарны нульгә кадәр диярлек киметү өчен, уңайлыклар, вакыт һәм ышанычлылыктан баш тартырга әзер булучылар, минималь бюджет белән сәяхәт итүне карагыз.",travel
"Сәфәрдә өстәмә вакытыгыз булса, Африкага сәяхәтегезнең гомуми бәясен бөтен дөньядагы бәя белән чагыштырып карагыз.",travel
"Туристик агентлыклар, гадәттә, иртәнге ашны үз эченә алган пакетларны, аэропорттан яки аэропортка транспорт оештыруны яки очыш белән кунакханә кергән катнаш пакетлар тәкъдим итә.",travel
Самолет Иркутскига таба очкан һәм эчке гаскәрләр тарафыннан идарә ителгән.,disasters
