question,gemma3_answer
དུམ་མཚམས་དེ་ལྟར་ན། ཅི་ཞིག་ནི་མཛུབ་གནོན་བུད་བྱིངས་ཏག་ཏག་དཀྲོལ་བ་བའི་ཡང་དག་པའི་མན་ངག་ཅིག་ཏུ་བརྩི་གི་མ་རེད་དམ།,3
མཛུབ་གནོན་བུད་བྱིངས་དཀྲོལ་སྐབས། གཤམ་གསལ་རྣམས་ནས་སྒྲ་ཚད་ཇེ་མཐོར་གཏོང་རྒྱུར་ཅི་ཞིག་གིས་ཕན་ནམ།,2
བརྙན་འཕྲིན་ནང་གི་བརྙན་པར་གྱི་མཐའ་སྐོར་གྱི་ཐིག་རིས་བཅད་ནས་ཡོད་དམ།,2
དུམ་མཚམས་དེ་ལྟར་ན། གཤམ་གསལ་དཀའ་ངལ་རྣམས་ནས་གློག་བརྙན་ཞིག་DVDལ་བསྒྱུར་སྐབས་དཀའ་ངལ་ཅི་ཞིག་འཕྲད་སྲིད་པར་འདོད་དམ།,3
དབྱིན་ཇིའི་བཅའ་སྡོད་དམག་དཔུང་གང་དུ་ཡོད་དམ།,3
ལག་བྲིས་ཡིག་ཚགས་དེའི་ཐོག་མངོན་པའི་ས་རྟགས་དེ་སུའི་རེད་དམ།,1
གཤམ་གྱི་ས་གནས་ཁག་ནས། ཌུན་ལབ་བྷོརོཌ་སཡེཌས་ དེ་མཐར་གང་དུ་བསླེབས་པ་རེད་དམ།,1
དམག་དཔོན་ཀོལོནལ་ཇོན་སྟྲག་གི་དམག་མི་གང་དུ་བཅའ་སྡོད་བྱས་འདུག་གམ།,2
དུམ་མཚམས་དེ་ལྟར་ན། Starkཡི་དམག་མིས་ཁོང་ཚོའི་ལྕགས་ཁྲ་ེརྒྱ་སྐྱེད་ག་དུས་བྱས་སམ།,4
དུམ་མཚམས་དེ་ལྟར་ན། གཤམ་གསལ་གྱི་ས་གནས་ཁག་ནས་རྒྱ་ནག་གི་དྲག་རྩུབ་ཆེ་ཤོས་ཀྱི་དུས་ཚིགས་དེ་གང་ཡིན་ནམ།,4
དུམ་མཚམས་དེ་ལྟར་ན། གྲོག་མའི་དམག་དཔུང་ཚོ་ཁག་དེ་ཉིད་འབྲོག་པའི་དུས་རིམ་དུ་སླེབས་དོན་ཅི་ཞིག་ཡིན་ནམ།,3
དུམ་མཚམས་དེ་ལྟར་ན། གསལ་བསྒྲགས་གང་ཞིག་གིས་འབྲོག་པའི་དུས་རིམ་དུ་གྲོག་མའི་དམག་དཔུང་གི་མི་སེར་སྤེལ་ཡུལ་གྱི་ཚང་བཟོ་བའི་གོམས་གཤིས་ཏག་ཏག་ཅིག་མཚོན་པར་བྱེད་ཀྱི་ཡོད་དམ།,3
ཕྱི་རོལ་གྱི་རྒྱུ་རྐྱེན་ཡོད་ཀྱང་གཤམ་གསལ་གྱི་གནད་དོན་གང་དག་མུ་མཐུད་དུ་རྒྱུན་འཁྱོངས་བྱེད་སྲིད་དམ།,1
ཐ་སྙད་གང་ཞིག་གིས་སྣང་ཚུལ་གྱི་ཁྱད་ཆོས་ངེས་ཅན་ཞིག་གི་གཟུགས་པོའི་རྫས་རྒྱུན་གྱི་འགྱུར་ལྡོག་མངོན་པའི་དངོས་པོའི་བྱེ་བྲག་ཞིབ་བརྗོད་བྱས་ཡོད་དམ།,3
གཤམ་གསལ་གྱི་གནད་དོན་གང་དག་གིས་དམིགས་བསལ་གྱི་ཁྱབ་ཁོངས་བཟུང་བའི་སྐྱེ་དངོས་ལ་མཚོན་ན་ཐ་སྙད་ཏག་ཏག་མཚོན་ཐུབ་པར་བྱེད་ཀྱི་ཡོད་དམ།,4
གཤམ་གསལ་རྣམས་ནས་རང་བྱུང་ཁོར་ཡུག་ལ་གཞི་བཅོལ་བའི་ཡུལ་སྐོར་བྱེད་སྒོའི་དཔེ་མཚོན་ཡོང་མ་ཐུབ་པ་གང་ཞིག་ཡོད་དམ།,3
དུམ་མཚམས་དེ་ལྟར་ན། གཤམ་གསལ་ཁག་ནས་འགྲིམ་འགྲུལ་མ་ལག་གི་རྨང་གཞི་གང་དག་ཡོད་དམ།,2
ཉིང་རྡུལ་འཁོར་སྐྱོད་བྱེད་པའི་རྡུལ་ཕྲན་ལ་རིགས་དབྱིབས་གང་གི་གློག་ཤུགས་འཁོ་འདོན་ཡོད་དམ།,1
ཉིང་རྡུལ་དེ་ཉིད་རྡུལ་ཕྲན་གྱི་ཆ་ཤས་གང་ཞིག་གིས་གྲུབ་པ་ཡིན་ནམ།,1
དུམ་མཚམས་དེ་ལྟར་ན། གཤམ་གསལ་གྱི་གནད་དོན་གང་དག་ནི་རྒྱུ་གཉིས་ཨང་གྲངས་ལྔ་ཡི་དཔེར་བརྗོད་ཅིག་ཡིན་ནམ།,1
ཟུང་ལྡན་ཨང་གྲངས་ལ་གཞན་གང་ཟེར་རམ།,1
དུམ་མཚམས་དེའི་ནང་གསལ་བརྗོད་བྱས་པ་ལྟར་སློབ་ཕྲུག་གིས་དྲ་ཚིགས་པུད་ཁུག་གཉེར་བའི་ཁེ་ཕན་ཐོག་མ་དེ་གང་ཡིན་ནམ།,1
གཤམ་གསལ་གྱི་ཁྱབ་ཁོངས་ཁག་ནས་དྲ་ཚིགས་པུད་ཁུག་གཉེར་བ་དེས་སློབ་ཕྲུག་གི་འབྲི་རྩལ་ཡར་རྒྱས་གཏོང་རྒྱུའི་སེམས་ཤུགས་ཇེ་མཐོར་གཏོང་རྒྱུར་འགྲེལ་ཡོད་དམ།,1
གཤམ་གསལ་གྱི་གནད་དོན་གང་དག་གིས་སློབ་མར་དྲ་ཐོག་འབྲེལ་འདྲིས་བྱེད་པར་ཕན་ཐོགས་མེད་དམ། ,3
དུམ་མཚམས་དེ་ལྟར་ན། གཤམ་གསལ་གྱི་ཁྱབ་ཁོངས་ཁག་ནས་Asynchronous  འབྲེལ་ལམ་དེ་ཉིད་སློབ་ཕྲུག་ལ་སྟབས་བདེ་ཅི་ཞིག་མེད་དམ།,3
དུམ་མཚམས་དེའི་ནང་དུས་རབས་བར་མའི་མཁར་རྫོང་དང་འབྲེལ་བ་ཡོད་སྲིད་པ་གང་ཞིག་གསལ་བརྗོད་བྱས་མི་འདུག་གམ།,1
དུམ་མཚམས་དེའི་ནང་དུ་མཁར་རྫོང་ཞིག་རོའི་ཁྲོད་དུ་བྱུང་བའི་དྲི་མ་དང་སྐད་སྒྲ་ཞིག་ཏུ་བརྩིས་ནས་གསལ་བརྗོད་བྱས་མེད་དམ།,1
གཤམ་གསལ་ནས་Kirby Muxloeམཁར་རྫོང་འགྲེལ་བརྗོད་ཏག་ཏག་བྱེད་མཁན་དེ་གང་ཞིག་ཡིན་ནམ།,2
དུམ་མཚམས་དེའི་ནང་གསལ་བརྗོད་བྱས་པའི་གཤམ་གསལ་གྱི་འཛུགས་སྐྲུན་ཁྱད་ཆོས་གང་ཞིག་Kirby Muxloeམཁར་རྫོང་དུས་སྐབས་དང་མི་མཐུན་པའི་རིགས་ཡིན་ནམ།,3
དུམ་མཚམས་དེ་ལྟར་ན། གཤམ་གསལ་ནས་འབྱུང་འགྱུར་གྱི་འགྲན་བསྡུར་ཆེད་གྲ་སྒྲིག་བྱེད་པར་ཕན་ཐོགས་ཆེ་ཤོས་དེ་གང་ཡིན་ནམ།,2
