text,gpt_reply
"Yɛlɛmali be farikolo dilan na yɛlɛmali kura farakan, ani sugandili b'a bɔ kɛnɛkantaw yɛlɛmali kulu cɛla.",health
Bɔmu atomiki be baaraw kɛ nin cogoya ye min be kuran fagan ta ka camancɛ dɔ nin porotɔnw ani neturɔnw camawfara ɲɔgɔnkan.,science/technology
Kɔnɔna dilan ne dɔn ni paritiki fila ye: neturɔn ani purotɔn.,science/technology
Nin de ye a to zoom be se ka jaa dɔw bɔ min suguya be kaɲa ni suguya ye min sɔrɔla ni fokali janɲa kuntilenɲa ye.,science/technology
"U be ɛntɛrɛni tamasiyɛn jatedenw ɲɛ kun camaw na: u ɛntɛrɛniti siraw bɛɛ fale, min tɛ http dɔrɔn ye.",technology
Kumaɲɔgɔnyaɲɛgɛn mako bɛ i k'i hakilinaw jateminɛ tugun kumalase kan ani i ka miiri kalan sira caman kan.,science/technology
"O kɛra waleya carilen ye, nka nege be cɛni cama kɛ wagɔn jiri senw na.",science/technology
"kuluba bɛ talikɛ cɛmankɔrɔlen kelen ka taa saba la, musow denw munu bɛ taa bisaba la.",travel
"Ali na sɔrɔ kɔrɔ cama baw be Al nzirin filimuw kɔnɔ, Al be ɔridinatɛri mariki nafan ma ba dɔ dilan, min baara kɛ nin tabolo ye, kalan ani hakilina dɔni ye masinimanfɛn na.",technology
Ni yangan in suguya kunnafoni ( a tilali sigiyɔrɔ ma tan ni fila yasa ka kunnafoni bƐƐ la gansanw jaateden)  a folen do ko min ye 3:2.,sports
"Telefɔni satelitiman tɛ waatcamana tɛlɛfɔni pɔritabulu nɔnabila ye, inafɔ i kan ka bɔ kɛnɛma yɔrɔjɛlen na yɔrɔ mina i be sateliti ye ka apɛlikɛ.",science/technology
"Ali na sɔrɔ tirɛsira kun dilan neno ni jiri faraw ye, u kun b'ato sow minunw b'a sama ka witesi telima sɔrɔ ani ka dɔni girimanbaw sama ka tɛmɛ sira fitini gɛlɛmaw kan o waatila.",science/technology
"Mɔgɔ bɔra simiman fɛn kalama inafɔ sanu, waricɛ ani sira kabini lawalela, komi u bɛɛ be seka ye kunko kɔnɔ u cogoya jɔnjɔn na ani u sen ka di nin fɔlɔfɔlɔ fɛnw ye.",health
walan ye dunuya yɛlɛma dabalibancogow la. yɛlɛmabelebele munuw kɛla anw ye  walan fɛ ye ka taakasegi nɔgɔyaliba ni teliyaliba ye.,science/technology
ũndũ ũyũ wĩkagwo nĩguo mbica iihũre gĩcicioinĩ gĩothe. ũndu ũyũ witagwo overscan.,science/technology
Alimaɲi jijukɔrɔkurunw tun be wele ko U-Boats. Alimaɲi kaw tun be se kɔsɛbɛ jijukɔrɔkurun bolili n'a lataama cogo la.,history
"Alina sɔrɔ a farikolo cogoya be seka falen, a dilan cogoya simila be t'a nɔna.",science/technology
sanfɛla fanga bɛ boɲa bawo ji kisɛw bɛ ɲɔkɔn saman ka tɛmɛn fiɲɛ kisɛw kan min b'u sanfɛ.,health
Thĩna ũrĩa mũnene hĩndi ya kũgeria gũcenjia thenema  ĩtuĩke DVD nĩ overscan.,technology
"kɛrɛnkɛrɛniyala, a fɔra ko a be seka dɔ nin mɔgɔ dɔ be ka nkalɔn tikɛ nin a farilikolo yɛlɛma cogoya finitiw ɲɛfɔli kaɲɛ kosɛbɛ.",science/technology
sanu bɛ se ka bila cogo bɛɛ la. a bɛ se ka gosi k'a dɔgɔya.,science/technology
"Al sisitɛmu be itilize waatidɔw la  sɔrɔkalani, medesine, ɛnziɲeriya ani sɔrɔdasiya bɔnda kɔnɔ, inafɔ  ɔridanatɛri ani zuye widewo lozisiyɛluw dilana so cama kɔnɔ.",science/technology
"A be dilan hali bi-bi in na, ɲa janko, a ka lahalaya kunnafoni taara cƐn na jatalan nimerikiw jaa kaptelanw yangan  fƐ",science/technology
"Tila sabana sariya, min labaralen do kojugun wa burujalen do tuma do, ye sariya guwansan de ye min ni d0 ka fƐn bƐƐ bila u nɔ la jaa kan.",health
"O be a sɛnbɛntiya dɔrɔn ko jolo tun be dinozɔr nunu dɔw la, kumakan min caarilen don ka ban, ɲa a be ɲƐfɔli dɔw dii ni ni fɛnkɔrɔ te se ka o dii tu ma bɛƐ, ina fɔ suguya ani kƐcogo sigiyɔrɔmasaba hakɛ.",science/technology
"Lo bɛ munumunu cogo jumɛn nɛ kɛrɛfɛ? ni yi jɔ lo kan, i fanka giriya tɛ dugukolo sanfɛla ta bɔ.",health
NextGen boloda ye FAA bɛ ka min laɲini kun bɛ na pankuru pansira surunɲa ani taji digan caama nɔkɔya san o san ani ka fuɲɛjugubɔ lajɔ.,science/technology
"Nerolozi kunafoniw be pirewu wilibali di hakilina fɛrɛ siratigɛ fɛ dɔni kalanlila. O la, a be ɲɛɲinili yɔrɔw dɔgɔya ani b'a to be kɛ wilibali ye.",science/technology
"A ka lɛrɛ 2 kumalase senfɛ a ko ""Bi  Apple bena Iphone in lakurakura ya, an bena don tariku la sisan"".",science/technology
