text,gemini_label
"MetroPlus este mai confortabil și mai puțin aglomerat, dar ceva mai scump, deși este totuși mai ieftin decât biletele obișnuite de metrou din Europa.",travel
Acest lucru ar putea necesita completarea unui formular la poliția locală sau o vizită la birourile de imigrare.,crime
"În fiecare dimineață, oamenii pleacă cu mașina din așezările mici de la țară, pentru a se îndrepta spre locurile lor de muncă, trecând pe lângă alții a căror destinație de lucru este locul pe care tocmai l-au părăsit.",business
"Dacă ești obișnuit să conduci pe drumuri de țară, nu-ți pierde controlul: pantele abrupte, benzile înguste și curbele periculoase predomină.",travel
"Primul mijloc de transport cunoscut a fost mersul pe jos; oamenii au început să meargă în poziție verticală acum 2 milioane de ani, odată cu apariția lui Homo Erectus (înseamnând omul drept).",science
Călătorii care plănuiesc să se supună unei operații de schimbare a sexului într-o altă țară trebuie să se asigure că posedă documente valide pentru călătoria de întoarcere.,health
"În alte situații, doar cei care stau în afara zonelor de cazare turistică trebuie să se înregistreze. Cu toate acestea, e un amănunt care face legea mult mai neclară, deci informați-vă din timp.",travel
Cine călătorește pentru prima oară într-o țară în curs de dezvoltare – sau într-o parte a lumii nouă pentru ei – nu trebuie să subestimeze potențialul de șoc cultural.,travel
"Femei: Se recomandă ca orice femeie care călătorește să spună că este căsătorită, indiferent care-i este starea civilă reală.",travel
"Vizitele turistice sunt scumpe, necesită o bună condiție fizică, pot fi întreprinse doar vara, în perioada noiembrie - februarie, și sunt în mare parte limitate la Peninsula, Insulele și Marea Ross.",travel
"O vizită la fața locului poate fi combinată, în mod convenabil, cu o plimbare cu barca spre lac.",travel
"Vă rugăm să rețineți că, în principiu, vizitați locul unei gropi comune, precum și un sit care are o semnificație aproape incalculabilă pentru o parte semnificativă a populației lumii.",politics
"Fi sigur că, o dată ce ajungi la porturile de agrement totul va fi clar. Vei întâlni alți autostopiști cu barca și ei îți vor împărtăși informațiile.",travel
"La fel, cine are o viză Schengen nu trebuie să obțină o viză pentru fiecare din țările membre Schengen în parte, făcând astfel economie de timp, bani și acte de obținut.",travel
"Acest lucru se poate face într-o mașină normală, cu o planificare atentă, dar un 4x4 este foarte recomandat și multe locații sunt accesibile doar cu un 4x4 cu roți mari.",travel
"Pe drumurile înghețate și înzăpezite, fricțiunea este scăzută și nu poți conduce ca pe asfalt uscat.",travel
"Împărțirea unui taxi este un mod rapid și confortabil de a călători spre obiectivele apropiate, cum ar fi Paro (150 Nu) sau Punakha (200 Nu).",travel
"Twin Otter a încercat ieri o aterizare la Kokoda ca zborul CG4684 al companiei PNG, dar eșuase deja o dată.",disasters
"În trenurile cu cușetă, pașapoartele pot fi colectate de către conductor, astfel încât să nu trebuiască să vă întrerupeți somnul.",travel
"Podul este programat a fi pe deplin funcțional în septembrie 2017, când punctele de control vamal braziliene se așteaptă să fie terminate.",geography
Nicio alianță de companii aeriene nu acoperă toate cele trei traversări oceanice din emisfera sudică (iar SkyTeam nu acoperă niciuna dintre aceste traversări).,travel
"Atâta timp cât rămâneți în această zonă, puteți în general să treceți granițele fără a trebui să o faceți în punctele de control ale pașapoartelor.",travel
"Chiar dacă aveți tendința să vă alăturați companiei aeriene pe care o folosiți cel mai des, ar trebui să aveți în vedere că privilegiile sunt adesea diferite și punctele pentru zboruri frecvente vă pot aduce beneficii mai generoase la o altă companie aeriană din aceeași alianță.",travel
"Doar câteva companii aeriene încă oferă prețuri în caz de deces, care fac o mică reducere a costului călătoriei de ultima oră pentru o înmormântare.",travel
Turiștii pot face turul diverselor atracții turistice ale unei țări sau pot alege să se concentreze doar pe o singură zonă.,travel
"Insula Bowen este o excursie de zi sau de sfârșit de săptămână populară, care oferă canotaj, drumeții, magazine, restaurante și multe altele.",travel
"Călătoria cu avionul poate fi o experiență terifiantă pentru persoane de toate vârstele și din toate mediile, în special dacă zboară pentru prima oară sau au avut parte de o experiență traumatizantă.",travel
"„Pe scurt, mașina este un vehicul ideal pentru a pleca într-o călătorie, dar rar o modalitate de a «campa».”",travel
"Înregistrarea este o cerință suplimentară pentru procesul de viză. În unele țări, trebuie să îți înregistrezi prezența și adresa unde locuiești la autoritățile locale.",travel
Apele navigabile interne pot fi o bună tematică pentru organizarea unei vacanțe.,travel
"Cărăușie - Nu lăsați niciodată bagajele nesupravegheate, mai ales când treceți granița.",travel
"Vikingii au folosit apele navigabile rusești pentru a ajunge din Marea Neagră în Marea Caspică. Părți ale acestor rute mai pot fi încă folosite. Verificați să nu aveți nevoie de permise speciale, care pot fi dificil de obținut.",geography
"Mai ales în primele zile, ar fi bine să vă răsfățați cu hoteluri, mâncare și servicii în stil și la standarde occidentale de calitate, pentru a vă ajuta să vă adaptați.",travel
Cetățenii cubanezi care dețin cărți verzi pentru SUA trebuie să viziteze un consulat ecuadorian pentru a obține o scutire de la această cerință.,politics
