question,gpt_reply
حسب القطعة، إيه النصيحة اللي مش مظبوطة في طرق العزف على الأكورديون؟,A: لو عاوز تعلي الصوت، اضغط على المفاتيح بقوة كبيرة
لما تيجي تعزف على الأكورديون، إيه اللي ممكن يساعدك في رفع الصوت؟,A: سرعة أكتر
ليه الصور مالهاش حواف على التلفزيون؟,B: عشان الصورة تملا الشاشة
حسب القطعة، إيه المشاكل اللي ممكن تقابلك وأنت بتحول فيلم لصيغة دي في دي؟,B: الترجمة تكون مقطوعة
الحامية البريطانية كانت موجودة فين؟,"الحامية البريطانية كانت موجودة في ترينتون. الإجابة الصحيحة هي:  
B: ترينتون"
مين اللي توقيعه موجود على المسودة المكتوبة يدوي؟,D: تشارلز طومسون
من بين الأماكن دي، إيه هو آخر مكان وصلت له نشرات دنلاب؟,C: لندن
قوات العقيد ستارك كانت متمركزة فين؟,A: الطرف الشمالي على طول السور
حسب القطعة، رجالة ستارك نصبوا السور إمتى؟,A: لما المستعمرين طلبوا الدعم
حسب القطعة، أي عصر من العصور دي كان أكتر عنف في الصين؟,D: حكم الممالك التلاتة
حسب القطعة، إيه اللي بيعتبر صح عن دخول مستعمرة النمل العسكري لحالة البدو؟,B: مصادر الأكل قليلة
حسب القطعة، أي جملة بتوصف بالظبط عادات مستعمرات النمل العسكري في المرحلة البدوية؟,C: بيغيروا العشوش كل يوم
إيه من الحاجات دي مستمر مع وجود مؤثرات خارجية؟,C: ساعات بيولوجية
إيه هو الوصف الصح للناس اللي عندهم اختلاف في سمة ظاهرية معينة؟,D: متعددو الأشكال
إيه هو المصطلح الصح لوصف الكائنات الحية اللي موجودة في مكان واحد؟,B: سكان
من ضمن الاختيارات الموجودة إيه اللي مش بيعتبر مثال للسياحة الطبيعية؟,C: زيارة متحف العلوم
حسب القطعة، إيه هو أساس نظام النقل؟,B: عربيات خاصة
إيه هو نوع الجسيم اللي بيلف حول النواة؟,C: شحنة سالبة
إيه هي مكونات النواة؟,A: بروتونات ونيوترونات
