question,gpt_reply
"गद्यांश के अनुसार, संगीत के लिए अक्कादियन को सटीक रूप से पुनर्स्थापित करने के लिए वास्तव में क्या संभव नहीं है?",A: अधिक मात्रा में उत्पन्न करने के लिए कुंजियों को अधिक बल के साथ दबाया जाना चाहिए
"अक्कडियन को पुनः प्राप्त करते समय, निम्न में से कौन सा आयतन बढ़ाता है?","A: ज्यादा रफ्तार  
B: ज्यादा दबाव  

इन दोनों विकल्पों में से कोई भी सही हो सकता है, क्योंकि दोनों ही कुहनी के माध्यम से अतिरिक्त वॉल्यूम प्राप्त करने के लिए जिम्मेदार हो सकते हैं।"
टेलीविजन फिल्मों में किनारे क्यों काटे जाते हैं?,B: छवि पूरी स्क्रीन में फिट होनी चाहिए
"दिए गए गद्यांश के अनुसार, मूवी को डीवीडी प्रारूप में परिवर्तित करते समय निम्नलिखित में से कौन सी समस्या का सामना करना पड़ सकता है?",B: कुछ उपशीर्षक काट दिए गए हैं
ब्रिटिश पुलिस कहाँ थी?,C: बोर्डनटाउन
हस्तलिखित मसौदे पर किसके हस्ताक्षर थे?,D: चार्ल्स थॉमसन
निम्नलिखित स्थानों में से डनलप ब्रॉडसाइड आखिर कहाँ से आया था?,B: डनलप की प्रिंटिंग शॉप
कर्नल स्टार्क की सेनाएँ कहाँ थीं?,A: उत्तरी बाड़ के साथ
"गद्यांश के अनुसार, स्टार्क के आदमियों ने अपनी बाड़ कब बढ़ाई?",C: कम लहर पर
"गद्यांश के अनुसार, निम्नलिखित में से कौन सा चीन के सबसे हिंसक काल में से एक था?",D: तीन राज्यों का युग
"गद्यांश के अनुसार, चींटियों की बस्ती के खानाबदोश काल के संभावित घटक क्या हैं?","The correct answer is:

B: उनके पास भोजन की कम आपूर्ति है"
"गद्यांश के अनुसार, कौन सा कथन खानाबदोश काल के दौरान सेना की चींटियों की कॉलोनियों की घोंसला बनाने की आदतों को सटीक रूप से दर्शाता है?",C: वे रोजाना घोंसले बदलते हैं
निम्नलिखित में से कौन सा बाहरी संदर्भों के अनुसार निरंतर है?,B: आवधिक लय
कौन सा शब्द उन व्यक्तियों का वर्णन करता है जो एक विशेष फेनोटाइपिक विशेषता के रूपांतर दिखाते हैं?,D: बहुरूपिया
किसी विशेष क्षेत्र पर कब्जा करने वाले जीवों के लिए निम्नलिखित में से कौन सा सही शब्द है?,B: आबादी
