question,gpt_reply
چی وایکرد ئالن دەست بە گەڕان بەدوای موساشی دا بکات بۆ ماوەی هەشت ساڵ؟,A: سامانەکەی
بەپێی بڕگەکە، ئالن بڕێکی بەرچاو لە پارەکەی بۆ چی خەرج کردووە؟,B: گەڕان و لێکۆڵینەوەی دەریایی
بەپێی بڕگەکە، کام لەمانەی خوارەوە بە ئەگەرێکی زۆرەوە بووەتە هۆی بارودۆخی مەترسیدار لەناو وێستگەکە و دەوروبەری؟,A: سووتەمەنی یۆرانیۆم
کام لەمانەی خوارەوە یەکێک لەو ئامۆژگارییە سەلامەتیانە نییە کە دوای ڕووداوی وێستگەکە بۆ دانیشتوانی ناوچەکە پێشنیار کراوە؟,A: خۆدوورگرتن لە بەکارهێنانی یەکەکانی هەواگۆڕکێ
بە گوتەی دکتۆر مۆڵ، چی زۆرترین نیگەرانی هەیە لەبارەی ئیکس دی ئاڕ-تی بی، سیلی بەرگەگری لەڕادەبەدەر دژبە دەرمان؟,D: ڕێژەی بەرزی مەرگ
چەند نەخۆش کە تووشی جۆرە نوێیەکە بوون پشتڕاستکراوەتەوە کە کارمەندی چاودێری تەندروستین؟,B: 2
سیستەمی نێکستجێن چ تەکنەلۆژیایێک بەکاردەهێنێت؟,A: تەکنەلۆژیای لەسەر بنەمای مانگی دەستکرد
چۆن نێکستجێن ڕاستەوخۆ بە کۆنتڕۆلکەرانی هاتوچۆی ئاسمانی سوود دەگەیێنێت؟,A: ڕێگای فڕینی کورتر
بەپێی بڕگەکە، مێژووناسان ڕەخنەیان لە ئێف بی ئای نەگرتووە کە گرنگی بەچی دەدات؟,B: تەرخانکردنی سەرچاوەکان بۆ ئەو تاوانانە کە بە ئاسانی چارەسەر دەکرێن
دەستپێشخەری دژەکارەنەشیاوەکان ئێف بی ئای ناچار کرد چی بکات؟,D: بریکارەکان بۆ کەیسەکانی پۆرنۆگرافی تەرخان بکات
چی بەسەر ئەو ئۆتۆمبێلە ئاگرکوژێنەوەدا هات کە چوو بۆ یارمەتیدانی کەوتنەخوارەوەی JAC 39C گرایپنەوە؟ ,A: تێکشکا
دوای کەوتنەخوارەوەی فڕۆکەی جەی ئەی ئێس 39سی گرایپێن، فڕۆکەخانەکە بەڕووی چیدا داخرا؟,A: گەشتە بازرگانییەکان
برێزینسکی لە سەردەمی شۆڕشی ئێراندا ڕێنمایی پێشکەش بە کێ کردووە؟,C: کارتەر
کێ تا ساڵی 1977 پۆستی ڕاوێژکاری ئاسایشی نیشتمانی بەدەستەوە بووە؟,B: کیسینجەر
کام لەمانەی خوارەوە بەدرووستی پیشەی بۆبەک لەگەڵ پارتیزان بەلگراد نیشان نادات؟,"A: لەماوەی یاریکردنی بۆ تیمەکە زیاتر لە 468 گۆڵی تۆمارکردووە

ئەم وەڵامە بەدرووستی پیشەی بۆبەک لەگەڵ پارتیزان بەلگراد نیشان نادات. بۆبەک ٤٠٣ گۆڵی تۆمار کردووە لە ٤٦٨ یاریدا، نە زیاتر لە ٤٦٨ گۆڵ."
کام لێدوان سەبارەت بە مێژووی بۆبەک لەگەڵ پارتیزان بەلگراد ڕاستە؟,A: لە ساڵی 1945 دا دەستی بە یاریکردن بۆ یانەی پارتیزان کردووە
بەپێی بڕگەکە، کام تایبەتمەندی جیاوازی هەسپەرۆنیکەس لە ڤێلۆسیراپتۆر جیادەکاتەوە؟,B: چنگێکی دووەمی گەورەتری هەیە
مانای “هەسپەرۆنیکەس” لە چ تایبەتمەندییەکی فیزیکی جۆرەکە وەرگیراوە؟,A: چنگەکان
کام لەم قسانەی خوارەوە سەبارەت بە تەقەکردنەکە ڕاستە؟,D: تەقەکردنەکە لە شاری بوفالۆ ڕوویداوە
کام لێدوان سەبارەت بە ڕووداوی تەقەکردنەکە ڕاستە؟,A: لە ئاهەنگێکی ساڵیادیدا لە شاری بوفالۆ ڕوویدا
بەپێی بڕگەکە، نیگەرانی سەرەتایی لەنێو بەرپرسان سەبارەت بە لونۆ چی بوو؟,B: شەپۆلەکان و بای توند
بەپێی بڕگەکە، کام لەم لێدوانانەی خوارەوە سەبارەت بە تێکشکانی لونۆ ڕاست نییە؟,A: تێکشکانەکە پێش هەڵگرتنی بار بووە
لە چ دەیەیەکدا جەزائیر سەربەخۆیی بەدەستهێنا؟,C: ساڵانی 1960
لە کوێ شاشەی تەلەفزیۆن بۆ ڕێوڕەسمی پرسەکە دانەنرابوو؟,A: لە سەرانسەری ڕۆمادا
ڕێوڕەسمی پرسە لە کوێ بەڕێوەچوو؟,C: لە گۆڕەپانی سەینت پیتەر
بەدوای تەقینەوەکەدا، کێ بەهۆی برینی سەختەوە چارەسەرکرا؟,B: هیچ کەس
کێ هەواڵی لێچوونی غازەکەی دا؟,C: بەرپرسێکی کۆمپانیای غازەکە
بەپێی بڕگەکە، چەند کەس لە هێرشەکەدا گیانیان لەدەستداوە؟,B: 2
چەکی کێ جارێک لە ماوەی هێرشەکەدا نەیتوانی تەقە بکات؟,B: یوکا
کام لەم وەرزشانەی خوارەوە بەدەنگ لە بەرنامەی ئۆڵمپیاد لادرا؟,C: بەیسبۆڵ
کۆمیتەی نێودەوڵەتی ئۆڵمپیاد دەنگی لەسەر کام لەم وەرزشانەی خوارەوە دا کە بخرێتەو ناو یاریەکانی ئۆڵمپیکەوە؟,C: یەکێتی ڕاگبی
ئارتور گینێس لەسەرەتادا کارگەی بیرەی سەینت جەیمس گەیتی بۆ چەند ساڵ بەکرێ گرت؟,D: 9000
گینێس هەر ساڵ نزیکەی چەند ملیار دۆلار دەهێنێت؟,C: 14
لە چەن وڵاتی یەکیێتی ئەوروپا دا ڤایرۆسی ئێچ5ئێن1 بینراوە؟,B: شەش
دوایین کەیسی ڤایرۆسی ئێچ5ئێن1 لەکوێ بینراوە؟,A: فەرەنسا
دوایین ڕووبەڕووبوونەوەی هایتی لەگەڵ نەخۆشییەکە کەی بوو پێش بڵاوبوونەوەی بەهۆی ئاشتیپارێزەکانەوە؟,A: ساڵانی 1800
زبڵی کام شوێن لە بڵاوبوونەوەی نەخۆشیەکە دا بەشدار بووە؟,A: ڕووباری ئارتیبۆنایت
حکومەتی ئیرلەندا پلانی هەیە چی بکات؟,B: دانانی یاسای توندتر سەبارەت بە ڕێگەپێدانی ماددە هۆشبەرەکان
لە ئێرلەندا چی بە شێوەیەکی کاتی یاسایی بوو؟,D: ماددە هۆشبەرەکان
ئەو تاوانبارە گومانلێکراوە لەسەر چی لێکۆڵینەوەی لەگەڵ دەکرێت؟,C: تێکدان
لەکاتی گۆڕینی تابلۆکەدا، تۆمەتبارەکە چی نەکردووە؟,C: زیانیپێگەیاندنی فیزیکی
بەپێی بڕگەکە، مامۆستای ئینگلیزی کارنۆ بە کام لەمانەی خوارەوە تۆمەتبار نەکراوە؟,A: پێشێلکردنی مافی کۆپیکردن
بەپێی بڕگەکە، کێ لەلایەن ڕۆلاندۆ مێندۆزاوە بارمتە نەگیرا؟,C: منداڵان
بەپێی بڕگەکە، کام بارمتە وەکوو ئەوەی زووتر ئازاد کرابێت پشتڕاست نەکرایەوە؟,A: گەشتیاران
بەپێی بڕگەکە، کێ واژۆ بۆ پشتیوانیکردن لە بەیاساییکردنی هاوسەرگیری هاو-ڕەگەز لە بەڕازیل کۆدەکاتەوە؟,A: خۆپیشاندەران
خۆپیشاندەران داواکاریەکەیان بە کێ دەدەن؟,C: کۆنگرەی نیشتمانی بەڕازیل
بەپێی گێڕانەوەی ئارماند ڤێرساچی، ڕاستەوخۆ پێش ئەوەی خەڵکەکە دەستبکەن بە کاردانەوە بە کەشوهەوا چی ڕوویدا؟,C: بای قورس هەبوو
بە گوتەی وێرساچی، کەی بەهێزترین با دەستی پێ کرد؟,A: چەند خولەکێک دوای ئەوەی نمایشەکە دەستی پێکرد
پێش فرێد، چەند زریانی مەزنی لە ڕۆژهەڵاتی 35°ڕۆژاوا تۆمارکرابوو؟,A: هیچ
کاتێک فرێد لە نزیک دوورگەکانی کەیپ ڤێردێ دا جێگیرکرا، بەرەو کام ئاراستە دەڕۆیشت؟,D: باکووری ڕۆژاوا
کام لەمانەی خوارەوە خێراییەکەی لە ئەوانەی پێش خۆی زۆرترە؟,A: 802.11ئێن
چی پێویستە بۆ ئەوەی 802.11ئێن بەرەودواوە لەگەڵ 802.11بی بگونجێت؟,D: ڕادیۆی دوانە
بڕیاربوو خاوەن مەداڵیای زێڕی ئۆڵمپیک لە چەند ڕووداو دا لە یاریەکانی کۆمۆنوێڵس مەلە بکات؟,B: سێ
بۆچی خاوەن مەداڵیای زێری ئۆڵمپیک دەرمانی بۆ ئێشەکەی نەدەخوارد؟,C: نگەران بوو بەشێوەیێکی نەرێنی کاریگەری لەسەر لەشجوانی ئەو دەبێت
بەپێی بڕگەکە، چی دەیتوانی ببێتە هۆی سەرلێشێواوی دەربارەی چالاکی بوومەلەرزە؟,B: ڕاپۆرتەکانی نووسینگەی کەشناسی ئاسیلەندا
بەپێی بڕگەکە، کەی گۆڕانکاری قۆناغێک ڕوویدا؟,C: لە 10ی ئازاردا
کام لەم لێدوانانەی خوارەوە دەربارەی گالیسکەی مانگ چاندرایان-1 درووست نین؟,"A: ئەو ئۆربیتەرە کە گالیسکەکە پێ هەڵدرابوو سەرنشینی هەبوو

ئەو لێدوانە درووست نیە چونکە چانداریان-1 خولاوی بێ شوفێری مانگی بوو و هیچ سەرنشینێک نەهەبوو."
کام لەم لێدوانانەی خوارەوە بەدرووستی پشکنەری مانگ وەسف دەکات؟,B: نیشتنەوەی بەتێکشکان سەرکەوتوو بوو
بە پێی بڕگەکە، کام ڕێوشوێنی پاراستن لە نەخۆشیەکە دواینجار جێبەجێ دەکرێت؟,B: بەراز گرەکان
نەخۆشیەکە چۆن دەگوازرێتەوە بۆ مرۆڤ؟,C: بەراز
شکستی ڕستەی دووەم دەتوانێت ببێتە هۆی چ ئەنجامێک؟,B: مافێکی داهاتوو بۆ یەکگرتنی مەدەنی هاو-ڕەگەز
بەپێی بڕگەکە، کەی ڕستە دووەمەکە سڕاوەتەوە؟,A: لەکاتی دانیشتنی یاساداناندا
“بەڵگەنامەکانی پاناما” بۆ کێ دزەیان پێکرا؟,B: ڕۆژنامەوانی
بەپێی بڕگەکە، ڕۆژنامەوانی بەریتانیا ئیدیعای دەکرد کە کێ زۆرێک لەو کۆمپانیانەی کە بۆ شاردنەوەی سامان بەکارهاتوون بەڕێوە دەبات؟,C: دۆیچە بانک
کام لەم ڕووداوە فڕۆکەوانیانەی خوارەوە زۆرترین کوژراویان هەبووە؟,A: کەوتنەخوارەوەی فڕۆکەی ڕیگای ئێران بۆ ئەرمەنستان
کام لەمانەی خوارەوە هۆکارێک نین بۆ زۆربوونی ڕووداوە ئاسمانیەکان کە لە ئێران ڕوودەدەن؟,D: کاروانێکی فڕۆکە کە بەخراپی پارێزگاری لێکراوە
کام لەمانەی خوارەوە لە ڕاپۆرتی دەستەی خوێندنی عێراق دا نەهاتبوو؟,B: ڕاگەیاندنێک کە بە هەندێک گۆڕانکاری تایبەت، دەتوانرێت لە پەرەسەندنی توندوتیژی لە عێراق دووربخرێتەوە
کام لەمانەی خوارەوە لەلایەن گروپی توێژینەوەی عێراقەوە لە ڕاپۆرتەکەیان دا داوانەکراوە؟,D: دامەزراندنی دەستپێشخەرییەکی دیپلۆماسی نوێ
بەگوتەی پۆلیس، کێ بە دەستی ڕاستی پلۆڤەنزانۆ دادەنرا؟,B: لۆ پیکۆلۆ
بەپێی ئەو زانیاریانە لە بڕگەکە دا دراوە، هۆکاری مردنی فالکۆنێ چی بوو؟,A: لەو شەڕە دا کوژرا کە ڕینا دەستیپێکرد
کام لەمانەی خوارەوە یەکێک لە خەڵاتەکانی هیتۆشی سایتۆ نیە؟,B: سەرۆکی لیژنەی فیدراسیۆنی جودۆی گشت ژاپۆن
ئیواساکی لەکوێ توانی خۆی لە سوێندخواردن بەدوور بگرێت؟,B: نیپاڵ
کێ هێرشی کردە سەر ئیواساکی؟,B: چەتە دەریاییەکان
ئالۆنزۆ کەی کۆتایی بە پێشبڕکێکەی خۆی هێنا؟,C: دوای ئەوەی شوماخەر پێشبڕکێکەی خۆی کۆتایی پێهێنا
چی بوە هۆی ئەوە کە شوماخەر پێشبڕکێکەی خۆی زوو کۆتایی پێبهێنێت؟,D: زیانگەیاندن بە دەبڵی ئۆتۆمبێلەکە
بەپێی بڕگەکە، ئەرکی کێیە کە بۆ دەستگیرکراوەکان کەفالەت دیاری بکات؟,B: دادوەر گلین
بەپێی ئەو فەرمانە کاتیەی کە لە بڕگەکەدا ئاماژەی پێکراوە، دەستگیرکراوەکان پێویستە ڕێگەیان پێبدرێت چیان هەبێت بۆئەوەی زۆرتر لە 24 کاتژمێر ڕابگیرێن؟,B: کۆبوونەوەیێک لەگەڵ ئەفسەری دەستگیرکەر
بەپێی ئەو بڕگەیە، کام هۆکار بۆ ڕوونکردنەوەی هەڵوەشانەوەی گەڕێکی دیکەی هەڵبژاردن بەکارنەهێنراوە؟,B: دژایەتییەک لەگەڵ دەستوور
بۆچی دواجار گەڕێکی دیکەی هەڵبژاردن لەلایەن دیپلۆماتکارانەوە بە ناپێویست زانرا؟,C: ناڕوونی لە دەستووردا هەبوو
کێ خزمەتگوزاری دادوەری بۆ FATA پێشکەش دەکات؟,B: بریکارە سیاسییەکان
کام لەم لێدوانانەی خوارەوە سەبارەت بە “بریکارە سیاسییەکان”ی FATA ڕاست نییە؟,"D: کۆنترۆڵی تەواویان بەسەر هەندێک ناوچەدا هەیە

ئەمە ڕاست نییە چونکە بریکارە سیاسییەکان کۆنترۆڵی تەواوی بەسەر ناوچەکاندا نیە، بەڵکو بریکارە سیاسیەکان کە لەلایەن سەرۆک کۆماری پاکستانەوە هەڵبژێردران، بەرپرسن لە دابینکردنی خزمەتگوزاری حکومی و دادوەری بە پێی مادەی 247ی دەستوری پاکستان."
ئیما ستۆن بۆ کام خەڵات پاڵێوراو بوو؟,C: باشترین خانمە ئەکتەر
فیلمەکە بۆ کام خەڵات پاڵێوراوە؟,A: باشترین فیلم
دوای بوومەلەرزەکە کام لەمانەی خوارەوە بە کارکردن مایەوە؟,D: وێستگەی کارەبا لە نیگاتا
بەپێی ئەو بڕگەیە، کام لەمانەی خوارەوە بەهۆی بوومەلەرزەکەوە زیانیان بەرکەوتووە؟,A: هەندێک ماڵ
بەپێی ئەو بڕگەیە، کام لەم بابەتانەی خوارەوە لە بەڵگەنامەکەدا نەهاتووە؟,B: هۆکاری شەڕی ساڵی ١٩٦٧
کام لەمانەی خوارەوە یەکێک نییە لە داواکارییەکانی فەلەستین؟,B: هەبوونی سوپا بە بەردەوامی لە دۆڵی ئوردن
ما لە چ وڵاتێک یاسای خوێندووە؟,A: ویلایەتە یەکگرتووەکانی ئەمریکا
بەپێی ئەو بڕگەیە، داکۆکیکردن لە چ وڵاتێک یارمەتیدەر بووە لە سەرکەوتنی ما لە هەڵبژاردنەکاندا؟,D: چین
وەک لە بڕگەکەدا هاتووە، کارۆلین ویڵسن پێش ئەوەی شارەکە بەجێبهێڵێت، بۆ کێ کاری کردووە؟,C: OHA
لە کاتێکدا چوار پێشبڕکێ لە وەرزەکەدا ماوە، کێ لە پلەی چوارەمی پاڵەوانێتی شۆفێراندایە؟,D: باویەر
دوای ئەو پێشبڕکێیەی کە لە بڕگەدا باسکراوە، کاهنێ چەند خاڵێکی هەیە لە پاڵەوانێتی شۆفێران؟,A: 2220
بەپێی ئەو بڕگەیە، چەند جار خەڵک شاهیدی کەوتنەخوارەوەی نەیزەکەکان بوون کە دواتر سەلمێنراوە کە ڕەچەڵەکی مەریخیان هەیە؟,B: پێنج جار
وەک لە بڕگەکەدا ئاماژەی پێکراوە، چی ڕاستە لەبارەی ئەو بەردانەی کە لە بنەڕەتدا سەر بە مەریخ بوون؟,D: ٣٤ دانەن
شوماخر کەی خانەنشین بوو؟,A: دوای کەوتنەخوارەوەی فێلیپی ماسا
کەی ماسا بریندار بوو؟,A: لە کاتی پێشبڕکێیەکی گەورەدا
بەپێی ئەو بڕگەیە، ئامادەکارییەکە چۆن کاریگەری لەسەر AOL دەبێت؟,C: ژمارەی بەکارهێنەرانی AOL ڕکابەری دەکرێت لەلایەن بەکارهێنەرانی Yahoo! و Microsoft
ڕەنگە کام لەمانەی خوارەوە دوای ئامادەکارییە نوێیەکە کۆتایی بێت؟,C: ئازادی AOL بۆ پەرەپێدانی بازاڕ بەپێی هەنگاوەکانی خۆی
چەند کەس لەوانەی لە هێرشەکەدا کوژراون ئەفسەری پۆلیس نەبوون؟,A: 19
کێ ڕاپۆرتی لەسەر ئەو تۆمەتبارە داوە کە گوایە لە هێرشەکەدا بووە؟,A: پۆلیس
بەهۆی پێگەی فلۆریدا وەک ویلایەتی براوە، چی بەخشرایە میت ڕۆمنی؟,C: هەموو شاندەکانی ویلایەتەکە
بەگوێرەی ئەو بڕگەکە، گینگریچ لە هەڵبژاردنی سەرەکیدا چەند لەسەدی کۆی دەنگەکانی هەبووە؟,B: لەسەدا ٣٢
بە پێی بڕگەکە، کێ لە دوای ئەنجامی کۆبونەوەکە بەردەوام نەبووە لە خۆ کاندیدکردن؟,B: باچمان
بەپێی بڕگەکە، کێ بەباشی باسی لە کاندیدێکی دیکە کردووە دوای دەرئەنجامی کۆبونەوەکە؟,B: گرینگریچ
تاکە شوێنێک کە پێش ساڵی ٢٠١٥ پەخشەکەی تێدا کرابێت کوێ بوو؟,A: تۆگینێت ڕادیۆ
