question,gemini_answer
"നൽകിയിരിക്കുന്ന ഭാഗത്തിൽ, അക്കോഡിയൻ നന്നായി പ്ലേ ചെയ്യാനുള്ള ഏറ്റവും കൃത്യമായ ടിപ്പ് ഇവയിൽ ഏതാണ്?",4
"അക്കോഡിയൻ വായിക്കുമ്പോൾ, ഇനിപ്പറയുന്നവയിൽ ഏതാണ് വോളിയം വർദ്ധിപ്പിക്കുന്നത്?",1
എന്തുകൊണ്ടാണ് ടെലിവിഷനിലെ ചിത്രങ്ങൾക്ക് ബോർഡർ കട്ടുകൾ ഉണ്ടാകുന്നത്?,2
"നൽകിയിരിക്കുന്ന ഖണ്ഡിക അനുസരിച്ച്, ഒരു സിനിമ ഡിവിഡി ഫോർമാറ്റിലേക്ക് മാറ്റുമ്പോൾ ഒരാൾക്ക് നേരിടേണ്ടി വരുന്ന പ്രശ്നം ഇവയിൽ ഏതാണ്?",2
എവിടെയാണ് ബ്രിട്ടീഷ് പട്ടാളം സ്ഥിതി ചെയ്യുന്നത്?,2
ആരുടെ ഒപ്പ് ആണ് കയ്യെഴുത്ത് കരടിൽ കാണപ്പെടുന്നത്?,4
"ഈ പറയുന്ന സ്ഥലങ്ങളിൽ, ഒരു ഡൺലപ് ബ്രോഡ്സൈഡ് അവസാനമായി എത്തിയത് എവിടെയാണ്?",3
എവിടെയാണ് കേണൽ സ്റ്റാർക്കിന്റെ ട്രൂപ്പുകൾ ഉള്ളത്?,1
"നൽകിയിരിക്കുന്ന ഖണ്ഡിക അനുസരിച്ച്, എപ്പോഴാണ് സ്റ്റാർക്കിന്റെ ആളുകൾ അവരുടെ വേലികൾ നീട്ടിയത്?",3
"നൽകിയിരിക്കുന്ന ഖണ്ഡിക അനുസരിച്ച്, ചൈനയിലെ ഏറ്റവും അക്രമാസക്തമായ കാലഘട്ടങ്ങൾ ഇവയിൽ ഏതാണ്?",4
"നൽകിയിരിക്കുന്ന ഖണ്ഡിക അനുസരിച്ച്, ഒരു സൈനിക ഉറുമ്പ് കോളനി ഒരു നൊമാഡിക് ഘട്ടത്തിലേക്ക് പ്രവേശിക്കുന്നതിനെ കുറിച്ച് ശരിയായത് ഏത്?",1
"നൽകിയിരിക്കുന്ന ഖണ്ഡിക അനുസരിച്ച്, സൈനിക ഉറുമ്പ് കോളനികൾ നൊമാഡിക് ഘട്ടത്തിൽ കൂടുണ്ടാക്കുന്ന ശീലത്തെപ്പറ്റി പ്രതിഫലിപ്പിക്കുന്ന പ്രസ്താവന ഏത്?",3
ബാഹ്യ സൂചകങ്ങൾ ഉണ്ടായിരുന്നിട്ടും ഈ പറയുന്നതിൽ ഏതാണ് തുടരുക?,3
ഒരു പ്രത്യേക സ്ഥല രൂപത്തിന്റെ ലക്ഷണം വെച്ച് വ്യതിയാനങ്ങൾ കാണിക്കുന്ന വ്യക്തികളെ ഏത് പദം വിവരിക്കുന്നു?,4
ഒരു നിർദ്ദിഷ്ട സ്ഥലം ഉൾക്കൊള്ളുന്ന ജീവിവർഗങ്ങൾക്ക് പറയുന്ന ശരിയായ പദം ഇവയിൽ ഏത്?,2
ഇവയിൽ പ്രകൃതി-അധിഷ്ഠിത ടൂറിസം അല്ലാത്തത് ഏത്?,3
"നൽകിയിരിക്കുന്ന ഖണ്ഡിക അനുസരിച്ച്, ഒരു ഗതാഗത സംവിധാനത്തിന്റെ അടിസ്ഥാനം ഇവയിൽ ഏതാണ്?",2
ന്യൂക്ലിയസിനെ ഭ്രമണം ചെയ്യുന്ന കണങ്ങൾക്ക് ഏതുതരം ചാർജ് ആണുള്ളത്?,3
ന്യൂക്ലിയസ് ഏത് കണങ്ങൾകൊണ്ടാണ് നിർമ്മിക്കപ്പെട്ടിരിക്കുന്നത്?,1
"നൽകിയിരിക്കുന്ന ഖണ്ഡിക അനുസരിച്ച്, ഒരു ഫൈവ് ബിറ്റ് ബൈനറി നമ്പറിന് ഉദാഹരണം ഇവയിൽ ഏതാണ്?",1
ബൈനറി അക്കങ്ങൾ വേറെ ഏതു പേരിലാണ് പരാമർശിക്കപ്പെടുന്നത് ?,1
വിദ്യാർത്ഥികൾ ബ്ലോഗിംഗ് ചെയ്യുന്നതിന്റെ പ്രാഥമിക ആനുകൂല്യമായി ഈ ഖണ്ഡികയിൽ പരാമർശിക്കാത്ത പ്രസ്താവന ഏത്?,1
