premise,hypothesis,gpt_reply
"Bien, ni estaba pensando en eso, pero estaba tan frustrada y empecé a hablar con él de nuevo.",No he vuelto a hablar con él.,"contradiction
"
"Bien, ni estaba pensando en eso, pero estaba tan frustrada y empecé a hablar con él de nuevo.",Estaba tan molesto que empecé a hablar con él de nuevo.,"neutral
"
"Bien, ni estaba pensando en eso, pero estaba tan frustrada y empecé a hablar con él de nuevo.",Tuvimos una gran charla.,"neutral
"
"Me dijeron que, esto... que un tipo me llamaría al final para vernos.",Nunca me dijeron nada sobre conocer a alguien.,"contradiction
"
"Me dijeron que, esto... que un tipo me llamaría al final para vernos.",Me dijeron que llamarían a un tipo para que me conociera.,"neutral
"
"Me dijeron que, esto... que un tipo me llamaría al final para vernos.",El tipo apareció un poco tarde.,"neutral
"
"Hay tanto que se puede decir sobre eso, que sencillamente me voy a saltar eso.",¡Quiero contarte todo lo que sé sobre eso!,"contradiction
"
"Hay tanto que se puede decir sobre eso, que sencillamente me voy a saltar eso.","No hablaré de eso, aunque hay mucho que cubrir.","entailment
"
"Hay tanto que se puede decir sobre eso, que sencillamente me voy a saltar eso.",No hablaré sobre la historia de la ciudad porque hay mucho que decir.,"entailment
"
Así que no tengo muy claro por qué.,Estoy seguro de la razón por la cual.,"contradiction
"
Así que no tengo muy claro por qué.,No sé por qué él transfirió las escuelas.,"neutral
"
Así que no tengo muy claro por qué.,No sé por qué sucedió eso.,"entailment
"
Yo era el único que alguna vez ejecutaba los reguladores para la prueba en las cámaras de altitud en miniatura.,No me gustó ser el único en ejecutar los reguladores para las pruebas.,"neutral
"
Yo era el único que alguna vez ejecutaba los reguladores para la prueba en las cámaras de altitud en miniatura.,Las pruebas se realizaron en las cámaras de altitud en miniatura.,"entailment
"
Yo era el único que alguna vez ejecutaba los reguladores para la prueba en las cámaras de altitud en miniatura.,Hubo algunos de nosotros que dirigimos los reguladores para la prueba.,"contradiction
"
"Soy, esto, el sargento jefe maestro, jubilado, como dijo Rick.",Todavía estoy trabajando para este día.,"contradiction
"
"Soy, esto, el sargento jefe maestro, jubilado, como dijo Rick.",Me retiré en 2002.,"neutral
"
"Soy, esto, el sargento jefe maestro, jubilado, como dijo Rick.",Rick te dijo que estaba retirado.,"entailment
"
"Hay algunas proyecciones del flujo de caja y, uh, eh, es para tal y cual Cutty, el nombre del cliente.",El cliente llamado Cutty gana $ 10000 al mes.,"neutral
"
"Hay algunas proyecciones del flujo de caja y, uh, eh, es para tal y cual Cutty, el nombre del cliente.",Hay un cliente llamado Cutty.,"entailment
"
"Hay algunas proyecciones del flujo de caja y, uh, eh, es para tal y cual Cutty, el nombre del cliente.",No tenemos clientes llamados Cutty.,"contradiction
"
La chica que me puede ayudar está en la otra punta de la ciudad.,La chica de la que necesito ayuda vive muy lejos.,"entailment
"
La chica que me puede ayudar está en la otra punta de la ciudad.,La niña que me va a ayudar está a 5 millas de distancia.,"neutral
"
La chica que me puede ayudar está en la otra punta de la ciudad.,No hay nadie que pueda ayudarme.,"contradiction
"
"Pero ellos estaban divididos acerca de quiénes eran las manos de campo y quiénes eran los niños de la casa, era algo así como...",Todos estuvieron de acuerdo en que todos trabajarían en el campo.,"contradiction
"
"Pero ellos estaban divididos acerca de quiénes eran las manos de campo y quiénes eran los niños de la casa, era algo así como...",No podían ponerse de acuerdo sobre quién era una mano de campo y quién pertenecía a la casa.,"entailment
"
"Pero ellos estaban divididos acerca de quiénes eran las manos de campo y quiénes eran los niños de la casa, era algo así como...",No podían estar de acuerdo con quién debería trabajar en el campo de algodón y quién debería fregar los pisos.,"entailment
"
"Quiero decir que ellos solo tenían, algo así como, cinco hijos. Uno de ellos murió.",Todos sus hijos sobrevivieron.,"contradiction
"
"Quiero decir que ellos solo tenían, algo así como, cinco hijos. Uno de ellos murió.",Un niño murió de los cinco.,"entailment
"
"Quiero decir que ellos solo tenían, algo así como, cinco hijos. Uno de ellos murió.",El niño que murió había nacido con problemas de salud.,"neutral
"
"Dijo que le caían lágrimas de los ojos, y después dijo que Joe fue hasta el porche.","Cuando le dijo que subiera al porche, tenía lágrimas en los ojos.","neutral
"
"Dijo que le caían lágrimas de los ojos, y después dijo que Joe fue hasta el porche.",Ella se secó rápidamente las lágrimas después de arrojar a Joe fuera del porche.,"neutral
"
"Dijo que le caían lágrimas de los ojos, y después dijo que Joe fue hasta el porche.",Estaba tan feliz de ver a Joe que comenzó a llorar.,"neutral
"
"Incluso si la aeronave estaba en llamas, ¿por qué se quemaría y se derretiría si tiene un componente de plomo para que la radiación se filtre?",La radiación también se puede contener durante un incendio.,"neutral
"
"Incluso si la aeronave estaba en llamas, ¿por qué se quemaría y se derretiría si tiene un componente de plomo para que la radiación se filtre?",La radiación se filtraría de un componente principal después de que el avión se quemara.,"neutral
"
"Incluso si la aeronave estaba en llamas, ¿por qué se quemaría y se derretiría si tiene un componente de plomo para que la radiación se filtre?",La radiación no se filtraría durante un incendio.,"contradiction
"
"Este es el sargento jefe maestro Clem Francis, jubilado de las fuerzas aéreas estadounidenses.",El Jefe está retirado de la Fuerza Aérea de los Estados Unidos.,"entailment
"
"Este es el sargento jefe maestro Clem Francis, jubilado de las fuerzas aéreas estadounidenses.",El Jefe recientemente se retiró hace unas semanas.,"neutral
"
"Este es el sargento jefe maestro Clem Francis, jubilado de las fuerzas aéreas estadounidenses.",El Jefe de la Fuerza Aérea de los Estados Unidos acaba de comenzar su carrera esta semana.,"contradiction
"
"Bueno, llegó hasta el punto en que hay dos o tres aeronaves que llegan en una semana y no sabía a dónde volaban.",Más de un avión llega cada semana.,"entailment
"
"Bueno, llegó hasta el punto en que hay dos o tres aeronaves que llegan en una semana y no sabía a dónde volaban.",El incremento del tráfico de aviones es problemático.,"entailment
"
"Bueno, llegó hasta el punto en que hay dos o tres aeronaves que llegan en una semana y no sabía a dónde volaban.",Nunca llega ningún avión.,"contradiction
"
Ellos ya habían tenido su entrenamiento en los trajes presurizados y me había costado algo de tiempo ponerme un traje presurizado.,Se tardan tres meses en completar el entrenamiento en el uso de un traje de presión.,"neutral
"
Ellos ya habían tenido su entrenamiento en los trajes presurizados y me había costado algo de tiempo ponerme un traje presurizado.,El entrenamiento para usar un traje a presión requiere tiempo.,"entailment
"
Ellos ya habían tenido su entrenamiento en los trajes presurizados y me había costado algo de tiempo ponerme un traje presurizado.,Podríamos haberte entrenado para usar un traje de presión completo para el final del día.,"neutral
"
"Quiero decir que no había ningún peligro de entrar con la bomba porque no explotaría, independientemente de lo duro que tocó el suelo.",La bomba había sido desactivada por el piloto.,"neutral
"
"Quiero decir que no había ningún peligro de entrar con la bomba porque no explotaría, independientemente de lo duro que tocó el suelo.",La bomba no tuvo ninguna posibilidad de explotar.,"entailment
"
"Quiero decir que no había ningún peligro de entrar con la bomba porque no explotaría, independientemente de lo duro que tocó el suelo.",Había un gran peligro de que la bomba explotara.,"contradiction
"
Y qué tal si se parece exactamente a lo que intento hacer.,No estoy seguro de cómo te parece esto.,"neutral
"
Y qué tal si se parece exactamente a lo que intento hacer.,"Obviamente, estoy tratando de hacerlo.","entailment
"
Y qué tal si se parece exactamente a lo que intento hacer.,Estoy tratando de terminar mi proyecto la próxima semana.,"neutral
"
"Pero de igual forma, los animales se perderían todo el tiempo, en especial las cabras.",Las cabras escapaban del granero todos los días.,"neutral
"
"Pero de igual forma, los animales se perderían todo el tiempo, en especial las cabras.",Las cabras escaparon a menudo.,"entailment
"
"Pero de igual forma, los animales se perderían todo el tiempo, en especial las cabras.",Las cabras estaban seguras y a salvo.,"contradiction
"
"Cuando entramos, las puertas estaban cerradas.",Todas las puertas estaban abiertas.,"contradiction
"
"Cuando entramos, las puertas estaban cerradas.",Teníamos las llaves con nosotros.,"neutral
"
"Cuando entramos, las puertas estaban cerradas.",Entramos a pesar de que las puertas estaban cerradas.,"entailment
"
De manera que solo tenía que coger los totales y probar y resolverlo así.,Estoy seguro de que los totales son todo lo que necesito para resolver esto.,"entailment
"
De manera que solo tenía que coger los totales y probar y resolverlo así.,"No tengo la menor idea de qué hacer solo con los totales. Por favor, dame más detalles para deshacer este entuerto.","neutral
"
De manera que solo tenía que coger los totales y probar y resolverlo así.,Lo calcularé basandome en los totales.,"entailment
"
y mucho de eso es debido al hecho de que las madres son drogodependientes,Las madres son drogadictas.,"entailment
"
y mucho de eso es debido al hecho de que las madres son drogodependientes,Las madres no toman prescripciones ni medicamentos.,"contradiction
"
y mucho de eso es debido al hecho de que las madres son drogodependientes,La madre toma drogas,"entailment
"
"Sí, es realmente agradable, ha estado lloviendo.",No me importa la lluvia.,"neutral
"
"Sí, es realmente agradable, ha estado lloviendo.",Es bonito y lluvioso.,"entailment
"
"Sí, es realmente agradable, ha estado lloviendo.",Es tan horrible con la incesante luz del sol.,"contradiction
"
"Oh, lo que vale una vida humana y si se puede o no rehabiliar a alguien.",Todas las vidas valen la rehabilitación y las segundas oportunidades.,"entailment
"
"Oh, lo que vale una vida humana y si se puede o no rehabiliar a alguien.",Ningún humano merece ser rehabilitado.,"contradiction
"
"Oh, lo que vale una vida humana y si se puede o no rehabiliar a alguien.","Independientemente de la rehabilitación, la vida vale la pena.","entailment
"
"oh, chico, aquí tienes un extraño problema de cableado",Nunca antes había visto este tipo de problema de cableado.,"neutral
"
"oh, chico, aquí tienes un extraño problema de cableado",El cableado no es el problema.,"contradiction
"
