premise,hypothesis,gpt_reply
"Ga’lá ju, ke tási newalayé nejé echi kítira, we ne majáli, a’lí ko uchécho ne yua ku ra’íchaki.",Tási ne uchecho yua ra’ícha échi rejói.,entailment
"Ga’lá ju, ke tási newalayé nejé echi kítira, we ne majáli, a’lí ko uchécho ne yua ku ra’íchaki.","We ne yoa iníli, analí ariká ne yua ku ra’íchaki.",neutral
"Ga’lá ju, ke tási newalayé nejé echi kítira, we ne majáli, a’lí ko uchécho ne yua ku ra’íchaki.",A ta wilibé ra’íchaki.,neutral
"We a’lá ne mayéki, a bajísi, echi riká ju, nejé binéli ke mapu ne asáli echoná beneyá avione mela beneyá.",Tási ne machíli mapu echi binéli asáli kawichí a’lí rawé.,entailment
"We a’lá ne mayéki, a bajísi, echi riká ju, nejé binéli ke mapu ne asáli echoná beneyá avione mela beneyá.",Nejéko mayéli mapu echi binéli niili bilépi numero olaká echoná kawichí.,neutral
"We a’lá ne mayéki, a bajísi, echi riká ju, nejé binéli ke mapu ne asáli echoná beneyá avione mela beneyá.","Si’néamita bilépi número ne chiyíri chopi áiru, tási ta naréli suwába maputa chiliwéabaruai, pekaléka ra’ichairu.",contradiction
"Nejé je anéiru, je’ná… bilé rejói tamí ra’íchamaruai, mapu rikata ra’ichába.",Tási ne náriliru ácha ne bilécho machináli.,neutral
"Nejé je anéiru, je’ná… bilé rejói tamí ra’íchamaruai, mapu rikata ra’ichába.",A ne ruyéri mapu bilé rejói bayéba kiti ko tamí machiméa.,entailment
"Nejé je anéiru, je’ná… bilé rejói tamí ra’íchamaruai, mapu rikata ra’ichába.",Ma pei alíwachi nawáli échi rejói.,neutral
"Wekabé nirú ra’íchali jepuná kítira, pe ne simíruma jepuná kítira ko.",¡nejé suwába mi ruyéma échi kítira!,contradiction
"Wekabé nirú ra’íchali jepuná kítira, pe ne simíruma jepuná kítira ko.","Tási ne ra’icháma échi kítira, we nirúi mapu anibóa.",contradiction
"Wekabé nirú ra’íchali jepuná kítira, pe ne simíruma jepuná kítira ko.","Tási ne ra’icháma nawésali ki’yá nirúiami kítira, we nirú ra’íchali.",entailment
