question,gpt_reply
Kinsa ang naghupot sa position sa National Security Advisor hangtod sa 1977?,B: Kissinger
Hain sa mosunod ang wala tukmang nagpakita sa karera ni Bobek sa Partizan Belgrade?,A: Naka-iskor siya og labaw sa 468 ka goal samtang nagduwa para sa team
Hain nga pahayag bahin sa kasaysayan ni Bobek sa Partizan Belgrade ang tinuod?,A: Nagsugod siya og duwa para sa Partizan niadtong 1945
"Sumala sa istorya, unsang kinaiya ang nagpalahi sa Hesperonychus gikan sa Velociraptor?",B: Duna kiniy mas dakong ikaduhang claw
Ang pasabot sa “Hesperonychus” gikan sa unsang pisikal nga kinaiya sa species?,The correct answer is A: Ang (mga) claw.
Hain sa mosunod nga mga pahayag bahin sa pagpamusil ang tinuod?,D: Nahitabo ang pagpamusil sa Buffalo
Unsang pahayag bahin sa kalihokan diin nahitabo ang pagpamusil ang tukma?,A: Nahitabo kini sa usa ka party sa anibersaryo sa Buffalo
"Sumala sa istorya, unsa ang inisyal nga kabalaka taliwala sa mga opisyales mahitungod sa Luno?",C: Pagkayabo sa gasolina
"Sumala sa istorya, hain sa mosunod nga mga pahayag bahin sa breakdown sa Luno ang dili tinuod?",B: Ang barko dunay 100 metros nga fuel nga dala sa panahon sa breakdown
Sa unsang dekada nakuha sa Algeria ang pagkagawasnon?,C: 1960s
Diin wala naka-set up ang mga screen sa telebisyon para sa seremonyas sa lubong?,D: Sa St. Peter’s Square
Asa gihimo ang seremonyas sa paglubong?,C: Sa St. Peter’s Square
"Human sa pagbuto, kinsa ang gitambalan tungod sa seryosong mga injury?",B: Wala
Kinsa ang nagreport sa gas leak?,A: Usa ka silingan sa bilding
"Sumala sa istorya, pila ka mga tawo ang namatay sa pag-atake?",B: 2
Kang kinsang hinagiban ang napakyas pagbuto panahon sa pag-atake?,B: Uka
Hain sa mosunod nga sports ang gibotar para mawala sa programa sa Olympic?,C: Baseball and softball were voted out of the Olympic program in 2005.
Hain sa mosunod nga sports ang gibotaran sa International Olympic Committee aron maapil sa mga duwa?,C: Rugbu union
Gi-abangan ni Arthur Guiness ang St. Jame’s Gate Brewery sulod sa pila ka tuig?,D: 9000
Mga pila ka bilyong dolyar ang masulod sa Guiness kada tuig?,C: 14
Sa pila ka mga nasod sa European Union na-identify ang H5N1 nga virus?,C: Pito
Diin nasayran ang pinakaulahing kaso sa H5N1 virus?,A: Pransya
Kanus-a ang kataposang engkwentro sa Haiti sa sakit sa wala pa ang pagkaylap nga gipahinabo sa mga peacekeeper?,A: Sa 1800s
Ang hugaw gikan sa unsang lokasyon ang nakaamot sa pagkaylap sa sakit?,B: Ang kampo sa UN
Unsa ang giplanong himoon sa Irish nga gobyerno?,B: Pagpaila og mas hugot nga mga balaod sa pagkamatugot sa mga droga
Unsa ang temporaryong gihimong legal sa Ireland?,D: Mga droga
Sa unsa giimbestigahan ang suspetsadong offender?,A: Pagsulod nga walay pagtugot
"Sa dihang giusab ang sign, unsa ang wala buhata sa suspetsado?",C: Pisikal nga giguba kini
"Sumala sa istorya, hain sa mosunod ang wala giakusar ngadto sa English Tuto nga si Kamo?",B: Pagpakigdeyt og estudyante
"Sumala sa istorya, kinsa ang wala gi-hostage ni Rolando Mendoza?",D: Mga photographer
"Base sa istorya, unsang mga hostage ang wala makumpirma ingong napagawas og sayo?",A: Ang mga turista
"Sumala sa istorya, kinsa ang nagtigom og mga pirma ingong suporta sa pag-legalize sa same-sex nga kasal sa Brazil?",A: Mga tigprotesta
Kang kinsa ihatag sa mga nagprotesta ang ilang petisyon?,C: Sa National Congress of Brazil
"Sumala kang Armand Versace, unsa ang direktang nahitabo sa wala pa nagsugod ang crowd og react sa panahon?",The correct answer is C: Dunay kusog kaayong mga hangin.
"Sumala sa Versace, kanus-a nagsugod ang pinakakusog nga mga hangin?",A: Pipika ka minutos pagkahuman nga nagsugod na gyud ang display
"Sa dili pa si Fred, pila ka major nga mga bagyo ang na-rekord sa east sa 35°W?",B: Tulo
"Samtang nahimutang si Fred duol sa Cape Verde, unsang direksyon kini nagpadulong?",D: Amihanan-kasapdan
Hain sa mosunod ang mas paspas og gipaspason kaysa sa mga predecessor niini?,The correct answer is A: 802.11.
Unsa ang kinahanglan para sa 802.11n aron majong backwared compatible sa 802.11?,The correct answer is: D: Dual radios
Pila ka mga event sa Olympics nagka gold medal ang Commonwealth Games?,"The given text does not provide information about the number of Olympic gold medal events won by the Commonwealth Games. It only mentions an Olympic gold medalist's events in the Commonwealth Games and their issues with medication. Therefore, there is not enough information to determine the correct answer from the options provided."
Nganong wala nagtumar og medikasyon ang Olympic gold medalist para sa iyang kasakit?,D: Wala kini gitugotan sa Commonwealth
"Sumala sa istorya, unsa kaha ang hinungdan sa kalibog mahitungod sa kalihokan sa linog?",A: Ang presensya sa ngitngit nga mga panganod
"Sumala sa istorya, kanus-a nahitabo ang usa ka phase change?",C: Sa Marso 10
Hain sa mosunod nga mga pahayag bahin sa lunar probe ni Chandrayaan-1 ang dili tinuod?,A: Ang orbiter nga naglusad sa probe sa usa ka crew
Hain sa mosunod nga mga pahayag ang tukmang naghulagway sa lunar probe?,"B: Ang crash landing niini nagmalamposon

Ang Chandrayaan-1 Moon Impact Probe (MIP) nagmalampuson nga nag-crash land duol sa habagatang bahin sa Bulan."
"Base sa istorya, unsang lakang sa pagpanalipod batok sa sakit ang pinakaulahing ipatuman?",A: Mga pamatay sa dangan
Sa unsang paagi ibalhin ang sakit ngadto sa mga tawo?,A: Mga lamok
Ang ikaduhang sentence nagpahinabog ikaduhang sentence failure?,D: Ang pagdili sa mga union sa same-sex civil unions
"Sumala sa istorya, kanus-a na-delete ang ikaduhang mensahe?",C: Sa Lunes
Para kang kinsa gi-leak ang “Panama Papers”?,B: Sa press
"Sumala sa istorya, kinsa ang gibasol sa British press nga nagdumala sa daghang mga kompanya nga gigamit aron tagoan kini?",C: Deutsche Bank
Hain sa mosunod nga aksidente sa aircraft dunay lainlaing pagkamatay?,A: Ang plane crash hapit nang maabot sa Armenia diin nalingaw sila
Hain sa mosunod ang dili rason para sa daghang aksidente sa hangin nga nahitabo sa Iran?,"B: Kakulang sa budget nga nagtugot para sa mga pagpalit og bag-ong aircraft

The passage does not mention a lack of budget as a reason for the high number of air accidents in Iran. The mentioned reasons include an aging fleet, international sanctions preventing new aircraft purchases, and poor maintenance."
Hain sa mosunod ang wala nalakip sa report gikan sa Iraq Study Group?,"B: Usa ka deklarasyon nga sa pipila ka mga kausaban, malikayan ang nagkadaghan kapintasan sa Iraq"
Hain sa mosunod ang wala napugos sa Iraq Study Group sa taho niini?,A: Nga ang garantiya sa paghunong sa nagatubong kabangisan ideklarar
"Sumala sa pulis, kinsa ang gikonsiderar ingong tuong kamot ni Provenzano?",B: Lo Piccolo
"Base sa impormasyon nga gihatag sa istorya, unsa ang hinungdan sa pagkamatay ni Falcone?",A: Gipatay siya panahon sa Riina-driven war
Hain sa mosunod ang dili usa sa mga pasidungog ni Hitoshi Saito?,A: Duha ka beses nga Kampiyon sa Kalibutan
Diin nakahimo si Iwasaki sa paglikay og paghimog panaad?,B: Nepal
Kinsa ang niatake kang Iwasaki?,C: Usa ka iro
Kanus-a gitapos ni Alonso ang iyang lumba?,A: Pagkahuman nga na-damage ni Schumacher ang iyang atubangang ligid
Unsay nagpasayo kang Schumacher sa pagtapos sa iyang lumba?,D: Nadaot ang suspensiyon sa sakyanan
"Sumala sa istorya, kang kinsang trabaho ang pag set og bail para sa mga naaresto?",D: Ang court commissioner
"Sumala sa temporaryo nga mando nga gihisgotan sa istorya, unsa ang itugot nga magunitan sa mga naaresto aron mahuptan sila og mas dugay sa 24 oras?",A: Piyansa
"Sumala sa istorya, unsa nga rason ang wala gamita aron ipatin-aw ang nakanselang eleksyon?",B: Usa ka kontradiksyon sa konstitusyon
Nganong gihunahunang wala kinahanglana ang eleksyon sa mga diplomat?,C: Dunay kawalay klaro sa konstitusyon
Kinsa ang nagtaganag serbisyong hudisyal para sa FATA?,B: Mga Ahente sa Pulitika
Hain sa mosunod nga mga pahayag bahin sa “Mga Ahente sa Pulitika” sa FATA ang dili tinuod?,"D: Duna silay hingpit nga kontrol sa pipila ka mga lugar

Ang pahayag nag-ingon nga ang ""Mga Ahente sa Pulitika"" adunay hapit sa hingpit nga independenteng kontrol apan dili ang hingpit nga kontrol sa mga lugar."
Unsang award na-nominate si Emma Stone?,C: Labing Maayo nga Aktres
Para sa unsang award nanominate ang salida?,"A: Best Picture  
C: Best Sound Mixing  
D: Best nga Orihinal nga Kanta"
Hain sa mosunod ang nagpabiling naglihok pagkahuman sa linog?,D: Usa ka power plant sa Niigata
"Sumala sa istorya, hain sa mosunod ang nakasinati og kadaot tungod sa linog?","A: Pipila ka mga balay  
B: Duha ka mga reaktor sa planta sa Shika  
C: Pipila ka mga dalan  
D: Ang Noto Airport  

All of the above options experienced impacts due to the earthquake as mentioned in the story. Therefore, the correct choice would be that all answers (A, B, C, and D) are correct."
"Sumala sa istorya, hain sa mosunod nga mga isyu ang walay labot sa dokumento?",B: Ang rason sa 1967 nga gubat
