question,gpt_reply
"Σύμφωνα με το απόσπασμα, ποια δεν θα μπορούσε να θεωρηθεί ακριβής συμβουλή για το σωστό παίξιμο του ακορντεόν;","A: Για επιπλέον ένταση, αυξήστε τη δύναμη με την οποία πατάτε τα πλήκτρα"
"Όταν παίζουμε ακορντεόν, ποιο από τα παρακάτω μας βοηθά να αυξάνουμε την ένταση;",A: Περισσότερη ταχύτητα
Γιατί τα όρια των εικόνων στην τηλεόραση είναι κομμένα;,"B: Έτσι, η εικόνα καλύπτει ολόκληρη την οθόνη"
"Σύμφωνα με το απόσπασμα, ποιο από τα παρακάτω προβλήματα μπορεί να αντιμετωπίσει κανείς κατά τη μετατροπή μιας ταινίας σε μορφή DVD;",B: Μερικώς κομμένους υπότιτλους
Πού βρισκόταν η βρετανική φρουρά;,C: Στο Μπόρντερταουν
Ποιανού η υπογραφή εμφανιζόταν στο χειρόγραφο σημείωμα;,D: Του Τσαρλς Τόμσον
Ποια από τις παρακάτω τοποθεσίες ήταν η τελευταία στην οποία έφτασε αντίγραφο της μπροσούρας του Ντάνλαπ;,C: Στο Λονδίνο
Πού βρίσκονταν τα στρατεύματα του συνταγματάρχη Σταρκ;,"A: Στο βόρειο άκρο, κατά μήκος της περίφραξης"
"Σύμφωνα με το απόσπασμα, πότε δημιούργησαν οι άντρες του Σταρκ επέκταση στον φράχτη τους;",C: Κατά τη διάρκεια της άμπωτης
"Σύμφωνα με το απόσπασμα, ποια από τις παρακάτω υπήρξε μία από τις πιο βίαιες περιόδους της Κίνας;",D: Η περίοδος των Τριών Βασιλείων
"Σύμφωνα με το απόσπασμα, τι ισχύει για μια αποικία εκστρατευτικών μυρμηγκιών που εισέρχεται σε φάση μετανάστευσης;",B: Έχουν λιγοστές προμήθειες σε τρόφιμα
"Σύμφωνα με το απόσπασμα, ποια δήλωση αντικατοπτρίζει με ακρίβεια τις συνήθειες στρατοπέδευσης των αποικιών εκστρατευτικών μυρμηγκιών κατά τη διάρκεια της φάσης της μετανάστευσης;",C: Αλλάζουν φωλιές καθημερινά
Ποιο από τα παρακάτω συνεχίζεται παρά την παρουσία εξωτερικών ερεθισμάτων;,C: Βιολογικά ρολόγια
Ποιος όρος περιγράφει τα άτομα που εμφανίζουν διακυμάνσεις ενός συγκεκριμένου εμφανούς γνωρίσματος;,D: Πολυμορφικά
Ποιος από τους παρακάτω είναι ο σωστός όρος για τους οργανισμούς που καταλαμβάνουν μια συγκεκριμένη περιοχή;,B: Πληθυσμός
Ποιο από τα παρακάτω δεν αποτελεί παράδειγμα δραστηριότητας τουρισμού της φύσης;,C: Επίσκεψη σε μουσείο επιστημών
"Σύμφωνα με το απόσπασμα, ποιο από τα παρακάτω αποτελεί τη βάση του συστήματος μεταφορών;",B: Τα ιδιωτικά οχήματα
Τι είδους φορτίο φέρουν τα σωματίδια που περιστρέφονται γύρω από τον πυρήνα;,C: Αρνητικό φορτίο
Από ποια μόρια αποτελείται ο πυρήνας;,A: Πρωτόνια και νετρόνια
"Σύμφωνα με το απόσπασμα, ποιο από τα παρακάτω αποτελεί παράδειγμα πενταψήφιου δυαδικού αριθμού;",C: 10010
Τα δυαδικά ψηφία αναφέρονται επίσης ως τι;,A: Μπιτς
Ποιο από τα παρακάτω δεν αναφέρεται στο απόσπασμα ως κύριο όφελος της χρήσης των ιστολογίων από τους μαθητές;,D: Η αύξηση της επιθυμίας για συνεχή μάθηση
Ποια από τις παρακάτω πτυχές των ιστολογίων αναφέρεται ως κίνητρο για τους μαθητές ώστε να βελτιώσουν τις δεξιότητές τους στη γραφή;,B: Η παρόρμηση να αποφεύγουν την κριτική
Ποιο από τα παρακάτω δεν αποτελεί πλεονέκτημα της επικοινωνίας χωρίς συγχρονισμό για τους μαθητές; ,A: Η χρήση του διαδικτύου ως πόρου
"Σύμφωνα με το απόσπασμα, ποια από τις παρακάτω πτυχές της επικοινωνίας χωρίς συγχρονισμό δεν είναι ευέλικτη για τους μαθητές;",C: Το υλικό διδασκαλίας
Τι δεν αναφέρεται στο απόσπασμα ως κάτι που θα μπορούσε κανείς να συσχετίσει με τα μεσαιωνικά κάστρα;,D: Οι ιππότες
Ποιο από τα παρακάτω δεν αναφέρεται στο απόσπασμα ως οσμή ή ήχος που θα μπορούσε να έρθει στο μυαλό μας ανάμεσα στα ερείπια του κάστρου;,C: Τα συμπόσια
Ποιο από τα παρακάτω αποτελεί ακριβή περιγραφή του Kirby Muxloe Castle;,"B: Η απαιτούμενη οχύρωση ήταν ελάχιστη, λόγω της σχετικής ηρεμίας που επικρατούσε στη χώρα την περίοδο της κατασκευής"
Ποιο από τα παρακάτω χαρακτηριστικά κατασκευής θεωρείται μη χαρακτηριστικό του Kirby Muxloe Castle κατά τη διάρκεια της χρονικής περιόδου που περιγράφεται στο απόσπασμα;,B: Ένα κτίσμα που χτίστηκε με τέτοιον τρόπο ώστε να αντέχει στις επιθέσεις
"Σύμφωνα με το απόσπασμα, τι από τα παρακάτω θα ήταν το πλέον ευεργετικό για κάποιον δρομέα που προετοιμάζεται για την επόμενη σεζόν;",D: Να αξιοποιήσει το γυμναστήριο για να εκγυμνάσει το πάνω μέρος του σώματος
"Σύμφωνα με το απόσπασμα, ποιο από τα παρακάτω είναι υψίστης σημασίας για έναν πρώτης τάξης δρομέα μισού μιλιού;",B: Να καλλιεργήσει την αντοχή του αντί για την ταχύτητά του
Ποιο από τα παρακάτω δεν μπορεί να επιτευχθεί μόνο μέσω των διατροφικών πρακτικών για τις αθλήτριες;,C: Οι υψηλές επιδόσεις
"Με βάση το απόσπασμα, ποιο από τα παρακάτω δεν προτείνεται για τις νεαρές αθλήτριες ως ένας τρόπος για να βρίσκουν μεγαλύτερη ευχαρίστηση από το άθλημά τους;",B: Οι σταθερές υψηλές επιδόσεις
"Σύμφωνα με το απόσπασμα, για ποιον λόγο θα μπορούσε ένας δρομέας μεσαίων αποστάσεων να αγοράσει πιο ακριβό εξοπλισμό;",A: Αποτελεί προσωπική του προτίμηση
"Σύμφωνα με το απόσπασμα, τι απαιτείται για την ενασχόληση με το τρέξιμο μεσαίων αποστάσεων;",C: Ελάχιστος εξοπλισμός
Ποιος ανακάλυψε τον πυρηνικό μαγνητικό συντονισμό; ,C: Ο Μπλοχ και ο Πάρσελ
Ποιο έτος χορηγήθηκε το πρώτο δίπλωμα ευρεσιτεχνίας στον κλάδο της μαγνητικής τομογραφίας; ,B: 1974
"Σύμφωνα με το απόσπασμα, ποιο είναι το στοιχείο που θα πρέπει να κατανοούν οι άνθρωποι προκειμένου να ερμηνεύουν τις σωματικές κινήσεις των άλλων;",B: Πρόθεση
"Σύμφωνα με το απόσπασμα, η κατανόηση της πρόθεσης βοηθά τους ανθρώπους να κάνουν τι;",A: Να εξαλείφουν την αβεβαιότητα στις σωματικές κινήσεις
"Σύμφωνα με το απόσπασμα, ποιο από τα παρακάτω αποτελεί ακριβή σύνοψη του βασικού σκοπού της ΤΝ;",D: Η αυτοματοποίηση εργασιών
