question,gpt_reply
"Čo sa podľa úryvku nepovažuje za presné odporúčanie, ako dobre hrať na akordeóne?",A: Pre väčšiu hlasitosť triafajte klávesy väčšou silou
"Keď hráte na akordeón, ktorá z nasledujúcich možností vám pomôže zvýšiť hlasitosť?",A: Väčšia rýchlosť
Prečo majú obrazy na televízore orezané okraje?,B: Aby obraz pokrýval celú obrazovku
S ktorým z nasledujúcich problémov sa podľa úryvku môžete stretnúť pri konverzii filmu do formátu DVD?,B: Čiastočne orezané titulky
Kde sa nachádzala britská posádka?,C: Bordentown
Čí podpis sa objavil na ručne písanom návrhu?,"Ani jedna z uvedených možností nie je správna. Podpis, ktorý sa objavil na ručne písanom návrhu, bol prezidenta Kongresu Johna Hancocka."
Na ktoré z týchto miest boli nakoniec zaslané Dunlapove bočné strany?,"A: New York  
B: Dunlapova tlačiareň  
C: Londýn  
D: Independence Hall  

Všetky uvedené miesta sú správne, pretože Dunlapove bočné strany boli zaslané na každé z týchto miest."
Kde boli usadené vojská plukovníka Starka?,"A: Na severnom konci, pozdĺž plotu"
Kedy podľa úryvku Starkovi muži rozšírili plot?,C: Počas odlivu
Ktoré z nasledujúcich období v Číne boli podľa úryvku jednými z období najväčšieho násilia?,D: Obdobie troch kráľovstiev
"Ktoré tvrdenie o armáde mravčích kolónií, ktorá vstupuje do kočovnej fázy, je podľa úryvku pravdivé?",B: Má malé zásoby jedla
Ktoré tvrdenie podľa úryvku presne odráža správanie armády mravčích kolónií pri hniezdení počas kočovnej fázy?,C: Mení hniezda každý deň
Ktorá z nasledujúcich možností bude pokračovať napriek prítomnosti podnetov z externého prostredia?,C: Biologické hodiny
"Ktorý pojem opisuje jedincov, ktorí vykazujú variant určitej fenotypickej črty?",D: Polymorfné
"Ktorý z nasledujúcich pojmov je správnym označením organizmov, ktoré obývajú určitú oblasť?",B: Populácia
Ktorý z nasledujúcich príkladov nie je príkladom aktivít v rámci prírodného turizmu?,C: Návšteva vedeckého múzea
Ktorá z nasledujúcich možností je podľa úryvku základom dopravného systému?,B: Súkromné automobily
"Aký typ náboja majú častice, ktoré obiehajú okolo jadra?",C: Negatívny náboj
Z akých častíc pozostáva jadro?,A: Protóny a neutróny
Ktorý z nasledujúcich príkladov je podľa úryvku príkladom päťbitového binárneho čísla?,C: 10010
Ako sa inak označujú binárne číslice?,A: Bity
Ktorá z nasledujúcich možností sa v úryvku nespomína ako primárny prínos študentských blogov?,B: Pokles kritiky od spolužiakov
"Ktorý z nasledujúcich aspektov blogovania sa spomína ako motivujúci aspekt, ktorý študentov podnecuje k zlepšovaniu ich schopnosti písania?",B: Potreba vyhnúť sa kritike
Ktorý z nasledujúcich aspektov pre študentov nie je prínosom asynchrónnej komunikácie? ,B: Osobný kontakt s inštruktormi kedykoľvek počas dňa
Ktoré z nasledujúcich aspektov asynchrónnej komunikácie podľa úryvku nie je pre študentov flexibilný?,D: Používanie internetu
"Čo sa v úryvku nespomína ako niečo, čo sa môže spájať so stredovekými hradmi?",D: Rytieri
"Čo z nasledujúceho sa v úryvku nespomína ako vôňa alebo zvuk, ktorý sa vám môže v mysli vynárať uprostred ruín hradu?",C: Hostiny
Ktorý z nasledujúcich opisov je presným opisom hradu Kirby Muxloe?,"B: Vyžadoval si minimálne opevnenie kvôli tomu, že v čase výstavby vládol v krajine pokoj"
Ktoré z nasledujúcich konštrukčných prvkov sa počas obdobia opísaného v úryvku nepovažovali v súvislosti s hradom Kirby Muxloe za atypické?,C: Menej opevnenia ako niektoré hrady
"Čo by podľa úryvku bolo pre bežca, ktorý sa pripravuje na nadchádzajúcu sezónu, najprospešnejšie?",D: Využívanie posilňovne na precvičovanie hornej časti tela
Ktorá z nasledujúcich možností podľa úryvku je pre prvotriedneho bežca na pol míle absolútne najdôležitejšou?,B: Pestovanie vytrvalosti na úkor rýchlosti
Ktorú z nasledujúcich možností športovci nemôžu dosiahnuť výhradne prostredníctvom výživových postupov?,C: Vrcholový výkon
"Ktorá z možností sa na základe úryvku pre mladých športovcov nenavrhuje ako spôsob, ako umocniť svoju radosť zo športu?",B: Konzistentný výkon na prvotriednej úrovni
Prečo si podľa úryvku bežci na stredné trate kupujú drahšie kusy vybavenia?,A: Ide o ich osobnú preferenciu
Čo si podľa úryvku beh na stredné trate vyžaduje?,C: Veľmi malé množstvo výbavy
Kto objavil nukleárnu magnetickú rezonanciu? ,C: Bloch a Purcell
V ktorom roku bol udelený prvý patent za lekársku zobrazovaciu magnetickú rezonanciu? ,B: 1974
"Pre čo by mali mať ľudia podľa úryvku vysokú mieru pochopenia, aby dokázali správne interpretovať fyzické skutky?",B: Pre úmysel
Čo ľuďom podľa úryvku pomáha pochopenie úmyslu?,A: Zamedziť neistote súvisiacej s fyzickými skutkami
Ktorá možnosť je podľa úryvku presným zhrnutím hlavného účelu AI?,D: Automatizácia úloh
S čím sa podľa úryvku AI často spája?,C: So science fiction
"Akú silnú stránku majú podľa úryvku ľudia, ktorí majú konvergentný typ myslenia?",D: Pamätajú si vzorce
"Čo z nasledujúcich možností sa podľa úryvku nepovažuje za niečo, na čo je konvergentný typ myslenia zameraný?",B: Dopriatie si dostatku času
Čo z nasledujúcich možností sa podľa úryvku nepovažuje za mikrovýraz?,D: Zdvihnutie palca
Ktoré z nasledujúcich tvrdení o mikrovýrazoch nie je pravdivé?,"C: Interpretuje sa reč, ako aj výrazy tváre"
Čo z nasledujúcich možností sa ako výsledok renesancie stalo dôležitejším? ,B: Šírenie vedomostí
Na ktorú z nasledujúcich možností sa kládol menší dôraz ako výsledok renesancie?,A: Vybavenie si niečoho konkrétneho
Ktorá z nasledujúcich možností neodráža motiváciu používať internet na pretrvávajúce vzťahy?,C: Hľadanie možností v oblasti cestovania
Ktorá z nasledujúcich možností neodráža motiváciu používať internet na osobnú angažovanosť?,A: Vyhľadávanie receptu
Kedy sa západná Európa prestala vo veľkej miere spoliehať na iné vplyvy a začala rozvíjať svoj vlastný štýl?,A: Približne na konci stredoveku
Výsledkom čoho bolo používanie gombíkov na zapínanie odevov? ,C: Križiackych výprav
Ktorá z nasledujúcich možností sa podľa úryvku považuje za životaschopné dlhodobé riešenie environmentálnych problémov?,C: Identifikácia príčiny problémov
Ktoré z nasledujúcich riešení sa podľa úryvku nepovažuje za symptomatickú liečbu environmentálnych problémov?,B: Likvidácia hlavných príčin problémov
"V ktorej krajine došlo k prvej vojne v Európe, o ktorej sa hovorí, že jej ústredná otázka súvisí s rovnováhou síl a nie, že má náboženský kontext?",D: V Španielsku
Ktorá vojna sa niekedy označuje ako posledná „náboženská vojna“?,A: Tridsaťročná vojna
Ktorý z nasledujúcich aspektov katolíckej cirkvi nebol podrobne skúmaný?,B: Či by mali byť zmenené hlavné zásady náboženstva
Kto bol podľa úryvku zavraždený vo Versailles?,D: Stráž
Ku ktorej z nasledujúcich možností dav kráľa a kráľovnú neprinútil?,C: Sledovanie sťatia hlavy člena stráže
Ktorá z nasledujúcich možností nebola výsledkom britskej nekonvenčnej námornej vojny?,C: Vykonali sa zmeny medzinárodného práva
Ktoré tvrdenie neopisuje britskú námornú blokádu Nemecka presne?,"D: Zabezpečila, aby neutrálne lode neboli ohrozené"
U koho je na základe úryvku najväčšia pravdepodobnosť výskytu sklerózy multiplex?,A: U 32-ročnej ženy
"Tí, ktorí majú pravidelné aktivity, potrebovali podľa úryvku väčšiu podporu pri čom?",A: Negatívne vnímanie bolesti
Ako sa podľa úryvku zvyčajne hrá šerm?,D: Ako duel
Ktorá z nasledujúcich možností je podľa úryvku najrýchlejším znakom vnútornej otravy?,D: Fľaštička s tabletkami na predpis
Aký je podľa úryvku vhodný prvý krok pri zhodnotení stavu obete?,A: Preskúmať miesto
Ktoré z nasledujúcich tvrdení presne neodráža postup kontroly obete?,"A: Neobávajte sa, že by ste mohli sami utrpieť zranenie"
Ktoré zo zmien vyvolaných Veľkou francúzskou revolúciou mali zásadný vplyv na občanov – robotníkov?,B: Zmena zamerania z triedy na schopnosti
"Po Veľkej francúzskej revolúcii bolo menej pravdepodobné, že úspech vo vojenskej kariére a iných oblastiach sa bude zakladať na čom?",B: Triede
"O ktorej verejnej službe sa hovorí, že zapríčiňuje vo vyspelých krajinách najväčšiu nespokojnosť?",C: O verejnej doprave
Čo sa dá podľa úryvku povedať o verejných dopravných systémoch?,"C: Sú príčinou mnohých sťažností tých, ktorí ich používajú"
