question,gpt_reply
"Hvad ville ifølge afsnittet være et unøjagtigt tip, når det drejer sig om at spille korrekt på en harmonika?","A: For at få mere lyd, skal du trykke hårdere på tangenterne"
"Når man spiller på en harmonika, hvilket af følgende vil hjælpe med at øge lydstyrken?",A: Mere hastighed
Hvorfor er kanterne af billederne i tv´et klippet?,B: Så billedet fylder hele skærmen
"Hvilke af følgende problemer kan ifølge afsnittet opstå, når man konverterer en film til dvd-format?","B: Delvist klippede undertekster  
D: Klippede kanter"
Hvor var den britiske garnison placeret?,C: Bordentown
Hvis underskrift fremgik af det håndskrevne udkast?,D: Charles Thomson
"Ud af de følgende steder, hvor ankom en Dunlap broadside sidst?",C: London
Hvor var Oberst Starks tropper udstationeret?,A: I den nordlige ende langs hegnet
Hvornår forlængede Starks mænd ifølge afsnittet deres hegn?,C: Ved lavvande
Hvilken af de følgende var ifølge afsnittet den mest voldelige tidsalder i Kinas historie?,D: Perioden med De tre kongeriger
"Hvad er ifølge afsnittet sandt om en koloni af hærmyrer, når den starter sin nomadiske fase?",B: Den har en begrænset mængde mad
Hvilken udtalelse afspejler ifølge afsnittet nøjagtigt vanerne for en koloni af hærmyrer under dens nomadiske fase?,C: Den skifter dagligt rede
Hvilket af følgende vil fortsætte på trods af forekomsten af eksterne signaler?,C: Biologiske ure
"Hvilket udtryk beskriver individer, der udviser variationer af visse fænotypiske træk?",D: Polymorfe
"Hvilket af følgende er det korrekt udtryk at bruge om organismer, der befolker et bestemt område?","Det korrekte udtryk at bruge om organismer, der befolker et bestemt område, er B: Befolkning."
Hvilket af følgende ville ikke være et eksempel på naturbaseret turisme?,C: At besøge et videnskabeligt museum
Hvilket af følgende er ifølge afsnittet grundlaget for transportsystemet?,B: Privatbiler
"Hvilken ladning har partiklerne, der kredser om kernen?",C: Negativ ladning
Hvilke partikler er kernen sammensat af?,A: Protoner og neutroner
Hvilket af følgende er ifølge afsnittet et eksempel på et binært tal på fem bit?,C: 10010
Hvad bliver binære cifre også kaldt?,A: Bits
Hvilket af følgende er ikke nævnt i afsnittet som en primær fordel ved studerendes blogging?,B: En nedgang i kritik fra medstuderende
