question,gemini_answer
"Čo sa podľa úryvku nepovažuje za presné odporúčanie, ako dobre hrať na akordeóne?",1
"Keď hráte na akordeón, ktorá z nasledujúcich možností vám pomôže zvýšiť hlasitosť?",1
Prečo majú obrazy na televízore orezané okraje?,2
S ktorým z nasledujúcich problémov sa podľa úryvku môžete stretnúť pri konverzii filmu do formátu DVD?,2
Kde sa nachádzala britská posádka?,3
Čí podpis sa objavil na ručne písanom návrhu?,4
Na ktoré z týchto miest boli nakoniec zaslané Dunlapove bočné strany?,1
Kde boli usadené vojská plukovníka Starka?,1
Kedy podľa úryvku Starkovi muži rozšírili plot?,3
Ktoré z nasledujúcich období v Číne boli podľa úryvku jednými z období najväčšieho násilia?,4
"Ktoré tvrdenie o armáde mravčích kolónií, ktorá vstupuje do kočovnej fázy, je podľa úryvku pravdivé?",2
Ktoré tvrdenie podľa úryvku presne odráža správanie armády mravčích kolónií pri hniezdení počas kočovnej fázy?,3
Ktorá z nasledujúcich možností bude pokračovať napriek prítomnosti podnetov z externého prostredia?,3
"Ktorý pojem opisuje jedincov, ktorí vykazujú variant určitej fenotypickej črty?",4
"Ktorý z nasledujúcich pojmov je správnym označením organizmov, ktoré obývajú určitú oblasť?",2
Ktorý z nasledujúcich príkladov nie je príkladom aktivít v rámci prírodného turizmu?,3
Ktorá z nasledujúcich možností je podľa úryvku základom dopravného systému?,2
"Aký typ náboja majú častice, ktoré obiehajú okolo jadra?",3
Z akých častíc pozostáva jadro?,1
Ktorý z nasledujúcich príkladov je podľa úryvku príkladom päťbitového binárneho čísla?,1
Ako sa inak označujú binárne číslice?,1
Ktorá z nasledujúcich možností sa v úryvku nespomína ako primárny prínos študentských blogov?,2
"Ktorý z nasledujúcich aspektov blogovania sa spomína ako motivujúci aspekt, ktorý študentov podnecuje k zlepšovaniu ich schopnosti písania?",2
Ktorý z nasledujúcich aspektov pre študentov nie je prínosom asynchrónnej komunikácie? ,2
Ktoré z nasledujúcich aspektov asynchrónnej komunikácie podľa úryvku nie je pre študentov flexibilný?,4
"Čo sa v úryvku nespomína ako niečo, čo sa môže spájať so stredovekými hradmi?",4
"Čo z nasledujúceho sa v úryvku nespomína ako vôňa alebo zvuk, ktorý sa vám môže v mysli vynárať uprostred ruín hradu?",3
Ktorý z nasledujúcich opisov je presným opisom hradu Kirby Muxloe?,2
Ktoré z nasledujúcich konštrukčných prvkov sa počas obdobia opísaného v úryvku nepovažovali v súvislosti s hradom Kirby Muxloe za atypické?,3
"Čo by podľa úryvku bolo pre bežca, ktorý sa pripravuje na nadchádzajúcu sezónu, najprospešnejšie?",4
Ktorá z nasledujúcich možností podľa úryvku je pre prvotriedneho bežca na pol míle absolútne najdôležitejšou?,2
Ktorú z nasledujúcich možností športovci nemôžu dosiahnuť výhradne prostredníctvom výživových postupov?,3
"Ktorá z možností sa na základe úryvku pre mladých športovcov nenavrhuje ako spôsob, ako umocniť svoju radosť zo športu?",2
Prečo si podľa úryvku bežci na stredné trate kupujú drahšie kusy vybavenia?,1
Čo si podľa úryvku beh na stredné trate vyžaduje?,3
Kto objavil nukleárnu magnetickú rezonanciu? ,3
V ktorom roku bol udelený prvý patent za lekársku zobrazovaciu magnetickú rezonanciu? ,2
"Pre čo by mali mať ľudia podľa úryvku vysokú mieru pochopenia, aby dokázali správne interpretovať fyzické skutky?",2
Čo ľuďom podľa úryvku pomáha pochopenie úmyslu?,1
Ktorá možnosť je podľa úryvku presným zhrnutím hlavného účelu AI?,4
S čím sa podľa úryvku AI často spája?,3
"Akú silnú stránku majú podľa úryvku ľudia, ktorí majú konvergentný typ myslenia?",4
"Čo z nasledujúcich možností sa podľa úryvku nepovažuje za niečo, na čo je konvergentný typ myslenia zameraný?",2
Čo z nasledujúcich možností sa podľa úryvku nepovažuje za mikrovýraz?,1
Ktoré z nasledujúcich tvrdení o mikrovýrazoch nie je pravdivé?,3
Čo z nasledujúcich možností sa ako výsledok renesancie stalo dôležitejším? ,1
Na ktorú z nasledujúcich možností sa kládol menší dôraz ako výsledok renesancie?,1
Ktorá z nasledujúcich možností neodráža motiváciu používať internet na pretrvávajúce vzťahy?,3
Ktorá z nasledujúcich možností neodráža motiváciu používať internet na osobnú angažovanosť?,2
Kedy sa západná Európa prestala vo veľkej miere spoliehať na iné vplyvy a začala rozvíjať svoj vlastný štýl?,1
Výsledkom čoho bolo používanie gombíkov na zapínanie odevov? ,3
Ktorá z nasledujúcich možností sa podľa úryvku považuje za životaschopné dlhodobé riešenie environmentálnych problémov?,3
Ktoré z nasledujúcich riešení sa podľa úryvku nepovažuje za symptomatickú liečbu environmentálnych problémov?,2
"V ktorej krajine došlo k prvej vojne v Európe, o ktorej sa hovorí, že jej ústredná otázka súvisí s rovnováhou síl a nie, že má náboženský kontext?",4
Ktorá vojna sa niekedy označuje ako posledná „náboženská vojna“?,1
