text,gemini_label
"MetroPlus udi muimpa bikola ne katu ne bantu babungi to kadi udi mushinga mukola, bimpa mudiyi mushala mushinga mukesa ke billet bia metro normal mu Europe.",education
Bidi bua kulomba kuja mukanda ne officier ya tshitupa atshi etshi diela mesu ku bureau bia bamuangadi.,politics
Munda dinda dionso bamua bantu batu bajuka bashiya mbaza yabu ne bimenga biabu ne mashinyia anyi tudiendelandela ne baya mu imue midimu ya bianza ne ituamumiaba utubu bashiya bua tshikondo tshipi.,politics
"Wewe kuyi muibidile kuendeshela mashini mu njila ya bisuku, ikala ni budimu: mikuna ya mile, tujila tukese ni bibende ni bikale biabunyi.",travel
"Mushindu wa kumpala wa luendu uvua kuenda, bantu bavua ba banga kuenda bololoka kukadi bidimu milioni ibidi mipita ne difika dia dia Homo Erectus (buena kuamba muntu mololoka).",travel
Bena luendu dadi balongolola operation wa dishintulula dia butaka pambelu pa ditunga badi ne tshia bua kutuishibua se bambula mikanda mimpa bua luendu lua dipingana.,politics
"Mu malu makuabu, anu batu basomba pambelu pa nzubu ya ben ngendu kibadi ne tshia bua ku difundisha. Pananku, tshidi tshienza mukenji kawuyi wumvuika bimpa to, nanku manya kumpala.",politics
Wewa muenza luendu mu ditunga ditantshishibua bua musangu wa kumpala – eshi mu tshituha tshipiamupia tshia bulaba – ku keki potentiel wa choc wa kabukulu nansha.,politics
"Bakaji: Bidi bilombibue kua bakaji badi baya mu ngendu bua kuamba ni mbasedibua, nansha biobio kabiyi nanku.",religion
"Diela dia mesu dia bendakanyi didi mushinga mukola, dilomba makanda a mubidi, ditu dienzekibua anu mu tshikondo tshia munya Ngondo wa Dikumi ne Umue ne Ngondo Muibidi, ne malepa makashikila ku Penisula, Islands ne mâyi a Ross.",nature
Kuendakana kua pa muaba ewu kudi mua kuenzeka ni buatu pa dijiba.,geography
"Kupi moyo ni udi wendakana mu muaba wa mifuba, ni muaba udi unvuija bintu binene bua tshitupa tsha bantu babunyi ba pa buloba.",politics
"Ikalayi bamanye ni pa nuafika mu marinas, bionso ni bimueneke. Ni nupete matu makuabu mimanuiki ni anupeshe ngumu yayi.",travel
"Diatshimua, mu dikala ne visa Schengen, kuena dijinga ne bua kulomba visa wa ditunga didi tshidimba tshia ku Schengen pabula to, bidi bilama diba, makuta ne mabeji a mudimu.",travel
Udi mua kudilongolola bua kuya ni mashini onso kadi 4x4 ki adi malombibue bikole bualu miaba ya bunyi ilomba 4x4 wa kulu bua kuyifika.,travel
"Pa ma njila ya glace anyi neje, didikona didi dikese ni kuena mua kuendesha bu ni udi pa kabudimbu.",disasters
"Taxi ya bantu bonso ki mushindu wa lubilu ni mwimpe wa kuendakana mu miaba ya pabuipi, bu Poro (Nu 150) Punaka (Nu 200).",travel
"Twin Otter avua mutete kutuluka mu Kokoda makelela bu Airlines PNG Flight CG4684, kadi yeye kupumbishibua tsha kabidi.",disasters
"Mu tuwulu tua butuku, passeports idi bua kuangatshibua kudi muendeshi bua se ki ba kunyangidi tulu to.",politics
"Tshilamba ni tshunzuluibwe tshonso mu ngondo wa mwanda mutekete 2017, diba dikala duane wa basumbi ba mu Brezil mujike.",politics
Kakuena ndeke wa tshipungidi udi mua kusambuka ku Hemisphere Sud (ni SkyTeam kena uya mu tshisambuki nasha tshimue).,travel
"Padi usomba mu espace ewu, udi generallement bua kusambuka mikalu kuyi uya ku muaba wa controle wa passeport kabidi to.",politics
