question,gpt_reply
"Marka loo eego qoraalka, maxaa aan loo qaadan doonin tilmaan sax ah oo si guul leh loogu ciyaaro turumbada?","A: Si aad u hesho mugga dheeraadka ah, kordhi xoogga aad ku dhufatey furayaasha"
"Markaad ciyaareyso turumbada, midkee ayaa kuwan soo socda gacan ka geysan doona kordhinta mugga?",B: Xoog badan
Maxay tahay sababta muuqaaladda telefishinada loo jaraa xuduudahooda?,B: Markaa muuqaalku wuxuu buuxiyaa shaashadda oo dhan
"Marka loo eego marinka, dhibaatooyinka soo socda midkee la kulmi kara marka filim loo beddelayo qaab DVD?",B: Qayb hoosaadyada jaran
Xaggee ku tiillay xerada ciidanka Ingiriiska?,B: Trenton
Kee ayuu saxeexiisu ka muuqday qabyo qoraalka gacanta lagu qoray?,D: Charles Thomson
"Marka laga reebo meelaha soo socda, xaggee buu ka yimid barxadka ballaaran ee Dunlap?",A: New York
Xaggee ayay ku sugnaayeen Gaashaanle Sare Stark ciidamadiisa?,"A: Dhammaadka dhinaca woqooyi, oo ku teedsan xeyndaabka"
"Marka loo eego qoraalka, goorma ayay ragga Stark waasiciyeen xayndaabkooda?",C: Muddadii lagu jiray mowjadda hoose
"Marka loo eego qoraalka, kee ayaa kuwan soo socda ah mid ka mid ah waayihii ugu rabshadaha badnaa ee China ?",D: Waagii Saddexda Boqortooyo
"Marka loo eego marinka, maxaa ka run ah in kooxaha quraanyada ahi inay galeen marxalad reer guura ah?",B: Waxay haystaan sahay cunto oo yar
"Sida ku xusan qoraalka, oraahdee ayaa si sax ah uga tarjumeysa hab-dhaqanka buul-ku-galka kooxaha quraanyada xilliga marxaladda reer-guuraaga?",C: Waxay beddelaan buulasha maalin kasta
Midkee ka mid ah kuwan soo socda ayaa sii wadmi doona in kasta oo ay jiraan tilmaamo dibadeed?,C: Saacadaha noolaha
Kelmadee ayaa qeexaysa shakhsiyaadka muujiya kala duwanaanshiyaha sifo gaar ah?,D: Qaabab dhawr ah
Midkee ka mid ah kuwan soo socda ereyga saxda ah ee noolaha ku nool meel gaar ah?,B: Dadweynaha
Midkee ka mid ah kuwan soo socda oo aan noqon doonin tusaale dhaqdhaqaaqa dalxiiska ee ku salaysan dabeecadda?,"C: Booqashada matxafka sayniska

Booqashada matxafka sayniska ma ahan dhaqdhaqaaq si toos ah ugu xiran muuqaalka dabiiciga ama deegaanka dabiiciga ah, sidaas darteed ma noqonayso tusaale dalxiis ku saleysan qeyraadka dabiiciga. Matxafyada waxay badanaa ku saabsan yihiin soo bandhigidda aqoonta, taariikhda, ama horumarka sayniska ee gudaha ah halkii ay soo dhoweyn lahaayeen khibrad toos ah ee muuqaalada dabiiciga ah."
"Sida ku cad qoraalka, kuwan soo socda kee baa saldhig u ah nidaamka gaadiidka?",B: Baabuurta gaarka ah
Qaybaha ku wareega xudunta waxay leedahay kharash noocee ah?,C: Lacag bixinta xun
Xuddunta ayaa ka kooban qaybehee?,A: Borotoonada iyo nuyutroonada
"Sida ku cad qoraalka, kuwan soo socda kee baa tusaale u ah nambarka binary shan yara?","Tusaalaha nambarada binary-ga waa kuwa ka kooban oo kaliya 0 iyo 1. Marka, doorashada b ku jirin binary maxaa yeelay waxaa ku jira 2. 

Doorashada saxa ah waa:
A: 1010
C: 10010
D: 110101"
Tirooyinka baynari maxaa sidoo kale loo yaqaan?,The correct answer is: C: luqad gaar ah
Midkee ka mid ah kuwan soo socda oo aan lagu sheegin marinka faa'iidada aasaasiga ah ee boloogyaynta ardayga?,B: Hoos u dhaca dhaleeceynta asxaabta
Midkee ka mid ah dhinacyada soo socda ee boloogyaynta ayaa lagu sheegay dhiirigelinta ardayda si ay u horumariyaan xirfadahooda qoraal?,A: Ka jawaab celinta joogtada ah ee alaabta internetka
Midkee ka mid ah kuwan soo socda oo aan faa'ido u lahayn isgaarsiinta isku midka ah ee ardayda? ,B: U gelida fool ka fool ah ee macalimiinta wakhti kasta ee maalinta ah
"Marka loo eego qoraalka, dhinacyada soo socda ee isgaarsiinta asynchronous midkee ayaan u dabacsanayn ardayda?",D: Isticmaalka internetka
Maxaan qoraalka loogu xusin wax laga yaabo in lala xiriiriyo qalcadaha xilliga dhexe?,A: Jeexdin godad
Kuwan soo socda kee baa aan qoraalka loogu xusin sida ur ama dhawaaq laga yaabo in lagu dhex qariyo burburka qalcad?,C: Xafladaha
Kuwan hoose midkeebaa ah sifaynta saxda ah ee Qalcadda Kirby Muxloe ?,B: Waxay u baahneed xoojinta ugu yar iyadoo ay ugu wacan tahay nabdoonaanta uu dalku ku jiro xilliga la dhisayo
Midkeebaa sifooyinkan dhosmeed ee hoose loo tixgelin karaa inay caadi u tahay qalcadda Kirby Muxloe xilliga mudada lagu qeexay mariska?,A: Daaqado waaweyn
