text,gemini_label
"მიუხედავად იმისა, რომ მეტროპლუსი უფრო მეტად კომფორტული და ნაკლებად გადატვირთული, თუმცა ოდნავ უფრო ძვირია, ევროპის ჩვეულებრივი მეტროს ბილეთებთან შედარებით მაინც იაფია.",travel
ადგილობრივ პოლიციაში ფორმის შევსება ან საიმიგრაციო ოფისში მისვლა არის ამისათვის საჭირო.,politics
"ყოველ დილას, ადამიანები ტოვებენ პატარა ქალაქებს იმისთვის, რომ მანქანით წავიდნენ სამუშაო ადგილას, მათ კი საპირისპირო მიმართულებით მომავალი სხვა ადამიანები ჩაუვლიან გვერდით, რომელთა სამუშაო ადგილი სწორედ ის ადგილებია, რომლებიც მათ ახლახანს დატოვეს.",business
"თუ არ ხართ მიჩვეული სოფლის გზებზე მანქანის ტარებას, აკონტროლეთ თავი: ციცაბო დაღმართები, ვიწრო ბილიკები და მკვეთრი მოსახვევები საკმაოდ უხვადაა.",travel
"გადაადგილების პირველი ცნობილი მეთოდი სიარული იყო. ადამიანებმა გამართულად სიარული ორი მილიონი წლის წინ, ჰომო ერექტუსის (რაც გამართულად მოსიარულე ადამიანს ნიშნავს) გამოჩენისას დაიწყეს.",science
საზღვარგარეთ სქესის შეცვლის ოპერაციისთვის მიმავალმა მოგზაურებმა უნდა უზრუნველყონ ვალიდური დოკუმენტების წარდგენა უკან დაბრუნების დროს.,health
"სხვა შემთხვევებში, მხოლოდ იმ პირებს სჭირდებათ რეგისტრაციის გავლა, ვინც ტურისტული საცხოვრებელის გარეთ რჩება. კანონი აღნიშნულთან მიმართებით ძალიან ბუნდოვანია და უმჯობესია წინასწარ გაარკვიოთ დეტალები.",travel
"თუ განვითარებად ქვეყანაში, ან მსოფლიოს ახალ წერტილში მიემგზავრებით პირველად, აუცილებლად გაითვალისწინეთ პოტენციური კულტურული შოკი.",travel
"ქალები: რეკომენდებულია, რომ ნებისმიერმა მოგზაურმა ქალმა რეალური ოჯახური მდგომარეობის მიუხედავად თქვას, რომ ის გათხოვილია.",travel
"ტურისტული მოგზაურობები ძვირი სიამოვნებაა. ფიზიკურ მომზადებას მოითხოვს. შეიძლება მხოლოდ ზაფხულში და ნოემბრიდან თებერვლამდე განხორციელდეს და ძირითადად ნახევარკუნძულით, კუნძულებით და როსის ზღვით შემოიფარგლება.",travel
ადგილზე ვიზიტი შეიძლება მარტივად დაკომპლექტდეს ტბაზე ნავით გასეირნებასთან ერთად.,travel
"გთხოვთ გახსოვდეთ, რომ თქვენ ფაქტობრივად სტუმრობთ მასობრივ სასაფლაოს და ასევე ადგილს, რომელიც უზომოდ მნიშვნელოვანია მსოფლიოს მოსახლეობის დიდი ნაწილისთვის.",religion
"იახტების ნავსადგურებთან მიახლოებისას, დარწმუნებული იყავით, ყველაფერი ნათლად გამოჩნდება. შეხვდებით სხვა საზღვაო ავტოსტოპერებს, რომლებიც თავის ინფორმაციას გაგიზიარებენ.",travel
"აღნიშნულის მსგავსად, შენგენის ვიზის ქონის შემთხვევაში, არ არის საჭირო შენგენის წევრ ქვეყნებს ვიზისთვის ცალ-ცალკე მიმართოთ, ამით დაზოგავთ დროს, ფულს და დოკუმენტების მომზადებისთვის საჭირო დროს.",travel
