question,gpt_reply
उताऱ्यात उल्लेख केल्याप्रमाणे खालीलपैकी कोणते क्षेत्र व्हेनेझुएलाच्या सर्वांत कमी लोकांना रोजगार प्रदान करते?,C: तेल
"उताऱ्यातनुसार, खालीलपैकी कोणते क्षेत्र व्हेनेझुएलाच्या सर्वात जास्त लोकांना रोजगार प्रदान करते?",A: सेवा
"उताऱ्यानुसार, फ्यूजनमुळे तारे काय करण्यास सक्षम होतात?",C: प्रकाश आणि उष्णता देणे
एक उपयोगी फ्यूजन अणुभट्ट्या खालीलपैकी काय निर्माण करेल?,The correct answer is: D: ऊर्जा
पाण्याची रासायनिक रचना काय आहे?,D: दोन हायड्रोजन अणू आणि एक ऑक्सिजन अणू
"जेव्हा पाण्याचे स्वरूप बदलते, तेव्हा काय कायम राहते?",A: आण्विक रचना
"उताऱ्यानुसार, काही कायदे लागू करण्याचा प्रयत्न करताना तेरा राज्यांना पुढीलपैकी कोणती समस्या नव्हती?",A: राज्य यंत्रणेकडून अतिशय दिरंगाई
"उताऱ्यातील संदर्भानुसार, कोणते विधान क्रांतिकारी युद्धादरम्यान केंद्र सरकारच्या अवस्थेचे अचूकपणे वर्णन करते?","उताऱ्यात दिलेल्या संदर्भानुसार, केंद्र सरकारचे वर्णन करणारे अचूक विधान आहे:

B: कलमांमध्ये सुधारणा करणे कॉंग्रेसच्या सामर्थ्यावर अवलंबून होते

हे विधान योग्य आहे कारण उताऱ्यात म्हटले आहे की, ""या कायद्यामध्ये दुरुस्ती होण्यापूर्वी सर्व राज्यांची एकमताने सहमती आवश्यक होती आणि सर्व राज्यांनी केंद्र सरकारला अजिबात गंभीरतेने घेतले नाही."" याचा अर्थ असा होतो की कोणत्याही बदलांसाठी सर्व राज्यांची सहमति आवश्यक होती, मात्र केंद्र सरकारची स्वतःची शक्ती मर्यादित होती."
स्वातंत्र्याच्या जाहीरनाम्याच्या मागे असलेले शब्द कसे लिहिले आहेत?,C: उलटे
सिंगापूर खालीलपैकी कशासाठी प्रसिद्ध आहे?,A: शहरी हिरवळ
वांडा मिस जोआकिम काय आहे?,B: एक फूल
"उताऱ्यातील माहितीनुसार, गिझा पिरॅमिड्सच्या कोणत्या गुणवत्तेवर न्यू किंगडम इजिप्शियन लोकांना आश्चर्य वाटण्याची शक्यता नव्हती?",A: त्यांचे वय
शाकाहारी प्राणी पावसासाठी कोठे प्रवास करू लागतात?,C: दक्षिणेकडील मैदाने
"उताऱ्यानुसार, शाकाहारी प्राणी एप्रिलच्या आसपास कोणत्या भागातून निघून जातात?",B: दक्षिणेकडील मैदाने
ऑपरेशन सेलियन अंतर्गत कोणत्या देशावर आक्रमण करण्यात आले?,B: ब्रिटन
जर्मनीने ब्रिटनवरील हल्ल्याला काय नाव दिले?,B: ऑपरेशन सीलियन
इटलीच्या आफ्रिकन देशांना ताब्यात घेण्याच्या योजनेतील कोणती बाब आवश्यक नाही?,B: अतिरिक्त जहाजे बांधणे
"दिलेल्या उताऱ्यानुसार, इटलीचा युद्धामागील मुख्य हेतू काय होता?",A: आफ्रिकी देशांना काबीज करणे
घुसखोरांशी कोणी मैत्रीचे संबंध स्थापित केले?,B: विची फ्रेंच
ऑपरेशन ड्रॅगनमध्ये मित्र कोण होते?,A: अमेरिकन्स आणि फ्री फ्रेंच
कोणत्या तंत्रज्ञानाच्या विकासामुळे पाणबुड्यांना पाण्याखाली प्रवास करण्यास मदत झाली?,D: रडार
पहिल्या वापराच्या वेळी पाणबुडींची रेंज कशाच्या बाबतीत मर्यादित होती?,C: शूटिंग
"उताऱ्यानुसार, कराराचे उल्लंघन कोणी केले? ",D: सोव्हिएत्स
खालीलपैकी कोणती कृती लाल आर्मीने केली नाही?,C: पुलाच्या तटबंदीजवळ पुनर्गठन करणे
इटलीच्या दहाव्या लष्करातील मुख्य अभियंताचे काय झाले?,C: त्याला इंग्रजांनी पकडले
इटालो बाल्बो कुठे मारला गेला?,D: तोब्रुक
"उताऱ्यानुसार, खालीलपैकी कोणते तंत्र तिबेटी ध्यानाचा एक महत्त्वाचा भाग आहे?",C: देवतांचे मनात चित्र उभे करणे
"दिलेल्या उताऱ्यानुसार, तिबेटी ध्यानाच्या “केंद्रात” चक्रे कशी सक्रिय होतात?",B: देवतांचे दर्शन करून
कार्यक्रमात दुसरे भक्ती गीत कोणी गायले?,D: जय शंकर चौधरी
"दिलेल्या उताऱ्यानुसार, अन्नाचा भोग चढवताना कोणी भक्ती गाणे गायले?",A: लक्खा सिंग
संध्याकाळचे शेवटून-दुसरे सादरीकरण कशाचे होते?,"A: सेझेन अक्सू, अलेस्सांद्रो सफिना आणि हॅरिस अलेक्सिओ"
अलेस्सांद्रो सफिनाचे राष्ट्रीयत्व कोणते?,D: इटालियन
"उताऱ्यातील माहितीच्या आधारे, खालीलपैकी कोणते विधान सत्य नाही?",A: सांता क्लारा येथे आग लागली
"उताऱ्यानुसार, उष्णतेच्या असहाय्य पातळीबाबत कोणी माहिती दिली?",B: फायर कॅप्टन
त्सुनामीच्या क्रियाकलापामुळे वीज पुरवठा कुठे खंडित होतो?,A: टोंगा
"उताऱ्यानुसार, वीज खंडित झाल्यामुळे टोंगावर कसा परिणाम झाला?",D: अधिकाऱ्यांना संबंधित इशारे मिळू शकले नाहीत
जॉनी रीडची ड्रायव्हिंग स्पीड पाहण्यासाठी पोलिसांना त्यांच्या रडार गन्सचा वापर कधी करता आला?,A: जेव्हा तो 160 किमी/ प्रती तास वेगाने गाडी चालवत होता
"उताऱ्यानुसार, न्यूझीलंडच्या पोलिसांना जॉनी रीडचा वेग पाहणे का कठीण होते?","न्यूझीलंड पोलिसांना जॉनी रीडचा वेग पाहणे कठीण होते कारण ""ब्लॅक ब्यूटीचा वेग किती कमी आहे आणि मिस्टर रीड किती वेगवान आहे हे पाहण्यासाठी न्यूझीलंड पोलिसांना त्यांच्या स्पीड रडार गन्स वापरण्यात अडचण आली."" त्यामुळे योग्य उत्तर आहे:

C: त्याने सात वेळा पुलावरून गाडी चालवली"
बुट्टेमध्ये भूकंपाचे केंद्रस्थान कुठे होते?,B: दक्षिणेस 40 मैल
अबू घरैब येथे दंगली दरम्यान काय घडले?,D: तुरुंगाला आग लागली
इराकी तुरुंगाची कुप्रसिद्धी का झाली? ,D: कैद्यांचे अत्याचार झाल्याचे आढळले
मौईच्या वॉर मेमोरियलमध्ये कोणत्या प्रकारचा कार्यक्रम झाला?,C: मैफिल
कार्यक्रम रद्द झाल्याबद्दल शेवटी कोणी स्पष्टीकरण दिले?,B: व्यवस्थापन कंपनी
बिश्केकमधील अनेक रहिवाशांना लूटीसाठी कोण जबाबदार आहे असे वाटले?,C: विरोधक
लुटीसाठी दक्षिणेतील आंदोलकांना कुणी जबाबदार ठरवले?,A: बिश्केकचे रहिवासी
रिंग अनुभवाने विक्री कधी वाढली?,A: शार्क टँकवर झळकल्यानंतर
जेमी सिमिनोफने रिंग सुरू करण्याचा निर्णय कधी घेतला?,A: स्वतःच्या दरवाज्याची बेल अकार्यक्षम असल्याचे लक्षात आल्यावर
इंद्रधनुष्य वाचन चा प्रत्येक भाग मुलांसाठी कशाची शिफारस करतो?,D: पुस्तके
रीडिंग रेनबोचा मालिकेचा शेवट कशामुळे झाला असावा?,A: अपुरा निधी
अधिकाऱ्यांनी झाडाबद्दल खालीलपैकी कोणता युक्तिवाद आम्सटरडॅम आणि संग्रहालयाबाबत केला नाही?,B: ते जपले पाहिजे
"आरएसपीसीएच्या मुख्य निरीक्षकाच्या मते, खालीलपैकी कोणासाठी तपासण्या मानक असाव्यात?",D: कत्तलखाने
"उताऱ्यानुसार, ऑस्ट्रेलियन कत्तलखान्यातील कामगारांना प्राणी कल्याणाचे महत्त्व पटवून देण्यास कोणती गोष्ट मदत करू शकते?",A: सीसीटीव्ही कॅमेरे बसवणे
"दिलेल्या उताऱ्यानुसार, अटक केलेल्या व्यक्तीचा व्यवसाय काय होता?",A: विद्यार्थी
"उताऱ्यानुसार, अजून एकाला अटक केल्याची बातमी पसरत असताना किती पीडितांवर अंत्यसंस्कार केले जात होते?",B: तीन
निदर्शनांच्या पार्श्वभूमीवर कोणत्या देशाने त्याच्याद्वारे आधीच स्वाक्षरी केलेल्या एसीटीए कराराला मंजुरी द्यायचे टाळले?,B: पोलंड
"उताऱ्यानुसार, खालीलपैकी कोणत्या देशांनी एसीटीएमध्ये सामील होण्याची प्रक्रिया पुढे ढकलण्याचा निर्णय घेतला?",D: लाटविया
आयपॅडच्या अतिउष्णतेच्या घटनांमुळे किती लोक जखमी झाले आहेत?,A: 4
"ओव्हरहिटिंग घटना खूप सिरीयस नव्हत्या, असे कोण म्हणाले?",D: अ‍ॅपल
स्टीव्ह जॉब्स त्यांच्या भाषणात ऍप्पल काय रिइंव्हेंट करणार असल्याचे म्हणाले?,B: फोन
स्टीव्ह जॉब्सच्या दोन तासांच्या भाषणाचा हेतू काय होता?,C: नवीन फोन लॉन्च करणे
अर्जेंटाइन थिएटरमध्ये क्रिस्टीना फर्नांडिस डी किर्चनरने काय घोषित केले?,A: तिची अध्यक्षपदाची उमेदवारी
क्रिस्टीना फर्नांडिस डी किर्चनर यांनी अध्यक्षपदासाठीच्या उमेदवारीची इच्छा कुठे जाहीर केली?,C: ब्युनस आयर्सपासून 31 मैलांवर असलेल्या अर्जेटाइन थिएटरमध्ये
एसीएमएने बिग ब्रदरबद्दल काय निरीक्षण नोंदवले?,A: सेन्सॉरशिप कायद्याचे उल्लंघन केले नव्हते
एखादा मिडिया इंटरनेट सामग्री म्हणून ग्राह्य धरला जावा यासाठी त्या मिडीयाने कोणते मापदंड पूर्ण करावेत?,Answer: B: ते भौतिकरित्या सर्व्हरवर उपलब्ध असावे
ऑस्ट्रेलियाच्या लिबरल पार्टीचा नेता कोण आहे?,A: पीटर कॉस्टेलो
ऑस्ट्रेलियामध्ये आधीपासूनच अणुऊर्जा उद्योग उपलब्ध नसण्याचे कारण काय?,B: खूप वादग्रस्त
कोणत्या स्कीअरने मार्गदर्शकाच्या मदतीने स्पर्धा केली?,C: मासीज क्रेझेल
सुपर-जी मध्ये महिलांच्या श्रेणीत दहाव्या स्थानावर कोणता देश होता?,A: फिनलंड
"दिलेल्या उताऱ्यानुसार, ब्लेकबद्दल कोणते विधान योग्य नाही?","B: त्याने हल्ल्याची कबुली दिली

दिलेल्या उताऱ्यानुसार, ब्लेकने हल्ल्याबाबत फेटाळून लावले आहे, म्हणजे त्याने हल्ल्याची कबुली दिली नाही."
"उताऱ्यानुसार, खालीलपैकी काय ब्लेकसोबत घडले नाही?",C: त्याच्यावर खांबाने हल्ला करण्यात आला
संयुक्त राष्ट्रसंघांचा वैश्विक तापमानवाढ निधी कशासाठी वापरला जाणार नाही?,B: विकसनशील देशांमध्ये तंत्रज्ञान पुरवठा
"उताऱ्यानुसार, संयुक्त राष्ट्रे काय वाचवण्याची आशा बाळगतात?",C: उर्वरित वर्षावने
"अल्बर्ट मुचांगा यांनी ज्यावर अद्याप एकमत होणे आवश्यक आहे, अशा खालीलपैकी कोणत्या गोष्टीचा उल्लेख केला नाही ?",A: बेनिनचे AfCFTA मध्ये सहभागी होणे
"उताऱ्यानुसार, जुलैमध्ये व्यापार का सुरू होऊ शकतो?",B: नियम आणि सवलतींशी संबंधित पुरेशी चौकट आहे
"दिलेल्या उताऱ्यानुसार, द अटलांटा जर्नल-कॉंस्टीट्यूशनने शिक्षण अधिकाऱ्यावर कशाचे आरोप केले आहेत?",A: जर्नल-कॉंस्टीट्यूशनच्या अहवालाशी छेडछाड
"उताऱ्यात दिलेल्या माहितीच्या आधारे, द अटलांटा जर्नल-कॉंस्टीट्यूशनच्या अहवालात काय नमूद करण्यात आले नव्हते?",C: 2013 चा नॅशनल सुपरिटेंडंट ऑफ द इयर विजेता
"उताऱ्यानुसार, बॉम्बस्फोटानंतर कोणती माहिती कळते?",C: अतिरिक्त बॉम्बचा स्फोट झाला की नाही
2017 मध्ये मँचेस्टर सिटीत सामील झाल्यापासून जेसस किती सामने खेळला आहे?,D: 53
कोणत्या क्लबमध्ये सहभागी होण्यासाठी जेससला £27 दशलक्ष मिळाले?,B: मँचेस्टर सिटी
वसतिगृहातील पाहुण्यांबद्दल कोणते विधान खरे नाही?,"D: बहुतेक पाहुणे पवित्र शहरातील होते

हे विधान खरे नाही कारण बहुतेक पाहुणे संयुक्त अरब अमिरातीचे नागरिक होते आणि स्थानिक नागरिक नव्हते."
"उताऱ्यानुसार, खालीलपैकी कोणते विधान खरे आहे?","Q: उताऱ्यानुसार, खालीलपैकी कोणते विधान खरे आहे?
A: तिथे कोणतीही जीवितहानी झाली नाही
B: सर्व पाहुणे संयुक्त अरब अमिरातीतील होते
C: पाहुणे हज तीर्थयात्रेसाठी तिथे आले होते
D: बहुतेक पाहुणे मक्क्यातील स्थानिक लोक होते

योग्य उत्तर आहे:
C: पाहुणे हज तीर्थयात्रेसाठी तिथे आले होते"
"उताऱ्याच्या आधारे, टक्कर झाल्याबद्दलची कोणती माहिती अनिश्चित नाही?",B: टक्कर होण्याचे स्थान
"उताऱ्यानुसार, टक्करबाबत अद्याप काय निश्चित करणे आवश्यक आहे?",D: आघाताचे प्रमाण
"उताऱ्यानुसार, एकेकाळी बॅटनचे सर्वात श्रीमंत अमेरिकन्सच्या यादीत कोणते स्थान होते?",C: 190 वा
बॅटनने खालीलपैकी कोणाला देणगी दिली?,B: व्हर्जिनिया विद्यापीठ
राज्यपाल अर्नोल्ड श्वार्झनेकर यांनी विधेयकाच्या कोणत्या भागावर स्वाक्षरी केली नाही?,C: कॅलिफोर्निया बाहेरील अल्पवयीन मुलांना हिंसक व्हिडिओ गेम विकण्यास किंवा भाड्याने देण्यास मनाई करणे
"उताऱ्यानुसार, ज्या गोष्टी बोलल्या जात होत्या, त्या कोण चुकवल्या?",C: मिलर
"उताऱ्यानुसार, सुनावणीच्या वेळी मिलरच्या अनुभवाबाबत खालीलपैकी काय खरे आहे?",B: तो तयार होत असल्याने त्याने लक्ष दिले नाही
स्वच्छ हवा कायदा’मध्ये सुधारणा करावी असे कोणी सुचवले?,C: जॅक लेटन
स्वच्छ हवा कायदा’ हा निवडणूक पूर्वीचा दिखावा म्हणून वापरला जात असल्याची टीका कोणी केली?,A: राज्य सरकारचे अधिकारी
मांजरीच्या लघवीमध्ये सायन्युरिक ऍसिड आणि मेलामाइन यांची एकत्रित अभिक्रिया झाल्यावर काय तयार होते?,C: स्फटिक
संशोधकांनी इन्फ्रारेड स्पेक्ट्रोस्कोपी काय बघण्यासाठी वापरली?,B: पाळीव प्राण्यांच्या मूत्रातील क्रिस्टल्सची संरचना
"""लुनाला """"क्वीन ऑफ एक्स्ट्रीम"""" असे कोणी संबोधले?""",D: टॉमी ड्रीमर
"""लुनाला """"विचित्र"""" कोणी म्हटले?""",B: डस्टिन रनल्स
अपघातात सहभागी असलेल्या चालकासोबत काय झाले नाही?,"C: त्याला केंब्रिजच्या रुग्णालयातून ग्रेट यार्माउथमधील रुग्णालयात स्थलांतर करण्यात एके

या वाक्यात दिलेल्या माहितीनुसार, चालकाला ग्रेट यारमाउथ येथील रुग्णालयात प्रथम नेण्यात आले आणि त्यानंतर केंब्रिज येथील रुग्णालयात हलवण्यात आले होते. पर्याय C मध्ये स्थलांतराची उलट दिशा नमूद केली आहे, जे घडले नाही."
रग्बी सामन्यादरम्यान दक्षिण आफ्रिकेच्या संघाने दर्शवलेल्या त्यांच्या खेळाच्या कामगिरीबाबत काय दिसून आले नाही?,C: स्पर्धेच्या सुरुवातीला चमकदार कामगिरी
"उताऱ्यानुसार, दक्षिण आफ्रिकेचा खेळ कधी सुधारायला लागला?",D: स्पर्धा पुढे जात गेल्याबरोबर
