text,gemini_reply
"MetroPlus e je plui comude e mancul plene, ma un tic plui cjare, ancje se e je simpri plui economiche dai normâi biliets de metropolitane in Europe.","travel
"
Chest al pues domandà di jemplâ un modul ae polizie locâl o un vistât al ufici imigrazion.,"politics
"
Ogni matine la int e partìs dai piçui borcs di campagne in machine par lâ sul puest di lavôr e a incrosin chei che a àn la destinazion di lavôr intal lûc che lôr a àn a pene lassât.,"geography
"
"Se no tu sês usât a vuidâ su lis stradis di campagne, stâ in vuaite: a predominin pendencis ripidis, corsiis strentis e curvis aspris.","travel
"
"Il prin mieç di traspuart cognossût al è la cjaminade, i umans a tacarin a cjaminâ impins doi milions di agns indaûr cul saltâ fûr dal Homo Erectus (che al vûl dî om dret).","travel
"
I viazadôrs che a planifichin une chirurgjie di gnove assegnazion sessuâl tal forest a àn di sigurâsi di puartâ dai documents valits pal viaç di tornade.,"health
"
"In altris câs, dome chei che a restin fûr dai lozament turistics a àn bisugne di regjistrâsi. Dut câs, chest al rint la leç une vore plui scure, duncje informiti prime.","travel
"
Se tu viazis intune nazion daûr a svilupâsi pe prime volte (o intune gnove part dal mont) no sta sotvalutâ il potenziâl traume culturâl.,"travel
"
"Feminis: al è racomandât che cualsisei viazadore e disi di jessi sposade, nol impuarte il vêr stât civîl.","travel
"
"Lis visitis turistichis a son costosis, a domandin une buine forme fisiche, a puedin davuelzisi dome in Istât, di Novembar a Fevrâr e a son pe plui part limitadis ae penisule, aes isulis e al Mâr di Ross.","travel
"
Une visite al sît si pues cumbinâ in mût convenient cuntun viaç in barcje intal lât.,"travel
"
"Si à di visâsi che si è daûr a visitâ il sît di une fuesse comune, come ancje un lûc che al à un significât incalcolabil par une part impuartant de popolazion mondiâl.","travel
"
"Si pues stâ sigûrs che, une volte rivâts tai puarts turistics, dut al sarà clâr. Culì si cjataran altris viazadôrs che a fasin l’autostop in barcje e che a spartissaran lis lôr informazions.","travel
"
"In mût simil, se si à un vistât Schengen, nol covente domandâ un vistât par ogni singule nazion membri di Schengen in mût separât, sparagnant cussì timp, bêçs e documents.","travel
"
Chest si pues fâ cuntune auto normâl cuntune planificazion atente ma e je une vore racomandade une 4x4 e tancj puescj a son acessibii dome cuntune auto cuntune base a ruedis altis 4x4.,"travel
"
Su lis stradis cun glaç e nêf la frizion e je basse e no si pues vuidâ come che si fâs sul asfalt crot.,"travel
"
"I taxi condividûts a son mieçs veloç e comuts par viazâ in puescj vicins, come Paro (Nu 150) e Punakha (Nu 200).","travel
"
"L’avion Twin Otter îr al veve cirût di rivâ a tiere al Kokoda come svol Airlines PNG CG4684, ma za une volte nol veve rivât.","disasters
"
"Sui trens noturnis, il passepuart al pues jessi cjapât sù dal condutôr cussì nol ven interot il to sium.","travel
"
"Al è programât che il puint al sedi dal dut operatîf par Setembar dal 2017, cuant che i puescj di control de dogane brasiliane a dovaressin jessi finîts.","geography
"
Nissune aleance di compagniis di svol e cuvierç dutis lis trê traviersadis oceanichis tal emisferi meridionâl (e SkyTeam no cuvierç nancje une).,"travel
"
"Fin tant che tu restis in cheste zone, di solit tu puedis traviersâ i confins cence passâ di gnûf pai controi dal passepuart.","travel
"
"Ancje se al somearès logjic iscrivisi al program fedeltât de compagnie di svol che si dopre di plui, si à ancje di tignî presint che i privileçs ufierts di solit a son diviers e i ponts cumulâts a puedin jessi di plui cuntune altre compagnie di svol de stesse aleance.","travel
"
"Nome pocjis compagniis di svol a ufrissin tarifis in câs di corot, che a sbassin di un pôc il presit dai biliets dal ultin minût comprâts par lâ a un funerâl.","travel
"
I turiscj a puedin visitâ diviersis atrazions di une particolâr Stât o a puedin sielzi di concentrâsi dome suntune regjon.,"travel
"
"La isule Bowen e je une mete popolâr par gjitis di une dì o par escursions di un fin setemane e e ufrìs di fâ kayak, escursions, buteghis, ristorants e vie indenant.","travel
"
"Viazâ cul avion al pues jessi une esperience spaurose par personis di ogni etât e divignince, soredut se no si è mai montâts intun avion prime o se si è vude une esperience traumatiche.","travel
"
"In curt, doprâ la proprie auto al è un biel mût par fâ un viaç par strade, ma di râr un mût par fâ camping.","travel
"
