question,gemma3_answer
Ibsa armaan gadii keessaa waa’ee yaalii PALM sirriitti kan ibsu kami?,1
Qorattoonni chiipsiin inni haaraan eessatti baay’ee jijjiirama fiduu akka danda’u yaadani?,1
Meeshaa yaalaa hojjechuuf mala akkamii fayyadamu?,1
"Akka kutaa kanaatti, ibsi waa’ee loobeet iskaarpis sirrii hin taane kami?",1
"Akka kutaa kanaatti, bifa lafaa ilaalchisee tiyoorii kamtu sochiin ji’ooloojii addeessa irratti uumamu akka jiru agarsiisaa?",1
"Akka kutaa kanaatti, hanga himannaan dhiyaattutti maaltu heddumminaan hin jiraatu?",2
"Akka kutaa kanaatti, yeroo ammaatti adamsitoota siiliitif rakkoon maali dha?",1
"Haala cabbiitti dabalata, maaltu lubbu baraartota irratti dhiibbaa fida?",2
Rooberti ilaalcha kamiin mirkaneessuu irraa of qusate?,1
Mata duree Rooberti irratti mari’achuun naamusa dhabuudha jedhee itti dhaga’amu isa kami?,2
Xiyyi ifaa lamaan eessatti calaqqisa?,1
"Akka kutaa kanaatti, gamooleen samii tuqan yoom bakka sanatti ijaaraman?",3
Odeeffannoo kamtu Obboleettonni Torban Holqa ta’uu yaada kenna?,1
Amalli ho’iinsa Obboloota Torbaa akkamiin ilaalame?,1
"Akka kutaa kanaatti, ibsi waa’ee shakkiichaa sirrii hin taanee kami?",3
Waa’ee haleellichaan wal qabatee aanga’oonni odeeffannoo maalii mirkaneessani?,2
Garee kamtu tapha Paarkii Ellistti godhamu irratti taphata?,3
Ispiringibuuksii tapha isaanii itti aanu eessatti taphatu?,3
Buufatni hawaa yeroo ergamaa kanneen armaan gadii keessaa isa kam irratti rakkoon isa mudate?,2
"Akka kutaa kanaatti, kaayyoon ergama buufata hawaa maali?",1
Himoota armaan gadii keessaa waa’ee dhimmichaa irratti dhugaa kan hin taane kami?,1
Himoota armaan gadii keessaa dhimmicha sirriitti kan ibsu kami?,1
"Akka kutaa kanaatti, Viidaal bara dorgommii sadii dura kilabii kamiif taphachuu jalqabe?",3
Vidal Baarsaaf tapha meeqa taphate?,1
Tapha kana irratti gareen morkataa eenyufa dha?,2
Jaarkuye maaliif hoteela keessa ture?,3
Maaliif eejansiin ji’oofiiziksii Jaakartaa akeekkachiisa hin kennine?,4
"Akka kutaa kanaatti, kirkirri maal fida?",1
Isaan keessaa isa kamtu sochii Aduu fi urjiilee biroo hunda kakaasa?,1
Akkamiin lakkoobsi urjii Roosbii adda ba’a?,1
Namoota dhibbentaa meeqatu Awustiraaliyaan battalatti riippaablika akka taatu deeggara akka qoratametti?,2
"Akka Juuliyaa Gilaarditti, Awustiraaliyaan yoom riippaablika taati?",2
Dhaabbata kamtu qorannoo seeraa jala jira?,1
Kiliif Stiirnis geggeessaa koree kamii dha?,1
"Akka kutaa kanaatti, dubartii Iswiiz irratti maaltu hin raawwanne?",1
Dhaabbata kamtu Badhaasa Taa’iwaan Itti fufiinsaa bara 2007 badhaafame?,3
Kompiitarri dhuunfaa ASUS Eee maali?,2
Sanada poostaa badeef itti gaafatamummaa kan fudhatu eenyu?,1
"Akka kutaa kanaatti, waa’ee sanada badeef eenyutu dhiifama gaafate?",3
Del Potro dhimma gatiittii isaa yoom furmaata itti kennuu qaba ture?,3
Sababiin cituu saqii jalqabaa maal ture?,1
"Akka kutaa kanaatti eerametti, addatti eenyutu dhukkubsattootatti saaxila ba’e?",1
"Akka kutaa kanaatti, bulchaan kun yeroo lammiilee Teeksaasiif haasaa godhu mirkaneessa akkamii hin kennine?",1
Maddi oduu nama bohaarsuu barattoota UW duraanii lamaan kalaqame kami?,3
"Akka kutaa kanaatti, kanneen armaan gadii keessaa impaayera oduu bohartii Qullubbii adii keessatti kan hin dabalamne?",2
"Akka kutaa kanaatti, poolisiidhaan kan eegamaa ture maali?",3
