premise,hypothesis,gpt_label
"Nun, daran dachte ich nicht einmal, aber ich war so frustriert, dass ich am Ende doch mit ihm redete.",Ich habe nicht wieder mit ihm gesprochen.,2
"Nun, daran dachte ich nicht einmal, aber ich war so frustriert, dass ich am Ende doch mit ihm redete.","Ich war so mitgenommen, dass ich einfach wieder anfing mit ihm zu reden.",0
"Nun, daran dachte ich nicht einmal, aber ich war so frustriert, dass ich am Ende doch mit ihm redete.",Wir hatten ein tolles Gespräch.,1
"Sie sagten mir, dass ich am Ende von einem Kerl angerufen werden würde, um mich zu treffen.","Mir wurde nie gesagt, dass ich jemanden treffen würde.",2
"Sie sagten mir, dass ich am Ende von einem Kerl angerufen werden würde, um mich zu treffen.","Mir wurde gesagt, dass ein Typ Bescheid bekommen würde, sich mit mir zu treffen.",0
"Sie sagten mir, dass ich am Ende von einem Kerl angerufen werden würde, um mich zu treffen.",Der Typ kam etwas spät.,1
"Es gibt so viel was ich darüber erzählen könnte, ich überspringe das einfach.","Ich möchte dir alles erzählen, was ich darüber weiß!",2
"Es gibt so viel was ich darüber erzählen könnte, ich überspringe das einfach.","Ich werde nicht darüber reden, obwohl es viel zu decken gibt.",0
"Es gibt so viel was ich darüber erzählen könnte, ich überspringe das einfach.","Ich werde nicht über die Geschichte der Stadt sprechen, weil es zu viel zu sagen gibt.",0
Ich bin mir also nicht wirklich sicher warum.,Ich bin mir bezüglich des Grundes sicher.,2
Ich bin mir also nicht wirklich sicher warum.,"Ich weiß nicht, warum er die Schule gewechselt hat.",1
Ich bin mir also nicht wirklich sicher warum.,"Ich weiß nicht, warum das passiert ist.",0
Ich war der Einzige der jemals die Regler für den Test in den Miniaturhöhenkammern laufen ließ.,"Ich fand es nicht gut die Einzige zu sein, die die Regler für die Tests bedient.",1
Ich war der Einzige der jemals die Regler für den Test in den Miniaturhöhenkammern laufen ließ.,Versuche wurden in den Miniatur-Höhenkammern durchgeführt.,0
Ich war der Einzige der jemals die Regler für den Test in den Miniaturhöhenkammern laufen ließ.,Ein paar von uns haben die Testregler bedient.,2
"Ich bin äh, Chief Master Sergeant, im Ruhestand, wie Rick sagte.","Ich arbeite noch immer, bis heute.",2
"Ich bin äh, Chief Master Sergeant, im Ruhestand, wie Rick sagte.",Ich bin 2002 in den Ruhestand gegangen.,1
"Ich bin äh, Chief Master Sergeant, im Ruhestand, wie Rick sagte.","Rick sagte dir, dass ich im Ruhestand war.",0
"Es gibt einige Cash-Flow-Projektionen auf meinem Schreibtisch und, ähm, es ist für so und so Cutty, das ist der Name des Kunden.",Der Kunde namens Cutty verdient 10.000 $ pro Monat.,1
"Es gibt einige Cash-Flow-Projektionen auf meinem Schreibtisch und, ähm, es ist für so und so Cutty, das ist der Name des Kunden.",Es gibt einen Klient mit dem Name Cutty.,0
