question,gemma3_answer
"পাঠাংশ অনুসৰি, নিম্নলিখিত কোনটোৱে আধুনিক আইচ স্কেটৰ ব্লেডত থকা ফোঁপোলাটোক সঠিকভাৱে বৰ্ণনা কৰে?",3
"পাঠাংশ অনুসৰি, পৰমাণুক পোহৰৰ পৰা অতিৰিক্ত শক্তি আঁতৰাবলৈ অনুমতি দিয়া প্ৰক্ৰিয়াটো কি?",4
কিহৰ ফলত এটা পৰমাণুৱে এটা ফ'টন নিৰ্গত কৰে?,2
"পাঠাংশ অনুসৰি, অৱশেষত কিহৰ ফলত লাইটৰ বাল্ব এটাই কাম কৰা বন্ধ কৰে?",3
"লাইট বাল্ব এটা সলনি কৰোঁতে, নিম্নলিখিত কোনটো স্পৰ্শ কৰাটো বিপদজনক হ'ব পাৰে?",3
"পাঠাংশ অনুসৰি, নিউক্লিয়াছ বিভাজিত হ'লে কি হয়?",2
নিম্নলিখিত কোনটোৱে দীঘলীয়া দূৰত্বৰ কলসমূহ পৃথিৱীলৈ ঘূৰাই প্ৰতিফলিত কৰে,2
"এইবোৰৰ কোনটোক, মহাকাশত দূৰবীণ স্থাপন কৰিবলৈ ব্যৱহাৰ কৰা হয়?",2
এটা চক্ৰীয় ঘটনাৰ ক্ষেত্ৰত পাৰ হৈ যোৱা সময় ট্ৰেক কৰিবৰ বাবে কোনটো মন কৰিব লাগে?,2
"পাঠাংশ অনুসৰি, কোনো ঘটনাৰ কোনটো দিশ তুলনা কৰিবলৈ সময় ব্যৱহাৰ কৰা হয়?",1
"পাঠাংশ অনুসৰি, সিংহাসনৰ উত্তৰাধিকাৰীৰ বাবে নিম্নলিখিত কোনটো সাধাৰণ বুলি গণ্য কৰা হয়?",2
"পাঠাংশত দিয়া তথ্যৰ ওপৰত আধাৰ কৰি, চাৰ্লছে প্ৰথমে কি কৰিছিল?",4
ট্ৰিগভাছনৰ ফ্লীট কোনখন দেশৰ পৰা আছিল?,4
ইতিহাসৰ কোন সময়ত জাৰ্মানীয়ে এষ্টোনিয়াৰ ওপৰত শক্তিশালী সাংস্কৃতিক প্ৰভাৱ পেলাইছিল?,3
এষ্টে’নিয়ান ভাষা কিহৰ দ্বাৰা প্ৰভাৱিত হৈছিল?,2
"পাঠাংশ অনুসৰি, কোনটো কাৰকৰ ওপৰত আধাৰ কৰি স্থানীয় হিন্দীভাষীৰ সংখ্যা উঠা-নমা হয়?",1
নিম্নলিখিত কোনটো হিন্দী আৰু উৰ্দু ভাষাৰ বিষয়ে এটা সঁচা মন্তব্য?,2
নিম্নলিখিত কোনটো হেংগৱেল বৰ্ণমালাৰ বিষয়ে সঠিক তথ্য নহয়?,2
হুনমিন জিয়ঞ্জিয়াম বৰ্ণমালাটো অৱশেষত কিহলৈ সলনি কৰা হৈছিল?,2
"পাঠাংশ অনুসৰি, কোনবোৰ ভাষা সংস্কৃতৰ দ্বাৰা প্ৰভাৱিত হৈছে?",4
"পাঠাংশ অনুসৰি, কিহৰ বাবে সংস্কৃতৰ ব্যৱহাৰ হ্ৰাস পাইছিল?",4
"পাঠাংশ অনুসৰি, নিম্নলিখিত কোনটো আইঅ'ৰ মাধ্যাকৰ্ষণ সম্পৰ্কে এক সঠিক বিবৃতি?",1
"পাঠাংশ অনুসৰি, নিম্নলিখিত কোনটো মন্তব্যই চন্দ্ৰৰ বাহিৰৰ স্তৰক সঠিকভাৱে বৰ্ণনা কৰে?",3
"পাঠাংশ অনুসৰি, চন্দ্ৰৰ আৱৰণৰ আটাইতকৈ ডাঠ অংশ ক'ত আছে?",3
"পাঠাংশৰ ওপৰত আধাৰ কৰি, নিম্নলিখিত কোনটোক কিছুমান লোকে বিশ্বাস কৰে?",3
"আপুনি সূৰ্যৰ কেন্দ্ৰৰ পৰা যিমানে আগবাঢ়িব, সিমানে কি পাতল হয়?",3
"পাঠাংশ অনুসৰি, পৃথিৱীৰ পৰা সূৰ্যৰ কোনটো অংশ দৃশ্যমান?",3
