question,gpt_reply
"Ho latela seratswana, ke eng e ka thusang ho tiisa bohlokwa ba boiketlo ba diphoofolo ho basebetsi ba hlabang diphoofolo ba Australia?",A: Ho kenya dikhamera tsa CCTV
"Ho latela seratswana, mosebetsi wa motho ya neng a tshwerwe ke ofe?",A: Moithuti
"Ho latela seratswana, ha ditaba di ntse di hasana ka ho tshwarwa hape, ho ne ho ntse ho etswa mapato a batho ba bakae?",C: A robong
"Ho arabela boipelaetso, ke naha efe e sa kang ya tswela pele ka tumellano ya bona ya ACTA e saennweng?",B: Poland
"Ho latela seratswana, ke efe ho dinaha tse latelang e nkileng qeto ya ho tjhetjhisa mokhwa wa ho kenela ACTA?",D: Latvia
Ke batho ba bakae ba ileng ba tswa dikotsi ka lebaka la diketsahalo tsa ho tjhesa ka ho feteletseng ha iPod?,A: 4
Ke mang ya boletseng hore diketsahalo tsa ho tjhesa ka ho feteletseng di ne di se kotsi haholo?,D: Apple
"Nakong ya puo ya hae, Steve Jobs o itse Apple e tla tsosolosa eng?",B: Mohala
Sepheo sa puo ya Steve Jobs ya dihora tse pedi e ne e le eng?,C: Ho qala fono e ntjha
Cristina Fernandez de Kirchner o phatlaladitse eng ho Sebakeng sa Theatre sa Argentina?,A: Bokgethwa ba hae ba mopresidente
Cristina Fernandez de Kirchner o phatlaladitse morero wa hae wa ho matha hokae?,C: Sebakeng sa Diketsahalo sa Argentina dimaele tse 31 ho tloha Buenos Aires
Diphuputso tsa ACMA mabapi le Big Brother e bile dife?,A: Melao ya dithibelo e ne e so tlolwe
Metjha ya ditaba e tlameha ho wela tlasa maemo afe e le hore e nkwe e le ditaba tsa inthanete?,B: E tlameha ho dula ho seva
Moetapele oa Liberal Party ya Australia ke mang?,B: John Howard
Ke hobaneng ha Australia e se na indasteri ya matla a nyutlelie?,A: Ho hloka tshehetso ya setjhaba
Ke sebapadi sefe sa ski se ileng sa hlodisana ka thuso ya motataisi?,C: Maciej Krezel
Ke naha efe e bileng ya leshome tlhodisanong ho Super-G bakeng sa boemo bo emeng ba basadi?,B: Netherlands
"Ho latela seratswana, ke polelo efe e buang ka Blake e sa nepahalang?",B: O ile a dumela tlhaselo
"Ho latela seratswana, ke efe ho tse latelang e sa kang ya etsahalla Blake?",C: O ile a hlaselwa ka palo
Letlole la Mokgatlo wa U.N. la ho futhumala ha lefatshe le ke ke la sebedisetswa eng?,B: Ho tlisa theknoloji dinaheng tse tswelang pele
"Ho latela seratswana, Mokgatlo wa U.N. o tshepa ho pholosa eng?",C: Meru e setseng
Ke efe ho tse latelang e sa kang ya qotswa ke-Albert Muchanga e le ntho eo ho ntseng ho hlokahala hore ho dumellanwe ka yona?,A: Haeba Benin e ka kenela AfCTA
"Ho latela seratswana, hobaneng khwebo e ka qala ka Phupu?",B: Ho na le moralo o lekaneng wa melao le ditumellano tse teng
"Ho latela seratswana, The Atlanta Journal-Constitution e ile ya qosa diofisiri tsa thuto ka eng?",C: Ho se sebetse ka mathata a ka hare a fumanweng
"Ho latela dintlha tse fanweng serapeng sena, ke eng e sa bolelwang tlalehong ya Atlanta Journal-Constitution?",D: Ditlhahiso tsa ho ntlafatsa thuto ya ditoropo
"Ho latela seratswana, ke boitsebiso bofe bo tsejwang ka mora ho phatloha ha dibomo?",B: Ke meaho efe eo dibomo di ileng tsa phatloha haufi le yona
"Ho tloha ha a kena Manchester City ka-2017, Jesus o bapetse dipapadi tse kae?",D: 53
Ke sehlopha sefe seo Jesus a ileng a fumana tefo ya £27 milione bakeng sa ho kena?,A: Palmeiras
Ke polelo efe e mabapi le baeti ba hostele eo e seng nnete?,"D: Bongata ba baeti bo ne bo tswa motseng o halalelang

Polelo ena ha e nepahale kaha ho boletsoe hore baeti ba bangata ba ne ba tsoa United Arab Emirates, eseng moo Mecca."
"Ho latela seratswana, ke efe ho dipolelo tse latelang eo e leng nnete?",C: Baeti ba ne ba le teng pele ho leeto la hajj
"Ho latela seratswana, ke boitsebiso bofe bo mabapi le ho thulana bo sa tsitsang?",C: Tshusumetso ya ho thulana Lefatsheng
"Ho latela seratswana, ke eng e ntseng e lokela ho tsejwa mabapi le ho thulana?",D: Sekala se nepahetseng hantle sa ho thulana
"Ho latela seratswana, ke sebaka sefe seo Batten a kileng a ba le sona lethathamong la Batho ba ruileng ka ho Fetisisa ba Amerika?",C: Ya bo190
Ke efe ho tse latelang eo Batten a entseng monehelo ho yona?,B: Yunivesithi ya Virginia
Ke eng eo e seng karolo ya bili e saennweng ke Musisi Arnold Schwarzenegger?,C: Thibelo ya thekiso kapa ho hira dipapadi tsa video tse mabifi ho bana ba ka ntle ho California
"Ho latela seratswana, ke bo-mang ba ileng ba fosa dintho tse neng di bolelwa?",C: Miller
"Ho latela seratswana, ke efe ho tse latelang eo e leng nnete ka phihlelo ya Miller nyeweng?",B: O ne a sa ele hloko ha a ntse a itokisetsa
Ke mang ya entseng tlhahiso ya hore ho etswe ditokiso ho ‘Molao wa Moya o Hlwekileng’?,C: Jack Layton
"""Ke mang ya hanneng hore """"Molao wa Moya o Hlwekileng """" o ne o sebediswa e le leano la pele ho dikgetho?""",B: Tona-Kgolo
Metswako ya cyanuric acid le melamine e ile ya etsa eng ha e kopana ka hara moroto wakatse?,C: Dikristale
Bafuputsi ba ile ba sebedisa tekanyo ya ho hlahloba mahlasedi a kotsi ho bona eng?,B: Sebopeho sa kristale morotong wa phoofolo
Ke mang ya ileng a re Luna ke “Mofumahadi ya Feteletseng”?,D: Tommy Dreamer
"""Ke mang ya ileng a bitsa Luna e le """"ya makatsang""""?""",B: Dustin Runnels
Ke eng e sa kang ya etsahala ka mokganni ya amehileng kotsing?,C: O ile a tloswa sepetleleng sa Cambridge ho ya ho se seng sa Great Yarmouth
Ke eng e neng e sa hlahella ka papadi ya Afrika Borwa nakong ya tlhodisano ya rugby?,C: Tshebetso e ntlafaditsweng qalong ya tlhodisano
"Ho latela seratswana, papadi ya Afrika Borwa e qadile neng ho ntlafala?",D: Ha tlhodisano e ntse e tswela pele
"Ho latela seratswana, ke efe ho tse latelang e sa bontsheng moruo wa China ka nepo?","D: China ha e so ka e romela dikoloi tse ngata ho feta Jeremane

Kgetho ena ha e bontshe moruo wa China ka nepo ho latela seratswana, hobane seratswana se bolela hore China e se e rometse makoloi a mangata ho feta Jeremane."
"Ho latela seratswana, GDP ya China e ne e ka feta United States neng?",B: Nakong ya dilemo tse mashome a mabedi
Hu o ile a etsa tlhahiso ya hore dinaha tse tswelang pele di etse eng?,D: Ho qoba ditsela tsa kgale tsa tshilafalo
Ke eng e sa kang ya bolelwa ke Hu?,A: Motheo wa ho kgaoha
Ke efe ho tse latelang eo Veerman a ileng a re boemo bo ne bo se botle?,B: Angola
"Ka lebaka la qoso, ke mang ya tla nka boemo ba Khabinete ya Huhne?",A: Davey
Ke mang ya tla nka karolo ya Letona la Kgwebo ka mora qoso?,A: Lamb
Dibini kapa diletsi ba kgothalletsa bamamedi ho etsa eng nakong ya opera ya Camille Saint-Saens?,A: Kenya letsoho tshebedisong ya cannabis
Ke mang ya tsubang matekwane nakong ya opera?,C: Dibini le diletsi
"""Lebitso le leng la """"ho tsamaya sepakapakeng"""" ha Leonov ke lefe?""",C: Tshebetso ya kantle
Leonov o ile a etella pele karolo ya Soviet ya leeto lefe?,B: Apollo-Soyuz
Ke mang ya lemetseng kotsing eo?,A: Gibson
Ho ile ha etsahalang ka batho ba amehileng kotsing eo?,"B: E mong o ne a sa tswa kotsi, e mong a hlokahala"
Bo-rasaense ba sebetsang lenaneong lena ba ne ba tshepile ho bona diphello tse bakilweng ke efe ho tse latelang?,B: Matla a maqhubu
Bo-rasaense ba ne ba hlokometse ntho ya efe ho tse latelang?,D: Sehlopha sa dinaledi sa Sagittarius le Molala
"Ho latela seratswana, ke eng e sa nyatsweng ke batho dingangele?",C: Ke mang ya fuwang dikonteraka tsa kaho botjha
Ke mang ya nyatsang dikonteraka tsa kaho botjha bakeng sa boiteko ba diphallelo ba Lehodiotswana Katrina?,B: Batho ba dikelello di bulehileng
"Ho latela seratswana, mabone a tswang sefofa-sebakeng sa Stardust a tla bonahala hokae pele?",B: California Leboya
"Ho latela seratswana, sefofa-sebakeng se tla beha rekoto bakeng sa efe ho tse latelang?",C: Ho kgutlela Lefatsheng kapele
Ngaka Malar Balasubramanian o ne a amana jwang le Saroja Balasubramanian?,B: Moradi
Setopo sa Sara Balasubramanian se fumanwe hokae?,C: Ka kutu ya koloi
Ke eng e rekilweng ke eBay?,C: Skype
eBay e batla ho fihlela eng ka ho reka?,B: Ho atolohela dibakeng tse ntjha
"Ho ya ka seratswana, ke mang ya sa kang a sebedisana le batshwaruwa ba ileng ba sala ka jareteng ka mora ntwa?",B: Basebetsi ba pholoso ba mollo
Ke efe ho tse latelang e ileng ya qetella e entse hore batshwaruwa ba ikhule moferefereng oo?,B: Kgase e llisang
"Ka maikutlo a Ayatollah Ali Khamenei, naha ya Iran e lokela ho itokolla ho eng?",D: Ho itshetleha ka oli
"Ho latela seratswana, ke mang ya amohetseng ditlamorao tsa kotlo moruong wa Iran?",A: Mehlodi e phahameng
Ke efe ho tse latelang eo e seng karolo ya tshebetso ya ho vouta ya Fora?,D: Dikgetho di balwa ke baemedi ba bakgethwa
Bakgethi ba bontsha mokgethwa owu bona hokae?,B: Leqepheng le hatisitsweng esale pele
Ke eng e entseng hore Allen a qale ho batlana le Musashi ka dilemo tse robedi?,D: Thahasello ya hae ntweng
