question,gemini_answer
"Dapre pasaj la, kisa ki pa ta konsidere kòm yon konsèy ki egzat pou jwe akòdeyon avèk siksè?",1
"Lè w ap jwe akòdeyon an, kilès nan sa ki annapre la yo k ap ede w ogmante volim lan?",1
Poukisa imaj yo sou televizyon an gen rebò ki koupe?,2
"Dapre pasaj la, kilès nan pwoblèm ki annapre la yo yon moun ta ka rankontre lè konvèti yon fim mete l nan fòma DVD?",2
Kikote ki te gen yon ganizon Britanik sitiye?,2
Siyati kimoun ki parèt sou bouyon ki ekri alamen an?,1
"Nan kote ki annapre la yo, kikote yon atak Denlap te rive dènye?",1
Kikote twoup Kolonèl Stark yo te sitiye?,1
"Dapre pasaj la, kilè gason Stark yo te pwolonje kloti yo a?",3
"Dapre pasaj la, kilès nan sa ki annapre la yo ki te youn nan epòk ki pi vyolan nan Chin?",4
"Dapre pasaj la, kisa ki vre konsènan yon koloni lame foumi k ap antre nan yon faz nomad?",1
"Dapre pasaj la, ki deklarasyon ki reflete avèk presizyon abitid koloni lame foumi yo pou fè nich pandan faz nomad la?",3
Kilès nan sa ki annapre la yo k ap kontinye malgre prezans siyal ekstèn yo?,3
Ki tèm ki dekri moun ki montre divèjans nan yon sèten karakteristik fenotip?,4
Kilès nan tèm ki annapre la yo ki kòrèk pou òganis ki okipe yon zòn espesyalman?,2
Kilès nan sa ki annapre la yo ki pa ta yon egzanp aktivite touris ki baze sou lanati?,3
"Dapre pasaj la, kilès nan sa ki annapre la yo ki se baz sistèm transpò a?",2
Ki tip chaj patikil yo ki òbite nwayo a genyen?,3
Ki patikil ki konpoze nwayo a?,1
"Dapre pasaj la, kilès nan sa ki annapre la yo ki se yon egzanp nonb binè senk bit yo?",3
Kijan yo rele chif binè yo tou?,1
Kilès nan sa ki annapre la yo ki pa mansyone nan pasaj la kòm yon avantaj prensipal nan blòg elèv yo?,1
Kilès nan aspè ki annapre la yo nan blòg yo ki site kòm yon motivasyon pou elèv yo amelyore konpetans yo nan ekriti?,2
Kilès nan sa ki annapre la yo ki pa yon avantaj kominikasyon asenkwòn pou elèv yo? ,2
"Dapre pasaj la, kilès nan aspè annapre la yo nan kominikasyon asenkwòn ki pa fleksib pou elèv yo?",3
Kisa ki pa mansyone nan pasaj la kòm yon bagay yon moun ta ka asosye ak chato medyeval yo?,4
Kilès nan sa ki annapre la yo ki pa mansyone nan pasaj la kòm yon odè oswa yon son ki ka evoke nan pami mazi chato yo?,3
Kilès nan sa ki annapre la yo ki se yon deskripsyon egzat Chato Kirby Muxloe?,2
Kilès nan karakteristik konstriksyon ki annapre la yo ki ta konsidere kòm yon bagay ki pa òdinè pou Chato Kirby Muxloe a pandan peryòd tan ki dekri nan pasaj la?,1
"Dapre pasaj la, kilès nan sa ki annapre la yo ki ta pi benefik pou yon kourè k ap prepare pou sezon k ap vini an?",1
"Dapre pasaj la, kilès nan sa ki annapre la yo ki pi enpòtan pou yon kourè premye klas sou yon demi-mil?",1
"Pou yon atlèt, kilès nan bagay ki annapre la yo pa ka reyalize sèlman pa mwayen pratik nitrisyonèl?",3
"Dapre pasaj la, kilès nan sa ki annapre la yo ki pa sijere kòm yon fason pou jèn atlèt jwenn plis plezi nan espò yo a?",2
"Dapre pasaj la, poukisa yon kourè distans mwayen ta ka achte yon pyès ekipman ki pi chè?",1
"Dapre pasaj la, kisa kous distans mwayen mande?",3
Kimoun ki te dekouvri rezonans mayetik nikleyè? ,3
Nan ki ane yo te akòde premye patant pou rezonans imajri medikal la? ,2
"Dapre pasaj la, apwopo kisa moun ta dwe gen yon konpreyansyon solid pou yo entèprete aksyon fizik lòt moun?",2
"Dapre pasaj la, kisa konpreyansyon entansyon ede moun fè?",1
"Dapre pasaj la, kilès nan sa ki annapre la yo ki se yon rezime egzat sou objektif prensipal AI an?",4
"Dapre pasaj la, ak kilès nan sa ki annapre la yo AI souvan asosye?",3
"Dapre pasaj la, kilès nan sa ki annapre la yo ki se yon fòs yon moun modèl panse konvèjan genyen?",4
