question,gemini_answer
"Мувофиқи порчаи матн, барои бомуваффақият навохтани аккордеон чӣ маслиҳати хуб ҳисобида намешавад?",1
Кадоме аз инҳо ба баланд бардоштани садо ҳангоми навохтани аккордеон кӯмак мекунад?,1
Чаро расмҳо дар телевизион ҳошияҳои буридашуда доранд?,2
"Тибқи порчаи матн, ҳангоми табдил додани филм ба формати DVD ба кадоме аз мушкилоти зерин дучор шудан мумкин аст?",2
Гарнизони Бритониё дар куҷо ҷойгир буд?,2
Имзои кӣ дар лоиҳаи хаттӣ буд?,4
Dunlap broadsides аз ҷойҳои зерин ба куҷо охирон расид?,1
Сарбозони полковник Старк дар куҷо ҷойгир буданд?,1
"Тибқи порчаи матн, тарафдорони Старк кай девори худро паҳн карданд?",3
"Тибқи порчаи матн, кадоме аз давраҳои зерин яке аз бераҳмтарин дар Чин буд?",4
"Тибқи порчаи матн, барои колонияи мӯрчагони артиш, ки ба марҳилаи кӯчманчӣ ворид мешаванд, чӣ дуруст аст?",2
"Тибқи порчаи матн, кадом изҳорот одатҳои дидбонгоҳ созии колонияҳои мӯрчагони аскариро дар марҳилаи кӯчманчигӣ дақиқ инъикос мекунад?",3
Кадоме аз инҳо сарфи назар аз мавҷудияти огоҳиҳои берунии даврӣ идома хоҳад ёфт?,3
"Кадом истилоҳ шахсонеро тавсиф мекунад, вариантҳои гуногуни аломати фенотипии мушаххасро нишон медиҳанд?",4
"Кадоме аз истилоҳҳои дар зер овардашуда барои организмҳое, ки минтақаи муайянро ишғол мекунанд, дуруст аст?",2
Кадоме аз инҳо мисоли фаъолият дар асоси туризми табиӣ нахоҳад буд?,3
"Мувофиқи порчаи матн, кадоме аз инҳо асоси системаи нақлиёт аст?",2
"Зарраҳое, ки дар атрофи ядро давр мезананд, кадом навъи заряд доранд?",3
Ядро аз кадом зарраҳо иборат аст?,1
"Мувофиқи порчаи матн, кадоме аз инҳо намунаи панҷ адади дурақама аст?",3
Ададҳои дурақама инчунин ҳамчун чӣ номида мешаванд?,1
Кадоме аз инҳо дар порчаи матнии мазкур ҳамчун бартарии асосии блогнависии донишҷӯен зикр нашудааст?,2
Кадоме аз ҷанбаҳои зерини блоггинг ҳамчун ҳавасмандкунанда барои донишҷӯён баҳри такмил додани малакаҳои навиштани худ зикр шудааст?,2
Кадоме аз инҳо бартарии муоширати асинхронӣ барои донишҷӯён нест? ,2
"Мувофиқи ин порча, кадоме аз ҷанбаҳои зерини муоширати асинхронӣ барои донишҷӯён мутобиқшаванда нест?",4
"Дар ин порчаи матн чӣ ҳамчун чизе, ки шахс метавонад бо қасрҳои асримиёнагӣ алоқаманд кунад, зикр нашудааст?",1
"Кадоме аз инҳо дар порчаи матн ҳамчун бӯй ё овоз зикр нашудааст, ки дар байни харобаҳои қалъа тасаввур карда шавад?",3
Кадоме аз инҳо тавсифи дақиқи Қалъаи Кирби Мукслоу аст?,2
Кадоме аз хусусиятҳои зерини сохторро барои Қалъаи Кирби Мукслоу дар давраи дар порчаи матн тасвиршуда ғайриоддӣ ҳисобидан мумкин аст?,1
"Мувофиқи порчаи матн, кадоме аз инҳо барои давандае, ки ба мавсими оянда омодагӣ мебинад, муфидтар хоҳад буд?",4
"Тибқи порчаи матн, кадоме аз инҳо барои давандаи ниммиллии аввалиндараҷа аҳамияти ниҳоят бузург дорад?",2
Кадоме аз инҳоро барои варзишгар танҳо тавассути ғизои дуруст ба даст овардан ғайриимкон аст?,3
"Дар асоси порчаи матн, кадоме аз инҳо ҳамчун роҳи варзишгарони ҷавон барои баҳрагирии зиёдтар аз варзиши худ пешниҳод карда намешавад?",2
"Тибқи порчаи матн, чаро давандаи масофаи миёна мумкин аст намуди таҷҳизоти лозимаи гаронтар харад?",1
"Мувофиқи порчаи матн, барои дав дар масоҳати миёна чӣ лозим аст?",3
Резонанси ядроии магнитиро кӣ кашф кардааст? ,3
Аввалин патент барои тасвири резонансии тиббӣ кадом сол дода шуд? ,2
"Тибқи порчаи матн, одамон барои тафсири амалҳои ҷисмонии дигарон чиро бояд хуб дарк кунанд?",2
"Тибқи порчаи матн, фаҳмидани ният ба одамон кӯмак мекунад, ки чӣ кор кунанд?",1
"Мувофиқи порчаи матн, кадоме аз инҳо тавсифи дақиқи ҳадафи асосии ақли сунъӣ аст?",4
Тибқи порчаи матн ақли сунъӣ аксар вақт бо кадоме аз инҳо алоқаманд аст?,3
"Тибқи порчаи матн, кадоме аз инҳо қудрати шахси дорои тарзҳои фикрронии конвергентӣ аст?",4
"Мувофиқи порчаи мазкур, кадоме аз инҳо диққати фикрронии конвергентӣ ҳисобида намешавад?",2
"Тибқи порчаи матн, кадоме аз инҳо ифодаи хурд ҳисобида намешавад?",4
Кадоме аз гуфтаҳои зерин дар бораи тафсири ифодаҳои хурд нодуруст аст?,3
Кадоме аз инҳо дар натиҷаи Таҷаддуд бештар муҳимият пайдо кард? ,3
Дар натиҷаи Таҷаддуд ба кадоме аз омилҳои зерин камтар таваҷҷӯҳ зоҳир карда шуд?,1
Кадоме аз инҳо ҳавасмандии истифодаи интернетро барои муносибатҳои давомдор инъикос намекунад?,1
Кадоме аз инҳо ҳавасмандии истифодаи интернетро барои иштироки шахсӣ инъикос намекунад?,1
Кай Аврупои Ғарбӣ аз такя ба таъсир даст кашид ва ба рушди услуби худ шурӯъ кард?,1
Истифодаи тугмаҳо барои бастани либос натиҷаи чӣ буд? ,3
"Тибқи порчаи матн, кадоме аз инҳо ҳалли дарозмуддати мушкилоти экологӣ ҳисобида мешавад?",3
"Тибқи порчаи матн, кадоме аз ҳалли зерин ҳамчун табобати нишонаҳои мушкилоти экологӣ баррасӣ намешавад?",2
"Ҷанги аввал дар Аврупо дар кадом кишвар рух дод, ки мушкилоти марказии он ба мувозинаи қувваҳо вобаста буд, на мазмуни динӣ?",4
"""Кадом ҷангро баъзан """"ҷанги динӣ"""" меноманд?""",1
Кадоме аз ҷанбаҳои зерини Калисои католикӣ бодиққат омӯхта нашудааст?,4
"Тибқи порчаи матн, дар Версал кӣ кушта шудааст?",4
Кадоме аз инҳо аз ҷониби мафиа ба подшоҳ ва малика маҷбур карда нашудааст?,2
Кадоме аз инҳо натиҷаи ҷанги ғайримуқаррарии баҳрии Бритониё набуд?,1
Кадом изҳорот муҳосираи баҳрии Бритониё ва Олмонро нодуруст тавсиф мекунад?,4
"Дар асоси ин порча, ташхиси MS (суддабандии бофтаи узвҳо ва фаромӯшхотирӣ) барои кӣ бештар эҳтимол дорад?",1
"Мувофиқи порчаи матн, иштирокчиёни фаъолияти ҷисмонӣ ба дастгирии бештар ниёз доштанд барои чӣ?",1
"Тибқи порча, шамшербозӣ одатан чӣ гуна бозӣ мекунад?",4
"Тибқи порчаи матн, кадоме аз инҳо қавитарин аломатҳои заҳролудшавии дохилӣ хоҳад буд?",4
"Тибқи порчаи матн, қадами аввалини дуруст ҳангоми арзёбии ҷабрдида чист?",1
Кадоме аз изҳороти зерин раванди санҷиши ҷабрдидаро нодуруст инъикос мекунад?,2
Кадоме аз тағйиротҳои инқилоби Фаронса ба шаҳрвандони синфи коргар таъсири назаррас расонд?,2
Пас аз инқилоби Фаронса муваффақият дар артиш ва дигар касбҳо камтар ба чӣ асос ёфтааст?,2
Кадом хадамоти давлатӣ дар кишварҳои пешрафта бештар норозигӣ ба бор меорад?,3
"Тибқи порчаи матн, дар бораи системаҳои нақлиёти ҷамъиятӣ чӣ гуфтан мумкин аст?",3
"Мувофиқи порчаи матн, кадоме аз инҳоро аз сабаби пешгӯинашавандаи ронандагон арзёбӣ кардан душвор аст?",4
Кадоме аз инҳо ҳангоми ифодаи математикии ҷараёни нақлиёт истифода мешавад?,4
Ҳерши ва Чейз барои гузаронидани ДНК-и худ чӣ истифода карданд? ,4
Қобилияти интиқоли мутатсия ба насл аз чӣ вобаста аст?,1
"Дар асоси маълумоти порчаи матн, таъсири гуногуни мутатсия ба чӣ такя намекунад?",invalid
Кадоме аз инҳо сабаби нигоҳ доштани бузҳо дар фарҳангҳои қадим набуд?,3
Ҳадафи гольф гирифтани миқдори камтарини чӣ аст?,2
Алаф дар майдони гольф дар куҷо кӯтоҳтар бурида шудааст?,2
Ҳадафи маъмулии озмоиш чист?,1
"Тибқи порчаи матн, чӣ ба роҳнамоии тадқиқотҳои илмӣ кӯмак намекунад?",1
"Тибқи порчаи матн, кадом изҳороти торнадоҳо дуруст нест?",3
"Дар асоси порчаи овардашуда, кадоме аз изҳороти зерин аксари торнадоҳоро дақиқ тавсиф мекунад?",4
Кадоме аз инҳоро одамон дар асри 16 оғоз карданд?,4
Чӣ қадар вақт одамон объектҳоро бо линзаҳо бузург мекунанд?,3
"Дар асоси порчаи матн, ғори Муҳаммад дар бораи амалия ё арзишҳои маънавии Ӯ чӣ мегӯяд?",1
"Тибқи порчаи матн, оҳан аввал барои чӣ истифода мешуд?",4
"Мувофиқи порчаи матн, чаро чархҳои чӯбӣ бо чархҳои оҳанӣ иваз карда шуданд?",4
"Мувофиқи порчаи матн, фард дар давраи Романтизм чӣ гуна шакл гирифтааст?",2
Кадоме аз изҳороти зерин ғояи умумии детерминизми технологиро инъикос намекунад? ,1
Мувофиқи порчаи матн кадоме аз инҳо ба кашидани камон алоқаманд нест?,1
Мувофиқи порчаи матн кадоме аз инҳо бо садои мулоимтар алоқаманд аст?,3
"Устухонҳои кофта нишон медиҳанд, ки дастҳо дар охир мутобиқ шудаанд, асосан барои кадом мақсадҳои зерин истифода шаванд?",1
Кадоме аз инҳо буғумҳои кушодаи ангуштони шимпанзеро дуруст тавсиф мекунад? ,3
Интихоби тағйирёбии генетикиро аз кадом захира хориҷ мекунад?,4
Кадом раванд барои илова кардани тағйирёбии генетикӣ масъул аст?,3
"""Бар асоси маълумоте, ки дар порчаи матн омадааст, примат бояд кадоме аз инҳоро бихӯрад, то """"мушкилоти сафеда"""" -ро ҳал кунад?""",3
Мувофиқи порчаи матн кадоме аз мушкилоти зерин дар натиҷаи нарасидани аминокислотаҳои зарурӣ ба вуҷуд намеояд?,1
Чӣ гуна намояндагони як зерфарҳанги муайян аксар вақт мансубияти худро ба гурӯҳ нишон медиҳанд?,4
"Мувофиқи назарияе, ки дар порчаи матн оварда шудааст, бо кӯдаке, ки бо стереотипҳо нажодӣ, ки ҳамчун рафтори таҳдидкунанда тасаввур карда мешавад, чӣ рӯй дода метавонад?",2
"Мувофиқи порчаи матн, дониши кӯдак дар бораи стереотипҳои нажодӣ метавонад ба кадоме аз инҳо таъсир расонад?",2
"Мувофиқи порчаи матн, кадоме аз инҳо барои тарбияи кӯдаки ваҳшӣ мувофиқ нест?",1
"Мувофиқи порчаи матн, кадоме аз инҳо рафтори ваҳширо дар кӯдакон дуруст тавсиф мекунад?",2
Дар асоси порчаи дар боло овардашуда кадоме аз амалияҳои зерин ба кишоварзии табиӣ мувофиқат намекунад?,2
Кадоме аз инҳо амалияи кишоварзии табииро дуруст тавсиф мекунад?,4
Ташрифоварӣ ба осорхона ба кадом категорияи туризм дохил мешавад?,3
"Мувофиқи порча, барои сайёҳони фароғатӣ чӣ афзалият дошта метавонад?",2
"Дар порчаи матн чӣ гуфта шудааст, ки тарс аз тағирот дар калисои маҳаллӣ кам карда шуд?",1
"Мувофиқи порчаи матн, фаҳмиши таърихи худ ба чӣ кӯмак карда метавонад?",3
Кадоме аз изҳороти зерин равиши постмодернӣ ба таълим дақиқ тавсиф мекунад?,4
Кадоме аз гуфтаҳои зерин муносибати постмодерниро ба таълим дуруст инъикос намекунад?,2
"Пас аз бедоршавии мақсаднок дар давраи муқаррарии хоб, кадоме аз онҳо ба раванди қатъи хоб халал мерасонад?",3
Кадоме аз инҳо тавсифи дақиқи қатъи хоб нест?,4
