premise,hypothesis,gpt_label
"Ukhamaxa, janiw ukatuqits lup'kayätti, ukhamarus wali phiñasitayätwa, ukatx jupampiw mayamp aruskipañ qallanttha.",Janiw mayamp jupampix parlxapxti.,2
"Ukhamaxa, janiw ukatuqits lup'kayätti, ukhamarus wali phiñasitayätwa, ukatx jupampiw mayamp aruskipañ qallanttha.","Wali phiñasitaskayätwa, ukhamipan mayamp jupamp aruskipañ qallanta.",0
"Ukhamaxa, janiw ukatuqits lup'kayätti, ukhamarus wali phiñasitayätwa, ukatx jupampiw mayamp aruskipañ qallanttha.",Wali kusa aruskipäwipuninaw jupampixa.,1
"Mä jach'a khuyapt'ayawikaspas ukham amuyta, amuyaskaktwa, amuyaskaktwa, naya sapakiyätwa 922 ExO ukaxa, ukhamarak khititix AFFC Fuerza Aerea uksankirixa.",Uka urux janiw jupa sapakitap yatkayati.,1
"Mä jach'a khuyapt'ayawikaspas ukham amuyta, amuyaskaktwa, amuyaskaktwa, naya sapakiyätwa 922 ExO ukaxa, ukhamarak khititix AFFC Fuerza Aerea uksankirixa.",Naya sapakikirists uka AFFC Air Force uka thakhin yatiqirixa ukham amuyasiyäta.,0
"Mä jach'a khuyapt'ayawikaspas ukham amuyta, amuyaskaktwa, amuyaskaktwa, naya sapakiyätwa 922 ExO ukaxa, ukhamarak khititix AFFC Fuerza Aerea uksankirixa.","Taqiniruw ukham mä kikipa jakhu churapxitu, ukhamarak wali sumanak churañatak arxayapxarakitu, taqi ukanakax ch'usa k'arikitaynawa.",1
Ukat akham sasaw sapxitu…mä jaqi qhip qhiparux jawsanïtam sasaw sapxitu.,Janiw kuns maynir uñt'añatx yatiyapkituti.,1
Ukat akham sasaw sapxitu…mä jaqi qhip qhiparux jawsanïtam sasaw sapxitu.,Mayni jaqiw uñt'asiñatak jawsanïtam sasin yatiyapxitu.,0
Ukat akham sasaw sapxitu…mä jaqi qhip qhiparux jawsanïtam sasaw sapxitu.,Uka jaqix janiw jank'ak uñstankiti.,1
"Walja kunanakaw arsuñatak utji, ukampinsa janiw taqi ukanak arskäti.","Ukharus kuntix ukxat yatkxa, taqi ukanak yatt'ayän munsma.",1
"Walja kunanakaw arsuñatak utji, ukampinsa janiw taqi ukanak arskäti.","Janiw ukxat parlkäti, walja kunanaw arsuñatak utjaski.",0
"Walja kunanakaw arsuñatak utji, ukampinsa janiw taqi ukanak arskäti.","Janiw kunjamakanatix uka jach'a markax ukxat arskäti, walja kunanakaw arsuñatak utjaspana.",1
"Ukaw wali wakiskirïna qhispiyañatakixa, janiw kunjamats uka hidrogen wumwa jaqt'añatakix mä 30ukhatx utjkanati,mä C124.",Janipuniw kuns imanipkti.,1
