text,gemini_reply
"Muri MetroPlus hameze neza kandi abantu ntibuzurana mugabo harazimvye gato, naho hazimbutse gusumba amatike asanzwe ya gariyamoshi z'i Europe.","travel
"
Hari igihe bisaba ko wuzuza urukaratasi ku gituro c'inyamiramabi canke ukaja ku biro biraba abinjira n'abasohoka mu gihugu.,"travel
"
"Buri gitondo, abantu bava mu bisagara bito bito mu miduka baja gukora mu bisagara binini bagaca bahura n'abandi akazi kabo kari murivyo bisagara bavuyemwo.","business
"
"Nimba utamenyereye gutwara umuduga ku mabarabara y'ikirundi, uraguma urikanuye: haragwiriye imihanamo, utuyira twaga n'amakorosi agoye.","travel
"
Ukwiyunguruza kwa mbere kuzwi kwari ugutambuka. Haraheze imyaka irenga imiliyoni zibiri abantu batanguye kugenda bahagaze kuva havutse Homo Erectus (bisigura umuntu ahagaze).,"science
"
Ingenzi zitegekanya kuja kwihinduza igitsina mu makungu zikwiye kuraba neza ko zitwaje inkaratasi zikwije ibisabwa zizokoreshwa mu kugaruka.,"health
"
"Ahandi usanga abatashikiye mu buraro bw'ingenzi ari bo gusa bakenera kwiyandikisha. Kubera ko ivyo bituma itegeko ridatomoka, vyiza rero worondera amakuru kare.","travel
"
"Iyo mugiye ubwambere mu gihugu kiri munzira y' amajambere, - canke mu gice gishashaa c' isi - ntimusuzugure ugushobora kudahuza n'akaranga kaho.","travel
"
"Bagore: Birasabwa ko abagore bose bari kurugendo bavuga ko barongowe, hatitaweho ico bari imbere y'amategeko ubu.","politics
"
"Ingendo z'ingenzi zirazimvye, kandi zisaba ko umuntu aba amagara meza, zishobora kuba mu gihe c’ici gusa kuva muri Munyonyo gushika muri Ruhuhuma, kandi zemewe ahanini kugirwa mu gace k'umugabane kinjira mu mazi, mu mazinga yirebanga, no mu kiyaga Rosi.","travel
"
Ukugendera ikibanza bishobora kuba vyiza bijanye nukuja mubwato ugana kukiyaga.,"travel
"
"Turagusavye wibuke ko mu bisanzwe uriko utemebera ikibanza c'imva rusangi, kandi kikaba n'ikibanza gifise insiguro itagira aho igarukira ku gice kinini c'abantu kw'isi.","religion
"
Shira amakenga ko mugihe muzoshika kukivuko ibintu vyose bizoba bitahuritse neza cane. Muzohura n' abandi batwara abantu mubwato kubuntu kandi bazobasangiza amakuru yabo.,"travel
"
"Vyongeye, ufise viza ya Schengen ntukenera kuguma urondera viza ya kimwekimwe cose mu bihugu bigize ako karere ka Schengen. Bituma ukoresha umwanya muto, amahera make, ukuzuza n'inkaratasi nke.","travel
"
Ibi bishobora gukorwa mumodoka isanzwe hamwe n'ugutegekanya kwiza mugabo i 4x4 irahanuwe cane kandi ibice vyinshi bishikirwa gusa na 4x4 z'uburebure buri hejuru.,"travel
"
"Ku mabarabara ariko ibirafu canke neje, ntushobora kunyonga nk'uko ubigira kw'ikaburimbi kuko amapine adafata neza hasi.","sports
"
"Ama taxi ya bose ni uburyo bwihuta kandi bwisanzuye bwo gutembera mubibanza vya hafi, nka Paro (Nu 150) na Punakha (Nu 200).","travel
"
"Indege Twin Otter, iyari isigaye yitwa Airlines PNG Flight CG4684, yari yagerageje kwururuka ngo igwe i Kokoda hirya y'ejo, ariko vyari bimaze kwanka rimwe.","disasters
"
"Mw'igariyamoshi ifise uburyamo, uwuyitwara arashobora kubasaba pasiporo kugira ntibirirwe barakuvyura.","travel
"
"Ikiraro gitegekanywa gukora k' umugaragaro muri Nyakanga 2017, igenekerezo ama posita yo kugenzura ama duwane ya berezile yitezwe kuba yaheze.","business
"
Nta shirahamwe ry'ibigo vy'indege gikwiragira amayira y'amabahari yose ukwo ari atatu mu ruhande rw'Amaja Epfo y'isi (na SkyTeam ntifata n'imwe muri izo nzira).,"travel
"
"Ukiri muri ako karere, muri rusangi urashobora kujabuka imbibe batiriwe barasubira gusuzuma pasiporo yawe.","travel
"
"Nubwo ushobora kwiyumvira ko bikuzamwo gukurikira ishirahamwe ryo kwiyunguruza mukirere ukunda kugurukiramwo cane, wobwirizwa kumenya ko uturusho dutangwa tuba kenshi dutandukanye kandi amanota ahabwa ingenzi zikunda gufata ingendo ashobora kuba menshi murindi shirahamwe ryo kwiyunguruza mukirere mw'ihuriro rimwe.","travel
"
