question,gpt_answer
Quyidagi gaplardan qaysi biri sherlarning xatti-harakatlarini to'g'ri tasvirlamaydi?,4
Quyonlar qaysi turdagi yirtqichlar uchun doimiy o'lja hisoblanadi?,3
Quyidagilardan qaysi biri odatda kichik mushuksimonlar tomonidan ovlanadi?,1
Quyidagilardan qaysi biri otselotning ovlash usulining bir qismi emas?,4
Quyidagilardan qaysi biri otselotni to'g'ri tasvirlamaydi? ,3
Quyidagilardan qaysi biri yo'lbarsning eng kuchli tomoni hisoblanmaydi?,1
"Matnga ko'ra, yo'lbarslar va sherlar o'rtasidagi farq nimada?",2
"Matnga ko'ra, Robert Huk boshqa biologlardan oldinroq nima qilgan?",1
“Hujayra” so'zi nimani anglatadigan so'zdan kelib chiqqan?,2
"Matnga ko'ra, ko'pchilik hayvonlar nima qilish qobiliyatiga ega?",2
"Matnga ko'ra, ba'zi hayvonlarda nima yo'q?",3
Fotosintez jarayonida o'simliklarga nima yordam beradi?,4
Odamlar o'simliklar o'ziga oluvchi nimani nafas bilan chiqaradi?,4
"Matnga ko'ra, quyidagi misollardan qaysi biri evolyutsiya jarayoniga xalaqit beradi?",1
Quyidagi gaplardan qaysi biri turlar hosil bo'lishi jarayonini to'g'ri tasvirlamaydi? ,1
Qon aylanish tizimining qaysi qismi qonni yurakka yetkazib beradi?,4
Qon aylanish tizimidagi eng kichik tomirlar qaysi?,1
Hasharotlarning qanotlarini orqaga bukish qobiliyati quyidagilardan qaysi birini oshiradi?,2
Quyidagilardan qaysi biri matnda hasharotning uchish qobiliyati ta'sir qiladigan narsa sifatida tilga olinmagan?,2
Quyidagi xususiyatlardan qaysi biri odatda dinozavrlar bilan bog'lanmaydi?,2
Quyidagilardan qaysi biriga odatda qushlar va dinozavrlarning umumiy xususiyati sifatida qaralmaydi?,3
"Matnga ko'ra, Triseratop sikad o'simligining qaysi qismini iste'mol qilgan bo'lishi mumkin?",2
"Matnga ko'ra, Triseratop quyidagilardan qaysi birini iste'mol qilgan bo'lishi mumkin? ",2
"Matnga ko'ra, quyidagi sport turlaridan qaysi biri Italiyaning eng shimoliy hududlarida keng tarqalgan bo'lishi mumkin?",3
"Matnga ko'ra, quyidagi sport turlaridan qaysi biri Italiya uchun jahon chempionligini olib keldi?",1
Qaysi voqeadan keyin Lyuksemburgning ayrim hududlari Belgiyaga aylandi?,2
Quyidagilardan qaysi biri Lyuksemburgning betarafligiga ta'sir qildi?,1
Turkiya umumiy maydonining necha kvadrat kilometri Yevropada joylashgan?,4
"Matnga ko'ra, Turkiyaning uzunligi necha milya?",4
Vatikan shahrida lotin tili nima uchun ishlatiladi?,1
Vatikan shahrida italyan tili nima uchun ishlatilmaydi?,3
"Matnga ko'ra, murakkab kompyuterlarda audio aralashtirish quyidagilardan qaysi biriga foyda beradi?",1
"Matnga ko'ra, qaysi joydagi ko'pchilik uylarda oqiziluvchi hojatxonalar bo'lgan?",1
Quyidagi joylardan qaysi birida rivojlangan kanalizatsiya tizimlari topilgan?,1
Quyidagilardan qaysi biri konkichining burilishiga sabab bo'ladi?,1
"Matnga ko'ra, quyidagilardan qaysi biri zamonaviy konki tig'idagi bo'shliqni to'g'ri tasvirlaydi?",3
"Matnga ko'ra, atomlarga yorug'likdan ortiqcha energiya chiqarishga imkon beradigan jarayon nima?",4
Nima atomning foton chiqarishiga sabab bo'ladi?,2
"Matnga ko'ra, oxir-oqibat lampochkaning ishlamay qolishiga nima sabab bo'ladi?",3
Lampochkani almashtirishda quyidagilardan qaysi biriga tegish xavfli bo'lishi mumkin?,3
"Matnga ko'ra, yadro bo'linganida nima sodir bo'ladi?",2
Quyidagilardan qaysi biri yerga shaharlararo qo'ng'iroqlarni qaytaradi,2
Quyidagilardan qaysi biri teleskopni kosmosga olib chiqish uchun ishlatiladi?,2
Vaqt o'tishini kuzatish uchun davriy hodisada nimaga e'tibor qaratish kerak?,2
"Matnga ko'ra, vaqt hodisaning qaysi jihatini taqqoslash uchun ishlatiladi?",1
