text,gemini_label
مىتروفلس لبيه ڽمن وان کدا رمي تفي سدکيت لبيه لرڠ هرݢث، مسکيفون مسيه موره متان فدا تىکةـ تىکة مىترو نورمل دي إروفا.,travel
إين مڠکين فرلو مىإس فورمولير لوان فوليس لوکل اتوا بسيڠݢه ککنتور إميݢرسي.,travel
"ساتياڤ ڤاڬي, اوراڠ-اوراڠ مانيڠڬالاكان كوتا هالوس دي ڤاديساان ڤاكاي موبيل ڬاسان تولاك كا واداه بڬاوي بوهانۑا وان ديلالوي أوليه اوراڠ لاين نڠ هاۑار بوليك داري واداه باڬاويۑا.",travel
امونڽ کدإ تفي تبييسا مڽوفير دي جلن کمفوڠ، بىأکل ــ اکل هجا مىللوي جلن مىرىڠ، کيفية، وان تيکوڠن فتاه نڠ دي اوتمکن.,travel
فمولأن نڠ کيتا تهو ترانسفورتسي تو بجلن هجا، منوسيا کوا چݢة بجلن دري دوا جوتا تهون نڠ للو لوان مونچول هومو إىرىکتوس(بررتي منوسيا چݢة).,science
فلىر ــ فلىر نڠ بأستيله فنوݢسن اوفرسي جنيس کلمين بأسا دي لوار نݢرى مستي منهفکن بوهنڽ ممبوا دوکومىن نڠ نجور ݢسن فرجلنن بوليك.,travel
دلم کندس لإىن، چوما إث نڠ ادا ديلوار اکومودسي ويستا نڠ فرلو مندفتر.تفي، إنى موله حکم جؤه لبيه کؤر، جدي چري تهو دحولو.,travel
لمون بجلنن دي نݢرا برکمبڠ ݢسن فرتما کليڽ ــ اتوا ديبݢين هڽر دونيا ــ کدا بولىه مرندهکن فوتىنسي کجوتن بوديا.,travel
"بينيان: ديانجوركان باهووا ساتياف توريس بينيان بافاداه باهووا بوهانۑا سوداه كاوين, تالافاس داري ستاتوس فاركاوينان نڠ سابوجورۑا.",entertainment
إلڠن بوهن تورس تو لراڠ، جدي هروس ادا فيسيك نڠ سىهة، هڽا کوا دي موسيم فناس فس نوڤ ــ فىب، وان سبݢين ݢنل لݢي تبتس دي سمننجوڠ، کڤولوان وان لؤت روس.,geography
كونجونݢان كا سيتوس كاوا داڤات لاوان موداه ديكؤمبيناسيكان لاوان ڤىرجالانان كى لوتوك كا داناو.,travel
"تولوڠ دييڠاتي لاݢي لامون ڤييان ني لاݢي مايلاڠي واداه ڤاكوبوران ماسال, وان كا واداه ناڠ باارتي بانار ݢاسان ساڤاليهان وارݢا دونيا.",religion
"موستياكان ڤاس ايمباه ڤيان مانائيكي جوكوڠ هالوس, باراتائن چاݢار جالاس بانار. ڤيان چاݢار باتامو لاوان ڤانومڤاڠ لائيننيا وان بوهاننيا چاݢار باباݢي هابار لاوان ڤيان.",travel
نڠ کيا إتوجوا، افبيلا بىإسيان ڤيساسچهىڠن، فيان کدا فرلو مأنجوك ڤيساکا مسيڠ ــ مسيڠ نݢراڠݢوتا سچهىڠن سچرا تفيسه، سهيڠݢا مىإمية واکتو، دويت وان برکاس.,business
ڠيني كاوا ديتونتوڠاكان دي موبيل بياسا لاوان فارانچاناان نڠ ماساك تاتافي موبيل ٤×٤ ليوار ديانجوركان وان باۑاك لوكاسي چوما كاوا ديچافاي ماماكاي داسار بان ٤×٤ نڠ تيڠڬي.,travel
دي جلنن نڠ بسلجو وان با إىس، ݢىسيکنڽ رنداه وان فيان کدا کوا بيل مڠمودي کيا فيان فس مڠىمودي دي اسفل.,nature
"تاكسي ڤوڤوان يالاه سابواه سارانا نݞ لاكاس وان نيامان ݢاسان مانجالاجاهي كا واداه – واداه تاڤاراك, نݞ كايا ڤارو (نو ١٥٠) وان ڤوناكها (نو ٢٠٠).",travel
توين اوتتير لاڬي منچوباي مندارت دي كوكودا كامريان مالالوءي مسكاڤاي ڤي إن ڬي ڤانربڠان چي ڬي٤٦٨٤، تاڬل سوده ديبتلاكن ساكلي.,disasters
دي کريت ملم، فسفر ديکمفلکن اوله قنديکتر سهيڠݢا ݢريڠ فيان کدا تهور.,disasters
"ديجادوالكان ني جامباتانيا راسمي ديڤاكاي ڤاس سىڤتىمبىر ٢٠١٧, ڤاس واداه ڤاماريكساان بيا چوكاي برازيل نيا ڤاراك تونتوݞ.",business
