premise,hypothesis,gpt_label
"Enyo, nyemen,o esia ŋu bum hã o, evɔ nyemekpɔ ŋudzedze o, eye megava dze nuƒoƒo kplii.",Nyemegaƒo nu ake o.,2
"Enyo, nyemen,o esia ŋu bum hã o, evɔ nyemekpɔ ŋudzedze o, eye megava dze nuƒoƒo kplii.",Medo domedzui ale gbegbe be ɖeko megadze nuƒoƒo kpliie nye esia.,0
"Enyo, nyemen,o esia ŋu bum hã o, evɔ nyemekpɔ ŋudzedze o, eye megava dze nuƒoƒo kplii.",Mǐhe nya vevie ŋutɔ.,2
"Wogblɔ nam be le nuwuwu la, woakplɔ ame aɖe si mado go la vɛ nam.",Womegblɔ nam be mado go ame aɖeke kpɔ o.,0
"Wogblɔ nam be le nuwuwu la, woakplɔ ame aɖe si mado go la vɛ nam.",Wogblɔ nam be woyɔ ɖekakpui aɖe si ado go kplim.,0
"Wogblɔ nam be le nuwuwu la, woakplɔ ame aɖe si mado go la vɛ nam.",Ɖekakpui la tsi megbe vie hafi va.,2
"Nu sɔgbɔ li si ŋu nate ŋu ƒo nu le ale gbegbe be, ɖeko mabe esia nenɔ anyi boŋu.",Adzrom be magblɔ nu siwo katã menya ku ɖe eŋu la na wò.,2
"Nu sɔgbɔ li si ŋu nate ŋu ƒo nu le ale gbegbe be, ɖeko mabe esia nenɔ anyi boŋu.","Nyemele nya aɖeke gblɔ ge ku ɖe ŋu o, to egbɔ be nu sɔgbɔ lii si ŋu miake ɖo hafi.",2
"Nu sɔgbɔ li si ŋu nate ŋu ƒo nu le ale gbegbe be, ɖeko mabe esia nenɔ anyi boŋu.",Nyemagblɔ dugãa ƒe ŋutinya o elabena nu sɔgbɔ lii woagblɔ ku ɖe eŋu.,2
Eya ta nyemenya nu si tae tututu o.,Menye nu si ta wòdzɔ ɖo.,0
Eya ta nyemenya nu si tae tututu o.,Nyemenya nu si ta wòɖoli suku ɖo o.,2
Eya ta nyemenya nu si tae tututu o.,Nyemenya nu si ta wòɖoli suku ɖo o.,2
"Nye ɖeka koe tea ŋu nana euh, nuɖɔɖomɔa zɔ̃na na, na xɔ fafɛ me dodokpɔa.",Medoa dzidzɔ nam be nye ɖeka koe tea ŋu zãna nuɖɔɖomɔa hena dodokpɔawo.,0
"Nye ɖeka koe tea ŋu nana euh, nuɖɔɖomɔa zɔ̃na na, na xɔ fafɛ me dodokpɔa.",Wowɔa dodokpɔawo le xɔ fafɛ la me.,0
"Nye ɖeka koe tea ŋu nana euh, nuɖɔɖomɔa zɔ̃na na, na xɔ fafɛ me dodokpɔa.",Mǐa dome ame aɖewo ʋu du tsɔ nuɖɔɖomɔawo vɛ na dodokpɔa.,1
"Menye euh, kpɔvitɔ ƒe amegã xɔgbɔ̃ɖeme abe ale si Rick gblɔe ene.",Megale dɔ wɔm va se ɖe egbe.,2
"Menye euh, kpɔvitɔ ƒe amegã xɔgbɔ̃ɖeme abe ale si Rick gblɔe ene.",Mexɔ gbɔɖeme le ƒè 2002 lia me.,1
"Menye euh, kpɔvitɔ ƒe amegã xɔgbɔ̃ɖeme abe ale si Rick gblɔe ene.",Rick gblɔe na wò be mexɔ gbɔɖeme.,0
"Gabuɖigbalẽwo le ɔfisi dzi nam eye, ɛ̃, enye Cutty machin-chose tɔ, nenema woyɔa asisinɔ lae.",Asisinɔ so woyɔa be Cutty la ƒe ɣletikukufe nye $ 10 000,1
"Gabuɖigbalẽwo le ɔfisi dzi nam eye, ɛ̃, enye Cutty machin-chose tɔ, nenema woyɔa asisinɔ lae.",Asisinɔ aɖe lii si woyɔa be Cutty,0
"Gabuɖigbalẽwo le ɔfisi dzi nam eye, ɛ̃, enye Cutty machin-chose tɔ, nenema woyɔa asisinɔ lae.",Míaƒe asisinɔ aɖeke metɔ Cutty o.,0
Ɖetugbui si ate ŋu kpe ɖe ŋunye lale dua ƒe akpe kemɛ.,Ɖetugbui si ƒe kpekpeɖeŋu mehiã la gbɔ dzidzi le afi sia gbɔ.,2
Ɖetugbui si ate ŋu kpe ɖe ŋunye lale dua ƒe akpe kemɛ.,Ɖetugbui si akpe ɖe ŋunye la gbɔ le miles 5 tso afi sia.,1
Ɖetugbui si ate ŋu kpe ɖe ŋunye lale dua ƒe akpe kemɛ.,Ame aɖeke mate ŋu kpe ɖe ŋunye o.,0
"Womese wo nɔewo gɔme le ame siwo yia gbea dzi kple esiwo nye aƒemeviwo la nya me o, ke boŋu enye...",Woƒoe se be yewo katã yewoawɔ dɔ le agbleawo me.,0
"Womese wo nɔewo gɔme le ame siwo yia gbea dzi kple esiwo nye aƒemeviwo la nya me o, ke boŋu enye...",Womete ŋu nɔ wo nɔewo gɔme sem le ame si awɔ agbledɔ kple esi awɔ aƒemedɔ nya me o.,0
"Womese wo nɔewo gɔme le ame siwo yia gbea dzi kple esiwo nye aƒemeviwo la nya me o, ke boŋu enye...",Womete ŋu nɔ wo nɔewo gɔme sem le ame si awɔ dɔ le ɖetigble me kple esi anɔ anyigba tutum nya la me o.,0
"Medi be magblɔ be wodzi vi atɔ̃, wo dome ame ɖeka ku.",Wo viwo katã tsi agbe.,0
"Medi be magblɔ be wodzi vi atɔ̃, wo dome ame ɖeka ku.",Vi ɖeka le atɔ̃ dzi kuna.,0
"Medi be magblɔ be wodzi vi atɔ̃, wo dome ame ɖeka ku.","Vi si ku la, wodzii dɔnɔvi.",0
"Egblɔ be aɖatsiwo koe nɔ sasram tso ŋkuwo dzi nae eye wògblɔ be, eye wogblɔ be Joe va xɔxɔa nu.","Esi wònɔ gbɔgblɔm be woalia xɔxɔa nu la, aɖatsi nɔ ŋkuwo dzi nae.",0
"Egblɔ be aɖatsiwo koe nɔ sasram tso ŋkuwo dzi nae eye wògblɔ be, eye wogblɔ be Joe va xɔxɔa nu.","Esi wòtutu Joe do le xɔxɔa nu la, etutu eƒe aɖatsiwo kaba.",0
