question,gpt_reply
"지문에 따르면, 다음 중 소련과 미국 간의 관계에 영향을 미치지 않은 것은 무엇인가?",B: 독일에 대한 의견
몸 전체에 신경 자극을 보내는 목적에 관한 다음의 설명 중 정확하지 않은 것은 무엇입니까?,A: 혈류 둔화
기자 고원(Giza Plateau)에서는 무엇을 볼 수 있는가?,"A: 무덤  
B: 사원  
D: 대 피라미드  

정답은 A, B, D입니다. C는 부정확한 옵션입니다. 참가자는 기자 고원에서 대 피라미드, 여러 개의 작은 무덤, 사원, 그리고 스핑크스를 볼 수 있습니다. 하지만 모든 7대 불가사의가 존재하는 것은 아닙니다."
대 피라미드의 목적은 무엇이었는가?,B: 파라오를 기리기 위해
신전을 파괴한 방화범에 대한 우리의 지식에 책임이 있는 사람은 누구입니까?,C: 스트라본
아르테미스 신전의 재건에 관한 다음의 설명 중 정확한 것은 무엇입니까?,B: 알렉산더 대왕 통치 이후 재건되었다
"지문에 따르면, 두 발로 걸었을 가능성이 있는 최초의 종은 언제 나타났는가?",A: 7백만 년 전
다음 중 일반적으로 두 발로 걸은 종은 무엇인가?,B: 호모 에렉투스
제2차 세계 대전 당시 독일 해군은 무엇을 달성하려고 했습니까?,B: 영국이 사람과 물품을 받지 못하게 차단
"지문에 나오는 정보에 따르면, 북대서양 캠페인 기간 동안 해전에서 가장 큰 성공을 나라는 어디입니까?",A: 영국과 미국
아시리아가 기병대를 사용했을 때 존재하지 않았던 것은 무엇인가?,A: 안장
기병대를 활용한 전투는 어떻게 진행되는가?,C: 말을 타고
"지문에 따르면, 다음 중 보통의 바빌로니아인이 하지 않은 일은 무엇입니까?",D: 내부 성소에 제물 바치기
다음 중 제사장에게만 주어지는 것은 무엇입니까?,B: 내부 성소
투탕카멘왕(King Tutankhamun)은 언제부터 악명을 얻었습니까?,C: 그의 무덤이 발견된 후
투탕카멘왕(King Tutankhamun)이 유명한 이집트 왕이 된 이유는 무엇입니까?,A: 훼손되지 않은 그의 무덤 발견
그리스 시인 호머는 무엇을 할 수 없었는가?,B: 보기
문학 이외의 것으로 알려진 그리스의 위인은 누구인가?,C: 피타고라스
히브리 가족은 대부분의 시간을 어디에서 보냈는가?,A: 야외
다음 중 히브리 가족에게 그다지 중요하지 않은 것은 무엇인가?,C: 집
다음 중 스칸디나비아 국가 간의 차이점으로 설명되지 않은 것은 무엇인가?,B: 국토
그린란드에는 누가 가장 먼저 정착했는가?,A: 에스키모 부족
다음 중 의자 없이 식사하는 것을 선호하는 그룹은 어느 그룹인가?,C: 부유한 로마 남성
다음 중 고대 로마 연회의 일부가 아닌 것은 무엇인가?,D: 구운 칠면조 접시
"지문에 따르면, 다음 중 지속적인 영향을 미치지 않는 것은 무엇인가?",B: 소수의 문화
"지문에 따르면, 다음 중 국가에 선행하는 것은 무엇인가?",C: 도시국가
드룩갈종(Drukgyal Dzong)에 관한 다음 설명 중 사실이 아닌 것은 무엇입니까?,"A: 티베트-몽골 세력의 승리를 기념하기 위해 세워졌다. 

이 설명은 사실이 아닙니다. 드룩갈종(Drukgyal Dzong)은 티베트-몽골 세력을 물리친 승리를 기념하기 위해 세워졌습니다. 따라서 기념의 대상은 티베트-몽골 세력에 대한 승리이지, 그들의 승리가 아닙니다."
다음 중 드룩갈종(Drukgyal Dzong)에서 발생한 화재의 결과를 정확하게 설명한 것은 무엇입니까?,C: 명소로서의 인기는 영향을 받지 않았다
캄보디아에 대한 다음의 설명 중 옳은 것은 무엇입니까?,D: 태국이 프놈펜을 파괴했다
다음 중 캄보디아의 침략을 정확하게 설명한 것은 무엇입니까?,D: 태국은 캄보디아를 여러 차례 침공했다
다음 중 네덜란드 동인도 회사가 대만에서 활동하는 동안 하지 않은 것은 무엇인가?,D: 대만의 지배권을 자발적으로 청 제국에 양도
시모노세키 조약은 어떤 내용을 담고 있는가?,D: 대만에 대한 일본의 영향력
화학물질의 pH 농도는 어떻게 측정하는가?,C: 화학물질에 들어있는 수소 이온의 양
수소 이온에서 무엇이 제거되는가?,D: 전자
사자 무리에 대한 다음의 설명 중 옳지 않은 것은 무엇입니까?,"C: 수컷과 암컷이 모두 밀접한 관계가 있다

설명에 따르면 암컷은 주로 자매와 딸로 구성된 대가족으로부터 오기 때문에 서로 밀접한 관계를 가지고 있습니다. 그러나 수컷과 암컷 모두가 밀접한 관계라는 설명은 없습니다. 따라서 C는 옳지 않은 설명입니다."
다음 중 사자의 행동을 정확하게 묘사하지 않은 것은 무엇입니까?,D: 다른 커다란 고양이와 비슷한 행동을 보인다
토끼는 어떤 종류의 포식자에게 흔한 먹이입니까?,C: 중형 고양이과
소형 고양이과가 일반적으로 사냥하는 것은 다음 중 무엇입니까?,A: 설치류
다음 중 오셀롯의 사냥 방법이 아닌 것은 무엇입니까?,D: 작은 크기의 동물만 잡아먹는다
오셀롯에 대한 다음의 설명 중 옳지 않은 것은 무엇입니까?,C: 후각이 약하다
다음 중 호랑이의 가장 큰 장점으로 볼 수 없는 것은 무엇입니까?,A: 포효
"지문에 따르면, 다음 중 호랑이와 사자의 차이점은 무엇입니까?",B: 포효하는 소리
"지문에 따르면, 로버트 후크(Robert Hooke)가 다른 생물학자들보다 먼저 한 일은 무엇인가?",A: 죽은 세포 관찰
세포라는 단어의 어원은 무엇인가?,B: 작은 방
"지문에 따르면, 대부분의 동물은 어떤 능력을 가지고 있습니까?",B: 이동
"지문에 따르면, 일부 동물에게 없는 것은 무엇입니까?",C: 뇌
광합성 과정에서 식물을 돕는 것은 무엇입니까?,D: 태양
식물은 흡수하고 사람은 내뿜는 것은 무엇입니까?,D: 이산화탄소(carbon-dioxide)
