question,gpt_answer
"Dumasar kana bagéan tina karangan anu disayogikeun, piwuruk mana anu teu luyu patali cara anu bener maénkeun akordion?",1
"Nalika maénkeun akordion, hal mana anu baris nambahan volume akordion?",1
Naha wates gambar dina tipi sok dipotong?,2
"Dumasar kana bagéan tina karangan anu disayogikeun, masalah mana anu bakal dialaman nalika ngarubah format pilem kana format DVD?",2
Di mana harita tempatna garnisun Inggris?,2
Tanda tangan saha anu aya dina draf tulisan leungeun kasebat?,4
"Ti sababaraha tempat di handap ieu, di mana selebaran Dunlap datang pangtungtungna?",3
Di mana wadyabala balad Kolonel Stark ditempatkeun?,1
"Dumasar kana bagéan tina karangan anu disayogikeun, iraha wadya baladna Kolonel Stark manjangkeun barikadena?",3
"Dumasar kana bagéan tina karangan anu disayogikeun, nuju jaman Cina mana anu kasohor pangtelengesna?",4
"Dumasar kana bagéan tina karangan anu disayogikeun, parnyataan mana anu leres nunjukkeun koloni tentara sireum anu asup kana tahap kahirupan nomaden?",2
"Dumasar kana bagéan tina karangan anu disayogikeun, parnyataan mana anu leres nunjukkeun kabiasaan nyieun sarang koloni tentara sireum dina waktos tahap hirup nomaden?",3
Mana di handap ieu anu baris diteraskeun sanajan aya tanda-tanda éksternal?,3
Istilah mana anu ngagambarkeun jalmi-jalmi anu ngabogaan variasi ciri-ciri fenotipe anu tangtu?,4
Istilah mana anu dipaké pikeun nunjuk kana organisme nu nyicingan hiji daérah anu tangtu?,2
"Di handap ieu, mana anu teu kaasup kana kagiatan pariwisata berbasis alam?",3
"Dumasar kana bagéan tina karangan anu disayogikeun, dumasar kana naon sistem transportasi téh?",2
Partikel anu ngorbit ka nukleus ngabogaan aliran listrik anu kumaha?,3
Nukleus téh diwangun ku partikel naon waé?,1
"Dumasar kana bagéan tina karangan anu disayogikeun, mana anu kaasup kana angka binér lima bit?",3
Tiasa disebat naon deui istilah digit binér téh?,1
Mana anu teu disebatkeun dina karangan anu disayogikeun anu mangrupakeun kauntungan utama kanggo siswa anu ngadamel blog?,2
Aspék kagiatan ngadamel blog mana anu disebat-sebat janten pangrojong pikeun para siswa ningkatkeun kaahlian nulisna?,3
Mana anu teu kaasup kauntungan tina komunikasi teu langsung pikeun siswa? ,2
"Dumasar kana bagéan tina karangan anu disayogikeun, aspék komunikasi teu langsung mana anu teu fléksibel kanggo siswa?",3
Naon anu teu disebatkeun dina karangan anu disayogikeun ngeunaan ciri anu tiasa dikaitkeun ka kastil abad pertengahan?,4
Naon anu teu disebatkeun di karangan anu disayogikeun ngeunaan babauan atawa sora anu tiasa dirasakeun di tengah ruruntuhan bangunan kastil?,3
Mana anu janten gambaran luyu Kastil KIrby Muxloe?,2
"Dina karangan anu disayogikeun, ciri wangunan Kastil Kirby Muxloe mana anu dianggap khusus di periode jamanna?",1
"Dumasar kana bagéan tina karangan anu disayogikeun, mana anu paling nguntungkeun kanggo atlit lumpat anu nuju nyiapkeun pikeun usum anu bakal datang?",4
"Dumasar kana bagéan tina karangan anu disayogikeun, mana anu pangpentingna kanggo atlit lumpat satengah mil kelas kakap?",2
"Kanggo atlit, mana anu moal tiasa kahontal lamun saukur ngandelkeun paminuhan nutrisi?",3
"Dumasar kana bagéan tina karangan anu disayogikeun, mana anu teu dianjurkeun kanggo atlit ngora pikeun neang kanikmatan nu langkung seueur dina olahraga?",2
"Dumasar kana bagéan tina karangan anu disayogikeun, naha atlit lumpat jarak menengah mésér alat anu langkung mahal?",1
"Dumasar kana bagéan tina karangan anu disayogikeun, naon waé anu dibutuhkeun kanggo olahraga lumpat jarak menengah?",3
Saha anu mendakan résonansi magnétik nuklir? ,3
Di taun sabaraha paten kanggo MRI dipasihkeun? ,2
"Dumasar kana bagéan tina karangan anu disayogikeun, dina hal naon jalmi kedah gaduh pamahaman anu kuat ngarah tiasa ngahartikeun tindakan fisik batur?",2
"Dumasar kana bagéan tina karangan anu disayogikeun, ngabantos kana naon upami jalmi tiasa ngartos kana maksud batur?",1
"Dumasar kana bagéan tina karangan anu disayogikeun, mana anu janten ringkesan bener ngeunaan tujuan utama AI?",4
"Dumasar kana bagéan tina karangan anu disayogikeun, mana anu sering dihubungkeun sareng AI?",2
"Dumasar kana bagéan tina karangan anu disayogikeun, mana anu janten kakuatan jalmi anu miboga pola pikir konvergen?",4
"Dumasar kana bagéan tina karangan anu disayogikeun, mana anu teu dianggap janten fokus kanggo pola pikir konvergen?",2
"Dumasar kana bagéan tina karangan anu disayogikeun, mana anu teu kaasup kana éksprési alit?",4
Parnyataan mana anu teu bener ngeunaan tapsiran éksprési alit?,3
Mana anu janten langkung penting ku sabab ayana Renaisans? ,2
Mana anu janten kirang diperhatoskeun kusabab ayana Renaisans?,1
Mana anu teu ngagambarkeun motipasi dina pamakéan internét pikeun hubungan anu teras?,3
Mana anu teu ngagambarkeun motipasi dina pamakéan internét pikeun urusan pribadi?,1
Iraha Éropa kulon ninggalkeun pangaruh ti tempat séjén jeung mimiti ngembangkeun gayana nyalira?,1
Maké kancing supados énggal diacukna téh mangrupakeun hasil tina naon? ,4
"Dumasar kana bagéan tina karangan anu disayogikeun, mana anu kaasup solusi jangka panjang anu saé pikeun masalah-masalah lingkungan?",3
"Dumasar kana bagéan tina karangan anu disayogikeun, mana anu teu kaasup pangobatan simtomatik dina masalah-masalah lingkungan?",2
"Perang di nagara Éropa mana anu puseur masalahna téh masalah kasaimbangan kawasa, sanés masalah agama?",4
Perang naon anu sakapeung sok dilabelan ‘perang agama’ anu terakhir?,1
Aspek naon waé di Gereja Katolik anu teu meunang pangawasan?,3
"Dumasar kana bagéan tina karangan anu disayogikeun, saha anu dibunuh di Versailles?",4
Naon anu teu dipaksakeun ka Raja jeung Ratu ku gerombolan?,3
Mana anu teu kaasup akibat tina taktik perang laut teu biasa anu diterapkeun ku Inggris?,3
Parnyataan mana anu teu ngagambarkeun blokade laut Inggris ka Jérman?,4
