text,gemini_reply
"MetroPlus ya tsakisa ende a yi talelanga hi vanhu kambe ya durhanyana, hambiswiritano yi chipile loko yi pimanisiwa ni switimela swa le Yuropa.","travel
"
Leswi swi nga lava ku tata fomo emaphoriseni ya kwalaho kumbe u endzela etihofisini ta vapfhumba.,"travel
"
"Mixo wun’wana ni wun’wana, va nhu va siya ti doroba leti ntsongo hi ti movha ku ya eka tindhawu ta ntirho naswona va hindziwa hi timovha tin’wana ta vanhu lava va tirha eka tindhawu leti va ti siyeke.","travel
"
"Loko u nga swi tolovelanga ku chayela eka magondzo lama riki na xinkontiri tivonele ku ni: swiganga, swindlelana naswona minkarhi yo tala a swi vonaki ku u jika kwini.","travel
"
"Ndlela yo sungula ya swifambo a ku ri ku famba, vanhu va sungule ku famba va ololokile malembe ya timiliyoni lama hundzeke loko ku humelela ti Homo Erectus (leswi vulaka vanhu lava fambaka va ololokile).","travel
"
Vaendzi lava lavaka ku cinca rimbewu ra vona etikweni leri va ri endzelaka va fanele va va ni maphepha lama nga enkarhini yo tlhelela ekaya.,"health
"
"Eswiyinweni swinwana, lava nga tshamiki endhawini ya vaendzi va boheka ku tsarisa. Vutisa ka ha ri nkarhi hikuva nawu lowu a wu tiveki etindhawini tin’wana.","travel
"
"Loko u endzela tiko leri ra ha hluvukaka ro sungula kumbe ndhawu leyintshwa, swi nga ku tikela ku twisisa ndhavuko wa kona.","travel
"
"Vavasati: Ku ringanyetiwa leswaku vafambi hinkwavo lava nga vavasati va vula leswaku va tekiwile, kunga khathariseki xiyimo xa vukati.","travel
"
"Maendzo ya vapfhumba ma durha, ma lava munhu a va a tiyerile emirini, naswona ma nga endliwa ntsena hi ximumu hi Hukuri-Nyenyana, naswona ma endleriwa ntsena eka Nhlonhle, Swihlala na Lwandle ra Ross.","travel
"
Ku vhakela ndhawu leyi ku nga hlanganisiwa na riendzo ra xikepe ra kuya eka tiva.,"travel
"
"Hi kombela u tsundzuka leswaku u endzela ndhawu ya masirha, naswona I ndhawu leyi vulaka swo tala eka vanhu vo tala ngopfu va misava.","religion
"
Tiyiseka leswaku loko u fika ematini swilo hinkwaswo swi ta va erivaleni. U ta kuna van’wana lava hayikaka swikepe naswona va ta avelana vuxokoxoko bya vona na wena.,"travel
"
"Hilaha ku fanaka loko u ri na visa ya le Schengen, a swi bohi leswaku u endla xikombelo xa ti visa ta matiko hinkwawo lama nga ni vuxaka ni ra Schengen, kutani sweswo swi endla leswaku u hlayisa nkarhi ni mali ya wena naswona u nge tshameli ku tata ti fomo.","travel
"
Leswi swi nga endliwa hi ku tirhisa movha lowu tolovelekeke loko u kunguhate kahle kambe 4x4 yi ringanyetiwa ngopfu naswona tindhawu to tala ti fikeleleka hi movha wa 4x4 wa mavhilwa yale henhla.,"travel
"
"Eka magondzo lama nga ni ayisi ni gamboko, ku khuhlana ku le hansi naswona a wu nge chayeli onge hiloko u chayela eka gondzo ra xinkontiri.","disasters
"
"Mathekisi lama tirhisiwaka hi vanhu vo tala i ndlela yo hatlisa ni leyi u tshamaka kahle yo famba hi yona kuya eka tindhawu tale kusuhi, to fana na Paru (Nu 150 ) na Punaka (Nu 200).","travel
"
"Ti Twin Otter a ti ringeta ku yima eKokoda tolo tanihi swihaha mpfhuka PNG xihaha mpfhuka CG4684, kambe ku yimisiwe xin’we.","disasters
"
"Eka switimela leswi u nga tlelaka eka swona, mufambisi a nga ha teka tipasi leswaku mi nga kavanyetiwi loko mi etlele.","travel
"
"Buloho leri ku vuriwe leswaku ri ta sungula ku tirha kahle hi Septembe 2017, loko ku hetiwe ku hoxiwa switirhisiwa leswi fambisanaka na maendlelo ya le Brazil yo secha emagondzweni.","business
"
A ku na ntlawa wa swihaha mpfhuka lowu hlanganisaka tindlela tinharhu to tsemakanya lwandle eDzongeni Wa Misava (naswona SkyTeam a yi hlanganisi na yin’we ndlela yo tsemakanya lwandle).,"travel
"
"Loko u tshama endhawini leyi, u nga hundza mindzilikano hambiloko u nga hundzanga hi le tindhawini to kambela mapasi.","geography
"
