question,gpt_reply
"ඡේදයට අනුව, එකෝඩියනයක් සාර්ථකව වාදනය කිරීමේ නිවැරදි උපදෙසක් ලෙස නොසැලකෙන්නේ කුමක්ද?",A: අමතර පරිමාවක් සඳහා ඔබ යතුරු මත යොදන බලය වැඩි කරන්න
එකෝඩියනයක් වාදනය කිරීමේදී පරිමාව වැඩි කරගැනීමට උපකාර වන්නේ පහත සඳහන් ඒවායින් කුමක්ද?,B: වැඩි බලය
රූපාවාහිනියේ රූපවල පැති මායිම් කප්පාදු කර ඇත්තේ ඇයි?,B: එවිට රූපය සම්පූර්ණ තිරය ආවරණය කරයි
"ඡේදයට අනුව, චිත්‍රපටියක් ඩීවීඩී ආකෘතියට පරිවර්තනය කරන විට පුද්ගලයෙකුට මුහුණ දීමට සිදු විය හැක්කේ පහත ප්‍රශ්නවලින් කවරකටද?",B: අර්ධ ලෙස කප්පාදු කළ උපසිරැසි
බ්‍රිතාන්‍ය හමුදා බලකොටුවක් පිහිටා තිබුණේ කොහේද?,C: බෝර්ඩන්ටව්න්
අත්පිටපත් කෙටුම්පතේ තිබුණේ කාගේ අත්සනද?,D: චාල්ස් තොම්ප්සන්
ඩන්ලැප් බ්‍රෝඩ්සයිඩ් පිටපත් අවසන් වරට පැමිණියේ පහත කවර ස්ථානයටද?,C: ලන්ඩන්
කර්නල් ස්ටාර්ක්ගේ සෙබළු සිටියේ කොහේද?,"A: උතුරු කෙළවර, මායිම දිගේ"
ඡේදයට අනුව ස්ටාක්ගේ මිනිසුන් ඔවුන්ගේ මායිම් දිගු කළේ කිනම් විටද?,C: බාදිය පැවති කාලයේ
"ඡේදයට අනුව, චීනයේ දරුණුතම යුගයක් වූයේ පහත කිනම් යුගයද?",D: රාජධානි තුනේ යුගය
"ඡේදයට අනුව, සංචාරක අවධියට ඇතුල් වන හමුදා කුහුඹු කොලනිය සම්බන්ධව සත්‍ය වන්නේ කුමක් ද?",B: ඔවුන්ට ඇත්තේ අඩු ආහාර සැපයුමකි
"ඡේදයට අනුව, සංචාරක අවධිය තුළ හමුදා කුහුඹු කොලනිවල ජනාවාස පිහිටුවීමේ පුරුදු නිවැරදිව පිළිබිඹු වන්නේ කුමන ප්‍රකාශයෙන්ද?",C: ඔවුන් දෛනිකව ජනාවාස වෙනස් කරයි
බාහිර ඉඟි පැවතියද පහත කුමක් අඛණ්ඩව පවතිනු ඇතිද?,C: ජෛව විද්‍යාත්මක ඔරලෝසු
විශේෂිත රූපානුදර්ශීය ගති ලක්ෂණයක විචල්‍යතාවයන් පෙන්වන පුද්ගලයන් විස්තර කරන්නේ කිනම් යෙදුමද?,D: බහුරූපී
යම් නිශ්චිත ප්‍රදේශයක් තුළ සිටින ජීවින් සඳහා වන නිවැරදි යෙදුම කුමක්ද?,B: ජනගහනය
