question,gemma3_answer
"Theo đoạn văn, đâu không được coi là lời khuyên đúng để chơi được đàn phong cầm?",1
"Khi chơi đàn phong cầm, cách nào sau đây sẽ giúp tăng âm lượng?",1
Tại sao hình ảnh trên TV lại có các đường viền cắt?,2
"Theo đoạn văn, có thể gặp phải vấn đề nào sau đây khi chuyển định dạng phim sang DVD?",2
Quân Anh đã đóng quân ở đâu?,3
Trên bản thảo viết tay có chữ ký của ai?,4
"Trong những địa điểm sau, bản in Dunlap đã xuất hiện sau cùng ở đâu?",3
Quân của Đại tá Stark đã đóng ở vị trí nào?,1
"Theo đoạn văn, binh sĩ của Stark đã mở rộng hàng rào vào thời điểm nào?",3
"Theo đoạn văn, thời kỳ nào sau đây là một trong những kỷ nguyên đẫm máu nhất của Trung Hoa?",4
"Theo đoạn văn, đâu là mô tả đúng về bầy kiến quân đội bước vào giai đoạn du mục?",2
"Theo đoạn văn, nhận định nào sau đây phản ánh chính xác thói quen làm tổ của bầy kiến quân đội trong giai đoạn du mục?",3
Quá trình nào sau đây sẽ vẫn tiếp tục bất kể sự hiện diện của tín hiệu bên ngoài?,3
Thuật ngữ nào mô tả các cá thể thể hiện nhiều biến dị của một đặc điểm kiểu hình cụ thể?,4
Đáp án nào sau đây là thuật ngữ chính xác để chỉ sinh vật sinh sống trong một khu vực nhất định?,2
Đáp án nào sau đây không phải ví dụ về hoạt động du lịch sinh thái?,3
"Theo đoạn văn, đáp án nào sau đây là nền tảng của hệ thống chuyên chở?",2
Loại hạt xoay quanh hạt nhân mang điện tích gì?,3
Hạt nhân gồm những loại hạt gì?,1
"Theo đoạn văn, đáp án nào sau đây là ví dụ về một dãy số nhị phân dài năm bit?",3
Tên gọi khác của dãy số nhị phân là gì?,1
Đáp án nào sau đây không phải lợi ích chính của việc học sinh viết blog được nhắc đến trong đoạn văn?,2
Khía cạnh nào sau đây của việc viết blog được nhắc đến là động lực cho học sinh cải thiện khả năng viết lách?,2
Đáp án nào sau đây không phải lợi ích của phương pháp giao tiếp bất đồng bộ đối với học sinh? ,2
"Theo đoạn văn, khía cạnh nào sau đây của phương pháp giao tiếp bất đồng bộ không linh hoạt đối với học sinh?",1
Đáp án nào không được nhắc đến trong đoạn văn như một yếu tố gắn liền với các tòa lâu đài thời trung cổ?,3
Đáp án nào sau đây không được nhắc đến trong đoạn văn như một mùi hương hoặc âm thanh có thể được gợi lên giữa các di tích lâu đài?,3
Đáp án nào sau đây mô tả chính xác về Lâu đài Kirby Muxloe?,2
Đặc điểm cấu trúc nào sau đây của Lâu đài Kirby Muxloe được coi là không điển hình vào thời kỳ đó đã được mô tả trong đoạn văn?,4
"Theo đoạn văn, phương pháp nào sau đây sẽ hữu ích nhất đối với một vận động viên chạy đang chuẩn bị cho mùa thi đấu sắp tới?",4
"Theo đoạn văn, yếu tố nào sau đây đặc biệt quan trọng đối với một vận động viên chạy hạng nhất trên đường đua nửa dặm?",2
"Đối với một vận động viên, điều nào sau đây không thể đạt được chỉ bằng chế độ dinh dưỡng?",3
"Dựa vào đoạn văn, phương pháp nào sau đây không được đề xuất để giúp các vận động viên trẻ tăng niềm yêu thích thể thao của họ?",2
"Theo đoạn văn, lý do nào có thể khiến một vận động viên chạy cự ly trung bình mua thiết bị đắt tiền hơn?",1
"Theo đoạn văn, yêu cầu của môn chạy cự ly trung bình là gì?",3
Ai đã phát hiện ra cộng hưởng từ hạt nhân? ,3
Chụp cộng hưởng từ trong y khoa được cấp bằng sáng chế đầu tiên vào năm bao nhiêu? ,2
"Theo đoạn văn, con người cần hiểu rõ điều gì để có thể diễn giải hành động lý tính của người khác?",2
"Theo đoạn văn, hiểu được ý định giúp con người làm điều gì?",1
"Theo đoạn văn, đáp án nào sau đây tóm tắt chính xác mục đích chính của Trí tuệ nhân tạo?",4
"Theo đoạn văn, điều nào sau đây thường gắn liền với Trí tuệ nhân tạo?",2
"Theo đoạn văn, đáp án nào sau đây là điểm mạnh của người có tư duy hội tụ?",4
"Theo đoạn văn, đáp án nào sau đây không được coi là trọng tâm của lối tư duy hội tụ?",2
"Theo đoạn văn, đáp án nào sau đây không được coi là biểu cảm thoáng qua?",4
Nhận định nào sau đây về việc diễn giải biểu cảm thoáng qua là không đúng?,3
Khả năng nào sau đây đã trở nên quan trọng hơn do tác động của thời kỳ Phục Hưng? ,2
Khả năng nào sau đây đã trở nên bớt quan trọng do tác động của thời kỳ Phục Hưng?,1
Đáp án nào sau đây không phản ánh một động lực để sử dụng mạng Internet cho mục đích duy trì mối quan hệ?,3
Đáp án nào sau đây không phản ánh một động lực để sử dụng mạng Internet cho mục đích gắn kết bản thân?,1
Tây Âu không còn chịu ảnh hưởng nặng nề và bắt đầu phát triển phong cách riêng từ khi nào?,1
Sử dụng nút để cài quần áo là kết quả của thời kỳ nào? ,3
"Theo đoạn văn, đáp án nào sau đây được coi là một giải pháp lâu dài khả thi cho những vấn đề môi trường?",3
"Theo đoạn văn, giải pháp nào sau đây không được coi là biện pháp điều trị triệu chứng cho những vấn đề môi trường?",2
Cuộc chiến tranh đầu tiên ở Châu Âu mà vấn đề trọng tâm được cho là có liên quan đến cán cân quyền lực thay vì bối cảnh tôn giáo đã diễn ra ở quốc gia nào?,4
"""Cuộc chiến nào đôi khi được mô tả là """"cuộc chiến tranh tôn giáo"""" cuối cùng?""",1
Khía cạnh nào sau đây của Nhà thờ Công giáo không bị soi xét?,2
"Theo đoạn văn, ai là người bị sát hại tại cung điện Versailles?",4
Đám đông không buộc Vua và Nữ hoàng phải làm điều gì sau đây?,3
Đáp án nào sau đây không phải hệ quả của chiến tranh hải quân phi quy ước của nước Anh?,3
Nhận định nào mô tả không chính xác về vụ phong tỏa hải quân Đức do nước Anh tiến hành?,4
"Dựa vào đoạn văn, đối tượng nào có nguy cơ bị chẩn đoán mắc bệnh Đa xơ cứng cao nhất?",1
"Theo đoạn văn, những người tham gia hoạt động bình thường đã yêu cầu được giúp đỡ nhiều hơn về vấn đề gì?",1
"Theo đoạn văn, môn đấu kiếm thường được chơi như thế nào?",4
"Theo đoạn văn, đáp án nào sau đây là dấu hiệu ngộ độc bên trong rõ ràng nhất?",4
"Theo đoạn văn, bước đầu tiên cần làm khi kiểm tra nạn nhân là gì?",1
Nhận định nào sau đây phản ánh không chính xác về quá trình kiểm tra nạn nhân?,1
Thay đổi nào gây ra bởi cuộc Cách mạng Pháp đã tác động mạnh mẽ đến người dân thuộc tầng lớp lao động?,2
"Sau cuộc Cách mạng Pháp, điều gì không còn nhiều khả năng quyết định đến sự thành công trong quân đội và các nghề nghiệp khác?",2
Dịch vụ công cộng nào được cho là khiến nhiều người không hài lòng nhất ở các quốc gia phát triển?,3
"Theo đoạn văn, có thể đưa ra nhận định gì về hệ thống giao thông công cộng?",3
"Theo đoạn văn, đặc điểm nào sau đây có thể sẽ khó đo lường do hành vi khó đoán của người lái xe?",4
Đặc điểm nào sau đây được sử dụng khi biểu đạt luồng giao thông về mặt toán học?,4
Hershey và Chase đã sử dụng vật chất gì để cấy DNA của chúng? ,4
Đột biến có khả năng di truyền sang con cái tùy thuộc vào điều gì?,1
"Dựa vào thông tin được cho trong đoạn văn, những tác động khác nhau của đột biến không phụ thuộc vào điều gì?",1
Văn hóa cổ xưa không nuôi dê vì lý do nào sau đây?,2
Mục tiêu khi chơi gôn là đạt tiêu chí gì ở mức thấp nhất?,2
"Trên sân gôn, cỏ ở vị trí nào được cắt ngắn hơn?",2
Mục tiêu điển hình của quá trình thực nghiệm là gì?,1
"Theo đoạn văn, yếu tố nào không giúp chỉ dẫn cho công tác nghiên cứu khoa học?",1
"Theo đoạn văn, nhận định nào là không đúng về lốc xoáy?",3
"Dựa vào đoạn văn, nhận định nào sau đây mô tả chính xác về phần lớn các cơn lốc xoáy?",4
"Vào thế kỉ 16, con người đã bắt đầu làm gì?",4
Con người đã dùng thấu kính phóng đại đối tượng từ bao lâu rồi?,3
"Dựa vào đoạn văn, hang động của Muhammad nói lên điều gì về các giá trị hoặc cách thực hành tâm linh của ông?",1
"Theo đoạn văn, lúc đầu sắt được sử dụng để làm gì?",4
"Theo đoạn văn, tại sao bánh xe gỗ được thay thế bằng bánh xe sắt?",4
"Theo đoạn văn, yếu tố nào định hình các cá thể trong thời kỳ Chủ nghĩa lãng mạn?",2
"Theo đoạn văn, đáp án nào sau đây là mục tiêu tổng thể của chính phủ?",4
Chính phủ đã tuyên bố điều gì?,1
"Theo đoạn văn, thông tin nào đã được biết?",1
Nhận định nào sau đây về các cuộc biểu tình là không đúng?,1
Ai đã đề xuất rằng Hội đồng bầu cử lâm thời (CEP) trước đó phải từ chức?,3
"Theo tuyên bố, Hội Thể dục dụng cụ Hoa Kỳ không ủng hộ điều gì sau vụ lạm dụng vận động viên của Nassar?",1
"Theo tuyên bố, mục đích chính của Hội Thể dục dụng cụ Hoa Kỳ và Ủy ban Olympic Hoa Kỳ trong tương lai là gì?",4
Con tàu đang trên đường đến đâu khi gặp nạn? ,3
Thông tin nào sau đây về con tàu được đề cập trong đoạn văn là không đúng?,2
Ai đã đưa ra tuyên bố về quân đội Mỹ?,1
"Theo tuyên bố, quốc gia nào sẽ đảm nhận trách nhiệm canh giữ các chiến binh bị bắt?",4
Nguyên nhân nào được cho rằng đã gây ra vụ rơi trực thăng?,2
Vụ rơi trực thăng đã xảy ra ở đâu?,4
Các nhà chức tránh mong rằng trận lũ sẽ mang lại lợi ích gì?,1
Việc xây dựng đập đã ảnh hưởng vĩnh viễn đến điều gì sau đây?,4
"Theo đoạn văn, ai đã cung cấp cho Mỹ thông tin tình báo về nguy cơ sẽ xảy ra các cuộc tấn công?",3
Nhận định nào sau đây mô tả chính xác về kế hoạch tấn công của những kẻ cực đoan?,3
Cá nhân nào sau đây không phải luật sư?,4
Nhóm cá nhân nào không được đề cập rằng có dính líu đến vụ bê bối trong cộng đồng tư pháp Hy Lạp?,3
Ấn Độ đã thua bao nhiêu gôn?,2
"Theo đoạn văn, điểm số cao nhất của hiệp đấu là bao nhiêu?",1
Đáp án nào sau đây không phải nguyên nhân gây ra sự thất vọng của Adam Cuerden?,1
"Theo đoạn văn, nội dung nào đã bị xóa khỏi trang web?",2
"Theo đoạn văn, Amir Khan không ủng hộ điều nào sau đây?",1
"Theo đoạn văn, bất chấp ý kiến của bản thân, Amir Khan sẽ ủng hộ điều gì?",3
Peter Lenz đã qua đời khi nào?,3
Xavier Zayat là ai?,2
Trong trường hợp nào hiểu biết về cách thức hoạt động của máy bay sẽ giúp ích cho hành khách hay lo lắng khi bay?,2
"Dựa vào đoạn văn, điều nào sau đây khách du lịch để ý về giá cả nên làm cuối cùng?",4
"Theo đoạn văn, khách du lịch nên làm gì trước tiên để đảm bảo nhận được mức giá vé máy bay tốt nhất?",2
Khi nào cần có cá nhân đi kèm theo hàng hóa vận chuyển?,3
"Dựa vào đoạn văn, bạn nên ưu tiên điều gì sau đây khi lựa chọn sử dụng chương trình Khách hàng thường xuyên của một hãng hàng không trong khối liên minh?",4
"Theo đoạn văn, hãng hàng không nào sẽ tặng nhiều điểm bay nhất?",1
"Theo đoạn văn, giác quan nào sau đây có thể bị tổn thương khi lạm dụng đồ uống có cồn?",2
"Như đã nêu trong đoạn văn, phương pháp nào có thể giảm bớt tác hại của rượu?",3
Khu vực nào có giá trị tài sản cao nhất Am-xtéc-đam?,1
Tại sao Quận Canal được UNESCO lựa chọn là Di sản Thế giới?,1
"Theo đoạn văn, điều nào sau đây khiến Phnom Krom xứng đáng được ghé thăm?",1
"Theo đoạn văn, du khách cần làm gì để vào đền Phnom Krom?",3
"Theo đoạn văn, yếu tố nào sau đây có thể ngăn cản du khách ghé thăm Nam Cực?",1
